Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
â€” ,â€” ,â€” ,â€” ,â€” ,â€” ,â€” 
aamina,,Aamina,,1,,5/9/2022 11:48
aaminata,,Aaminata,,1,,5/9/2022 11:48
abeba,,Abeba,,1,,5/9/2022 11:48
abena,,Abena,,6,,5/9/2022 11:48
abeni,,Abeni,,1,,5/9/2022 11:48
aberash,,Aberash,,1,,5/9/2022 11:48
abidemi,,Abidemi,,1,,5/9/2022 11:48
abimbola,,Abimbola,,1,,5/9/2022 11:48
abiodun,,Abiodun,,1,,5/9/2022 11:48
abiola,,Abiola,,1,,5/9/2022 11:48
abioye,,Abioye,,1,,5/9/2022 11:48
abosede,,Abosede,,1,,5/9/2022 11:48
achieng,,Achieng,,1,,5/9/2022 11:48
adaeze,,Adaeze,,1,,5/9/2022 11:48
adanna,,Adanna,,8,,5/9/2022 11:48
adannaya,,Adannaya,,1,,5/9/2022 11:48
ade,,Ade,,1,,5/9/2022 11:48
adebola,,Adebola,,1,,5/9/2022 11:48
adebowale,,Adebowale,,1,,5/9/2022 11:48
adedayo,,Adedayo,,1,,5/9/2022 11:48
adenike,,Adenike,,1,,5/9/2022 11:48
adeola,,Adeola,,1,,5/9/2022 11:48
adetokunbo,,Adetokunbo,,1,,5/9/2022 11:48
adhiambo,,Adhiambo,,1,,5/9/2022 11:48
adisa,,Adisa,,1,,5/9/2022 11:48
adjoa,,Adjoa,,1,,5/9/2022 11:48
adwoa,,Adwoa,,1,,5/9/2022 11:48
adzo,,Adzo,,1,,5/9/2022 11:48
afi,,Afi,,1,,5/9/2022 11:48
afia,,Afia,,4,,5/9/2022 11:48
afua,,Afua,,1,,5/9/2022 11:48
aïchatou,,Aïchatou,,1,,5/9/2022 11:48
aisha,,Aisha,,1,,5/9/2022 11:48
aishatu,,Aishatu,,1,,5/9/2022 11:48
aïssa,,Aïssa,,1,,5/9/2022 11:48
aïssatou,,Aïssatou,,1,,5/9/2022 11:48
akachi,,Akachi,,1,,5/9/2022 11:48
akinyi,,Akinyi,,1,,5/9/2022 11:48
akosua,,Akosua,,1,,5/9/2022 11:48
akpofure,,Akpofure,,1,,5/9/2022 11:48
aku,,Aku,,1,,5/9/2022 11:48
akua,,Akua,,1,,5/9/2022 11:48
akuchi,,Akuchi,,1,,5/9/2022 11:48
alaba,,Alaba,,1,,5/9/2022 11:48
alemayehu,,Alemayehu,,1,,5/9/2022 11:48
alheri,,Alheri,,1,,5/9/2022 11:48
alinafe,,Alinafe,,1,,5/9/2022 11:48
ama,,Ama,,1,,5/9/2022 11:48
amadi,,Amadi,,4,,5/9/2022 11:48
amahle,,Amahle,,1,,5/9/2022 11:48
amaka,,Amaka,,1,,5/9/2022 11:48
amara,,Amara,,8,,5/9/2022 11:48
amarachi,,Amarachi,,1,,5/9/2022 11:48
amina,,Amina,,1,,5/9/2022 11:48
aminata,,Aminata,,1,,5/9/2022 11:48
aminatou,,Aminatou,,1,,5/9/2022 11:48
amogelang,,Amogelang,,1,,5/9/2022 11:48
amondi,,Amondi,,1,,5/9/2022 11:48
amrit,,Amrit,,1,,5/9/2022 11:48
anan,,Anan,,1,,5/9/2022 11:48
andile,,Andile,,1,,5/9/2022 11:48
anuli,,Anuli,,1,,5/9/2022 11:48
asabe,,Asabe,,1,,5/9/2022 11:48
asha,,Asha,,1,,5/14/2024 15:46
ashanti,,Ashanti,,7,,5/14/2024 15:46
ashura,,Ashura,,1,,5/14/2024 15:46
asma'u,,Asma'u,,1,,5/14/2024 15:46
atieno,,Atieno,,1,,5/14/2024 15:46
awa,,Awa,,1,,5/14/2024 15:46
awiti,,Awiti,,1,,5/14/2024 15:46
awotwi,,Awotwi,,1,,5/14/2024 15:46
ayaan,,Ayaan,,1,,5/14/2024 15:46
ayah,,Ayah,,3,,5/14/2024 15:46
ayan,,Ayan,,1,,5/14/2024 15:46
ayanda,,Ayanda,,1,,5/14/2024 15:46
ayanna,,Ayanna,,3,,5/14/2024 15:46
ayo,,Ayo,,3,,5/14/2024 15:46
ayodele,,Ayodele,,9,,5/14/2024 15:46
ayomide,,Ayomide,,1,,5/14/2024 15:46
ayotunde,,Ayotunde,,1,,5/14/2024 15:46
baako,,Baako,,1,,5/14/2024 15:46
babirye,,Babirye,,1,,5/14/2024 15:46
bahati,,Bahati,,1,,5/14/2024 15:46
bamidele,,Bamidele,,1,,5/14/2024 15:46
bandile,,Bandile,,1,,5/14/2024 15:46
banele,,Banele,,1,,5/14/2024 15:46
berhane,,Berhane,,1,,5/14/2024 15:46
bilkisu,,Bilkisu,,1,,5/14/2024 15:46
boipelo,,Boipelo,,1,,5/14/2024 15:46
boitumelo,,Boitumelo,,1,,5/14/2024 15:46
bolanle,,Bolanle,,1,,5/14/2024 15:46
bonolo,,Bonolo,,1,,5/14/2024 15:46
bontu,,Bontu,,1,,5/14/2024 15:46
bose,,Bose,,1,,5/14/2024 15:46
bosede,,Bosede,,1,,5/14/2024 15:46
buhle,,Buhle,,1,,5/14/2024 15:46
bukola,,Bukola,,1,,5/14/2024 15:46
businge,,Businge,,1,,5/14/2024 15:46
cadance,,Cadance,,1,,5/14/2024 15:46
candice,,Candice,,1,,5/14/2024 15:46
charlize,,Charlize,,1,,5/14/2024 15:46
chausiku,,Chausiku,,1,,5/14/2024 15:46
chi,,Chi,Chichi,1,,5/14/2024 15:46
chiamaka,,Chiamaka,Chichi,1,,5/14/2024 15:46
chibuzo,,Chibuzo,Chichi,1,,5/14/2024 15:46
chichi,,Chichi,Chichi,1,,5/14/2024 15:46
chidi,,Chidi,Chichi,1,,5/14/2024 15:46
chidiebele,,Chidiebele,Chichi,1,,5/14/2024 15:46
chidiebere,,Chidiebere,Chichi,1,,5/14/2024 15:46
chidiebube,,Chidiebube,Chichi,1,,5/14/2024 15:46
chidimma,,Chidimma,Chichi,1,,5/14/2024 15:46
chidinma,,Chidinma,Chichi,1,,5/14/2024 15:46
chidubem,,Chidubem,Chichi,1,,5/14/2024 15:46
chiemeka,,Chiemeka,Chichi,1,,5/14/2024 15:46
chifundo,,Chifundo,Chichi,1,,5/14/2024 15:46
chifuniro,,Chifuniro,Chichi,1,,5/14/2024 15:46
chigozie,,Chigozie,Chichi,1,,5/14/2024 15:46
chijindum,,Chijindum,Chichi,1,,5/14/2024 15:46
chika,,Chika,Chichi,1,,5/14/2024 15:46
chikelu,,Chikelu,Chichi,1,,5/14/2024 15:46
chikere,,Chikere,Chichi,1,,5/14/2024 15:46
chikondi,,Chikondi,Chichi,1,,5/14/2024 15:46
