Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
—,—,—,—,—,—,—
abanu,,Abanu,,3,,5/9/2022 11:48
ajani,,Ajani,,2,,5/9/2022 11:48
akello,,Akello,,10,,5/9/2022 11:48
amari,,Amari,,9,,5/9/2022 11:48
azizi,,Azizi,,7,,5/9/2022 11:48
barack,,Barack,,9,,5/9/2022 11:48
ebo,,Ebo,,4,,5/9/2022 11:48
garian,,Garian,,1,,5/9/2022 11:48
haji,,Haji,,3,,5/9/2022 11:48
iniko,,Iniko,,1,,5/9/2022 11:48
kato,,Kato,,6,,5/9/2022 11:48
kojo,,Kojo,,5,,5/9/2022 11:48
odion,,Odion,,8,,5/9/2022 11:48
okello,,Okello,,9,,5/9/2022 11:48
omari,,Omari,,8,,5/9/2022 11:48
shango,,Shango,,1,,5/9/2022 11:48
taye,,Taye,,3,,5/9/2022 11:48
zesiro,,Zesiro,,1,,5/9/2022 11:48
adisa,,Adisa,,3,,5/9/2022 11:48
akachi,,Akachi,,3,,5/9/2022 11:48
ayo,,Ayo,,3,,5/9/2022 11:48
amare,,Amare,,5,,5/9/2022 11:48
ayodele,,Ayodele,,5,,5/9/2022 11:48
baako,,Baako,,3,,5/9/2022 11:48
babatunde,,Babatunde,,2,,5/9/2022 11:48
cayman,,Cayman,,7,,5/9/2022 11:48
berko,,Berko,,5,,5/9/2022 11:48
chidike,,Chidike,Chidi,9,,5/9/2022 11:48
chuks,,Chuks,,6,,5/9/2022 11:48
dakarai,,Dakarai,Dak,4,,5/9/2022 11:48
femi,,Femi,,3,,5/9/2022 11:48
emeka,,Emeka,,1,,5/9/2022 11:48
imamu,,Imamu,,1,,5/9/2022 11:48
imari,,Imari,,3,,5/9/2022 11:48
jabari,,Jabari,,1,,5/9/2022 11:48
jaheem,,Jaheem,,3,,5/9/2022 11:48
jaz,,Jaz,,7,,5/9/2022 11:48
jelani,,Jelani,,7,,5/9/2022 11:48
kanye,,Kanye,,10,,5/9/2022 11:48
keyon,,Keyon,,7,,5/9/2022 11:48
khari,,Khari,,7,,5/9/2022 11:48
kofi,,Kofi,,5,,5/9/2022 11:48
kwame,,Kwame,,8,,5/9/2022 11:48
kwanza,,Kwanza,,3,,5/9/2022 11:48
lekan,,Lekan,,5,,5/9/2022 11:48
mosi,,Mosi,,5,,5/9/2022 11:48
simba,,Simba,,7,,5/9/2022 11:48
talib,,Talib,,9,,5/9/2022 11:48
tuma,,Tuma,,6,,5/9/2022 11:48
wekesa,,Wekesa,,3,,5/9/2022 11:48
zaire,,Zaire,,8,,5/9/2022 11:48
,,Aadan,,,,
,,Aamadu,,,,
,,Abdou,,,,
,,Abdoul,,,,
,,Abdoulaye,,,,
,,Abdullaahi,,,,
,,Abdullahi,,,,
,,Abidemi,,,,
,,Abimbola,,,,
,,Abiodun,,,,
,,Abiola,,,,
,,Abioye,,,,
,,Aboubacar,,,,
,,Abubakar,,,,
,,Adamou,,,,
,,Ade,,,,
,,Adebayo,,,,
,,Adebola,,,,
,,Adebowale,,,,
,,Adedayo,,,,
,,Adegoke,,,,
,,Adekunle,,,,
,,Ademola,,,,
,,Adeola,,,,
,,Adetokunbo,,,,
,,Adewale,,,,
,,Afolabi,,,,
,,Ahmadu,,,,
,,Akli,,,,
,,Akpan,,,,
,,Akpofure,,,,
,,Akuchi,,,,
,,Alaba,,,,
,,Alassane,,,,
,,Alemayehu,,,,
,,Alhaji,,,,
,,Alhassan,,,,
,,Alinafe,,,,
,,Aliyu,,,,
,,Amadi,,,,
,,Amadou,,,,
,,Amadu,,,,
,,Amahle,,,,
,,Amastan,,,,
,,Amayas,,,,
,,Ameqran,,,,
,,Aminu,,,,
,,Amogelang,,,,
,,Anan,,,,
,,Andile,,,,
,,Awotwi,,,,
,,Axmed,,,,
,,Ayana,,,,
,,Ayanda,,,,
,,Ayele,,,,
,,Ayokunle,,,,
,,Ayomide,,,,
,,Ayotunde,,,,
,,Ayuba,,,,
,,Azbuike,,,,
,,Babajide,,,,
,,Bahati,,,,
,,Bakari,,,,
,,Balarabe,,,,
,,Bamidele,,,,
,,Bandile,,,,
,,Banele,,,,
,,Baraka,,,,
,,Bekele,,,,
,,Bello,,,,
,,Bereket,,,,
,,Berhane,,,,
,,Berhanu,,,,
,,Bitrus,,,,
,,Boipelo,,,,
,,Boitumelo,,,,
,,Bongani,,,,
,,Boubacar,,,,
,,Braam,,,,
,,Buhle,,,,
,,Bukar,,,,
,,Businge,,,,
,,Cabdiraxmaan,,,,
,,Cabdullaahi,,,,
,,Cabdulqaadir,,,,
,,Cali,,,,
,,Chi,,,,
,,Chibueze,,,,
,,Chibuike,,,,
,,Chibuzo,,,,
,,Chidi,,,,
,,Chidiebele,,,,
,,Chidiebere,,,,
,,Chidiebube,,,,
,,Chidiegwu,,,,
,,Chidubem,,,,
,,Chiemeka,,,,
,,Chifundo,,,,
,,Chifuniro,,,,
,,Chigozie,,,,
,,Chijindum,,,,
,,Chijioke,,,,
,,Chika,,,,
,,Chike,,,,
,,Chikelu,,,,
,,Chikere,,,,
,,Chikondi,,,,
,,Chikumbutso,,,,
,,Chima,,,,
,,Chimezie,,,,
,,Chimwala,,,,
,,Chimwemwe,,,,
,,Chinedu,,,,
,,Chinonso,,,,
,,Chinweike,,,,
,,Chinwendu,,,,
,,Chinweuba,,,,
,,Chipiliro,,,,
,,Chisom,,,,
,,Chisomo,,,,
,,Chiumbo,,,,
,,Chiyembekezo,,,,
,,Chizoba,,,,
,,Chukwudi,,,,
,,Chukwuebuka,,,,
,,Chukwuemeka,,,,
,,Chukwuma,,,,
,,Cismaan,,,,
,,Cusmaan,,,,
,,Dada,,,,
,,Dalitso,,,,
,,Danjuma,,,,
,,Danladi,,,,
,,Danlami,,,,
,,Dawit,,,,
,,Dayo,,,,
,,Dejen,,,,
,,Desta,,,,
,,Dubaku,,,,
,,Dumi,,,,
,,Dumisani,,,,
,,Ebrima,,,,
,,Ebuka,,,,
,,Efe,,,,
,,Efemena,,,,
,,Ejike,,,,
,,Ejiro,,,,
,,Ejiroghene,,,,
,,Ekene,,,,
,,Ekenedilichukwu,,,,
,,Ekundayo,,,,
,,Ekwueme,,,,
,,Elias,,,,
,,Eliud,,,,
,,Emem,,,,
,,Eniola,,,,
,,Enitan,,,,
,,Enu,,,,
,,Enyiannaya,,,,
,,Enzokuhle,,,,
,,Ermias,,,,
,,Ese,,,,
,,Eseoghene,,,,
,,Eskender,,,,
,,Eskinder,,,,
,,Faarax,,,,
,,Fadhili,,,,
,,Farai,,,,
,,Faraji,,,,
,,Fatsani,,,,
,,Filbert,,,,
,,Folami,,,,
,,Fumnanya,,,,
,,Fungai,,,,
,,Gadisa,,,,
,,Ganizani,,,,
,,Gudina,,,,
,,Gwandoya,,,,
,,Hamisi,,,,
,,Hamisu,,,,
,,Haron,,,,
,,Harouna,,,,
,,Haruna,,,,
,,Ibrahim,,,,
,,Ibrahima,,,,
,,Idir,,,,
,,Idowu,,,,
,,Idrissa,,,,
,,Ifa,,,,
,,Ife,,,,
,,Ifeanyi,,,,
,,Ifeanyichukwu,,,,
,,Ifiok,,,,
,,Ige,,,,
,,Ikechukwu,,,,
,,Ikenna,,,,
,,Imani,,,,
,,Ime,,,,
,,Iniobong,,,,
,,Inyene,,,,
,,Isingoma,,,,
,,Issouf,,,,
,,Issoufou,,,,
,,Itai,,,,
,,Itoro,,,,
,,Itri,,,,
,,Itumeleng,,,,
,,Izem,,,,
,,Jatau,,,,
,,Jaylaani,,,,
,,Jengo,,,,
,,Jugurtha,,,,
,,Juma,,,,
,,Jumanne,,,,
,,Kabelo,,,,
,,Kagiso,,,,
,,Kamau,,,,
,,Karabo,,,,
,,Kariuki,,,,
,,Katlego,,,,
,,Katleho,,,,
,,Kayin,,,,
,,Kayode,,,,
,,Kebede,,,,
,,Kefilwe,,,,
,,Kehinde,,,,
,,Kelebogile,,,,
,,Kelechi,,,,
,,Kgosi,,,,
,,Khumbo,,,,
,,Kibwe,,,,
,,Kirabo,,,,
,,Kisembo,,,,
,,Kobina,,,,
,,Kodjo,,,,
,,Koffi,,,,
,,Kokou,,,,
,,Komi,,,,
,,Kondwani,,,,
,,Kossi,,,,
,,Kumbukani,,,,
,,Kwabena,,,,
,,Kwadwo,,,,
,,Kwaku,,,,
,,Kwasi,,,,
,,Kweku,,,,
,,Kwesi,,,,
,,Kyauta,,,,
,,Lanre,,,,
,,Lassana,,,,
,,Lawal,,,,
,,Lawali,,,,
,,Lebogang,,,,
,,Lebohang,,,,
,,Lelisa,,,,
,,Lencho,,,,
,,Lerato,,,,
,,Lesedi,,,,
,,Lesego,,,,
,,Lethabo,,,,
,,Lethokuhle,,,,
,,Limbani,,,,
,,Limbikani,,,,
,,Lisakhanya,,,,
,,Lishan,,,,
,,Lovemore,,,,
,,Lubanzi,,,,
,,Lungile,,,,
,,Lwandle,,,,
,,Madalitso,,,,
,,Mahamadou,,,,
,,Maina,,,,
,,Makena,,,,
,,Mamadou,,,,
,,Mamadu,,,,
,,Mamman,,,,
,,Mandla,,,,
,,Mandlenkosi,,,,
,,Marijani,,,,
,,Masamba,,,,
,,Masozi,,,,
,,Massinissa,,,,
,,Mavuto,,,,
,,Mawuli,,,,
,,Mawunyo,,,,
,,Maxamed,,,,
,,Mayamiko,,,,
,,Mayeso,,,,
,,Melisizwe,,,,
,,Melokuhle,,,,
,,Minenhle,,,,
,,Modou,,,,
,,Mohamed,,,,
,,Moti,,,,
,,Moussa,,,,
,,Moustapha,,,,
,,Mphatso,,,,
,,Mpho,,,,
,,Mtendere,,,,
,,Mubiru,,,,
,,Mudiwa,,,,
,,Muhammadu,,,,
,,Muhand,,,,
,,Mukhtaar,,,,
,,Munashe,,,,
,,Munyaradzi,,,,
,,Musa,,,,
,,Mwangi,,,,
,,Mwayi,,,,
,,Mwenya,,,,
,,Nana,,,,
,,Ndidi,,,,
,,Ndubuisi,,,,
,,Neo,,,,
,,Nii,,,,
,,Njinga,,,,
,,Nkazimulo,,,,
,,Nkosana,,,,
,,Nkruma,,,,
,,Nnamdi,,,,
,,Nonso,,,,
,,Nqobile,,,,
,,Nsia,,,,
,,Nsonowa,,,,
,,Nthanda,,,,
,,Nuur,,,,
,,Nyongesa,,,,
,,Nzinga,,,,
,,Obi,,,,
,,Obinna,,,,
,,Ochieng,,,,
,,Odhiambo,,,,
,,Oghenekaro,,,,
,,Oghenekevwe,,,,
,,Oghenero,,,,
,,Ogochukwu,,,,
,,Okafor,,,,
,,Okechukwu,,,,
,,Okeke,,,,
,,Okonkwo,,,,
,,Okorie,,,,
,,Okoro,,,,
,,Okuhle,,,,
,,Ola,,,,
,,Olabode,,,,
,,Olalekan,,,,
,,Olamide,,,,
,,Olamilekan,,,,
,,Olanrewaju,,,,
,,Olawale,,,,
,,Olayinka,,,,
,,Olu,,,,
,,Olufemi,,,,
,,Olujimi,,,,
,,Olukayode,,,,
,,Olumide,,,,
,,Olusegun,,,,
,,Olusola,,,,
,,Oluwafemi,,,,
,,Oluwasegun,,,,
,,Oluwaseun,,,,
,,Oluwaseyi,,,,
,,Oluwatoyin,,,,
,,Omondi,,,,
,,Omphile,,,,
,,Onalerona,,,,
,,Oni,,,,
,,Onyebuchi,,,,
,,Onyeka,,,,
,,Onyekachi,,,,
,,Onyekachukwu,,,,
,,Opeyemi,,,,
,,Otieno,,,,
,,Otobong,,,,
,,Oumar,,,,
,,Oumarou,,,,
,,Ousmane,,,,
,,Oyibo,,,,
,,Pemphero,,,,
,,Penjani,,,,
,,Pilirani,,,,
,,Rabiu,,,,
,,Rajabu,,,,
,,Ramadhani,,,,
,,Refilwe,,,,
,,Rethabile,,,,
,,Rudo,,,,
,,Rutendo,,,,
,,Salisu,,,,
,,Samuel,,,,
,,Samwel,,,,
,,Sandile,,,,
,,Sani,,,,
,,Sefu,,,,
,,Segun,,,,
,,Sekani,,,,
,,Seydou,,,,
,,Shabani,,,,
,,Shehu,,,,
,,Sibonakaliso,,,,
,,Sibusiso,,,,
,,Sidiki,,,,
,,Sifiso,,,,
,,Simiyu,,,,
,,Sipho,,,,
,,Siphosethu,,,,
,,Sisay,,,,
,,Sithembile,,,,
,,Siyabonga,,,,
,,Sizwe,,,,
,,Souleymane,,,,
,,Tadesse,,,,
,,Tafadzwa,,,,
,,Tafari,,,,
,,Taiwo,,,,
,,Takondwa,,,,
,,Tamandani,,,,
,,Tamrat,,,,
,,Taonga,,,,
,,Tariku,,,,
,,Tatenda,,,,
,,Tau,,,,
,,Taurai,,,,
,,Tebogo,,,,
,,Teboho,,,,
,,Temitope,,,,
,,Tendai,,,,
,,Tesfaye,,,,
,,Tewodros,,,,
,,Thabang,,,,
,,Thabani,,,,
,,Thabo,,,,
,,Thando,,,,
,,Thato,,,,
,,Themba,,,,
,,Thinashe,,,,
,,Thoko,,,,
,,Thokozani,,,,
,,Thulani,,,,
,,Tichaona,,,,
,,Tionge,,,,
,,Tiwonge,,,,
,,Tiyamike,,,,
,,Tjaart,,,,
,,Tochukwu,,,,
,,Toyin,,,,
,,Tshepo,,,,
,,Tumaini,,,,
