Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
— ,— ,— ,— ,— ,— ,— 
abamutele,,Abamutele,,1,,5/9/2022 11:48
abanda,,Abanda,,1,,5/9/2022 11:48
abara,,Abara,,1,,5/9/2022 11:48
abdulkadir,,Abdulkadir,,1,,5/9/2022 11:48
abdullahi,,Abdullahi,,1,,5/9/2022 11:48
abega,,Abega,,1,,5/9/2022 11:48
aberra,,Aberra,,1,,5/9/2022 11:48
abimbola,,Abimbola,,1,,5/9/2022 11:48
abiola,,Abiola,,1,,5/9/2022 11:48
abubakar,,Abubakar,,1,,5/9/2022 11:48
achebe,,Achebe,,1,,5/9/2022 11:48
achike,,Achike,,1,,5/9/2022 11:48
acholonu,,Acholonu,,1,,5/9/2022 11:48
adama,,Adama,,1,,5/9/2022 11:48
adebayo,,Adebayo,,1,,5/9/2022 11:48
adebobajo,,Adebobajo,,1,,5/9/2022 11:48
adediran,,Adediran,,1,,5/9/2022 11:48
adedire,,Adedire,,1,,5/9/2022 11:48
adegbamigbe,,Adegbamigbe,,1,,5/9/2022 11:48
adejugbe,,Adejugbe,,1,,5/9/2022 11:48
adejuyigbe,,Adejuyigbe,,1,,5/9/2022 11:48
adekugbe,,Adekugbe,,1,,5/9/2022 11:48
adeliji,,Adeliji,,1,,5/9/2022 11:48
adeoye,,Adeoye,,1,,5/9/2022 11:48
aderemi,,Aderemi,,1,,5/9/2022 11:48
adesina,,Adesina,,1,,5/9/2022 11:48
adeyemi,,Adeyemi,,1,,5/9/2022 11:48
adeyemo,,Adeyemo,,1,,5/9/2022 11:48
adichie,,Adichie,,1,,5/9/2022 11:48
adindu,,Adindu,,1,,5/9/2022 11:48
adisa,,Adisa,,1,,5/9/2022 11:48
agbaeze,,Agbaeze,,1,,5/9/2022 11:48
agbara,,Agbara,,1,,5/9/2022 11:48
agha,,Agha,,1,,5/9/2022 11:48
aghedo,,Aghedo,,1,,5/9/2022 11:48
agughalam,,Agughalam,,1,,5/9/2022 11:48
agulanna,,Agulanna,,1,,5/9/2022 11:48
aguta,,Aguta,,1,,5/9/2022 11:48
agwuegbo,,Agwuegbo,,1,,5/9/2022 11:48
ahidjo,,Ahidjo,,1,,5/9/2022 11:48
ajayi,,Ajayi,,1,,5/9/2022 11:48
ajewole,,Ajewole,,1,,5/9/2022 11:48
ajoku,,Ajoku,,1,,5/9/2022 11:48
akaneme,,Akaneme,,1,,5/9/2022 11:48
akharame,,Akharame,,1,,5/9/2022 11:48
akinleye,,Akinleye,,1,,5/9/2022 11:48
akinyemi,,Akinyemi,,1,,5/9/2022 11:48
aku,,Aku,,1,,5/9/2022 11:48
akunna,,Akunna,,1,,5/9/2022 11:48
alaba,,Alaba,,1,,5/9/2022 11:48
aladejana,,Aladejana,,1,,5/9/2022 11:48
aladelusi,,Aladelusi,,1,,5/9/2022 11:48
alademomi,,Alademomi,,1,,5/9/2022 11:48
aladesanmi,,Aladesanmi,,1,,5/9/2022 11:48
alaeze,,Alaeze,,1,,5/9/2022 11:48
alaneme,,Alaneme,,1,,5/9/2022 11:48
alfa,,Alfa,,1,,5/9/2022 11:48
alimi,,Alimi,,1,,5/9/2022 11:48
aliyu,,Aliyu,,1,,5/9/2022 11:48
alolo,,Alolo,,1,,5/9/2022 11:48
ama,,Ama,,1,,5/9/2022 11:48
amadi,,Amadi,,1,,5/9/2022 11:48
amaechi,,Amaechi,,1,,5/9/2022 11:48
amaefula,,Amaefula,,1,,5/9/2022 11:48
amah,,Amah,,1,,5/9/2022 11:48
amaike,,Amaike,,1,,5/9/2022 11:48
amarachi,,Amarachi,,1,,5/9/2022 11:48
amenu,,Amenu,,1,,5/9/2022 11:48
amobi,,Amobi,,1,,5/9/2022 11:48
amusan-an,,Amusan-an,,1,,5/9/2022 11:48
anabaraonye,,Anabaraonye,,1,,5/9/2022 11:48
anaele,,Anaele,,1,,5/9/2022 11:48
andosie,,Andosie,,1,,5/9/2022 11:48
anichebe,,Anichebe,,1,,5/9/2022 11:48
aniefuna,,Aniefuna,,1,,5/9/2022 11:48
anokwuru,,Anokwuru,,1,,5/9/2022 11:48
anosike,,Anosike,,1,,5/9/2022 11:48
anuoru,,Anuoru,,1,,5/9/2022 11:48
anyadike,,Anyadike,,1,,5/9/2022 11:48
aragberi,,Aragberi,,1,,5/9/2022 11:48
arojojoye,,Arojojoye,,1,,5/9/2022 11:48
asante,,Asante,,1,,5/9/2022 11:48
asiegbu,,Asiegbu,,1,,5/9/2022 11:48
asika,,Asika,,1,,5/9/2022 11:48
asinobi,,Asinobi,,1,,5/9/2022 11:48
asota,,Asota,,1,,5/9/2022 11:48
atanneye,,Atanneye,,1,,5/9/2022 11:48
ateak,,Ateak,,1,,5/9/2022 11:48
atuche,,Atuche,,1,,5/9/2022 11:48
atuegbu,,Atuegbu,,1,,5/9/2022 11:48
atusiemobi,,Atusiemobi,,1,,5/9/2022 11:48
audu,,Audu,,1,,5/9/2022 11:48
awachie,,Awachie,,1,,5/9/2022 11:48
awobuluyi,,Awobuluyi,,1,,5/9/2022 11:48
awodiran,,Awodiran,,1,,5/9/2022 11:48
awolowo,,Awolowo,,1,,5/9/2022 11:48
awoyale,,Awoyale,,1,,5/9/2022 11:48
awujo,,Awujo,,1,,5/9/2022 11:48
ayandiran,,Ayandiran,,1,,5/9/2022 11:48
azuh,,Azuh,,1,,5/9/2022 11:48
azuka,,Azuka,,1,,5/9/2022 11:48
azunna,,Azunna,,1,,5/9/2022 11:48
ba,,Ba,,1,,5/9/2022 11:48
bâ,,Bâ,,1,,5/9/2022 11:48
babangida,,Babangida,,1,,5/9/2022 11:48
bah,,Bah,,1,,5/9/2022 11:48
bakare,,Bakare,,1,,5/9/2022 11:48
ballo,,Ballo,,1,,5/9/2022 11:48
balogun,,Balogun,,1,,5/9/2022 11:48
bankole,,Bankole,,1,,5/9/2022 11:48
baruti,,Baruti,,1,,5/9/2022 11:48
bassey,,Bassey,,1,,5/9/2022 11:48
bello,,Bello,,1,,5/9/2022 11:48
berhe,,Berhe,,1,,5/9/2022 11:48
biro,,Biro,,1,,5/9/2022 11:48
bockarie,,Bockarie,,1,,5/9/2022 11:48
bolaji,,Bolaji,,1,,5/9/2022 11:48
boumal,,Boumal,,1,,5/9/2022 11:48
chi,,Chi,,1,,5/9/2022 11:48
chibuchi,,Chibuchi,,1,,5/9/2022 11:48
chibuzor,,Chibuzor,,1,,5/9/2022 11:48
chidera,,Chidera,,1,,5/9/2022 11:48
chidozie,,Chidozie,,1,,5/9/2022 11:48
chiegbu,,Chiegbu,,1,,5/9/2022 11:48
chike,,Chike,,1,,5/9/2022 11:48
chinelo,,Chinelo,,1,,5/9/2022 11:48
chinka,,Chinka,,1,,5/9/2022 11:48
chinonso,,Chinonso,,1,,5/9/2022 11:48
chinwe,,Chinwe,,1,,5/9/2022 11:48
chisom,,Chisom,,1,,5/9/2022 11:48
chuke,,Chuke,,1,,5/9/2022 11:48
chukwedumebi,,Chukwedumebi,,1,,5/9/2022 11:48
chukwu,,Chukwu,,1,,5/9/2022 11:48
chukwudi,,Chukwudi,,1,,5/9/2022 11:48
chukwuebuka,,Chukwuebuka,,1,,5/9/2022 11:48
chukwuebunam,,Chukwuebunam,,1,,5/9/2022 11:48
chukwuemeka,,Chukwuemeka,,1,,5/14/2024 23:40
chukwuemelam,,Chukwuemelam,,1,,5/14/2024 23:40
chukwumerije,,Chukwumerije,,1,,5/14/2024 23:40
chukwunyelu,,Chukwunyelu,,1,,5/14/2024 23:40
cissé,,Cissé,,1,,5/14/2024 23:40
cisse,,Cisse,,1,,5/14/2024 23:40
conde,,Conde,,1,,5/14/2024 23:40
contee,,Contee,,1,,5/14/2024 23:40
conteh,,Conteh,,1,,5/14/2024 23:40
daberechi,,Daberechi,,1,,5/14/2024 23:40
danjuma,,Danjuma,,1,,5/14/2024 23:40
dara,,Dara,,1,,5/14/2024 23:40
daramy,,Daramy,,1,,5/14/2024 23:40
dembélé,,Dembélé,,1,,5/14/2024 23:40
diabaté,,Diabaté,,1,,5/14/2024 23:40
diallo,,Diallo,,1,,5/14/2024 23:40
diaw,,Diaw,,1,,5/14/2024 23:40
diawara,,Diawara,,1,,5/14/2024 23:40
diri,,Diri,,1,,5/14/2024 23:40
dirie,,Dirie,,1,,5/14/2024 23:40
djal�,,Djal�,,1,,5/14/2024 23:40
dosunmu,,Dosunmu,,1,,5/14/2024 23:40
dozie,,Dozie,,1,,5/14/2024 23:40
duale,,Duale,,1,,5/14/2024 23:40
dualeh,,Dualeh,,1,,5/14/2024 23:40
dungamaeze,,Dungamaeze,,1,,5/14/2024 23:40
duru,,Duru,,1,,5/14/2024 23:40
duruaku,,Duruaku,,1,,5/14/2024 23:40
duruji,,Duruji,,1,,5/14/2024 23:40
ebi,,Ebi,,1,,5/14/2024 23:40
ebigide,,Ebigide,,1,,5/14/2024 23:40
ebor,,Ebor,,1,,5/14/2024 23:40
ebujo,,Ebujo,,1,,5/14/2024 23:40
echem,,Echem,,1,,5/14/2024 23:40
echetabu,,Echetabu,,1,,5/14/2024 23:40
echikunwoke,,Echikunwoke,,1,,5/14/2024 23:40
edem,,Edem,,1,,5/14/2024 23:40
edemaruku,,Edemaruku,,1,,5/14/2024 23:40
edochie,,Edochie,,1,,5/14/2024 23:40
edolasim,,Edolasim,,1,,5/14/2024 23:40
edozie,,Edozie,,1,,5/14/2024 23:40
edoziem,,Edoziem,,1,,5/14/2024 23:40
egal,,Egal,,1,,5/14/2024 23:40
eguminyo,,Eguminyo,,1,,5/14/2024 23:40
ehioma,,Ehioma,,1,,5/14/2024 23:40
ejikeme,,Ejikeme,,1,,5/14/2024 23:40
ejiofor,,Ejiofor,,1,,5/14/2024 23:40
ejofor,,Ejofor,,1,,5/14/2024 23:40
ekezie,,Ekezie,,1,,5/14/2024 23:40
ekpo,,Ekpo,,1,,5/14/2024 23:40
emeagwali,,Emeagwali,,1,,5/14/2024 23:40
emekachukwu,,Emekachukwu,,1,,5/14/2024 23:40
emenike,,Emenike,,1,,5/14/2024 23:40
emeto,,Emeto,,1,,5/14/2024 23:40
emezie,,Emezie,,1,,5/14/2024 23:40
ene,,Ene,,1,,5/14/2024 23:40
enonchong,,Enonchong,,1,,5/14/2024 23:40
eregbu,,Eregbu,,1,,5/14/2024 23:40
esiokwu,,Esiokwu,,1,,5/14/2024 23:40
esubiyii,,Esubiyii,,1,,5/14/2024 23:40
eze,,Eze,,1,,5/14/2024 23:40
ezeana,,Ezeana,,1,,5/14/2024 23:40
ezeani,,Ezeani,,1,,5/14/2024 23:40
ezeilo,,Ezeilo,,1,,5/14/2024 23:40
ezeji,,Ezeji,,1,,5/14/2024 23:40
ezejiofor,,Ezejiofor,,1,,5/14/2024 23:40
ezemonye,,Ezemonye,,1,,5/14/2024 23:40
ezenwa,,Ezenwa,,1,,5/14/2024 23:40
ezeogba,,Ezeogba,,1,,5/14/2024 23:40
ezeona,,Ezeona,,1,,5/14/2024 23:40
ezeude,,Ezeude,,1,,5/14/2024 23:40
ezumezu,,Ezumezu,,1,,5/14/2024 23:40
fadorolemi,,Fadorolemi,,1,,5/14/2024 23:40
fagunwa,,Fagunwa,,1,,5/14/2024 23:40
fall,,Fall,,1,,5/14/2024 23:40
folawiyo,,Folawiyo,,1,,5/14/2024 23:40
gambari,,Gambari,,1,,5/14/2024 23:40
ganiyu,,Ganiyu,,1,,5/14/2024 23:40
garanganga,,Garanganga,,1,,5/14/2024 23:40
gbadamosi,,Gbadamosi,,1,,5/14/2024 23:40
gisanrin,,Gisanrin,,1,,5/14/2024 23:40
gwadabe,,Gwadabe,,1,,5/14/2024 23:40
harouna,,Harouna,,1,,5/14/2024 23:40
hassan,,Hassan,,1,,5/14/2024 23:40
hatendi,,Hatendi,,1,,5/14/2024 23:40
hodan,,Hodan,,1,,5/14/2024 23:40
ibaka,,Ibaka,,1,,5/14/2024 23:40
ibe,,Ibe,,1,,5/14/2024 23:40
ibeabuchi,,Ibeabuchi,,1,,5/14/2024 23:40
ibeh,,Ibeh,,1,,5/14/2024 23:40
ibekwe,,Ibekwe,,1,,5/14/2024 23:40
ibem,,Ibem,,1,,5/14/2024 23:40
ibenye,,Ibenye,,1,,5/14/2024 23:40
ibuchukwu,,Ibuchukwu,,1,,5/14/2024 23:40
idowu,,Idowu,,1,,5/14/2024 23:40
idozuka,,Idozuka,,1,,5/14/2024 23:40
ifabunmi,,Ifabunmi,,1,,5/14/2024 23:40
ifadiran,,Ifadiran,,1,,5/14/2024 23:40
ifalaye,,Ifalaye,,1,,5/14/2024 23:40
ifamimikomi,,Ifamimikomi,,1,,5/14/2024 23:40
ifayemi,,Ifayemi,,1,,5/14/2024 23:40
ife,,Ife,,1,,5/14/2024 23:40
ifechukwude,,Ifechukwude,,1,,5/14/2024 23:40
ifediora,,Ifediora,,1,,5/14/2024 23:40
ifedyke,,Ifedyke,,1,,5/14/2024 23:40
igwe,,Igwe,,1,,5/14/2024 23:40
igweze,,Igweze,,1,,5/14/2024 23:40
iheme,,Iheme,,1,,5/14/2024 23:40
