Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
â€” ,â€” ,â€” ,â€” ,â€” ,â€” ,â€” 
alexandra,,Alexandra,,7,,5/9/2022 11:48
alexis,,Alexis,,8,,5/9/2022 11:48
alyssa,,Alyssa,,9,,5/9/2022 11:48
angel,,Angel,,7,,5/9/2022 11:48
aniyah,,Aniyah,,4,,5/9/2022 11:48
brianna,,Brianna,,9,,5/9/2022 11:48
chloe,,Chloe,,3,,5/9/2022 11:48
destiny,,Destiny,,9,,5/9/2022 11:48
diamond,,Diamond,,6,,5/9/2022 11:48
gabrielle,,Gabrielle,,6,,5/9/2022 11:48
hailey,,Hailey,,4,,5/9/2022 11:48
hannah,,Hannah,,5,,5/9/2022 11:48
imani,,Imani,,6,,5/9/2022 11:48
jada,,Jada,,2,,5/9/2022 11:48
jasmine,,Jasmine,Jas,7,,5/9/2022 11:48
jayla,,Jayla,,5,,5/9/2022 11:48
jordan,,Jordan,,6,,5/9/2022 11:48
kayla,,Kayla,,4,,5/9/2022 11:48
kennedy,,Kennedy,,1,,5/9/2022 11:48
kiara,,Kiara,,6,,5/9/2022 11:48
laila,,Laila,,6,,5/9/2022 11:48
madison,,Madison,Maddy,6,,5/9/2022 11:48
makayla,,Makayla,Micky,4,,5/9/2022 11:48
nevaeh,,Nevaeh,,2,,5/9/2022 11:48
sydney,,Sydney,,1,,5/9/2022 11:48
taylor,,Taylor,,1,,5/9/2022 11:48
tiana,,Tiana,,4,,5/9/2022 11:48
trinity,,Trinity,,10,,5/9/2022 11:48
abrianna,,Abrianna,,3,,5/9/2022 11:48
adalia,,Adalia,,2,,5/9/2022 11:48
adelaide,,Adelaide,,8,,5/9/2022 11:48
africa,,Africa,,5,,5/9/2022 11:48
afyia,,Afyia,,1,,5/9/2022 11:48
aiesha,,Aiesha,,4,,5/9/2022 11:48
akeiyla,,Akeiyla,,1,,5/9/2022 11:48
akira,,Akira,,10,,5/9/2022 11:48
akiriya,,Akiriya,,3,,5/9/2022 11:48
aleale,,Aleale,,3,,5/9/2022 11:48
alisa,,Alisa,,3,,5/9/2022 11:48
alisha,,Alisha,,5,,5/9/2022 11:48
althea,,Althea,,3,,5/9/2022 11:48
amarika,,Amarika,,5,,5/9/2022 11:48
amber,,Amber,,10,,5/9/2022 11:48
angelina,,Angelina,Angie,8,,5/9/2022 11:48
angelique,,Angelique,,9,,5/9/2022 11:48
aretha,,Aretha,,3,,5/9/2022 11:48
aurelia,,Aurelia,,1,,5/9/2022 11:48
ayana,,Ayana,,1,,5/9/2022 11:48
bertena,,Bertena,,1,,5/9/2022 11:48
bertrise,,Bertrise,,1,,5/9/2022 11:48
bethany,,Bethany,Beth,3,,5/9/2022 11:48
brear,,Brear,,1,,5/9/2022 11:48
breeanne,,Breeanne,,1,,5/9/2022 11:48
breeauna,,Breeauna,,1,,5/9/2022 11:48
breelyn,,Breelyn,,1,,5/9/2022 11:48
breeon,,Breeon,,1,,5/9/2022 11:48
breona,,Breona,,1,,5/9/2022 11:48
breonia,,Breonia,,1,,5/9/2022 11:48
breyona,,Breyona,,1,,5/9/2022 11:48
brie,,Brie,,4,,5/9/2022 11:48
briona,,Briona,,1,,5/9/2022 11:48
brione,,Brione,,1,,5/9/2022 11:48
britny,,Britny,,1,,5/9/2022 11:48
bryah,,Bryah,,1,,5/9/2022 11:48
butterfly,,Butterfly,,4,,5/9/2022 11:48
cambria,,Cambria,,1,,5/9/2022 11:48
candice,,Candice,,1,,5/9/2022 11:48
candience,,Candience,,1,,5/9/2022 11:48
cantrice,,Cantrice,,1,,5/9/2022 11:48
carsandra,,Carsandra,,1,,5/9/2022 11:48
caryne,,Caryne,,1,,5/9/2022 11:48
cassandra,,Cassandra,,1,,5/9/2022 11:48
catrina,,Catrina,,1,,5/9/2022 11:48
chanise,,Chanise,,1,,5/9/2022 11:48
chantoya,,Chantoya,,1,,5/9/2022 11:48
chantrelle,,Chantrelle,,3,,5/9/2022 11:48
charlotte,,Charlotte,,5,,5/9/2022 11:48
charmaine,,Charmaine,,4,,5/9/2022 11:48
chellise,,Chellise,,1,,5/9/2022 11:48
chemier,,Chemier,,1,,5/9/2022 11:48
chrystyna,,Chrystyna,,1,,5/9/2022 11:48
cleona,,Cleona,,1,,5/9/2022 11:48
corine,,Corine,,1,,5/9/2022 11:48
cozzie,,Cozzie,,1,,5/9/2022 11:48
cyiarra,,Cyiarra,,1,,5/9/2022 11:48
daeshanda,,Daeshanda,,1,,5/9/2022 11:48
daeshawna,,Daeshawna,,1,,5/9/2022 11:48
daeshona,,Daeshona,,1,,5/9/2022 11:48
dakota,,Dakota,,5,,5/9/2022 11:48
daloris,,Daloris,,7,,5/9/2022 11:48
dana,,Dana,,1,,5/9/2022 11:48
danielle,,Danielle,Danny,6,,5/9/2022 11:48
dashawna,,Dashawna,,1,,5/9/2022 11:48
dashay,,Dashay,,1,,5/9/2022 11:48
davina,,Davina,,5,,5/9/2022 11:48
davonte,,Davonte,,1,,5/9/2022 11:48
deandra,,DeAndra,,1,,5/9/2022 11:48
debara,,Debara,,1,,5/9/2022 11:48
de-celle,,De-celle,,1,,5/9/2022 11:48
dedra,,Dedra,,1,,5/9/2022 11:48
deejay,,Deejay,,1,,5/9/2022 11:48
deisha,,Deisha,,1,,5/9/2022 11:48
delilah,,Delilah,,1,,5/9/2022 11:48
de-lisha,,De-lisha,,1,,5/9/2022 11:48
denelle,,Denelle,,1,,5/9/2022 11:48
denisha,,Denisha,,1,,5/9/2022 11:48
de-nossis,,De-nossis,,1,,5/9/2022 11:48
deshawna,,Deshawna,,1,,5/9/2022 11:48
desiree,,Desiree,,1,,5/9/2022 11:48
desreta,,Desreta,,1,,5/9/2022 11:48
devisha,,Devisha,,1,,5/9/2022 11:48
devon,,Devon,,1,,5/9/2022 11:48
de-wanda,,De-wanda,,1,,5/9/2022 11:48
dominique,,Dominique,,1,,5/9/2022 11:48
dondrea,,Dondrea,,1,,5/9/2022 11:48
donna,,Donna,,1,,5/9/2022 11:48
dorsey,,Dorsey,,1,,5/9/2022 11:48
duchess,,Duchess,,1,,5/9/2022 11:48
earlene,,Earlene,,1,,5/9/2022 11:48
ebony,,Ebony,,4,,5/9/2022 11:48
edwina,,Edwina,,1,,5/9/2022 11:48
eleasha,,Eleasha,,1,,5/9/2022 11:48
eleesha,,Eleesha,,1,,5/9/2022 11:48
elesha,,Elesha,,1,,5/9/2022 11:48
ellesha,,Ellesha,,1,,5/9/2022 11:48
elois,,Elois,,1,,5/9/2022 11:48
