Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
—,—,—,—,—,—,—
aaron,,Aaron,,2,,5/9/2022 11:48
absolan,,Absolan,,1,,5/9/2022 11:48
adrian,,Adrian,,1,,5/9/2022 11:48
adric,,Adric,,1,,5/9/2022 11:48
ajou,,Ajou,,1,,5/9/2022 11:48
akil,,Akil,,1,,5/9/2022 11:48
algernon,,Algernon,,1,,5/9/2022 11:48
alphonse,,Alphonse,,1,,5/9/2022 11:48
alwan,,Alwan,,1,,5/9/2022 11:48
amadom,,Amadom,,1,,5/9/2022 11:48
aman,,Aman,,1,,5/9/2022 11:48
amani,,Amani,,2,,5/9/2022 11:48
amber,,Amber,,1,,5/9/2022 11:48
amos,,Amos,,8,,5/9/2022 11:48
andre,,Andre,,1,,5/9/2022 11:48
andreas,,Andreas,,1,,5/9/2022 11:48
anthone,,Anthone,,1,,5/9/2022 11:48
antiere,,Antiere,,1,,5/9/2022 11:48
antoine,,Antoine,,1,,5/9/2022 11:48
antonio,,Antonio,,6,,5/9/2022 11:48
aray,,Aray,,1,,5/9/2022 11:48
arcus,,Arcus,,1,,5/9/2022 11:48
armstrong,,Armstrong,,6,,5/9/2022 11:48
autry,,Autry,,1,,5/9/2022 11:48
azibo,,Azibo,,1,,5/9/2022 11:48
baron,,Baron,,1,,5/9/2022 11:48
barrington,,Barrington,,1,,5/9/2022 11:48
bartt,,Bartt,,1,,5/9/2022 11:48
benjamin,,Benjamin,Ben,3,,5/9/2022 11:48
benton,,Benton,,1,,5/9/2022 11:48
bevaun,,Bevaun,,1,,5/9/2022 11:48
booker,,Booker,,3,,5/9/2022 11:48
bowie,,Bowie,,1,,5/9/2022 11:48
brendon,,Brendon,,1,,5/9/2022 11:48
busta,,Busta,,4,,5/9/2022 11:48
calbert,,Calbert,,3,,5/9/2022 11:48
calvin,,Calvin,,3,,5/9/2022 11:48
cameron,,Cameron,Cam,9,,5/9/2022 11:48
canard,,Canard,,1,,5/9/2022 11:48
carl,,Carl,,7,,5/9/2022 11:48
carnell,,Carnell,,1,,5/9/2022 11:48
cartier,,Cartier,,1,,5/9/2022 11:48
casim,,Casim,,1,,5/9/2022 11:48
cassius,,Cassius,,1,,5/9/2022 11:48
cavin,,Cavin,,1,,5/9/2022 11:48
chante,,Chante,,3,,5/9/2022 11:48
christopher,,Christopher,Chris,2,,5/9/2022 11:48
clarence,,Clarence,,4,,5/9/2022 11:48
clayton,,Clayton,,3,,5/9/2022 11:48
cleavant,,Cleavant,,1,,5/9/2022 11:48
cleavon,,Cleavon,,1,,5/9/2022 11:48
clement,,Clement,,1,,5/9/2022 11:48
clendon,,Clendon,,1,,5/9/2022 11:48
clester,,Clester,,1,,5/9/2022 11:48
cleveland,,Cleveland,,1,,5/9/2022 11:48
clifton,,Clifton,,1,,5/9/2022 11:48
clinton,,Clinton,,1,,5/9/2022 11:48
cody,,Cody,,1,,5/9/2022 11:48
cordell,,Cordell,,1,,5/9/2022 11:48
corey,,Corey,,3,,5/9/2022 11:48
cornelius,,Cornelius,,1,,5/9/2022 11:48
cornell,,Cornell,,1,,5/9/2022 11:48
cornia,,Cornia,,1,,5/9/2022 11:48
d'andre,,D'andre,,6,,5/9/2022 11:48
d'andrea,,D'andrea,,2,,5/9/2022 11:48
d'angelo,,D'angelo,,6,,5/9/2022 11:48
d'ante,,D'ante,,1,,5/9/2022 11:48
d'lon,,D'lon,,1,,5/9/2022 11:48
d'marco,,D'marco,,1,,5/9/2022 11:48
d'marcus,,D'marcus,,1,,5/9/2022 11:48
d'marreio,,D'marreio,,1,,5/9/2022 11:48
d'sean,,D'Sean,,1,,5/9/2022 11:48
d'shaun,,D'shaun,,1,,5/9/2022 11:48
da-jon,,Da-Jon,,1,,5/9/2022 11:48
da-juan,,Da-Juan,,1,,5/9/2022 11:48
da-shawn,,Da-Shawn,,1,,5/9/2022 11:48
daevin,,Daevin,,1,,5/9/2022 11:48
daevon,,Daevon,,1,,5/9/2022 11:48
dajon,,Dajon,,1,,5/9/2022 11:48
dajuan,,Dajuan,,1,,5/9/2022 11:48
dallan,,Dallan,,1,,5/9/2022 11:48
dallen,,Dallen,,1,,5/9/2022 11:48
dalton,,Dalton,,1,,5/9/2022 11:48
damarco,,Damarco,,1,,5/9/2022 11:48
damon,,Damon,,1,,5/9/2022 11:48
damone,,Damone,,1,,5/9/2022 11:48
dandrae,,Dandrae,,1,,5/9/2022 11:48
dandras,,Dandras,,1,,5/9/2022 11:48
dangelo,,Dangelo,,1,,5/9/2022 11:48
daquain,,Daquain,,1,,5/9/2022 11:48
darel,,Darel,,1,,5/9/2022 11:48
darell,,Darell,,1,,5/9/2022 11:48
darik,,Darik,,1,,5/9/2022 11:48
darius,,Darius,,4,,5/9/2022 11:48
darnay,,Darnay,,1,,5/9/2022 11:48
darnel,,Darnel,,3,,5/9/2022 11:48
darrian,,Darrian,,1,,5/9/2022 11:48
daryn,,Daryn,,1,,5/9/2022 11:48
dauntay,,Dauntay,,1,,5/9/2022 11:48
davian,,Davian,,1,,5/9/2022 11:48
davion,,Davion,,1,,5/9/2022 11:48
dayton,,Dayton,,1,,5/9/2022 11:48
de'ron,,De'ron,,1,,5/9/2022 11:48
de'shane,,De'Shane,,1,,5/9/2022 11:48
de'vegas,,De'vegas,,1,,5/9/2022 11:48
de-angelo,,De-Angelo,,6,,5/9/2022 11:48
de-john,,De-John,,1,,5/9/2022 11:48
de-morris,,De-Morris,,1,,5/9/2022 11:48
deaengelo,,Deaengelo,,1,,5/9/2022 11:48
deandra,,Deandra,,1,,5/9/2022 11:48
deandrae,,Deandrae,,1,,5/9/2022 11:48
deangelo,,Deangelo,,1,,5/9/2022 11:48
deaundra,,Deaundra,,1,,5/9/2022 11:48
deaven,,Deaven,,1,,5/9/2022 11:48
dedrian,,Dedrian,,1,,5/9/2022 11:48
deelon,,Deelon,,1,,5/9/2022 11:48
dejohn,,Dejohn,,1,,5/9/2022 11:48
delane,,Delane,,1,,5/9/2022 11:48
delford,,Delford,,1,,5/9/2022 11:48
dell,,Dell,,1,,5/9/2022 11:48
delmar,,Delmar,,1,,5/9/2022 11:48
delon,,Delon,,1,,5/9/2022 11:48
delonn,,Delonn,,1,,5/9/2022 11:48
delroy,,Delroy,,1,,5/9/2022 11:48
demaine,,Demaine,,1,,5/9/2022 11:48
demarion,,Demarion,,1,,5/9/2022 11:48
demery,,Demery,,1,,5/9/2022 11:48
demetrius,,Demetrius,,1,,5/9/2022 11:48
demonde,,Demonde,,1,,5/9/2022 11:48
demont,,Demont,,1,,5/9/2022 11:48
dennard,,Dennard,,1,,5/9/2022 11:48
denzel,,Denzel,,10,,5/9/2022 11:48
deole,,Deole,,1,,5/9/2022 11:48
deon,,Deon,,3,,5/9/2022 11:48
dequain,,Dequain,,1,,5/9/2022 11:48
deron,,Deron,,1,,5/9/2022 11:48
derrick,,Derrick,,1,,5/9/2022 11:48
deshane,,Deshane,,1,,5/9/2022 11:48
devain,,Devain,,1,,5/9/2022 11:48
deval,,Deval,,1,,5/9/2022 11:48
devan,,Devan,,1,,5/9/2022 11:48
deven,,Deven,,1,,5/9/2022 11:48
devondre,,Devondre,,1,,5/9/2022 11:48
devontae,,Devontae,,3,,5/9/2022 11:48
dewain,,Dewain,,1,,5/9/2022 11:48
dewan,,Dewan,,1,,5/9/2022 11:48
dexter,,Dexter,,1,,5/9/2022 11:48
diondre,,Diondre,,1,,5/9/2022 11:48
diron,,Diron,,1,,5/9/2022 11:48
dixon,,Dixon,,1,,5/9/2022 11:48
donall,,Donall,,1,,5/9/2022 11:48
dontrell,,Dontrell,,1,,5/9/2022 11:48
dorsey,,Dorsey,,1,,5/9/2022 11:48
duane,,Duane,,1,,5/9/2022 11:48
dubal,,Dubal,,1,,5/9/2022 11:48
duron,,Duron,,1,,5/9/2022 11:48
duval,,Duval,,1,,5/9/2022 11:48
eason,,Eason,,1,,5/9/2022 11:48
eddie,,Eddie,,1,,5/9/2022 11:48
edgerin,,Edgerin,,1,,5/9/2022 11:48
edward,,Edward,Ed,3,,5/9/2022 11:48
edwyn,,Edwyn,,1,,5/9/2022 11:48
eldrick,,Eldrick,,1,,5/9/2022 11:48
elton,,Elton,,1,,5/9/2022 11:48
emmet,,Emmet,,4,,5/9/2022 11:48
ennis,,Ennis,,1,,5/9/2022 11:48
ernard,,Ernard,,1,,5/9/2022 11:48
erskine,,Erskine,,1,,5/9/2022 11:48
ervan,,Ervan,,1,,5/9/2022 11:48
evander,,Evander,,1,,5/9/2022 11:48
fayard,,Fayard,,1,,5/9/2022 11:48
ferric,,Ferric,,1,,5/9/2022 11:48
garfield,,Garfield,,1,,5/9/2022 11:48
garlan,,Garlan,,1,,5/9/2022 11:48
garon,,Garon,,1,,5/9/2022 11:48
gerain,,Gerain,,1,,5/9/2022 11:48
geroy,,Geroy,,1,,5/9/2022 11:48
ghana,,Ghana,,1,,5/9/2022 11:48
glover,,Glover,,7,,5/9/2022 11:48
godrell,,Godrell,,1,,5/9/2022 11:48
grant,,Grant,,1,,5/9/2022 11:48
guyton,,Guyton,,1,,5/9/2022 11:48
hareem,,Hareem,,1,,5/9/2022 11:48
hasan,,Hasan,,1,,5/9/2022 11:48
hosea,,Hosea,,1,,5/9/2022 11:48
isiah,,Isiah,,1,,5/9/2022 11:48
ivory,,Ivory,,5,,5/9/2022 11:48
ja-ron,,Ja-ron,,1,,5/9/2022 11:48
jacoury,,Jacoury,,1,,5/9/2022 11:48
jaedyn,,Jaedyn,,1,,5/9/2022 11:48
jahquil,,Jahquil,,1,,5/9/2022 11:48
jamaall,,Jamaall,,8,,5/9/2022 11:48
jamaar,,Jamaar,,1,,5/9/2022 11:48
jamal,,Jamal,,10,,5/9/2022 11:48
jamar,,Jamar,,1,,5/9/2022 11:48
jamarco,,Jamarco,,1,,5/9/2022 11:48
jamarr,,Jamarr,,1,,5/9/2022 11:48
jamel,,Jamel,,1,,5/9/2022 11:48
jamero,,Jamero,,1,,5/9/2022 11:48
janard,,Janard,,1,,5/9/2022 11:48
janile,,Janile,,1,,5/9/2022 11:48
jaquin,,Jaquin,,10,,5/9/2022 11:48
jared,,Jared,,8,,5/9/2022 11:48
jarek,,Jarek,,1,,5/9/2022 11:48
jarel,,Jarel,,1,,5/9/2022 11:48
jarell,,Jarell,,1,,5/9/2022 11:48
jaric,,Jaric,,1,,5/9/2022 11:48
jarmarr,,Jarmarr,,1,,5/9/2022 11:48
jarrick,,Jarrick,,1,,5/9/2022 11:48
jarvis,,Jarvis,,1,,5/9/2022 11:48
jason,,Jason,,1,,5/9/2022 11:48
jaumar,,Jaumar,,1,,5/9/2022 11:48
javan,,Javan,,1,,5/9/2022 11:48
jefferson,,Jefferson,,1,,5/9/2022 11:48
jemarcus,,Jemarcus,,1,,5/9/2022 11:48
jenell,,Jenell,,1,,5/9/2022 11:48
jermain,,Jermain,,1,,5/9/2022 11:48
jermaine,,Jermaine,,1,,5/9/2022 11:48
jerom,,Jerom,,1,,5/9/2022 11:48
jerome,,Jerome,,1,,5/9/2022 11:48
jeron,,Jeron,,1,,5/9/2022 11:48
jerrick,,Jerrick,,9,,5/9/2022 11:48
jessan,,Jessan,,1,,5/9/2022 11:48
jimar,,Jimar,,1,,5/9/2022 11:48
jimarcus,,Jimarcus,,1,,5/9/2022 11:48
john,,John,,1,,5/9/2022 11:48
jolice,,Jolice,,1,,5/9/2022 11:48
jomo,,Jomo,,1,,5/9/2022 11:48
jonathon,,Jonathon,,1,,5/9/2022 11:48
jorell,,Jorell,,1,,5/9/2022 11:48
jovan,,Jovan,,1,,5/9/2022 11:48
judean,,Judean,,1,,5/9/2022 11:48
judge,,Judge,,1,,5/9/2022 11:48
kadema,,Kadema,,1,,5/9/2022 11:48
kamau,,Kamau,,1,,5/9/2022 11:48
karam,,Karam,,1,,5/9/2022 11:48
karlus,,Karlus,,1,,5/9/2022 11:48
kasen,,Kasen,,1,,5/9/2022 11:48
kaven,,Kaven,,1,,5/9/2022 11:48
kaynard,,Kaynard,,1,,5/9/2022 11:48
keandre,,Keandre,,1,,5/9/2022 11:48
keenan,,Keenan,,1,,5/9/2022 11:48
keifer,,Keifer,,1,,5/9/2022 11:48
kenard,,Kenard,,1,,5/9/2022 11:48
kendell,,Kendell,,1,,5/9/2022 11:48
kendrick,,Kendrick,,7,,5/9/2022 11:48
kenton,,Kenton,,1,,5/9/2022 11:48
kenyata,,Kenyata,,1,,5/9/2022 11:48
keon,,Keon,,1,,5/9/2022 11:48
keyair,,Keyair,,1,,5/9/2022 11:48
keyon,,Keyon,,1,,5/9/2022 11:48
kimbel,,Kimbel,,1,,5/9/2022 11:48
kojo,,Kojo,,1,,5/9/2022 11:48
kordal,,Kordal,,1,,5/9/2022 11:48
kordell,,Kordell,,1,,5/9/2022 11:48
kristion,,Kristion,,1,,5/9/2022 11:48
kunta,,Kunta,,1,,5/9/2022 11:48
kwamie,,Kwamie,,1,,5/9/2022 11:48
la-corey,,La-corey,,1,,5/9/2022 11:48
la-ron,,La-Ron,,1,,5/9/2022 11:48
