Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
—,—,—,—,—,—,—
oliver,,Oliver,Oli,4,,5/9/2022 11:48
william,,William,Will,5,,5/9/2022 11:48
jack,,Jack,,7,,5/9/2022 11:48
noah,,Noah,,1,,5/9/2022 11:48
james,,James,,6,,5/9/2022 11:48
thomas,,Thomas,Tom,7,,5/9/2022 11:48
lucas,,Lucas,,7,,5/9/2022 11:48
isaac,,Isaac,,4,,5/9/2022 11:48
ethan,,Ethan,,1,,5/9/2022 11:48
alexander,,Alexander,Alex,6,,5/9/2022 11:48
jacob,,Jacob,,8,,5/9/2022 11:48
lachlan,,Lachlan,,1,,5/9/2022 11:48
samuel,,Samuel,Sam,7,,5/9/2022 11:48
harrison,,Harrison,,3,,5/9/2022 11:48
joshua,,Joshua,Josh,4,,5/9/2022 11:48
henry,,Henry,,2,,5/9/2022 11:48
liam,,Liam,,4,,5/9/2022 11:48
cooper,,Cooper,,5,,5/9/2022 11:48
benjamin,,Benjamin,Ben,8,,5/9/2022 11:48
charlie,,Charlie,,6,,5/9/2022 11:48
mason,,Mason,,1,,5/9/2022 11:48
ryan,,Ryan,,3,,5/9/2022 11:48
max,,Max,,4,,5/9/2022 11:48
leo,,Leo,,5,,5/9/2022 11:48
oscar,,Oscar,,4,,5/9/2022 11:48
harry,,Harry,,6,,5/9/2022 11:48
levi,,Levi,,1,,5/9/2022 11:48
daniel,,Daniel,Dan,6,,5/9/2022 11:48
xavier,,Xavier,,1,,5/9/2022 11:48
logan,,Logan,,1,,5/9/2022 11:48
hunter,,Hunter,,4,,5/9/2022 11:48
jackson,,Jackson,,5,,5/9/2022 11:48
archie,,Archie,,8,,5/9/2022 11:48
sebastian,,Sebastian,Seb,6,,5/9/2022 11:48
hudson,,Hudson,,6,,5/9/2022 11:48
jayden,,Jayden,,2,,5/9/2022 11:48
george,,George,,3,,5/9/2022 11:48
elijah,,Elijah,,7,,5/9/2022 11:48
joseph,,Joseph,Joe,6,,5/9/2022 11:48
adam,,Adam,,8,,5/9/2022 11:48
riley,,Riley,,2,,5/9/2022 11:48
edward,,Edward,Ed,8,,5/9/2022 11:48
hugo,,Hugo,,1,,5/9/2022 11:48
ashton,,Ashton,Ash,5,,5/9/2022 11:48
flynn,,Flynn,,5,,5/9/2022 11:48
zachary,,Zachary,Zack,6,,5/9/2022 11:48
archer,,Archer,,5,,5/9/2022 11:48
tyler,,Tyler,,5,,5/9/2022 11:48
matthew,,Matthew,Mat,7,,5/9/2022 11:48
nate,,Nate,,4,,5/9/2022 11:48
lincoln,,Lincoln,,1,,5/9/2022 11:48
luca,,Luca,,1,,5/9/2022 11:48
nicholas,,Nicholas,Nick,6,,5/9/2022 11:48
jaxon,,Jaxon,,3,,5/9/2022 11:48
theodore,,Theodore,Theo,5,,5/9/2022 11:48
eli,,Eli,,7,,5/9/2022 11:48
patrick,,Patrick,Pat,7,,5/9/2022 11:48
beau,,Beau,,1,,5/9/2022 11:48
christian,,Christian,,5,,5/9/2022 11:48
harvey,,Harvey,,1,,5/9/2022 11:48
jake,,Jake,,5,,5/9/2022 11:48
finn,,Finn,,5,,5/9/2022 11:48
austin,,Austin,,8,,5/9/2022 11:48
luke,,Luke,,4,,5/9/2022 11:48
dylan,,Dylan,,4,,5/9/2022 11:48
charles,,Charles,,4,,5/9/2022 11:48
connor,,Connor,,3,,5/9/2022 11:48
jordan,,Jordan,,3,,5/9/2022 11:48
gabriel,,Gabriel,Gabe,8,,5/9/2022 11:48
kai,,Kai,,1,,5/9/2022 11:48
blake,,Blake,,9,,5/9/2022 11:48
dominic,,Dominic,Dom,8,,5/9/2022 11:48
chase,,Chase,,7,,5/9/2022 11:48
ali,,Ali,,5,,5/9/2022 11:48
braxton,,Braxton,,1,,5/9/2022 11:48
louis,,Louis,,4,,5/9/2022 11:48
nathan,,Nathan,,5,,5/9/2022 11:48
felix,,Felix,,4,,5/9/2022 11:48
john,,John,,8,,5/9/2022 11:48
carter,,Carter,,5,,5/9/2022 11:48
angus,,Angus,,4,,5/9/2022 11:48
caleb,,Caleb,,5,,5/9/2022 11:48
marcus,,Marcus,,4,,5/9/2022 11:48
toby,,Toby,,5,,5/9/2022 11:48
anthony,,Anthony,Tony,3,,5/9/2022 11:48
nathaniel,,Nathaniel,,4,,5/9/2022 11:48
hayden,,Hayden,,1,,5/9/2022 11:48
jasper,,Jasper,,6,,5/9/2022 11:48
arlo,,Arlo,,4,,5/9/2022 11:48
andrew,,Andrew,Andy,7,,5/9/2022 11:48
jonathan,,Jonathan,Jon,5,,5/9/2022 11:48
owen,,Owen,,4,,5/9/2022 11:48
harley,,Harley,,4,,5/9/2022 11:48
ryder,,Ryder,,1,,5/9/2022 11:48
hamish,,Hamish,,5,,5/9/2022 11:48
jesse,,Jesse,,7,,5/9/2022 11:48
maxwell,,Maxwell,Max,7,,5/9/2022 11:48
,,Aaron,,,,
,,Addison,,,,
,,Adrian,,,,
,,Aidan,,,,
,,Aiden,,,,
,,Alan,,,,
,,Alex,,,,
,,Alexis,,,,
,,Alfie,,,,
,,Allan,,,,
,,Allen,,,,
,,Allison,,,,
,,Antony,,,,
,,Arthur,,,,
,,Asher,,,,
,,Ashley,,,,
,,Axel,,,,
,,Bailey,,,,
,,Barry,,,,
,,Ben,,,,
,,Bernard,,,,
,,Billie,,,,
,,Billy,,,,
,,Bodhi,,,,
,,Brad,,,,
,,Bradley,,,,
,,Brandon,,,,
,,Brayden,,,,
,,Brendan,,,,
,,Brendon,,,,
,,Brent,,,,
,,Brenton,,,,
,,Brett,,,,
,,Brian,,,,
,,Branden,,,,
,,Brock,,,,
,,Brodie,,,,
,,Brody,,,,
,,Bronte,,,,
,,Bruce,,,,
,,Bryan,,,,
,,Bryce,,,,
,,Byron,,,,
,,Cameron,,,,
,,Carol,,,,
,,Casey,,,,
,,Chad,,,,
,,Christopher,,,,
,,Clint,,,,
,,Clinton,,,,
,,Cody,,,,
,,Colin,,,,
,,Corey,,,,
,,Courtney,,,,
,,Craig,,,,
,,Dale,,,,
,,Damian,,,,
,,Damien,,,,
,,Dane,,,,
,,Danny,,,,
,,D'Arcy,,,,
,,Darrell,,,,
,,Darren,,,,
,,Darrin,,,,
,,Darryl,,,,
,,Daryl,,,,
,,David,,,,
,,Dean,,,,
,,Declan,,,,
,,Denis,,,,
,,Dennis,,,,
,,Desmond,,,,
,,Donald,,,,
,,Douglas,,,,
,,Elias,,,,
,,Eric,,,,
,,Evan,,,,
,,Ezra,,,,
,,Fay,,,,
,,Florence,,,,
,,Francis,,,,
,,Frank,,,,
,,Frankie,,,,
,,Frederick,,,,
,,Garry,,,,
,,Gary,,,,
,,Gavin,,,,
,,Gayle,,,,
,,Geoffrey,,,,
,,Gerard,,,,
,,Glen,,,,
,,Glenn,,,,
,,Gordon,,,,
,,Graeme,,,,
,,Graham,,,,
,,Grahame,,,,
,,Grant,,,,
,,Gregory,,,,
,,Guy,,,,
,,Harlow,,,,
,,Harold,,,,
,,Harper,,,,
,,Heath,,,,
,,Howard,,,,
,,Ian,,,,
,,Indiana,,,,
,,Isaiah,,,,
,,Jade,,,,
,,Jai,,,,
,,Jamie,,,,
,,Jared,,,,
,,Jarrod,,,,
,,Jason,,,,
,,Jay,,,,
,,Jeffery,,,,
,,Jeffrey,,,,
,,Jeremy,,,,
,,Jeremie,,,,
,,Jessie,,,,
,,Jett,,,,
,,Jody,,,,
,,Joel,,,,
,,Jonathon,,,,
,,Jude,,,,
,,Julian,,,,
,,Justin,,,,
,,Julius,,,,
,,Kane,,,,
,,Karl,,,,
,,Keith,,,,
,,Kelly,,,,
,,Kelvin,,,,
,,Kenneth,,,,
,,Kerry,,,,
,,Kevin,,,,
,,Kieran,,,,
,,Kim,,,,
,,Koby,,,,
,,Kurt,,,,
,,Kyle,,,,
,,Lance,,,,
,,Larry,,,,
,,Lauren,,,,
,,Laurence,,,,
,,Lawrence,,,,
,,Lee,,,,
,,Leigh,,,,
,,Lennox,,,,
,,Leon,,,,
,,Leonard,,,,
,,Lesley,,,,
,,Leslie,,,,
,,Lindsay,,,,
,,Lukas,,,,
,,Lynn,,,,
,,Mackenzie,,,,
,,Madison,,,,
,,Malcolm,,,,
,,Marion,,,,
,,Mark,,,,
,,Martin,,,,
,,Mathew,,,,
,,Maurice,,,,
,,Michael,,,,
,,Micheal,,,,
,,Mitchell,,,,
,,Murray,,,,
,,Neil,,,,
,,Neville,,,,
,,Nigel,,,,
,,Nixon,,,,
,,Noel,,,,
,,Norman,,,,
,,Paul,,,,
,,Perry,,,,
,,Peter,,,,
,,Peyton,,,,
,,Philip,,,,
,,Phillip,,,,
,,Phoenix,,,,
,,Quinn,,,,
,,Ralph,,,,
,,Raymond,,,,
,,Reece,,,,
,,Reginald,,,,
,,Remy,,,,
,,Reuben,,,,
,,Rhys,,,,
,,Richard,,,,
,,Ricky,,,,
,,River,,,,
,,Robert,,,,
,,Robin,,,,
,,Rodney,,,,
,,Roger,,,,
,,Roman,,,,
,,Ronald,,,,
,,Ross,,,,
,,Roy,,,,
,,Russell,,,,
,,Sam,,,,
,,Scott,,,,
,,Sean,,,,
,,Seth,,,,
,,Shane,,,,
,,Shannon,,,,
,,Shaun,,,,
,,Shayne,,,,
,,Shirley,,,,
,,Simon,,,,
,,Sonny,,,,
,,Spencer,,,,
,,Stacey,,,,
,,Stanley,,,,
,,Stanford,,,,
,,Stephen,,,,
,,Steven,,,,
,,Stewart,,,,
,,Stuart,,,,
,,Taylor,,,,
,,Terence,,,,
,,Terrence,,,,
,,Terry,,,,
,,Theo,,,,
,,Timothy,,,,
,,Todd,,,,
,,Tony,,,,
,,Tracey,,,,
,,Tracy,,,,
,,Travis,,,,
,,Trent,,,,
,,Trevor,,,,
,,Trenton,,,,
,,Tristan,,,,
,,Troy,,,,
,,Tyson,,,,
,,Victor,,,,
,,Vincent,,,,
,,Wade,,,,
,,Warren,,,,
,,Warwick,,,,
,,Wayne,,,,
,,Wesley,,,,
,,Zac,,,,
,,Zackary,,,,
,,Zane,,,,
