Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
—,—,—,—,—,—,—
corbyn,,Corbyn,,1,,5/9/2022 11:48
smith,,Smith,,7,,5/9/2022 11:48
jones,,Jones,,8,,5/9/2022 11:48
williams,,Williams,,7,,5/9/2022 11:48
brown,,Brown,,5,,5/9/2022 11:48
wilson,,Wilson,,2,,5/9/2022 11:48
taylor,,Taylor,,4,,5/9/2022 11:48
johnson,,Johnson,,5,,5/9/2022 11:48
white,,White,,5,,5/9/2022 11:48
martin,,Martin,,5,,5/9/2022 11:48
anderson,,Anderson,,5,,5/9/2022 11:48
thompson,,Thompson,,6,,5/9/2022 11:48
nguyen,,Nguyen,,3,,5/9/2022 11:48
thomas,,Thomas,,6,,5/9/2022 11:48
walker,,Walker,,6,,5/9/2022 11:48
harris,,Harris,,6,,5/9/2022 11:48
lee,,Lee,,6,,5/9/2022 11:48
ryan,,Ryan,,5,,5/9/2022 11:48
robinson,,Robinson,,9,,5/9/2022 11:48
kelly,,Kelly,,6,,5/9/2022 11:48
king,,King,,7,,5/9/2022 11:48
campbell,,Campbell,,8,,5/9/2022 11:48
davis,,Davis,,7,,5/9/2022 11:48
roberts,,Roberts,,6,,5/9/2022 11:48
hall,,Hall,,7,,5/9/2022 11:48
edwards,,Edwards,,7,,5/9/2022 11:48
evans,,Evans,,7,,5/9/2022 11:48
wright,,Wright,,5,,5/9/2022 11:48
young,,Young,,7,,5/9/2022 11:48
miller,,Miller,,7,,5/9/2022 11:48
scott,,Scott,,6,,5/9/2022 11:48
clark,,Clark,,7,,5/9/2022 11:48
moore,,Moore,,6,,5/9/2022 11:48
mitchell,,Mitchell,,7,,5/9/2022 11:48
turner,,Turner,,7,,5/9/2022 11:48
baker,,Baker,,6,,5/9/2022 11:48
green,,Green,,5,,5/9/2022 11:48
clarke,,Clarke,,6,,5/9/2022 11:48
hill,,Hill,,5,,5/9/2022 11:48
mcdonald,,McDonald,,6,,5/9/2022 11:48
watson,,Watson,,6,,5/9/2022 11:48
stewart,,Stewart,,5,,5/9/2022 11:48
jackson,,Jackson,,6,,5/9/2022 11:48
cooper,,Cooper,,5,,5/9/2022 11:48
murphy,,Murphy,,5,,5/9/2022 11:48
collins,,Collins,,5,,5/9/2022 11:48
davies,,Davies,,5,,5/9/2022 11:48
lewis,,Lewis,,5,,5/9/2022 11:48
bell,,Bell,,5,,5/9/2022 11:48
wood,,Wood,,5,,5/9/2022 11:48
phillips,,Phillips,,5,,5/9/2022 11:48
allen,,Allen,,5,,5/9/2022 11:48
cook,,Cook,,1,,5/9/2022 11:48
ward,,Ward,,5,,5/9/2022 11:48
hughes,,Hughes,,6,,5/9/2022 11:48
morris,,Morris,,5,,5/9/2022 11:48
james,,James,,6,,5/9/2022 11:48
murray,,Murray,,6,,5/9/2022 11:48
tran,,Tran,,3,,5/9/2022 11:48
bennett,,Bennett,,5,,5/9/2022 11:48
gray,,Gray,,5,,5/9/2022 11:48
parker,,Parker,,6,,5/9/2022 11:48
johnston,,Johnston,,6,,5/9/2022 11:48
robertson,,Robertson,,6,,5/9/2022 11:48
russell,,Russell,,6,,5/9/2022 11:48
adams,,Adams,,6,,5/9/2022 11:48
graham,,Graham,,6,,5/9/2022 11:48
morgan,,Morgan,,6,,5/9/2022 11:48
simpson,,Simpson,,7,,5/9/2022 11:48
cox,,Cox,,7,,5/9/2022 11:48
kennedy,,Kennedy,,6,,5/9/2022 11:48
carter,,Carter,,7,,5/9/2022 11:48
marshall,,Marshall,,7,,5/9/2022 11:48
harrison,,Harrison,,6,,5/9/2022 11:48
reid,,Reid,,6,,5/9/2022 11:48
richardson,,Richardson,,7,,5/9/2022 11:48
richards,,Richards,,7,,5/9/2022 11:48
walsh,,Walsh,,6,,5/9/2022 11:48
ross,,Ross,,7,,5/9/2022 11:48
bailey,,Bailey,,7,,5/9/2022 11:48
rogers,,Rogers,,6,,5/9/2022 11:48
matthews,,Matthews,,8,,5/9/2022 11:48
cameron,,Cameron,,8,,5/9/2022 11:48
stevens,,Stevens,,6,,5/9/2022 11:48
chapman,,Chapman,,7,,5/9/2022 11:48
webb,,Webb,,6,,5/9/2022 11:48
shaw,,Shaw,,6,,5/9/2022 11:48
harvey,,Harvey,,7,,5/9/2022 11:48
fisher,,Fisher,,6,,5/9/2022 11:48
mills,,Mills,,6,,5/9/2022 11:48
ellis,,Ellis,,7,,5/9/2022 11:48
butler,,Butler,,6,,5/9/2022 11:48
thomson,,Thomson,,7,,5/9/2022 11:48
price,,Price,,7,,5/9/2022 11:48
hamilton,,Hamilton,,9,,5/9/2022 11:48
pearce,,Pearce,,6,,5/9/2022 11:48
gibson,,Gibson,,4,,5/9/2022 11:48
elliott,,Elliott,,8,,5/9/2022 11:48
mason,,Mason,,2,,5/9/2022 11:48
knight,,Knight,,7,,5/9/2022 11:48
hunt,,Hunt,,8,,5/9/2022 11:48
grant,,Grant,,6,,5/9/2022 11:48
mckenzie,,McKenzie,,8,,5/9/2022 11:48
wong,,Wong,,3,,5/9/2022 11:48
armstrong,,Armstrong,,7,,5/9/2022 11:48
barnes,,Barnes,,7,,5/9/2022 11:48
dunn,,Dunn,,6,,5/9/2022 11:48
henderson,,Henderson,,5,,5/9/2022 11:48
hayes,,Hayes,,3,,5/9/2022 11:48
foster,,Foster,,6,,5/9/2022 11:48
howard,,Howard,,6,,5/9/2022 11:48
ferguson,,Ferguson,,7,,5/9/2022 11:48
fraser,,Fraser,,4,,5/9/2022 11:48
sullivan,,Sullivan,,6,,5/9/2022 11:48
hunter,,Hunter,,7,,5/9/2022 11:48
ford,,Ford,,7,,5/9/2022 11:48
wallace,,Wallace,,6,,5/9/2022 11:48
palmer,,Palmer,,6,,5/9/2022 11:48
andrews,,Andrews,,5,,5/9/2022 11:48
woods,,Woods,,6,,5/9/2022 11:48
burns,,Burns,,5,,5/9/2022 11:48
griffiths,,Griffiths,,6,,5/9/2022 11:48
chan,,Chan,,5,,5/9/2022 11:48
reynolds,,Reynolds,,9,,5/9/2022 11:48
gordon,,Gordon,,5,,5/9/2022 11:48
west,,West,,7,,5/9/2022 11:48
mclean,,McLean,,4,,5/9/2022 11:48
holmes,,Holmes,,8,,5/9/2022 11:48
dawson,,Dawson,,6,,5/9/2022 11:48
jenkins,,Jenkins,,6,,5/9/2022 11:48
powell,,Powell,,6,,5/9/2022 11:48
day,,Day,,6,,5/9/2022 11:48
morrison,,Morrison,,8,,5/9/2022 11:48
payne,,Payne,,6,,5/9/2022 11:48
saunders,,Saunders,,8,,5/9/2022 11:48
mccarthy,,McCarthy,,9,,5/9/2022 11:48
rose,,Rose,,7,,5/9/2022 11:48
dixon,,Dixon,,6,,5/9/2022 11:48
davidson,,Davidson,,6,,5/9/2022 11:48
watts,,Watts,,6,,5/9/2022 11:48
burgess,,Burgess,,5,,5/9/2022 11:48
black,,Black,,6,,5/9/2022 11:48
rowe,,Rowe,,5,,5/9/2022 11:48
nelson,,Nelson,,6,,5/9/2022 11:48
perry,,Perry,,7,,5/9/2022 11:48
fletcher,,Fletcher,,7,,5/9/2022 11:48
byrne,,Byrne,,7,,5/9/2022 11:48
carroll,,Carroll,,8,,5/9/2022 11:48
lynch,,Lynch,,6,,5/9/2022 11:48
wells,,Wells,,7,,5/9/2022 11:48
brooks,,Brooks,,6,,5/9/2022 11:48
wilkinson,,Wilkinson,,7,,5/9/2022 11:48
williamson,,Williamson,,6,,5/9/2022 11:48
lawrence,,Lawrence,,6,,5/9/2022 11:48
fitzgerald,,Fitzgerald,,9,,5/9/2022 11:48
cole,,Cole,,7,,5/9/2022 11:48
porter,,Porter,,6,,5/9/2022 11:48
lane,,Lane,,6,,5/9/2022 11:48
doyle,,Doyle,,7,,5/9/2022 11:48
kerr,,Kerr,,6,,5/9/2022 11:48
stone,,Stone,,4,,5/9/2022 11:48
macdonald,,MacDonald,,8,,5/9/2022 11:48
barker,,Barker,,5,,5/9/2022 11:48
stephens,,Stephens,,4,,5/9/2022 11:48
duncan,,Duncan,,5,,5/9/2022 11:48
hart,,Hart,,5,,5/9/2022 11:48
francis,,Francis,,6,,5/9/2022 11:48
burke,,Burke,,4,,5/9/2022 11:48
newman,,Newman,,8,,5/9/2022 11:48
pearson,,Pearson,,3,,5/9/2022 11:48
lloyd,,Lloyd,,7,,5/9/2022 11:48
peters,,Peters,,6,,5/9/2022 11:48
fox,,Fox,,7,,5/9/2022 11:48
mcmahon,,McMahon,,3,,5/9/2022 11:48
webster,,Webster,,3,,5/9/2022 11:48
coleman,,Coleman,,7,,5/9/2022 11:48
freeman,,Freeman,,9,,5/9/2022 11:48
lowe,,Lowe,,5,,5/9/2022 11:48
spencer,,Spencer,,5,,5/9/2022 11:48
dean,,Dean,,5,,5/9/2022 11:48
douglas,,Douglas,,6,,5/9/2022 11:48
page,,Page,,6,,5/9/2022 11:48
barrett,,Barrett,,7,,5/9/2022 11:48
warren,,Warren,,8,,5/9/2022 11:48
mcgrath,,McGrath,,4,,5/9/2022 11:48
crawford,,Crawford,,7,,5/9/2022 11:48
mckay,,McKay,,4,,5/9/2022 11:48
quinn,,Quinn,,4,,5/9/2022 11:48
patterson,,Patterson,,7,,5/9/2022 11:48
george,,George,,4,,5/9/2022 11:48
brennan,,Brennan,,5,,5/9/2022 11:48
boyd,,Boyd,,4,,5/9/2022 11:48
alexander,,Alexander,,5,,5/9/2022 11:48
long,,Long,,5,,5/9/2022 11:48
sutton,,Sutton,,5,,5/9/2022 11:48
riley,,Riley,,6,,5/9/2022 11:48
hansen,,Hansen,,7,,5/9/2022 11:48
hudson,,Hudson,,8,,5/9/2022 11:48
parsons,,Parsons,,9,,5/9/2022 11:48
oliver,,Oliver,,5,,5/9/2022 11:48
atkinson,,Atkinson,,8,,5/9/2022 11:48
lucas,,Lucas,,6,,5/9/2022 11:48
cross,,Cross,,6,,5/9/2022 11:48
newton,,Newton,,5,,5/9/2022 11:48
hogan,,Hogan,,6,,5/9/2022 11:48
carr,,Carr,,5,,5/9/2022 11:48
burton,,Burton,,5,,5/9/2022 11:48
may,,May,,6,,5/9/2022 11:48
gill,,Gill,,5,,5/9/2022 11:48
mcleod,,McLeod,,6,,5/9/2022 11:48
nicholls,,Nicholls,,6,,5/9/2022 11:48
hawkins,,Hawkins,,7,,5/9/2022 11:48
stevenson,,Stevenson,,6,,5/9/2022 11:48
shepherd,,Shepherd,,7,,5/9/2022 11:48
sinclair,,Sinclair,,8,,5/9/2022 11:48
berry,,Berry,,8,,5/9/2022 11:48
bourke,,Bourke,,5,,5/9/2022 11:48
bishop,,Bishop,,8,,5/9/2022 11:48
higgins,,Higgins,,5,,5/9/2022 11:48
cunningham,,Cunningham,,8,,5/9/2022 11:48
dwyer,,Dwyer,,4,,5/9/2022 11:48
curtis,,Curtis,,5,,5/9/2022 11:48
gardner,,Gardner,,6,,5/9/2022 11:48
holland,,Holland,,9,,5/9/2022 11:48
power,,Power,,5,,5/9/2022 11:48
arnold,,Arnold,,5,,5/9/2022 11:48
maher,,Maher,,3,,5/9/2022 11:48
bradley,,Bradley,,4,,5/9/2022 11:48
bryant,,Bryant,,3,,5/9/2022 11:48
paterson,,Paterson,,4,,5/9/2022 11:48
lawson,,Lawson,,4,,5/9/2022 11:48
fuller,,Fuller,,4,,5/9/2022 11:48
waters,,Waters,,4,,5/9/2022 11:48
harding,,Harding,,4,,5/9/2022 11:48
booth,,Booth,,3,,5/9/2022 11:48
austin,,Austin,,1,,5/9/2022 11:48
davey,,Davey,,3,,5/9/2022 11:48
fleming,,Fleming,,6,,5/9/2022 11:48
munro,,Munro,,2,,5/9/2022 11:48
walters,,Walters,,4,,5/9/2022 11:48
nicholson,,Nicholson,,9,,5/9/2022 11:48
sharp,,Sharp,,9,,5/9/2022 11:48
allan,,Allan,,3,,5/9/2022 11:48
gilbert,,Gilbert,,5,,5/9/2022 11:48
little,,Little,,4,,5/9/2022 11:48
holder,,Holder,,1,,5/17/2024 2:18
smyth,,Smyth,,1,,5/17/2024 2:18
ackhurst,,Ackhurst,,1,,5/17/2024 2:18
adamson,,Adamson,,1,,5/17/2024 2:18
ahrens,,Ahrens,,1,,5/17/2024 2:18
aitken,,Aitken,,1,,5/17/2024 2:18
alcock,,Alcock,,1,,5/17/2024 2:18
alderson,,Alderson,,1,,5/17/2024 2:18
aldridge,,Aldridge,,1,,5/17/2024 2:18
allerton,,Allerton,,1,,5/17/2024 2:18
allison,,Allison,,1,,5/17/2024 2:18
amos,,Amos,,1,,5/17/2024 2:18
andresson,,Andresson,,1,,5/17/2024 2:18
andrew,,Andrew,,1,,5/17/2024 2:18
ann,,Ann,,1,,5/17/2024 2:18
anschau,,Anschau,,1,,5/17/2024 2:18
anson,,Anson,,1,,5/17/2024 2:18
archibald,,Archibald,,1,,5/17/2024 2:18
ashby,,Ashby,,1,,5/17/2024 2:18
ashwell,,Ashwell,,1,,5/17/2024 2:18
bottomley,,Bottomley,,1,,5/17/2024 2:18
bade,,Bade,,1,,5/17/2024 2:18
bain,,Bain,,1,,5/17/2024 2:18
