Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
—,—,—,—,—,—,—
ah cy,,Ah Cy,,1,,5/9/2022 11:48
ah kum,,Ah Kum,,1,,5/9/2022 11:48
ah lam,,Ah Lam,,1,,5/9/2022 11:48
ai,,Ai,,5,,5/9/2022 11:48
an,,An,,6,,5/9/2022 11:48
baozhai,,Baozhai,,1,,5/9/2022 11:48
bik,,Bik,,1,,5/9/2022 11:48
biyu,,Biyu,,1,,5/9/2022 11:48
bo,,Bo,,4,,5/9/2022 11:48
changchang,,Changchang,,2,,5/9/2022 11:48
changying,,Changying,,6,,5/9/2022 11:48
chenguang,,Chenguang,,3,,5/9/2022 11:48
chow,,Chow,,5,,5/9/2022 11:48
chu hua,,Chu Hua,,2,,5/9/2022 11:48
chun,,Chun,,5,,5/9/2022 11:48
chunhua,,Chunhua,,1,,5/9/2022 11:48
chuntao,,Chuntao,,2,,5/9/2022 11:48
chyou,,Chyou,,2,,5/9/2022 11:48
cuifen,,Cuifen,,1,,5/9/2022 11:48
da chun,,Da Chun,,6,,5/9/2022 11:48
daiyu,,Daiyu,,1,,5/9/2022 11:48
dandan,,Dandan,,1,,5/9/2022 11:48
da-xia,,Da-Xia,,1,,5/9/2022 11:48
dongmei,,Dongmei,,3,,5/9/2022 11:48
fang,,Fang,,5,,5/9/2022 11:48
far,,Far,,4,,5/9/2022 11:48
fenfang,,Fenfang,,1,,5/9/2022 11:48
fung,,Fung,,1,,5/9/2022 11:48
howin,,Howin,,1,,5/9/2022 11:48
hu,,Hu,,3,,5/9/2022 11:48
hua,,Hua,,3,,5/9/2022 11:48
hualing,,Hualing,,2,,5/9/2022 11:48
huan,,Huan,,3,,5/9/2022 11:48
huian,,Huian,,2,,5/9/2022 11:48
huidai,,Huidai,,1,,5/9/2022 11:48
huifang,,Huifang,,1,,5/9/2022 11:48
huifen,,Huifen,,1,,5/9/2022 11:48
huilang,,Huilang,,1,,5/9/2022 11:48
huiliang,,Huiliang,,1,,5/9/2022 11:48
huiqing,,Huiqing,,1,,5/9/2022 11:48
huizhong,,Huizhong,,1,,5/9/2022 11:48
jia,,Jia,,3,,5/9/2022 11:48
jiahui,,Jiahui,,3,,5/9/2022 11:48
jiao,,Jiao,,5,,5/9/2022 11:48
jiayi,,Jiayi,,4,,5/9/2022 11:48
jiaying,,Jiaying,,4,,5/9/2022 11:48
jie,,Jie,,5,,5/9/2022 11:48
jingfei,,Jingfei,,5,,5/9/2022 11:48
jinghua,,Jinghua,,5,,5/9/2022 11:48
ju,,Ju,,6,,5/9/2022 11:48
juan,,Juan,,3,,5/9/2022 11:48
jun,,Jun,,8,,5/9/2022 11:48
kuai hua,,Kuai Hua,,2,,5/9/2022 11:48
kue ching,,Kue Ching,,4,,5/9/2022 11:48
kwong,,Kwong,,6,,5/9/2022 11:48
lan,,Lan,,6,,5/9/2022 11:48
lanfen,,Lanfen,,7,,5/9/2022 11:48
lanying,,Lanying,,8,,5/9/2022 11:48
lee,,Lee,,4,,5/9/2022 11:48
li,,Li,,7,,5/9/2022 11:48
lian,,Lian,,8,,5/9/2022 11:48
lien,,Lien,,5,,5/9/2022 11:48
lien hua,,Lien Hua,,4,,5/9/2022 11:48
lifen,,Lifen,,2,,5/9/2022 11:48
lihua,,Lihua,,1,,5/9/2022 11:48
lihwa,,Lihwa,,1,,5/9/2022 11:48
lijuan,,Lijuan,,1,,5/9/2022 11:48
liling,,Liling,,1,,5/9/2022 11:48
lin,,Lin,,10,,5/9/2022 11:48
ling,,Ling,,7,,5/9/2022 11:48
linqin,,Linqin,,3,,5/9/2022 11:48
liqiu,,Liqiu,,3,,5/9/2022 11:48
liu,,Liu,,6,,5/9/2022 11:48
luli,,Luli,,3,,5/9/2022 11:48
mei,,Mei,,10,,5/9/2022 11:48
meifen,,Meifen,,2,,5/9/2022 11:48
meifeng,,Meifeng,,2,,5/9/2022 11:48
meihui,,Meihui,,1,,5/9/2022 11:48
meili,,Meili,,1,,5/9/2022 11:48
meilin,,Meilin,,1,,5/9/2022 11:48
meirong,,Meirong,,4,,5/9/2022 11:48
meixiang,,Meixiang,,1,,5/9/2022 11:48
meixiu,,Meixiu,,1,,5/9/2022 11:48
meiying,,Meiying,,1,,5/9/2022 11:48
meizhen,,Meizhen,,1,,5/9/2022 11:48
mingxia,,Mingxia,,1,,5/9/2022 11:48
mingyu,,Mingyu,,1,,5/9/2022 11:48
mingzhu,,Mingzhu,,1,,5/9/2022 11:48
mu lan,,Mu Lan,,5,,5/9/2022 11:48
mu tan,,Mu Tan,,5,,5/9/2022 11:48
ning,,Ning,,5,,5/9/2022 11:48
ninghong,,Ninghong,,2,,5/9/2022 11:48
niu,,Niu,,4,,5/9/2022 11:48
nuo,,Nuo,,4,,5/9/2022 11:48
nuwa,,Nuwa,,6,,5/9/2022 11:48
peijing,,Peijing,,3,,5/9/2022 11:48
peizhi,,Peizhi,,6,,5/9/2022 11:48
ping,,Ping,,3,,5/9/2022 11:48
qiao,,Qiao,,6,,5/9/2022 11:48
qiaohui,,Qiaohui,,3,,5/9/2022 11:48
qiaolian,,Qiaolian,,4,,5/9/2022 11:48
qing,,Qing,,1,,5/9/2022 11:48
qingge,,Qingge,,1,,5/9/2022 11:48
qingling,,Qingling,,1,,5/9/2022 11:48
qingzhao,,Qingzhao,,1,,5/9/2022 11:48
qiu,,Qiu,,1,,5/9/2022 11:48
qiuyue,,Qiuyue,,1,,5/9/2022 11:48
renxiang,,Renxiang,,1,,5/9/2022 11:48
rong,,Rong,,1,,5/9/2022 11:48
rou,,Rou,,6,,5/9/2022 11:48
ruiling,,Ruiling,,1,,5/9/2022 11:48
ruolan,,Ruolan,,1,,5/9/2022 11:48
ruomei,,Ruomei,,1,,5/9/2022 11:48
shaoqing,,Shaoqing,,1,,5/9/2022 11:48
shihong,,Shihong,,1,,5/9/2022 11:48
shu,,Shu,,4,,5/9/2022 11:48
shuang,,Shuang,,6,,5/9/2022 11:48
shuchun,,Shuchun,,8,,5/9/2022 11:48
shun,,Shun,,6,,5/9/2022 11:48
song,,Song,,9,,5/9/2022 11:48
suyin,,Suyin,,3,,5/9/2022 11:48
sying,,Sying,,3,,5/9/2022 11:48
tao,,Tao,,5,,5/9/2022 11:48
ting,,Ting,,6,,5/9/2022 11:48
tu,,Tu,,5,,5/9/2022 11:48
ushi,,Ushi,,1,,5/9/2022 11:48
weici,,Weici,,1,,5/9/2022 11:48
wen,,Wen,,8,,5/9/2022 11:48
wenling,,Wenling,,4,,5/9/2022 11:48
wenquian,,Wenquian,,1,,5/9/2022 11:48
xia,,Xia,,1,,5/9/2022 11:48
xiaodan,,Xiaodan,,1,,5/9/2022 11:48
xiaofan,,Xiaofan,,1,,5/9/2022 11:48
xiaohui,,Xiaohui,,1,,5/9/2022 11:48
xiaojian,,Xiaojian,,1,,5/9/2022 11:48
xiaojing,,Xiaojing,,1,,5/9/2022 11:48
xiaoli,,Xiaoli,,1,,5/9/2022 11:48
xiaolian,,Xiaolian,,1,,5/9/2022 11:48
xiaoling,,Xiaoling,,1,,5/9/2022 11:48
xiaoqing,,Xiaoqing,,1,,5/9/2022 11:48
xiaosheng,,Xiaosheng,,1,,5/9/2022 11:48
xiaotong,,Xiaotong,,1,,5/9/2022 11:48
xiaozhi,,Xiaozhi,,3,,5/9/2022 11:48
xifeng,,Xifeng,,2,,5/9/2022 11:48
xiu mei,,Xiu Mei,,4,,5/9/2022 11:48
xiulan,,Xiulan,,1,,5/9/2022 11:48
xiurong,,Xiurong,,1,,5/9/2022 11:48
xiuying,,Xiuying,,1,,5/9/2022 11:48
xueman,,Xueman,,1,,5/9/2022 11:48
yang,,Yang,,7,,5/9/2022 11:48
yin,,Yin,,9,,5/9/2022 11:48
ya,,Ya,,5,,5/9/2022 11:48
yan,,Yan,,3,,5/9/2022 11:48
yanmei,,Yanmei,,4,,5/9/2022 11:48
yanyu,,Yanyu,,3,,5/9/2022 11:48
yet kwai,,Yet Kwai,,3,,5/9/2022 11:48
ying,,Ying,,5,,5/9/2022 11:48
yingtai,,Yingtai,,6,,5/9/2022 11:48
yow,,Yow,,6,,5/9/2022 11:48
yu,,Yu,,6,,5/9/2022 11:48
yuehai,,Yuehai,,3,,5/9/2022 11:48
yueqin,,Yueqin,,5,,5/9/2022 11:48
yuan,,Yuan,,6,,5/9/2022 11:48
yubi,,Yubi,,7,,5/9/2022 11:48
yue,,Yue,,8,,5/9/2022 11:48
yuet,,Yuet,,7,,5/9/2022 11:48
yu-jun,,Yu-jun,,8,,5/9/2022 11:48
yuk,,Yuk,,1,,5/9/2022 11:48
yuke,,Yuke,,1,,5/9/2022 11:48
yuming,,Yuming,,1,,5/9/2022 11:48
yun,,Yun,,5,,5/9/2022 11:48
yunru,,Yunru,,2,,5/9/2022 11:48
yusheng,,Yusheng,,3,,5/9/2022 11:48
zhaohui,,Zhaohui,,6,,5/9/2022 11:48
zhenzhen,,Zhenzhen,,3,,5/9/2022 11:48
zhilan,,Zhilan,,1,,5/9/2022 11:48
zhu,,Zhu,,1,,5/9/2022 11:48
zongying,,Zongying,,1,,5/9/2022 11:48
hui yin,,Hui Yin,,1,,5/9/2022 11:48
ying yue,,Ying Yue,,4,,5/9/2022 11:48
wang shu,,Wang Shu,,1,,5/9/2022 11:48
feng mian,,Feng Mian,,1,,5/9/2022 11:48
mo chou,,Mo Chou,,1,,5/9/2022 11:48
fei hong,,Fei Hong,,5,,5/9/2022 11:48
nian zhen,,Nian Zhen,,1,,5/9/2022 11:48
ru shi,,Ru Shi,,7,,5/9/2022 11:48
bai,,Bai,,8,,5/9/2022 11:48
bao,,Bao,,9,,5/9/2022 11:48
chen,,Chen,,8,,5/9/2022 11:48
lei,,Lei,,9,,5/9/2022 11:48
liang,,Liang,,9,,5/9/2022 11:48
lim,,Lim,,9,,5/9/2022 11:48
ming,,Ming,,5,,5/9/2022 11:48
ru,,Ru,,8,,5/9/2022 11:48
shi,,Shi,,8,,5/9/2022 11:48
su,,Su,,7,,5/9/2022 11:48
tai,,Tai,,9,,5/9/2022 11:48
wei,,Wei,,9,,5/9/2022 11:48
xiu,,Xiu,,5,,5/9/2022 11:48
zheng,,Zheng,,8,,5/9/2022 11:48
fen,,Fen,,9,,5/9/2022 11:48
min,,Min,,8,,5/9/2022 11:48
li na,,Li Na,,9,,5/9/2022 11:48
li jing,,Li Jing,,8,,5/9/2022 11:48
zhang li,,Zhang Li,,9,,5/9/2022 11:48
wang jing,,Wang Jing,,9,,5/9/2022 11:48
wang li,,Wang Li,,9,,5/9/2022 11:48
li min,,Li Min,,8,,5/9/2022 11:48
wang min,,Wang Min,,9,,5/9/2022 11:48
li jun,,Li Jun,,9,,5/9/2022 11:48
li juan,,Li Juan,,8,,5/9/2022 11:48
wang yan,,Wang Yan,,8,,5/9/2022 11:48
li yan,,Li Yan,,8,,5/9/2022 11:48
li xia,,Li Xia,,6,,5/9/2022 11:48
liu min,,Liu Min,,8,,5/9/2022 11:48
li li,,Li Li,,9,,5/9/2022 11:48
liu fang,,Liu Fang,,8,,5/9/2022 11:48
zhang xiu ying,,Zhang Xiu Ying,,5,,5/9/2022 11:48
bao yu,,Bao Yu,,6,,5/9/2022 11:48
chang ying,,Chang Ying,,8,,5/9/2022 11:48
,,Anke,,,,
,,Baihe,,,,
,,Beibi,,,,
,,Bingbing,,,,
,,Bingqing,,,,
,,Bingyan,,,,
,,Bo'er,,,,
,,Caiyu,,,,
,,Chang,,,,
,,Chaoyue,,,,
,,Chin,,,,
,,Ching,,,,
,,Choenyi,,,,
,,Chuchu,,,,
,,Chunfang,,,,
,,Chunli,,,,
,,Chunrong,,,,
,,Churan,,,,
,,Chuzi,,,,
,,Dabin,,,,
,,Dai,,,,
,,Danfeng,,,,
,,Danni,,,,
,,Di,,,,
,,Die,,,,
,,Dongdong,,,,
,,Dongyu,,,,
,,Duling,,,,
,,Enxi,,,,
,,Er,,,,
,,Fan,,,,
,,Fei,,,,
,,Fei'er,,,,
,,Fengxi,,,,
,,Fengxia,,,,
,,Fengying,,,,
,,Fuli,,,,
,,Gaowa,,,,
,,Guang,,,,
,,Guifang,,,,
,,Guyi,,,,
,,Hailu,,,,
,,Haiqiong,,,,
,,Haocun,,,,
,,Haoyu,,,,
,,Hong,,,,
,,Hongshan,,,,
,,Hui,,,,
,,Huiqin,,,,
,,Huiwen,,,,
,,Huizhu,,,,
,,Huoding,,,,
,,Jiajia,,,,
,,Jiali,,,,
,,Jiamin,,,,
,,Jianfen,,,,
,,Jianing,,,,
,,Jiaqi,,,,
,,Jieqiong,,,,
,,Jiexi,,,,
,,Jin,,,,
,,Jing,,,,
,,Jingchu,,,,
,,Jinglei,,,,
,,Jinglin,,,,
,,Jingmei,,,,
,,Jingwen,,,,
,,Jingyi,,,,
,,Jinhua,,,,
,,Jinmai,,,,
,,Jinyan,,,,
,,Jiqing,,,,
,,Jun'an,,,,
,,Junyan,,,,
,,Ke,,,,
,,Lai,,,,
,,Lanxin,,,,
,,Lau,,,,
,,Likun,,,,
,,Lili,,,,
,,Lingyu,,,,
