Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
— ,— ,— ,— ,— ,— ,— 
aiguo,,Aiguo,,1,,5/9/2022 11:48
an,,An,,1,,5/9/2022 11:48
angúo,,Angúo,,1,,5/9/2022 11:48
anyu,,Anyu,,1,,5/9/2022 11:48
bai,,Bai,,1,,5/9/2022 11:48
bao,,Bao,,1,,5/9/2022 11:48
baofa,,Baofa,,1,,5/9/2022 11:48
baojiu,,Baojiu,,1,,5/9/2022 11:48
baolin,,Baolin,,1,,5/9/2022 11:48
baoqiang,,Baoqiang,,1,,5/9/2022 11:48
baotian,,Baotian,,1,,5/9/2022 11:48
biao,,Biao,,1,,5/9/2022 11:48
bin,,Bin,,1,,5/9/2022 11:48
bingwen,,Bingwen,,1,,5/9/2022 11:48
bo,,Bo,,1,,5/9/2022 11:48
bohai,,Bohai,,1,,5/9/2022 11:48
bojing,,Bojing,,1,,5/9/2022 11:48
bolin,,Bolin,,1,,5/9/2022 11:48
boqin,,Boqin,,1,,5/9/2022 11:48
boran,,Boran,,1,,5/9/2022 11:48
cai,,Cai,,1,,5/9/2022 11:48
chang,,Chang,,1,,5/9/2022 11:48
changjiang,,Changjiang,,1,,5/9/2022 11:48
changjun,,Changjun,,1,,5/9/2022 11:48
changming,,Changming,,1,,5/9/2022 11:48
changpu,,Changpu,,1,,5/9/2022 11:48
chanming,,Chanming,,1,,5/9/2022 11:48
chao,,Chao,,1,,5/9/2022 11:48
chaoxiang,,Chaoxiang,,1,,5/9/2022 11:48
chen,,Chen,,1,,5/9/2022 11:48
cheng,,Cheng,,1,,5/9/2022 11:48
chengcheng,,Chengcheng,,1,,5/9/2022 11:48
chenghui,,Chenghui,,1,,5/9/2022 11:48
chenglei,,Chenglei,,1,,5/9/2022 11:48
chengpeng,,Chengpeng,,1,,5/9/2022 11:48
chengren,,Chengren,,1,,5/9/2022 11:48
cheung,,Cheung,,1,,5/9/2022 11:48
chi,,Chi,,1,,5/9/2022 11:48
chongan,,Chongan,,1,,5/9/2022 11:48
chongkun,,Chongkun,,1,,5/9/2022 11:48
chonglin,,Chonglin,,1,,5/9/2022 11:48
chuanli,,Chuanli,,1,,5/9/2022 11:48
chui,,Chui,,1,,5/9/2022 11:48
chun,,Chun,,1,,5/9/2022 11:48
chung,,Chung,,1,,5/9/2022 11:48
chuxiao,,Chuxiao,,1,,5/9/2022 11:48
cuihua,,Cuihua,,1,,5/9/2022 11:48
cunzhuang,,Cunzhuang,,1,,5/9/2022 11:48
da,,Da,,1,,5/9/2022 11:48
dagang,,Dagang,,1,,5/9/2022 11:48
dahong,,Dahong,,1,,5/9/2022 11:48
dai,,Dai,,1,,5/9/2022 11:48
dan,,Dan,,1,,5/9/2022 11:48
daoming,,Daoming,,1,,5/9/2022 11:48
dawei,,Dawei,,1,,5/9/2022 11:48
daxun,,Daxun,,1,,5/9/2022 11:48
de,,De,,1,,5/9/2022 11:48
dehua,,Dehua,,1,,5/9/2022 11:48
délì,,Délì,,1,,5/9/2022 11:48
delun,,Delun,,1,,5/9/2022 11:48
deming,,Deming,,1,,5/9/2022 11:48
déshì,,Déshì,,1,,5/9/2022 11:48
deshun,,Deshun,,1,,5/9/2022 11:48
déwei,,Déwei,,1,,5/9/2022 11:48
dezhang,,Dezhang,,1,,5/9/2022 11:48
dingbang,,Dingbang,,1,,5/9/2022 11:48
dingxiang,,Dingxiang,,1,,5/9/2022 11:48
dong,,Dong,,1,,5/9/2022 11:48
donghai,,Donghai,,1,,5/9/2022 11:48
duyi,,Duyi,,1,,5/9/2022 11:48
enhe,,Enhe,,1,,5/9/2022 11:48
enlai,,Enlai,,1,,5/9/2022 11:48
fa,,Fa,,1,,5/9/2022 11:48
fai,,Fai,,1,,5/9/2022 11:48
fan,,Fan,,1,,5/9/2022 11:48
fang,,Fang,,1,,5/9/2022 11:48
feng,,Feng,,1,,5/9/2022 11:48
fengge,,Fengge,,1,,5/9/2022 11:48
fengyi,,Fengyi,,1,,5/9/2022 11:48
fu,,Fu,,1,,5/9/2022 11:48
fu-chien,,Fu-Chien,,1,,5/9/2022 11:48
fuhua,,Fuhua,,1,,5/9/2022 11:48
fung,,Fung,,1,,5/9/2022 11:48
fushen,,Fushen,,1,,5/9/2022 11:48
fuying,,Fuying,,1,,5/9/2022 11:48
gan,,Gan,,1,,5/9/2022 11:48
gang,,Gang,,1,,5/9/2022 11:48
ge,,Ge,,1,,5/9/2022 11:48
geming,,Geming,,1,,5/9/2022 11:48
gen,,Gen,,1,,5/9/2022 11:48
geng,,Geng,,1,,5/9/2022 11:48
genghis,,Genghis,,1,,5/9/2022 11:48
gengxin,,Gengxin,,1,,5/9/2022 11:48
gim,,Gim,,1,,5/9/2022 11:48
gongliang,,Gongliang,,1,,5/9/2022 11:48
guang,,Guang,,1,,5/9/2022 11:48
guanghu,,Guanghu,,1,,5/9/2022 11:48
guangli,,Guangli,,1,,5/9/2022 11:48
guanglu,,Guanglu,,1,,5/9/2022 11:48
guangquan,,Guangquan,,1,,5/9/2022 11:48
guanhua,,Guanhua,,1,,5/9/2022 11:48
guanying,,Guanying,,1,,5/9/2022 11:48
gui,,Gui,,1,,5/9/2022 11:48
guiren,,Guiren,,1,,5/9/2022 11:48
guo,,Guo,,1,,5/9/2022 11:48
guo'an,,Guo'an,,1,,5/9/2022 11:48
guoliang,,Guoliang,,1,,5/9/2022 11:48
guoqiang,,Guoqiang,,1,,5/9/2022 11:48
guotin,,Guotin,,1,,5/9/2022 11:48
guowei,,Guowei,,1,,5/9/2022 11:48
guozhi,,Guozhi,,1,,5/9/2022 11:48
hai,,Hai,,1,,5/9/2022 11:48
haibo,,Haibo,,1,,5/9/2022 11:48
haikuan,,Haikuan,,1,,5/9/2022 11:48
haiqiao,,Haiqiao,,1,,5/9/2022 11:48
haitao,,Haitao,,1,,5/9/2022 11:48
han,,Han,,1,,5/9/2022 11:48
hang,,Hang,,1,,5/9/2022 11:48
hanyu,,Hanyu,,1,,5/9/2022 11:48
hao,,Hao,,1,,5/9/2022 11:48
haocai,,Haocai,,1,,5/9/2022 11:48
haoming,,Haoming,,1,,5/9/2022 11:48
haoran,,Haoran,,1,,5/9/2022 11:48
he,,He,,1,,5/9/2022 11:48
heng,,Heng,,1,,5/9/2022 11:48
ho,,Ho,,1,,5/9/2022 11:48
hoi-pang,,Hoi-Pang,,1,,5/9/2022 11:48
hong,,Hong,,1,,5/9/2022 11:48
honghui,,Honghui,,1,,5/9/2022 11:48
honglei,,Honglei,,1,,5/9/2022 11:48
hongqi,,Hongqi,,1,,5/9/2022 11:48
hongsheng,,Hongsheng,,1,,5/9/2022 11:48
hongyi,,Hongyi,,1,,5/9/2022 11:48
hop,,Hop,,1,,5/9/2022 11:48
hu,,Hu,,1,,5/9/2022 11:48
hua,,Hua,,1,,5/9/2022 11:48
huaili,,Huaili,,1,,5/9/2022 11:48
huan,,Huan,,1,,5/9/2022 11:48
huang,,Huang,,1,,5/9/2022 11:48
huang fu,,Huang Fu,,1,,5/9/2022 11:48
hui,,Hui,,1,,5/9/2022 11:48
huiliang,,Huiliang,,1,,5/9/2022 11:48
huisheng,,Huisheng,,1,,5/9/2022 11:48
huizhong,,Huizhong,,1,,5/9/2022 11:48
hulin,,Hulin,,1,,5/9/2022 11:48
hung,,Hung,,1,,5/9/2022 11:48
huojin,,Huojin,,1,,5/9/2022 11:48
jaw-long,,Jaw-Long,,1,,5/9/2022 11:48
jiahang,,Jiahang,,1,,5/9/2022 11:48
jialun,,Jialun,,1,,5/9/2022 11:48
jian,,Jian,,1,,5/9/2022 11:48
jianbin,,Jianbin,,1,,5/9/2022 11:48
jianci,,Jianci,,1,,5/9/2022 11:48
jiang,,Jiang,,1,,5/9/2022 11:48
jianguo,,Jianguo,,1,,5/9/2022 11:48
jianjun,,Jianjun,,1,,5/9/2022 11:48
jianyu,,Jianyu,,1,,5/9/2022 11:48
jiarui,,Jiarui,,1,,5/9/2022 11:48
jiayi,,Jiayi,,1,,5/9/2022 11:48
jiayin,,Jiayin,,1,,5/9/2022 11:48
jie,,Jie,,1,,5/9/2022 11:48
jin,,Jin,,1,,5/9/2022 11:48
jing,,Jing,,1,,5/9/2022 11:48
jingchun,,Jingchun,,1,,5/9/2022 11:48
jingfu,,Jingfu,,1,,5/9/2022 11:48
jingguo,,Jingguo,,1,,5/9/2022 11:48
jingting,,Jingting,,1,,5/9/2022 11:48
jingyu,,Jingyu,,1,,5/9/2022 11:48
jinhai,,Jinhai,,1,,5/9/2022 11:48
jinjing,,Jinjing,,1,,5/9/2022 11:48
jinsong,,Jinsong,,1,,5/9/2022 11:48
jiongming,,Jiongming,,1,,5/9/2022 11:48
jishen,,Jishen,,1,,5/9/2022 11:48
jiyao,,Jiyao,,1,,5/9/2022 11:48
jue,,Jue,,1,,5/9/2022 11:48
jun,,Jun,,1,,5/9/2022 11:48
junchen,,Junchen,,1,,5/9/2022 11:48
junfeng,,Junfeng,,1,,5/9/2022 11:48
junhui,,Junhui,,1,,5/9/2022 11:48
junjie,,Junjie,,1,,5/9/2022 11:48
junkai,,Junkai,,1,,5/9/2022 11:48
junli,,Junli,,1,,5/9/2022 11:48
kai,,Kai,,1,,5/9/2022 11:48
kaicheng,,Kaicheng,,1,,5/9/2022 11:48
kang,,Kang,,1,,5/9/2022 11:48
ke,,Ke,,1,,5/9/2022 11:48
keung,,Keung,,1,,5/9/2022 11:48
kong,,Kong,,1,,5/9/2022 11:48
kuizhi,,Kuizhi,,1,,5/9/2022 11:48
kun,,Kun,,1,,5/9/2022 11:48
lai yi,,Lai Yi,,1,,5/9/2022 11:48
lanfang,,Lanfang,,1,,5/9/2022 11:48
langen,,Langen,,1,,5/9/2022 11:48
lei,,Lei,,1,,5/9/2022 11:48
li,,Li,,1,,5/9/2022 11:48
lì,,Lì,,1,,5/9/2022 11:48
lian,,Lian,,1,,5/9/2022 11:48
liang,,Liang,,1,,5/9/2022 11:48
lianliang,,Lianliang,,1,,5/14/2024 2:16
lianwen,,Lianwen,,1,,5/14/2024 2:16
liko,,Liko,,1,,5/14/2024 2:16
ling,,Ling,,1,,5/14/2024 2:16
linghe,,Linghe,,1,,5/14/2024 2:16
liqin,,Liqin,,1,,5/14/2024 2:16
liu,,Liu,,1,,5/14/2024 2:16
liwei,,Liwei,,1,,5/14/2024 2:16
lok,,Lok,,1,,5/14/2024 2:16
long,,Long,,1,,5/14/2024 2:16
longwei,,Longwei,,1,,5/14/2024 2:16
lun,,Lun,,1,,5/14/2024 2:16
lung,,Lung,,1,,5/14/2024 2:16
luyi,,Luyi,,1,,5/14/2024 2:16
ma,,Ma,,1,,5/14/2024 2:16
manchu,,Manchu,,1,,5/14/2024 2:16
men,,Men,,1,,5/14/2024 2:16
menglong,,Menglong,,1,,5/14/2024 2:16
mengshi,,Mengshi,,1,,5/14/2024 2:16
mengyao,,Mengyao,,1,,5/14/2024 2:16
ming-húa,,Ming-Húa,,1,,5/14/2024 2:16
ming-tun,,Ming-Tun,,1,,5/14/2024 2:16
ming'en,,Ming'en,,1,,5/14/2024 2:16
minghao,,Minghao,,1,,5/14/2024 2:16
mingli,,Mingli,,1,,5/14/2024 2:16
mingming,,Mingming,,1,,5/14/2024 2:16
mingyu,,Mingyu,,1,,5/14/2024 2:16
minsheng,,Minsheng,,1,,5/14/2024 2:16
minzhe,,Minzhe,,1,,5/14/2024 2:16
muzhi,,Muzhi,,1,,5/14/2024 2:16
naidong,,Naidong,,1,,5/14/2024 2:16
nailiang,,Nailiang,,1,,5/14/2024 2:16
ngai,,Ngai,,1,,5/14/2024 2:16
nianzu,,Nianzu,,1,,5/14/2024 2:16
ning,,Ning,,1,,5/14/2024 2:16
niu,,Niu,,1,,5/14/2024 2:16
nui,,Nui,,1,,5/14/2024 2:16
on,,On,,1,,5/14/2024 2:16
ou,,Ou,,1,,5/14/2024 2:16
park,,Park,,1,,5/14/2024 2:16
peiqi,,Peiqi,,1,,5/14/2024 2:16
peizhi,,Peizhi,,1,,5/14/2024 2:16
peng,,Peng,,1,,5/14/2024 2:16
pengfei,,Pengfei,,1,,5/14/2024 2:16
pinchao,,Pinchao,,1,,5/14/2024 2:16
ping,,Ping,,1,,5/14/2024 2:16
qi,,Qi,,1,,5/14/2024 2:16
qianfan,,Qianfan,,1,,5/14/2024 2:16
qiang,,Qiang,,1,,5/14/2024 2:16
qianyuan,,Qianyuan,,1,,5/14/2024 2:16
qiao,,Qiao,,1,,5/14/2024 2:16
qilin,,Qilin,,1,,5/14/2024 2:16
qing,,Qing,,1,,5/14/2024 2:16
qingfu,,Qingfu,,1,,5/14/2024 2:16
qingshan,,Qingshan,,1,,5/14/2024 2:16
qingsheng,,Qingsheng,,1,,5/14/2024 2:16
qiong,,Qiong,,1,,5/14/2024 2:16
qiquiang,,Qiquiang,,1,,5/14/2024 2:16
qiru,,Qiru,,1,,5/14/2024 2:16
qiu,,Qiu,,1,,5/14/2024 2:16
quan,,Quan,,1,,5/14/2024 2:16
qun,,Qun,,1,,5/14/2024 2:16
quon,,Quon,,1,,5/14/2024 2:16
