Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
—,—,—,—,—,—,—
li,,Li,,1,,5/9/2022 11:48
wang,,Wang,,1,,5/9/2022 11:48
zhang,,Zhang,,1,,5/9/2022 11:48
liu,,Liu,,1,,5/9/2022 11:48
chen,,Chen,,1,,5/9/2022 11:48
yang,,Yang,,1,,5/9/2022 11:48
zhao,,Zhao,,1,,5/9/2022 11:48
huang,,Huang,,1,,5/9/2022 11:48
zhou,,Zhou,,1,,5/9/2022 11:48
wu,,Wu,,1,,5/9/2022 11:48
xu,,Xu,,1,,5/9/2022 11:48
sun,,Sun,,1,,5/9/2022 11:48
hu,,Hu,,1,,5/9/2022 11:48
zhu,,Zhu,,1,,5/9/2022 11:48
gao,,Gao,,1,,5/9/2022 11:48
lin,,Lin,,1,,5/9/2022 11:48
he,,He,,1,,5/9/2022 11:48
guo,,Guo,,1,,5/9/2022 11:48
ma,,Ma,,1,,5/9/2022 11:48
luo,,Luo,,1,,5/9/2022 11:48
liang,,Liang,,1,,5/9/2022 11:48
song,,Song,,1,,5/9/2022 11:48
zheng,,Zheng,,1,,5/9/2022 11:48
xie,,Xie,,1,,5/9/2022 11:48
han,,Han,,1,,5/9/2022 11:48
tang,,Tang,,1,,5/9/2022 11:48
feng,,Feng,,1,,5/9/2022 11:48
yu,,Yu,,1,,5/9/2022 11:48
dong,,Dong,,1,,5/9/2022 11:48
xiao,,Xiao,,1,,5/9/2022 11:48
cheng,,Cheng,,1,,5/9/2022 11:48
cao,,Cao,,1,,5/9/2022 11:48
yuan,,Yuan,,1,,5/9/2022 11:48
deng,,Deng,,1,,5/9/2022 11:48
fu,,Fu,,1,,5/9/2022 11:48
shen,,Shen,,1,,5/9/2022 11:48
zeng,,Zeng,,1,,5/9/2022 11:48
peng,,Peng,,1,,5/9/2022 11:48
lu,,Lu,,1,,5/9/2022 11:48
su,,Su,,1,,5/9/2022 11:48
jiang,,Jiang,,1,,5/9/2022 11:48
cai,,Cai,,1,,5/9/2022 11:48
jia,,Jia,,1,,5/9/2022 11:48
ding,,Ding,,1,,5/9/2022 11:48
wei,,Wei,,1,,5/9/2022 11:48
xue,,Xue,,1,,5/9/2022 11:48
ye,,Ye,,1,,5/9/2022 11:48
yan,,Yan,,1,,5/9/2022 11:48
pan,,Pan,,1,,5/9/2022 11:48
du,,Du,,1,,5/9/2022 11:48
dai,,Dai,,1,,5/9/2022 11:48
xia,,Xia,,1,,5/9/2022 11:48
zhong,,Zhong,,1,,5/9/2022 11:48
tian,,Tian,,1,,5/9/2022 11:48
ren,,Ren,,1,,5/9/2022 11:48
fan,,Fan,,1,,5/9/2022 11:48
fang,,Fang,,1,,5/9/2022 11:48
shi,,Shi,,1,,5/9/2022 11:48
yao,,Yao,,1,,5/9/2022 11:48
tan,,Tan,,1,,5/9/2022 11:48
sheng,,Sheng,,1,,5/9/2022 11:48
zou,,Zou,,1,,5/9/2022 11:48
xiong,,Xiong,,1,,5/9/2022 11:48
jin,,Jin,,1,,5/9/2022 11:48
hao,,Hao,,1,,5/9/2022 11:48
kong,,Kong,,1,,5/9/2022 11:48
bai,,Bai,,1,,5/9/2022 11:48
cui,,Cui,,1,,5/9/2022 11:48
kang,,Kang,,1,,5/9/2022 11:48
mao,,Mao,,1,,5/9/2022 11:48
qiu,,Qiu,,1,,5/9/2022 11:48
qin,,Qin,,1,,5/9/2022 11:48
gu,,Gu,,1,,5/9/2022 11:48
hou,,Hou,,1,,5/9/2022 11:48
shao,,Shao,,1,,5/9/2022 11:48
meng,,Meng,,1,,5/9/2022 11:48
long,,Long,,1,,5/9/2022 11:48
wan,,Wan,,1,,5/9/2022 11:48
duan,,Duan,,1,,5/9/2022 11:48
qian,,Qian,,1,,5/9/2022 11:48
yin,,Yin,,1,,5/9/2022 11:48
yi,,Yi,,1,,5/9/2022 11:48
chang,,Chang,,1,,5/9/2022 11:48
qiao,,Qiao,,1,,5/9/2022 11:48
lai,,Lai,,1,,5/9/2022 11:48
gong,,Gong,,1,,5/9/2022 11:48
wen,,Wen,,1,,5/9/2022 11:48
,,Ai,,,,
,,An,,,,
,,Ao,,,,
,,Baili,,,,
,,Ban,,,,
,,Bao,,,,
,,Bei,,,,
,,Bi,,,,
,,Bian,,,,
,,Bing,,,,
,,Bo,,,,
,,Bong,,,,
,,Cen,,,,
,,Ch'ang,,,,
,,Ch'en,,,,
,,Ch'eng,,,,
,,Ch'iao,,,,
,,Ch'ien,,,,
,,Ch'in,,,,
,,Ch'iu,,,,
,,Chai,,,,
,,Chan,,,,
,,Chao,,,,
,,Che,,,,
,,Chea,,,,
,,Cheung,,,,
,,Chew,,,,
,,Chi,,,,
,,Chia,,,,
,,Chiang,,,,
,,Chin,,,,
,,Ching,,,,
,,Chiu,,,,
,,Chong,,,,
,,Chou,,,,
,,Chow,,,,
,,Chu,,,,
,,Chuang,,,,
,,Chui,,,,
,,Chung,,,,
,,Chunyu,,,,
,,Cong,,,,
,,Dan,,,,
,,Dang,,,,
,,Di,,,,
,,Diao,,,,
,,Diwu,,,,
,,Dongfang,,,,
,,Dongge,,,,
,,Dongguo,,,,
,,Dongmen,,,,
,,Dou,,,,
,,Duanmu,,,,
,,Dugu,,,,
,,E,,,,
,,Fei,,,,
,,Gan,,,,
,,Gaw,,,,
,,Ge,,,,
,,Geng,,,,
,,Gongsun,,,,
,,Gongxi,,,,
,,Gongyang,,,,
,,Gongye,,,,
,,Gou,,,,
,,Guan,,,,
,,Guanqiu,,,,
,,Gui,,,,
,,Guliang,,,,
,,Hai,,,,
,,Heng,,,,
,,Ho,,,,
,,Hom,,,,
,,Hong,,,,
,,Hsia,,,,
,,Hsiang,,,,
,,Hsiao,,,,
,,Hsieh,,,,
,,Hsin,,,,
,,Hsiung,,,,
,,Hsu,,,,
,,Hsueh,,,,
,,Hua,,,,
,,Huangfu,,,,
,,Huangsi,,,,
,,Hui,,,,
,,Hung,,,,
,,Huo,,,,
,,Huyan,,,,
,,I,,,,
,,Jen,,,,
,,Ji,,,,
,,Jian,,,,
,,Jiao,,,,
,,Jing,,,,
,,Ju,,,,
,,Jung,,,,
,,K'o,,,,
,,K'ung,,,,
,,Kam,,,,
,,Kan,,,,
,,Kao,,,,
,,Ke,,,,
,,Ku,,,,
,,Kuang,,,,
,,Kung,,,,
,,Kuo,,,,
,,Lan,,,,
,,Lanxiang,,,,
,,Le,,,,
,,Lei,,,,
,,Leng,,,,
,,Liao,,,,
,,Ling,,,,
,,Linghu,,,,
,,Lo,,,,
,,Loi,,,,
,,Looi,,,,
,,Lou,,,,
,,Luan,,,,
,,Lui,,,,
,,Luli,,,,
,,Lung,,,,
,,Luqiu,,,,
,,Mai,,,,
,,Mei,,,,
,,Mi,,,,
,,Miao,,,,
,,Min,,,,
,,Mo,,,,
,,Mok,,,,
,,Mong,,,,
,,Mu,,,,
,,Nan,,,,
,,Nangong,,,,
,,Nee,,,,
,,Ng,,,,
,,Ngai,,,,
,,Ni,,,,
,,Nie,,,,
,,Ning,,,,
,,Niu,,,,
,,Ou,,,,
,,Ouyang,,,,
,,P'an,,,,
,,P'eng,,,,
,,Pai,,,,
,,Pang,,,,
,,Pei,,,,
,,Pi,,,,
,,Ping,,,,
,,Pon,,,,
,,Pu,,,,
,,Pun,,,,
,,Qi,,,,
,,Qu,,,,
,,Ran,,,,
,,Rao,,,,
,,Rong,,,,
,,Ru,,,,
,,Ruan,,,,
,,Rui,,,,
,,Sang,,,,
,,Sha,,,,
,,Shan,,,,
,,Shangguan,,,,
,,She,,,,
,,Shentu,,,,
,,Sheung,,,,
,,Shih,,,,
,,Shing,,,,
,,Shuai,,,,
,,Shui,,,,
,,Shum,,,,
,,Si,,,,
,,Sikong,,,,
,,Sikou,,,,
,,Sima,,,,
,,Situ,,,,
,,Sui,,,,
,,Sung,,,,
,,T'an,,,,
,,T'ang,,,,
,,T'ao,,,,
,,T'ien,,,,
,,Tai,,,,
,,Taishi,,,,
,,Tantai,,,,
,,Tao,,,,
,,Teng,,,,
,,Ting,,,,
,,Toh,,,,
,,Tong,,,,
,,Tou,,,,
,,Ts'ai,,,,
,,Ts'ao,,,,
,,Ts'ui,,,,
,,Tsang,,,,
,,Tseng,,,,
,,Tsou,,,,
,,Tsui,,,,
,,Tu,,,,
,,Tuan,,,,
,,Tung,,,,
,,Tuo,,,,
,,Weng,,,,
,,Wenren,,,,
,,When,,,,
,,Wong,,,,
,,Wuma,,,,
,,Xi,,,,
,,Xiahou,,,,
,,Xian,,,,
,,Xiang,,,,
,,Xianyu,,,,
,,Ximen,,,,
,,Xin,,,,
,,Xing,,,,
,,Xuan,,,,
,,Xuanyuan,,,,
,,Xun,,,,
,,Yangzi,,,,
,,Yau,,,,
,,Yeh,,,,
,,Yehliu,,,,
,,Yen,,,,
,,Yeo,,,,
,,Yeoh,,,,
,,Ying,,,,
,,Yong,,,,
,,You,,,,
,,Yuchi,,,,
,,Yue,,,,
,,Yuezheng,,,,
,,Yun,,,,
,,Yung,,,,
,,Zai,,,,
,,Zang,,,,
,,Zha,,,,
,,Zhai,,,,
,,Zhan,,,,
,,Zhen,,,,
,,Zhi,,,,
,,Zhongli,,,,
,,Zhuang,,,,
,,Zhuge,,,,
,,Zhuo,,,,
,,Zhurong,,,,
,,Ziju,,,,
,,Zong,,,,
,,Zu,,,,
,,Zuo,,,,
,,Zuoren,,,,
