Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
—,—,—,—,—,—,—
artem,Belarus,Artem,,1,,5/9/2022 11:48
ivan,Bulgarian,Ivan,,1,,5/9/2022 11:48
timofei,Czechia,Timofei,,1,,5/9/2022 11:48
maxim,Estonia,Maxim,,1,,5/9/2022 11:48
daniil,Latvia,Daniil,,1,,5/9/2022 11:48
davit,Lithuania,Davit,,1,,5/9/2022 11:48
narek,Poland,Narek,,1,,5/9/2022 11:48
alex,Romanian,Alex,,1,,5/9/2022 11:48
tigran,Russia,Tigran,,1,,5/9/2022 11:48
gor,Slovakia,Gor,,1,,5/9/2022 11:48
hayk,Ukraine,Hayk,,1,,5/9/2022 11:48
artur,,Artur,,1,,5/9/2022 11:48
arman,,Arman,,1,,5/9/2022 11:48
alen,,Alen,,1,,5/9/2022 11:48
erik,,Erik,,1,,5/9/2022 11:48
samvel,,Samvel,,1,,5/9/2022 11:48
armen,,Armen,,1,,5/9/2022 11:48
ashot,,Ashot,,1,,5/9/2022 11:48
aram,,Aram,,1,,5/9/2022 11:48
aren,,Aren,,1,,5/9/2022 11:48
artyom,,Artyom,,1,,5/9/2022 11:48
gagik,,Gagik,,1,,5/9/2022 11:48
gevorg,,Gevorg,,1,,5/9/2022 11:48
sargis,,Sargis,,1,,5/9/2022 11:48
arsen,,Arsen,,1,,5/9/2022 11:48
hovhannes,,Hovhannes,,1,,5/9/2022 11:48
miqayel,,Miqayel,,1,,5/9/2022 11:48
areg,,Areg,,1,,5/9/2022 11:48
vahe,,Vahe,,1,,5/9/2022 11:48
levon,,Levon,,1,,5/9/2022 11:48
robert,,Robert,,1,,5/9/2022 11:48
karen,,Karen,,1,,5/9/2022 11:48
daniel,,Daniel,,1,,5/9/2022 11:48
mark,,Mark,,1,,5/9/2022 11:48
vardan,,Vardan,,1,,5/9/2022 11:48
suren,,Suren,,1,,5/9/2022 11:48
mher,,Mher,,1,,5/9/2022 11:48
andranik,,Andranik,,1,,5/9/2022 11:48
harutyun,,Harutyun,,1,,5/9/2022 11:48
ruben,,Ruben,,1,,5/9/2022 11:48
garik,,Garik,,1,,5/9/2022 11:48
hakob,,Hakob,,1,,5/9/2022 11:48
alexandr,,Alexandr,,1,,5/9/2022 11:48
edgar,,Edgar,,1,,5/9/2022 11:48
grigor,,Grigor,,1,,5/9/2022 11:48
rafael,,Rafael,,1,,5/9/2022 11:48
sergey,,Sergey,,1,,5/9/2022 11:48
albert,,Albert,,1,,5/9/2022 11:48
eduard,,Eduard,,1,,5/9/2022 11:48
vahan,,Vahan,,1,,5/9/2022 11:48
avet,,Avet,,1,,5/9/2022 11:48
yusif,,Yusif,,1,,5/9/2022 11:48
huseyn,,Huseyn,,1,,5/9/2022 11:48
ali,,Ali,,1,,5/9/2022 11:48
omar,,Omar,,1,,5/9/2022 11:48
mahammad,,Mahammad,,1,,5/9/2022 11:48
tunar,,Tunar,,1,,5/9/2022 11:48
murad,,Murad,,1,,5/9/2022 11:48
aykhan,,Aykhan,,1,,5/9/2022 11:48
ughur,,Ughur,,1,,5/9/2022 11:48
ibrahim,,Ibrahim,,1,,5/9/2022 11:48
rasmus,,Rasmus,,1,,5/9/2022 11:48
robin,,Robin,,1,,5/9/2022 11:48
oliver,,Oliver,,1,,5/9/2022 11:48
artjom,,Artjom,,1,,5/9/2022 11:48
maksim,,Maksim,,1,,5/9/2022 11:48
martin,,Martin,,1,,5/9/2022 11:48
kaspar,,Kaspar,,1,,5/9/2022 11:48
oskar,,Oskar,,1,,5/9/2022 11:48
henri,,Henri,,1,,5/9/2022 11:48
markus,,Markus,,1,,5/9/2022 11:48
romet,,Romet,,1,,5/9/2022 11:48
hugo,,Hugo,,1,,5/9/2022 11:48
karl,,Karl,,1,,5/9/2022 11:48
sebastian,,Sebastian,,1,,5/9/2022 11:48
marten,,Marten,,1,,5/9/2022 11:48
sander,,Sander,,1,,5/9/2022 11:48
nikita,,Nikita,,1,,5/9/2022 11:48
kristofer,,Kristofer,,1,,5/9/2022 11:48
mattias,,Mattias,,1,,5/9/2022 11:48
kirill,,Kirill,,1,,5/9/2022 11:48
giorgi,,Giorgi,,1,,5/9/2022 11:48
anikoloz,,Anikoloz,,1,,5/9/2022 11:48
andria,,Andria,,1,,5/9/2022 11:48
gabrieli,,Gabrieli,,1,,5/9/2022 11:48
luka,,Luka,,1,,5/9/2022 11:48
saba,,Saba,,1,,5/9/2022 11:48
daviti,,Daviti,,1,,5/9/2022 11:48
aleksandre,,Aleksandre,,1,,5/9/2022 11:48
roberts,,Roberts,,1,,5/9/2022 11:48
markuss,,Markuss,,1,,5/9/2022 11:48
artjoms,,Artjoms,,1,,5/9/2022 11:48
ralfs,,Ralfs,,1,,5/9/2022 11:48
gustavs,,Gustavs,,1,,5/9/2022 11:48
maksims,,Maksims,,1,,5/9/2022 11:48
artūrs,,Artūrs,,1,,5/9/2022 11:48
aleksandrs,,Aleksandrs,,1,,5/9/2022 11:48
emils,,Emils,,1,,5/9/2022 11:48
daniels,,Daniels,,1,,5/9/2022 11:48
lukas,,Lukas,,1,,5/9/2022 11:48
dominykas,,Dominykas,,1,,5/9/2022 11:48
matas,,Matas,,1,,5/9/2022 11:48
jonas,,Jonas,,1,,5/9/2022 11:48
jokūbas,,Jokūbas,,1,,5/9/2022 11:48
nojus,,Nojus,,1,,5/9/2022 11:48
domas,,Domas,,1,,5/9/2022 11:48
benas,,Benas,,1,,5/9/2022 11:48
emilis,,Emilis,,1,,5/9/2022 11:48
kajus,,Kajus,,1,,5/9/2022 11:48
domantas,,Domantas,,1,,5/9/2022 11:48
gabrielius,,Gabrielius,,1,,5/9/2022 11:48
dovydas,,Dovydas,,1,,5/9/2022 11:48
danielius,,Danielius,,1,,5/9/2022 11:48
arnas,,Arnas,,1,,5/9/2022 11:48
herkus,,Herkus,,1,,5/9/2022 11:48
motiejus,,Motiejus,,1,,5/9/2022 11:48
ignas,,Ignas,,1,,5/9/2022 11:48
adomas,,Adomas,,1,,5/9/2022 11:48
joris,,Joris,,1,,5/9/2022 11:48
aleksander,,Aleksander,,1,,5/9/2022 11:48
mikhail,,Mikhail,,1,,5/9/2022 11:48
dmitri,,Dmitri,,1,,5/9/2022 11:48
andrei,,Andrei,,1,,5/9/2022 11:48
igor,,Igor,,1,,5/9/2022 11:48
ilya,,Ilya,,1,,5/9/2022 11:48
alexei,,Alexei,,1,,5/9/2022 11:48
matvei,,Matvei,,1,,5/9/2022 11:48
vladimir,,Vladimir,,1,,5/9/2022 11:48
roman,,Roman,,1,,5/9/2022 11:48
yaroslav,,Yaroslav,,1,,5/9/2022 11:48
fyodor,,Fyodor,,1,,5/9/2022 11:48
sergei,,Sergei,,1,,5/9/2022 11:48
lev,,Lev,,1,,5/9/2022 11:48
stepan,,Stepan,,1,,5/9/2022 11:48
konstantin,,Konstantin,,1,,5/9/2022 11:48
vladislav,,Vladislav,,1,,5/9/2022 11:48
georgi,,Georgi,,1,,5/9/2022 11:48
nikolai,,Nikolai,,1,,5/9/2022 11:48
gleb,,Gleb,,1,,5/9/2022 11:48
timur,,Timur,,1,,5/9/2022 11:48
pavel,,Pavel,,1,,5/9/2022 11:48
matviy,,Matviy,,1,,5/9/2022 11:48
andriy,,Andriy,,1,,5/9/2022 11:48
danilo,,Danilo,,1,,5/9/2022 11:48
dmitro,,Dmitro,,1,,5/9/2022 11:48
denis,,Denis,,1,,5/9/2022 11:48
yuri,,Yuri,,1,,5/9/2022 11:48
markiyan,,Markiyan,,1,,5/9/2022 11:48
bogdan,,Bogdan,,1,,5/9/2022 11:48
sviatoslav,,Sviatoslav,,1,,5/9/2022 11:48
ostap,,Ostap,,1,,5/9/2022 11:48
aarne,,Aarne,,1,,5/25/2024 17:11
aaro,,Aaro,,1,,5/25/2024 17:11
ábel,,Ábel,,1,,5/25/2024 17:11
ábrahám,,Ábrahám,,1,,5/25/2024 17:11
abram,,Abram,,1,,5/25/2024 17:11
abrasha,,Abrasha,,1,,5/25/2024 17:11
adam,,Adam,,1,,5/25/2024 17:11
ádám,,Ádám,,1,,5/25/2024 17:11
adams,,Adams,,1,,5/25/2024 17:11
ādams,,Ādams,,1,,5/25/2024 17:11
adas,,Adas,,1,,5/25/2024 17:11
adi,,Adi,,1,,5/25/2024 17:11
adorján,,Adorján,,1,,5/25/2024 17:11
adrian,,Adrian,,1,,5/25/2024 17:11
adrián,,Adrián,,1,,5/25/2024 17:11
adrians,,Adrians,,1,,5/25/2024 17:11
afanasiy,,Afanasiy,,1,,5/25/2024 17:11
afanasy,,Afanasy,,1,,5/25/2024 17:11
afonya,,Afonya,,1,,5/25/2024 17:11
agafon,,Agafon,,1,,5/25/2024 17:11
ágoston,,Ágoston,,1,,5/25/2024 17:11
ahti,,Ahti,,1,,5/25/2024 17:11
aidas,,Aidas,,1,,5/25/2024 17:11
aigar,,Aigar,,1,,5/25/2024 17:11
aigars,,Aigars,,1,,5/25/2024 17:11
ain,,Ain,,1,,5/25/2024 17:11
ainars,,Ainars,,1,,5/25/2024 17:11
ainārs,,Ainārs,,1,,5/25/2024 17:11
aivar,,Aivar,,1,,5/25/2024 17:11
aivars,,Aivars,,1,,5/25/2024 17:11
akim,,Akim,,1,,5/25/2024 17:11
ákos,,Ákos,,1,,5/25/2024 17:11
alajos,,Alajos,,1,,5/25/2024 17:11
alan,,Alan,,1,,5/25/2024 17:11
albertas,,Albertas,,1,,5/25/2024 17:11
alberts,,Alberts,,1,,5/25/2024 17:11
albin,,Albin,,1,,5/25/2024 17:11
albinas,,Albinas,,1,,5/25/2024 17:11
aleh,,Aleh,,1,,5/25/2024 17:11
aleks,,Aleks,,1,,5/25/2024 17:11
aleksandar,,Aleksandar,,1,,5/25/2024 17:11
aleksandr,,Aleksandr,,1,,5/25/2024 17:11
aleksandras,,Aleksandras,,1,,5/25/2024 17:11
aleksei,,Aleksei,,1,,5/25/2024 17:11
aleksejs,,Aleksejs,,1,,5/25/2024 17:11
aleksey,,Aleksey,,1,,5/25/2024 17:11
aleksi,,Aleksi,,1,,5/25/2024 17:11
alekss,,Alekss,,1,,5/25/2024 17:11
aleksy,,Aleksy,,1,,5/25/2024 17:11
aleš,,Aleš,,1,,5/25/2024 17:11
alexander,,Alexander,,1,,5/25/2024 17:11
alexandru,,Alexandru,,1,,5/25/2024 17:11
alexej,,Alexej,,1,,5/25/2024 17:11
alexey,,Alexey,,1,,5/25/2024 17:11
alexsandr,,Alexsandr,,1,,5/25/2024 17:11
alfonsas,,Alfonsas,,1,,5/25/2024 17:11
alfonz,,Alfonz,,1,,5/25/2024 17:11
alfred,,Alfred,,1,,5/25/2024 17:11
alfréd,,Alfréd,,1,,5/25/2024 17:11
alfredas,,Alfredas,,1,,5/25/2024 17:11
alfreds,,Alfreds,,1,,5/25/2024 17:11
alfrēds,,Alfrēds,,1,,5/25/2024 17:11
algimantas,,Algimantas,,1,,5/25/2024 17:11
algirdas,,Algirdas,,1,,5/25/2024 17:11
algis,,Algis,,1,,5/25/2024 17:11
aliaksandr,,Aliaksandr,,1,,5/25/2024 17:11
aliaksei,,Aliaksei,,1,,5/25/2024 17:11
alik,,Alik,,1,,5/25/2024 17:11
alin,,Alin,,1,,5/25/2024 17:11
allan,,Allan,,1,,5/25/2024 17:11
almantas,,Almantas,,1,,5/25/2024 17:11
álmos,,Álmos,,1,,5/25/2024 17:11
alois,,Alois,,1,,5/25/2024 17:11
alojz,,Alojz,,1,,5/25/2024 17:11
alojzy,,Alojzy,,1,,5/25/2024 17:11
alvar,,Alvar,,1,,5/25/2024 17:11
alvis,,Alvis,,1,,5/25/2024 17:11
alvydas,,Alvydas,,1,,5/25/2024 17:11
alyosha,,Alyosha,,1,,5/25/2024 17:11
amadeusz,,Amadeusz,,1,,5/25/2024 17:11
ambroz,,Ambroz,,1,,5/25/2024 17:11
ambrož,,Ambrož,,1,,5/25/2024 17:11
ambrozy,,Ambrozy,,1,,5/25/2024 17:11
ambrus,,Ambrus,,1,,5/25/2024 17:11
amvrosi,,Amvrosi,,1,,5/25/2024 17:11
amvrosiy,,Amvrosiy,,1,,5/25/2024 17:11
amvrosy,,Amvrosy,,1,,5/25/2024 17:11
anastas,,Anastas,,1,,5/25/2024 17:11
anastasie,,Anastasie,,1,,5/25/2024 17:11
anastasiy,,Anastasiy,,1,,5/25/2024 17:11
anastazy,,Anastazy,,1,,5/25/2024 17:11
anasztáz,,Anasztáz,,1,,5/25/2024 17:11
anatol,,Anatol,,1,,5/25/2024 17:11
anatoli,,Anatoli,,1,,5/25/2024 17:11
anatolijs,,Anatolijs,,1,,5/25/2024 17:11
anatoliy,,Anatoliy,,1,,5/25/2024 17:11
anatoly,,Anatoly,,1,,5/25/2024 17:11
andon,,Andon,,1,,5/25/2024 17:11
andor,,Andor,,1,,5/25/2024 17:11
andrás,,András,,1,,5/25/2024 17:11
andrej,,Andrej,,1,,5/25/2024 17:11
andrejs,,Andrejs,,1,,5/25/2024 17:11
andres,,Andres,,1,,5/25/2024 17:11
andrey,,Andrey,,1,,5/25/2024 17:11
