Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
—,—,—,—,—,—,—
mammadov,,Mammadov,,1,,5/9/2022 11:48
aliyev,,Aliyev,,1,,5/9/2022 11:48
hasanov,,Hasanov,,1,,5/9/2022 11:48
huseynov,,Huseynov,,1,,5/9/2022 11:48
guliyev,,Guliyev,,1,,5/9/2022 11:48
hajiyev,,Hajiyev,,1,,5/9/2022 11:48
rasulov,,Rasulov,,1,,5/9/2022 11:48
suleymanov,,Suleymanov,,1,,5/9/2022 11:48
musayev,,Musayev,,1,,5/9/2022 11:48
abbasov,,Abbasov,,1,,5/9/2022 11:48
babayev,,Babayev,,1,,5/9/2022 11:48
valiyev,,Valiyev,,1,,5/9/2022 11:48
orujov,,Orujov,,1,,5/9/2022 11:48
ismayilov,,Ismayilov,,1,,5/9/2022 11:48
ibrahimov,,Ibrahimov,,1,,5/9/2022 11:48
ivanoÅ­,,IvanoÅ­,,1,,5/9/2022 11:48
kazloÅ­,,KazloÅ­,,1,,5/9/2022 11:48
kavalioÅ­,,KavalioÅ­,,1,,5/9/2022 11:48
kazloÅ­ski,,KazloÅ­ski,,1,,5/9/2022 11:48
novik,,Novik,,1,,5/9/2022 11:48
kazlauskas,,Kazlauskas,,1,,5/9/2022 11:48
jankauskas,,Jankauskas,,1,,5/9/2022 11:48
petrauskas,,Petrauskas,,1,,5/9/2022 11:48
stankeviÄius,,StankeviÄius,,1,,5/9/2022 11:48
vasiliauskas,,Vasiliauskas,,1,,5/9/2022 11:48
butkus,,Butkus,,1,,5/9/2022 11:48
Å¾ukauskas,,Å½ukauskas,,1,,5/9/2022 11:48
paulauskas,,Paulauskas,,1,,5/9/2022 11:48
urbonas,,Urbonas,,1,,5/9/2022 11:48
kavaliauskas,,Kavaliauskas,,1,,5/9/2022 11:48
nowak,,Nowak,,1,,5/9/2022 11:48
kowalski,,Kowalski,,1,,5/9/2022 11:48
wiÅ›niewski,,WiÅ›niewski,,1,,5/9/2022 11:48
wójcik,,Wójcik,,1,,5/9/2022 11:48
kowalczyk,,Kowalczyk,,1,,5/9/2022 11:48
kamiÅ„ski,,KamiÅ„ski,,1,,5/9/2022 11:48
lewandowski,,Lewandowski,,1,,5/9/2022 11:48
zieliÅ„ski,,ZieliÅ„ski,,1,,5/9/2022 11:48
szymaÅ„ski,,SzymaÅ„ski,,1,,5/9/2022 11:48
woÅºniak,,WoÅºniak,,1,,5/9/2022 11:48
dÄ…browski,,DÄ…browski,,1,,5/9/2022 11:48
kozÅ‚owski,,KozÅ‚owski,,1,,5/9/2022 11:48
jankowski,,Jankowski,,1,,5/9/2022 11:48
mazur,,Mazur,,1,,5/9/2022 11:48
kwiatkowski,,Kwiatkowski,,1,,5/9/2022 11:48
wojciechowski,,Wojciechowski,,1,,5/9/2022 11:48
krawczyk,,Krawczyk,,1,,5/9/2022 11:48
kaczmarek,,Kaczmarek,,1,,5/9/2022 11:48
piotrowski,,Piotrowski,,1,,5/9/2022 11:48
piecyk,,Piecyk,,1,,5/9/2022 11:48
smirnov,,Smirnov,,1,,5/9/2022 11:48
ivanov,,Ivanov,,1,,5/9/2022 11:48
kuznetsov,,Kuznetsov,,1,,5/9/2022 11:48
popov,,Popov,,1,,5/9/2022 11:48
sokolov,,Sokolov,,1,,5/9/2022 11:48
lebedev,,Lebedev,,1,,5/9/2022 11:48
kozlov,,Kozlov,,1,,5/9/2022 11:48
novikov,,Novikov,,1,,5/9/2022 11:48
morozov,,Morozov,,1,,5/9/2022 11:48
petrov,,Petrov,,1,,5/9/2022 11:48
volkov,,Volkov,,1,,5/9/2022 11:48
solovyov,,Solovyov,,1,,5/9/2022 11:48
vasilyev,,Vasilyev,,1,,5/9/2022 11:48
zaytsev,,Zaytsev,,1,,5/9/2022 11:48
pavlov,,Pavlov,,1,,5/9/2022 11:48
semyonov,,Semyonov,,1,,5/9/2022 11:48
golubev,,Golubev,,1,,5/9/2022 11:48
vinogradov,,Vinogradov,,1,,5/9/2022 11:48
bogdanov,,Bogdanov,,1,,5/9/2022 11:48
vorobyov,,Vorobyov,,1,,5/9/2022 11:48
jovanoviÄ‡,,JovanoviÄ‡,,1,,5/9/2022 11:48
petroviÄ‡,,PetroviÄ‡,,1,,5/9/2022 11:48
nikoliÄ‡,,NikoliÄ‡,,1,,5/9/2022 11:48
markoviÄ‡,,MarkoviÄ‡,,1,,5/9/2022 11:48
Ä‘orÄ‘eviÄ‡,,ÄorÄ‘eviÄ‡,,1,,5/9/2022 11:48
stojanoviÄ‡,,StojanoviÄ‡,,1,,5/9/2022 11:48
iliÄ‡,,IliÄ‡,,1,,5/9/2022 11:48
stankoviÄ‡,,StankoviÄ‡,,1,,5/9/2022 11:48
pavloviÄ‡,,PavloviÄ‡,,1,,5/9/2022 11:48
miloÅ¡eviÄ‡,,MiloÅ¡eviÄ‡,,1,,5/9/2022 11:48
novak,,Novak,,1,,5/9/2022 11:48
horvat,,Horvat,,1,,5/9/2022 11:48
kovaÄiÄ,,KovaÄiÄ,,1,,5/9/2022 11:48
krajnc,,Krajnc,,1,,5/9/2022 11:48
zupanÄiÄ,,ZupanÄiÄ,,1,,5/9/2022 11:48
potoÄnik,,PotoÄnik,,1,,5/9/2022 11:48
kovaÄ,,KovaÄ,,1,,5/9/2022 11:48
mlakar,,Mlakar,,1,,5/9/2022 11:48
kos,,Kos,,1,,5/9/2022 11:48
vidmar,,Vidmar,,1,,5/9/2022 11:48
golob,,Golob,,1,,5/9/2022 11:48
turk,,Turk,,1,,5/9/2022 11:48
boÅ¾iÄ,,BoÅ¾iÄ,,1,,5/9/2022 11:48
kralj,,Kralj,,1,,5/9/2022 11:48
koroÅ¡ec,,KoroÅ¡ec,,1,,5/9/2022 11:48
zupan,,Zupan,,1,,5/9/2022 11:48
bizjak,,Bizjak,,1,,5/9/2022 11:48
hribar,,Hribar,,1,,5/9/2022 11:48
kotnik,,Kotnik,,1,,5/9/2022 11:48
kavÄiÄ,,KavÄiÄ,,1,,5/9/2022 11:48
rozman,,Rozman,,1,,5/9/2022 11:48
kastelic,,Kastelic,,1,,5/9/2022 11:48
oblak,,Oblak,,1,,5/9/2022 11:48
Å¾agar,,Å½agar,,1,,5/9/2022 11:48
petek,,Petek,,1,,5/9/2022 11:48
hoÄevar,,HoÄevar,,1,,5/9/2022 11:48
kolar,,Kolar,,1,,5/9/2022 11:48
koÅ¡ir,,KoÅ¡ir,,1,,5/9/2022 11:48
koren,,Koren,,1,,5/9/2022 11:48
klemenÄiÄ,,KlemenÄiÄ,,1,,5/9/2022 11:48
horváth,,Horváth,,1,,5/9/2022 11:48
kováÄ,,KováÄ,,1,,5/9/2022 11:48
varga,,Varga,,1,,5/9/2022 11:48
tóth,,Tóth,,1,,5/9/2022 11:48
nagy,,Nagy,,1,,5/9/2022 11:48
baláÅ¾,,BaláÅ¾,,1,,5/9/2022 11:48
szabó,,Szabó,,1,,5/9/2022 11:48
molnár,,Molnár,,1,,5/9/2022 11:48
balog,,Balog,,1,,5/9/2022 11:48
lukáÄ,,LukáÄ,,1,,5/9/2022 11:48
melnyk,,Melnyk,,1,,5/9/2022 11:48
shevchenko,,Shevchenko,,1,,5/9/2022 11:48
boyko,,Boyko,,1,,5/9/2022 11:48
kovalenko,,Kovalenko,,1,,5/9/2022 11:48
bondarenko,,Bondarenko,,1,,5/9/2022 11:48
tkachenko,,Tkachenko,,1,,5/9/2022 11:48
kovalchuk,,Kovalchuk,,1,,5/9/2022 11:48
kravchenko,,Kravchenko,,1,,5/9/2022 11:48
oliynyk,,Oliynyk,,1,,5/9/2022 11:48
shevchuk,,Shevchuk,,1,,5/9/2022 11:48
koval,,Koval,,1,,5/9/2022 11:48
polishchuk,,Polishchuk,,1,,5/9/2022 11:48
bondar,,Bondar,,1,,5/9/2022 11:48
tkachuk,,Tkachuk,,1,,5/9/2022 11:48
moroz,,Moroz,,1,,5/9/2022 11:48
marchenko,,Marchenko,,1,,5/9/2022 11:48
lysenko,,Lysenko,,1,,5/9/2022 11:48
rudenko,,Rudenko,,1,,5/9/2022 11:48
savchenko,,Savchenko,,1,,5/9/2022 11:48
petrenko,,Petrenko,,1,,5/9/2022 11:48
,,Aleksandrov,,,,
,,Alekseev,,,,
,,Alekseyev,,,,
,,Andreev,,,,
,,Andreyev,,,,
,,Antonov,,,,
,,Baran,,,,
,,Bogomolov,,,,
,,Borisov,,,,
,,Borysov,,,,
,,Chayka,,,,
,,Chaykovsky,,,,
,,Fedorov,,,,
,,Filippov,,,,
,,Fyodorov,,,,
,,Gavrilyuk,,,,
,,Havrylyuk,,,,
,,Holub,,,,
,,Ignatiev,,,,
,,Ignatov,,,,
,,Ignatyev,,,,
,,Isaev,,,,
,,Isakov,,,,
,,Isayev,,,,
,,Ivankov,,,,
,,Klymenko,,,,
,,Kohut,,,,
,,Konstantinov,,,,
,,Kovalev,,,,
,,Kovalyov,,,,
,,Krupin,,,,
,,Kuzmenko,,,,
,,Lagounov,,,,
,,Lagunov,,,,
,,Makarov,,,,
,,Maksimov,,,,
,,Markov,,,,
,,Matveev,,,,
,,Matveyev,,,,
,,Medved,,,,
,,Medvedev,,,,
,,Mikhailov,,,,
,,Mikhaylov,,,,
,,Naoumov,,,,
,,Naumov,,,,
,,Nikitin,,,,
,,Nikolaev,,,,
,,Nikolayev,,,,
,,Orlov,,,,
,,Pasternak,,,,
,,Pavlenko,,,,
,,Pavlovsky,,,,
,,Rasputin,,,,
,,Roman,,,,
,,Romanov,,,,
,,Sergeev,,,,
,,Sergeyev,,,,
,,Shvets,,,,
,,Shwetz,,,,
,,Sobol,,,,
,,Sokolovsky,,,,
,,Stasiuk,,,,
,,Stepanov,,,,
,,Tchaikovsky,,,,
,,Trifonov,,,,
,,Utkin,,,,
,,Valentinov,,,,
,,Vasiliev,,,,
,,Vasylenko,,,,
,,Vasylyk,,,,
,,Vasylyshyn,,,,
,,Viktorov,,,,
,,Voronin,,,,
,,Yakovlev,,,,
,,Yegorov,,,,
,,Zakharov,,,,
,,Zelenko,,,,
,,Zhukov,,,,
,,Zyma,,,,
,,Kavalchuk,,,,
,,Kozel,,,,
,,Maroz,,,,
,,Melnik,,,,
,,Zhuk,,,,
,,ÄŒermák,,,,
,,Cermak,,,,
,,Hornick,,,,
,,Kovac,,,,
,,Krall,,,,
,,Horník,,,,
,,Král,,,,
