Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
— ,— ,— ,— ,— ,— ,— 
sofia,,Sofia,,1,,5/9/2022 11:48
valentina,,Valentina,,1,,5/9/2022 11:48
regina,,Regina,,1,,5/9/2022 11:48
ximena,,Ximena,,1,,5/9/2022 11:48
alejandra,,Alejandra,,1,,5/9/2022 11:48
aitana,,Aitana,,1,,5/9/2022 11:48
alba,,Alba,,1,,5/9/2022 11:48
amada,,Amada,,1,,5/9/2022 11:48
aniceta,,Aniceta,,1,,5/9/2022 11:48
araceli,,Araceli,,1,,5/9/2022 11:48
arcelia,,Arcelia,,1,,5/9/2022 11:48
aroa,,Aroa,,1,,5/9/2022 11:48
blanca,,Blanca,,1,,5/9/2022 11:48
brisa,,Brisa,,1,,5/9/2022 11:48
calida,,Calida,,1,,5/9/2022 11:48
candela,,Candela,,1,,5/9/2022 11:48
clementina,,Clementina,,1,,5/9/2022 11:48
dominica,,Dominica,,1,,5/9/2022 11:48
estela,,Estela,,1,,5/9/2022 11:48
estrella,,Estrella,,1,,5/9/2022 11:48
eulalia,,Eulalia,,1,,5/9/2022 11:48
felicidad,,Felicidad,,1,,5/9/2022 11:48
flor,,Flor,,1,,5/9/2022 11:48
floriana,,Floriana,,1,,5/9/2022 11:48
ines,,Ines,,1,,5/9/2022 11:48
iola,,Iola,,1,,5/9/2022 11:48
irati,,Irati,,1,,5/9/2022 11:48
jimena,,Jimena,,1,,5/9/2022 11:48
laia,,Laia,,1,,5/9/2022 11:48
lorena,,Lorena,,1,,5/9/2022 11:48
lucia,,Lucia,,1,,5/9/2022 11:48
mariposa,,Mariposa,,1,,5/9/2022 11:48
marisol,,Marisol,,1,,5/9/2022 11:48
marta,,Marta,,1,,5/9/2022 11:48
natalia,,Natalia,,1,,5/9/2022 11:48
nerea,,Nerea,,1,,5/9/2022 11:48
noa,,Noa,,1,,5/9/2022 11:48
nuria,,Nuria,,1,,5/9/2022 11:48
pilar,,Pilar,,1,,5/9/2022 11:48
raquel,,Raquel,,1,,5/9/2022 11:48
reyna,,Reyna,,1,,5/9/2022 11:48
ria,,Ria,,1,,5/9/2022 11:48
rosalina,,Rosalina,,1,,5/9/2022 11:48
sanchia,,Sanchia,,1,,5/9/2022 11:48
sefarina,,Sefarina,,1,,5/9/2022 11:48
silvia,,Silvia,,1,,5/9/2022 11:48
soledad,,Soledad,,1,,5/9/2022 11:48
tavia,,Tavia,,1,,5/9/2022 11:48
teodora,,Teodora,,1,,5/9/2022 11:48
trinidad,,Trinidad,,1,,5/9/2022 11:48
viviana,,Viviana,,1,,5/9/2022 11:48
ximenia,,Ximenia,,1,,5/9/2022 11:48
yara,,Yara,,1,,5/9/2022 11:48
ynes,,Ynes,,1,,5/9/2022 11:48
ysabel,,Ysabel,,1,,5/9/2022 11:48
zarita,,Zarita,,1,,5/9/2022 11:48
ane,,Ane,,1,,5/9/2022 11:48
june,,June,,1,,5/9/2022 11:48
nahia,,Nahia,,1,,5/9/2022 11:48
uxue,,Uxue,,1,,5/9/2022 11:48
haizea,,Haizea,,1,,5/9/2022 11:48
nora,,Nora,,1,,5/9/2022 11:48
martina,,Martina,,1,,5/9/2022 11:48
júlia,,Júlia,,1,,5/9/2022 11:48
emma,,Emma,,1,,5/9/2022 11:48
maria,,Maria,,1,,5/9/2022 11:48
aina,,Aina,,1,,5/9/2022 11:48
paula,,Paula,,1,,5/9/2022 11:48
carla,,Carla,,1,,5/9/2022 11:48
clàudia,,Clàudia,,1,,5/9/2022 11:48
abril,,Abril,,1,,5/9/2022 11:48
ona,,Ona,,1,,5/9/2022 11:48
sara,,Sara,,1,,5/9/2022 11:48
arlet,,Arlet,,1,,5/9/2022 11:48
sofía,,Sofía,,1,,5/9/2022 11:48
ariadna,,Ariadna,,1,,5/9/2022 11:48
jana,,Jana,,1,,5/9/2022 11:48
leonor,,Leonor,,1,,5/9/2022 11:48
matilde,,Matilde,,1,,5/9/2022 11:48
beatriz,,Beatriz,,1,,5/9/2022 11:48
carolina,,Carolina,,1,,5/9/2022 11:48
mariana,,Mariana,,1,,5/9/2022 11:48
ana,,Ana,,1,,5/9/2022 11:48
margarida,,Margarida,,1,,5/9/2022 11:48
lara,,Lara,,1,,5/9/2022 11:48
laura,,Laura,,1,,5/9/2022 11:48
francisca,,Francisca,,1,,5/9/2022 11:48
joana,,Joana,,1,,5/9/2022 11:48
alice,,Alice,,1,,5/9/2022 11:48
clara,,Clara,,1,,5/9/2022 11:48
diana,,Diana,,1,,5/9/2022 11:48
luana,,Luana,,1,,5/9/2022 11:48
madalena,,Madalena,,1,,5/9/2022 11:48
mafalda,,Mafalda,,1,,5/9/2022 11:48
bianca,,Bianca,,1,,5/9/2022 11:48
mara,,Mara,,1,,5/9/2022 11:48
constança,,Constança,,1,,5/9/2022 11:48
iris,,Iris,,1,,5/9/2022 11:48
daniela,,Daniela,,1,,5/9/2022 11:48
julia,,Julia,,1,,5/9/2022 11:48
valeria,,Valeria,,1,,5/9/2022 11:48
claudia,,Claudia,,1,,5/9/2022 11:48
carmen,,Carmen,,1,,5/9/2022 11:48
irene,,Irene,,1,,5/9/2022 11:48
adriana,,Adriana,,1,,5/9/2022 11:48
elena,,Elena,,1,,5/9/2022 11:48
olivia,,Olivia,,1,,5/9/2022 11:48
lola,,Lola,,1,,5/9/2022 11:48
vera,,Vera,,1,,5/9/2022 11:48
vega,,Vega,,1,,5/9/2022 11:48
alma,,Alma,,1,,5/9/2022 11:48
marina,,Marina,,1,,5/9/2022 11:48
ainhoa,,Ainhoa,,1,,5/9/2022 11:48
elsa,,Elsa,,1,,5/9/2022 11:48
triana,,Triana,,1,,5/9/2022 11:48
leire,,Leire,,1,,5/9/2022 11:48
carlota,,Carlota,,1,,5/9/2022 11:48
rocío,,Rocío,,1,,5/9/2022 11:48
ainara,,Ainara,,1,,5/9/2022 11:48
alicia,,Alicia,,1,,5/9/2022 11:48
angela,,Angela,,1,,5/9/2022 11:48
leyre,,Leyre,,1,,5/9/2022 11:48
celia,,Celia,,1,,5/9/2022 11:48
andrea,,Andrea,,1,,5/9/2022 11:48
victoria,,Victoria,,1,,5/9/2022 11:48
eva,,Eva,,1,,5/9/2022 11:48
mia,,Mia,,1,,5/9/2022 11:48
chloe,,Chloe,,1,,5/9/2022 11:48
manuela,,Manuela,,1,,5/9/2022 11:48
isabel,,Isabel,,1,,5/9/2022 11:48
zoe,,Zoe,,1,,5/9/2022 11:48
cristina,,Cristina,,1,,5/9/2022 11:48
alexia,,Alexia,,1,,5/9/2022 11:48
lia,,Lia,,1,,5/9/2022 11:48
iria,,Iria,,1,,5/9/2022 11:48
africa,,Africa,,1,,5/9/2022 11:48
mar,,Mar,,1,,5/9/2022 11:48
gabriela,,Gabriela,,1,,5/9/2022 11:48
naia,,Naia,,1,,5/9/2022 11:48
helena,,Helena,,1,,5/9/2022 11:48
paola,,Paola,,1,,5/9/2022 11:48
azahara,,Azahara,,1,,5/9/2022 11:48
noelia,,Noelia,,1,,5/9/2022 11:48
elia,,Elia,,1,,5/9/2022 11:48
luna,,Luna,,1,,5/9/2022 11:48
malak,,Malak,,1,,5/9/2022 11:48
berta,,Berta,,1,,5/9/2022 11:48
aya,,Aya,,1,,5/9/2022 11:48
mireia,,Mireia,,1,,5/9/2022 11:48
salma,,Salma,,1,,5/9/2022 11:48
cayetana,,Cayetana,,1,,5/9/2022 11:48
miriam,,Miriam,,1,,5/9/2022 11:48
nadia,,Nadia,,1,,5/9/2022 11:48
naiara,,Naiara,,1,,5/9/2022 11:48
cloe,,Cloe,,1,,5/9/2022 11:48
anna,,Anna,,1,,5/9/2022 11:48
nayara,,Nayara,,1,,5/9/2022 11:48
,,Abigaíl,,,,
,,Ada,,,,
,,Adela,,,,
,,Adelaida,,,,
,,Adelaide,,,,
,,Adelia,,,,
,,Adelina,,,,
,,Adora,,,,
,,Adoración,,,,
,,Agata,,,,
,,Ágata,,,,
,,Agripina,,,,
,,Agueda,,,,
,,Águeda,,,,
,,Agustina,,,,
,,Aída,,,,
,,Ainoa,,,,
,,Alberta,,,,
,,Albertina,,,,
,,Albina,,,,
,,Alda,,,,
,,Aldina,,,,
,,Ale,,,,
,,Alexandra,,,,
,,Alexandrina,,,,
,,Alícia,,,,
,,Alina,,,,
,,Alisa,,,,
,,Almudena,,,,
,,Amalia,,,,
,,Amália,,,,
,,Amanda,,,,
,,Amaranta,,,,
,,Amaya,,,,
,,Ámbar,,,,
,,Amelia,,,,
,,Amélia,,,,
,,America,,,,
,,América,,,,
,,Amor,,,,
,,Amparo,,,,
,,Ana Belén,,,,
,,Ana Isabel,,,,
,,Ana María,,,,
,,Ana Sofía,,,,
,,Anabel,,,,
,,Anabela,,,,
,,Anaís,,,,
,,Anastacia,,,,
,,Anastácia,,,,
,,Anastasia,,,,
,,Andreia,,,,
,,Ángela,,,,
,,Ángeles,,,,
,,Angelica,,,,
,,Angélica,,,,
,,Angelina,,,,
,,Angelita,,,,
,,Angustias,,,,
,,Ani,,,,
,,Anita,,,,
,,Anselma,,,,
,,Antonia,,,,
,,Antónia,,,,
,,Antonieta,,,,
,,Anunciación,,,,
,,Aparecida,,,,
,,Apolonia,,,,
,,Apolónia,,,,
,,Aránzazu,,,,
,,Ariana,,,,
,,Ascensión,,,,
,,Asunción,,,,
,,Atena,,,,
,,Atenea,,,,
,,Augusta,,,,
,,Aura,,,,
,,Aurea,,,,
,,Áurea,,,,
,,Aurelia,,,,
,,Aurélia,,,,
,,Aurora,,,,
,,Auxiliadora,,,,
,,Avelina,,,,
,,Azahar,,,,
,,Azucena,,,,
,,Balbina,,,,
,,Barbara,,,,
,,Bárbara,,,,
,,Begoña,,,,
,,Belén,,,,
,,Belinha,,,,
,,Benedicta,,,,
,,Benedita,,,,
,,Benigna,,,,
,,Benita,,,,
,,Bernarda,,,,
,,Bernardina,,,,
,,Bernardita,,,,
,,Betania,,,,
,,Bia,,,,
,,Bibiana,,,,
,,Bienvenida,,,,
,,Bonifacia,,,,
,,Branca,,,,
,,Brigida,,,,
,,Brígida,,,,
,,Bruna,,,,
,,Brunilda,,,,
,,Caetana,,,,
,,Calista,,,,
,,Calixta,,,,
,,Camila,,,,
,,Candelaria,,,,
,,Candelas,,,,
,,Candida,,,,
,,Cándida,,,,
,,Caridad,,,,
,,Carina,,,,
,,Carlotta,,,,
,,Carmela,,,,
,,Carmelita,,,,
,,Carmina,,,,
,,Carminho,,,,
,,Carmo,,,,
,,Casandra,,,,
,,Casilda,,,,
,,Cassia,,,,
,,Cássia,,,,
,,Catalina,,,,
,,Catarina,,,,
,,Catia,,,,
,,Cátia,,,,
,,Cecilia,,,,
,,Cecília,,,,
,,Celeste,,,,
,,Celestina,,,,
,,Célia,,,,
,,Celina,,,,
,,Cesária,,,,
,,Cesarina,,,,
,,Cielo,,,,
,,Cintia,,,,
,,Cíntia,,,,
,,Clarisa,,,,
,,Cláudia,,,,
,,Claudina,,,,
,,Clemencia,,,,
,,Cloé,,,,
,,Clotilde,,,,
,,Concepción,,,,
,,Consolación,,,,
,,Constanza,,,,
,,Consuela,,,,
,,Consuelo,,,,
,,Coral,,,,
,,Corina,,,,
,,Corona,,,,
,,Covadonga,,,,
,,Crescencia,,,,
,,Cristiana,,,,
,,Cruz,,,,
,,Custodia,,,,
,,Custódia,,,,
,,Dafne,,,,
,,Dalia,,,,
,,Dalila,,,,
,,Dámaris,,,,
,,Darita,,,,
,,Davinia,,,,
,,Debora,,,,
,,Débora,,,,
,,Delfina,,,,
,,Delia,,,,
,,Délia,,,,
,,Desamparados,,,,
,,Desideria,,,,
,,Desidéria,,,,
,,Dina,,,,
,,Diná,,,,
,,Dionisia,,,,
,,Dionísia,,,,
,,Dolores,,,,
,,Dominga,,,,
,,Domitila,,,,
,,Dora,,,,
,,Dores,,,,
,,Doris,,,,
,,Dóris,,,,
,,Dorotea,,,,
,,Doroteia,,,,
,,Dulce,,,,
,,Dulce María,,,,
,,Edelmira,,,,
,,Edite,,,,
,,Edsideria,,,,
,,Eduarda,,,,
,,Efigenia,,,,
,,Efigénia,,,,
,,Elba,,,,
,,Eli,,,,
,,Eliana,,,,
,,Eliane,,,,
,,Eligia,,,,
,,Elisa,,,,
,,Elisabet,,,,
,,Elisebete,,,,
,,Elizabete,,,,
,,Elodia,,,,
,,Eloisa,,,,
,,Eloísa,,,,
,,Elvira,,,,
,,Elza,,,,
,,Ema,,,,
,,Emanuela,,,,
,,Emelina,,,,
,,Emigdia,,,,
,,Emilia,,,,
,,Emília,,,,
,,Emiliana,,,,
,,Emperatriz,,,,
,,Encarna,,,,
,,Encarnación,,,,
,,Enriqueta,,,,
,,Ercilia,,,,
,,Ercília,,,,
,,Erica,,,,
,,Érica,,,,
,,Erika,,,,
,,Érika,,,,
,,Ermelinda,,,,
,,Ernestina,,,,
,,Esmeralda,,,,
,,Esperanza,,,,
,,Estefania,,,,
,,Estefanía,,,,
,,Ester,,,,
,,Esther,,,,
,,Estíbaliz,,,,
,,Etelvina,,,,
,,Eufemia,,,,
,,Eufémia,,,,
,,Eugenia,,,,
