Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
— ,— ,— ,— ,— ,— ,— 
amadeu,,Amadeu,,1,,5/9/2022 11:48
aaron,,Aaron,,1,,5/9/2022 11:48
aarón,,Aarón,,1,,5/9/2022 11:48
abel,,Abel,,1,,5/9/2022 11:48
abilio,,Abilio,,1,,5/9/2022 11:48
abílio,,Abílio,,1,,5/9/2022 11:48
abraham,,Abraham,,1,,5/9/2022 11:48
abrahán,,Abrahán,,1,,5/9/2022 11:48
abundio,,Abundio,,1,,5/9/2022 11:48
adalberto,,Adalberto,,1,,5/9/2022 11:48
adam,,Adam,,1,,5/9/2022 11:48
adán,,Adán,,1,,5/9/2022 11:48
adelardo,,Adelardo,,1,,5/9/2022 11:48
ademar,,Ademar,,1,,5/9/2022 11:48
adonay,,Adonay,,1,,5/9/2022 11:48
adrià,,Adrià,,1,,5/9/2022 11:48
adrian,,Adrian,,1,,5/9/2022 11:48
adrián,,Adrián,,1,,5/9/2022 11:48
adriano,,Adriano,,1,,5/9/2022 11:48
afonso,,Afonso,,1,,5/9/2022 11:48
agapito,,Agapito,,1,,5/9/2022 11:48
agostinho,,Agostinho,,1,,5/9/2022 11:48
agustín,,Agustín,,1,,5/9/2022 11:48
aimar,,Aimar,,1,,5/9/2022 11:48
aitor,,Aitor,,1,,5/9/2022 11:48
albano,,Albano,,1,,5/9/2022 11:48
alberto,,Alberto,,1,,5/9/2022 11:48
albino,,Albino,,1,,5/9/2022 11:48
alcides,,Alcides,,1,,5/9/2022 11:48
ale,,Ale,,1,,5/9/2022 11:48
aleix,,Aleix,,1,,5/9/2022 11:48
aleixo,,Aleixo,,1,,5/9/2022 11:48
alejandro,,Alejandro,,1,,5/9/2022 11:48
alejo,,Alejo,,1,,5/9/2022 11:48
alex,,Alex,,1,,5/9/2022 11:48
álex,,Álex,,1,,5/9/2022 11:48
alexandre,,Alexandre,,1,,5/9/2022 11:48
alexis,,Alexis,,1,,5/9/2022 11:48
alfonso,,Alfonso,,1,,5/9/2022 11:48
alfredo,,Alfredo,,1,,5/9/2022 11:48
almiro,,Almiro,,1,,5/9/2022 11:48
aloisio,,Aloisio,,1,,5/9/2022 11:48
aloísio,,Aloísio,,1,,5/9/2022 11:48
alonso,,Alonso,,1,,5/9/2022 11:48
alvaro,,Alvaro,,1,,5/9/2022 11:48
álvaro,,Álvaro,,1,,5/9/2022 11:48
amadeo,,Amadeo,,1,,5/9/2022 11:48
amado,,Amado,,1,,5/9/2022 11:48
amador,,Amador,,1,,5/9/2022 11:48
amancio,,Amancio,,1,,5/9/2022 11:48
amando,,Amando,,1,,5/9/2022 11:48
amaro,,Amaro,,1,,5/9/2022 11:48
ambrosio,,Ambrosio,,1,,5/9/2022 11:48
ambrósio,,Ambrósio,,1,,5/9/2022 11:48
americo,,Americo,,1,,5/9/2022 11:48
américo,,Américo,,1,,5/9/2022 11:48
amilcar,,Amilcar,,1,,5/9/2022 11:48
amílcar,,Amílcar,,1,,5/9/2022 11:48
anacleto,,Anacleto,,1,,5/9/2022 11:48
anastasio,,Anastasio,,1,,5/9/2022 11:48
ander,,Ander,,1,,5/9/2022 11:48
andre,,Andre,,1,,5/9/2022 11:48
andré,,André,,1,,5/9/2022 11:48
andres,,Andres,,1,,5/9/2022 11:48
andrés,,Andrés,,1,,5/9/2022 11:48
andrés felipe,,Andrés Felipe,,1,,5/9/2022 11:48
angel,,Angel,,1,,5/9/2022 11:48
ángel,,Ángel,,1,,5/9/2022 11:48
angelo,,Angelo,,1,,5/9/2022 11:48
anibal,,Anibal,,1,,5/9/2022 11:48
aníbal,,Aníbal,,1,,5/9/2022 11:48
anselmo,,Anselmo,,1,,5/9/2022 11:48
antelmo,,Antelmo,,1,,5/9/2022 11:48
antonio,,Antonio,,1,,5/9/2022 11:48
antónio,,António,,1,,5/9/2022 11:48
apolinar,,Apolinar,,1,,5/9/2022 11:48
ariel,,Ariel,,1,,5/9/2022 11:48
arístides,,Arístides,,1,,5/9/2022 11:48
aristrides,,Aristrides,,1,,5/9/2022 11:48
armando,,Armando,,1,,5/9/2022 11:48
arnaldo,,Arnaldo,,1,,5/9/2022 11:48
arnau,,Arnau,,1,,5/9/2022 11:48
arsenio,,Arsenio,,1,,5/9/2022 11:48
arsénio,,Arsénio,,1,,5/9/2022 11:48
artemio,,Artemio,,1,,5/9/2022 11:48
artur,,Artur,,1,,5/9/2022 11:48
arturo,,Arturo,,1,,5/9/2022 11:48
asdrúbal,,Asdrúbal,,1,,5/9/2022 11:48
asier,,Asier,,1,,5/9/2022 11:48
atanasio,,Atanasio,,1,,5/9/2022 11:48
atilio,,Atilio,,1,,5/9/2022 11:48
atílio,,Atílio,,1,,5/9/2022 11:48
augusto,,Augusto,,1,,5/9/2022 11:48
aureliano,,Aureliano,,1,,5/9/2022 11:48
aurelio,,Aurelio,,1,,5/9/2022 11:48
aurélio,,Aurélio,,1,,5/9/2022 11:48
avelino,,Avelino,,1,,5/9/2022 11:48
balbino,,Balbino,,1,,5/9/2022 11:48
baldo,,Baldo,,1,,5/9/2022 11:48
baldomero,,Baldomero,,1,,5/9/2022 11:48
balduino,,Balduino,,1,,5/9/2022 11:48
balduíno,,Balduíno,,1,,5/9/2022 11:48
baltasar,,Baltasar,,1,,5/9/2022 11:48
bartolomé,,Bartolomé,,1,,5/9/2022 11:48
bartolomeu,,Bartolomeu,,1,,5/9/2022 11:48
basilio,,Basilio,,1,,5/9/2022 11:48
baudilio,,Baudilio,,1,,5/9/2022 11:48
bautista,,Bautista,,1,,5/9/2022 11:48
benedicto,,Benedicto,,1,,5/9/2022 11:48
benedito,,Benedito,,1,,5/9/2022 11:48
benicio,,Benicio,,1,,5/9/2022 11:48
benigno,,Benigno,,1,,5/9/2022 11:48
benito,,Benito,,1,,5/9/2022 11:48
benjamim,,Benjamim,,1,,5/9/2022 11:48
benjamín,,Benjamín,,1,,5/9/2022 11:48
bento,,Bento,,1,,5/9/2022 11:48
bermudo,,Bermudo,,1,,5/9/2022 11:48
bernabé,,Bernabé,,1,,5/9/2022 11:48
bernardo,,Bernardo,,1,,5/9/2022 11:48
biel,,Biel,,1,,5/14/2024 2:16
blas,,Blas,,1,,5/14/2024 2:16
boaventura,,Boaventura,,1,,5/14/2024 2:16
bonifacio,,Bonifacio,,1,,5/14/2024 2:16
bonifácio,,Bonifácio,,1,,5/14/2024 2:16
borja,,Borja,,1,,5/14/2024 2:16
brás,,Brás,,1,,5/14/2024 2:16
brayan,,Brayan,,1,,5/14/2024 2:16
breno,,Breno,,1,,5/14/2024 2:16
bruno,,Bruno,,1,,5/14/2024 2:16
buenaventura,,Buenaventura,,1,,5/14/2024 2:16
caetano,,Caetano,,1,,5/14/2024 2:16
caio,,Caio,,1,,5/14/2024 2:16
calisto,,Calisto,,1,,5/14/2024 2:16
calixto,,Calixto,,1,,5/14/2024 2:16
camilo,,Camilo,,1,,5/14/2024 2:16
candelario,,Candelario,,1,,5/14/2024 2:16
candido,,Candido,,1,,5/14/2024 2:16
cándido,,Cándido,,1,,5/14/2024 2:16
carlinhos,,Carlinhos,,1,,5/14/2024 2:16
carlos,,Carlos,,1,,5/14/2024 2:16
carmelo,,Carmelo,,1,,5/14/2024 2:16
carmo,,Carmo,,1,,5/14/2024 2:16
casimiro,,Casimiro,,1,,5/14/2024 2:16
cassio,,Cassio,,1,,5/14/2024 2:16
cássio,,Cássio,,1,,5/14/2024 2:16
cayetano,,Cayetano,,1,,5/14/2024 2:16
cebrián,,Cebrián,,1,,5/14/2024 2:16
cecilio,,Cecilio,,1,,5/14/2024 2:16
cecílio,,Cecílio,,1,,5/14/2024 2:16
ceferino,,Ceferino,,1,,5/14/2024 2:16
celestino,,Celestino,,1,,5/14/2024 2:16
celino,,Celino,,1,,5/14/2024 2:16
celio,,Celio,,1,,5/14/2024 2:16
célio,,Célio,,1,,5/14/2024 2:16
celso,,Celso,,1,,5/14/2024 2:16
césar,,César,,1,,5/14/2024 2:16
cesario,,Cesario,,1,,5/14/2024 2:16
cesário,,Cesário,,1,,5/14/2024 2:16
cipriano,,Cipriano,,1,,5/14/2024 2:16
ciriaco,,Ciriaco,,1,,5/14/2024 2:16
ciríaco,,Ciríaco,,1,,5/14/2024 2:16
cirilo,,Cirilo,,1,,5/14/2024 2:16
cirino,,Cirino,,1,,5/14/2024 2:16
ciro,,Ciro,,1,,5/14/2024 2:16
claudinho,,Claudinho,,1,,5/14/2024 2:16
claudio,,Claudio,,1,,5/14/2024 2:16
cláudio,,Cláudio,,1,,5/14/2024 2:16
clemente,,Clemente,,1,,5/14/2024 2:16
cleto,,Cleto,,1,,5/14/2024 2:16
clímaco,,Clímaco,,1,,5/14/2024 2:16
conrado,,Conrado,,1,,5/14/2024 2:16
constantino,,Constantino,,1,,5/14/2024 2:16
cornelio,,Cornelio,,1,,5/14/2024 2:16
cornélio,,Cornélio,,1,,5/14/2024 2:16
cosme,,Cosme,,1,,5/14/2024 2:16
crisóstomo,,Crisóstomo,,1,,5/14/2024 2:16
cristian,,Cristian,,1,,5/14/2024 2:16
cristián,,Cristián,,1,,5/14/2024 2:16
cristiano,,Cristiano,,1,,5/14/2024 2:16
cristóbal,,Cristóbal,,1,,5/14/2024 2:16
cristopher,,Cristopher,,1,,5/14/2024 2:16
cruz,,Cruz,,1,,5/14/2024 2:16
curro,,Curro,,1,,5/14/2024 2:16
custodio,,Custodio,,1,,5/14/2024 2:16
custódio,,Custódio,,1,,5/14/2024 2:16
dagoberto,,Dagoberto,,1,,5/14/2024 2:16
damián,,Damián,,1,,5/14/2024 2:16
dan,,Dan,,1,,5/14/2024 2:16
daniel,,Daniel,,1,,5/14/2024 2:16
danilo,,Danilo,,1,,5/14/2024 2:16
dario,,Dario,,1,,5/14/2024 2:16
darío,,Darío,,1,,5/14/2024 2:16
david,,David,,1,,5/14/2024 2:16
demetrio,,Demetrio,,1,,5/14/2024 2:16
demétrio,,Demétrio,,1,,5/14/2024 2:16
deodato,,Deodato,,1,,5/14/2024 2:16
desiderio,,Desiderio,,1,,5/14/2024 2:16
desidério,,Desidério,,1,,5/14/2024 2:16
diego,,Diego,,1,,5/14/2024 2:16
dimas,,Dimas,,1,,5/14/2024 2:16
dinis,,Dinis,,1,,5/14/2024 2:16
diniz,,Diniz,,1,,5/14/2024 2:16
diogo,,Diogo,,1,,5/14/2024 2:16
dionisio,,Dionisio,,1,,5/14/2024 2:16
dionísio,,Dionísio,,1,,5/14/2024 2:16
diosdado,,Diosdado,,1,,5/14/2024 2:16
domingo,,Domingo,,1,,5/14/2024 2:16
domingos,,Domingos,,1,,5/14/2024 2:16
donato,,Donato,,1,,5/14/2024 2:16
duarte,,Duarte,,1,,5/14/2024 2:16
duilio,,Duilio,,1,,5/14/2024 2:16
dylan,,Dylan,,1,,5/14/2024 2:16
eberardo,,Eberardo,,1,,5/14/2024 2:16
edelmiro,,Edelmiro,,1,,5/14/2024 2:16
edgar,,Edgar,,1,,5/14/2024 2:16
édgar,,Édgar,,1,,5/14/2024 2:16
edgardo,,Edgardo,,1,,5/14/2024 2:16
edison,,Edison,,1,,5/14/2024 2:16
edmundo,,Edmundo,,1,,5/14/2024 2:16
eduardo,,Eduardo,,1,,5/14/2024 2:16
efraín,,Efraín,,1,,5/14/2024 2:16
efrén,,Efrén,,1,,5/14/2024 2:16
egidio,,Egidio,,1,,5/14/2024 2:16
egídio,,Egídio,,1,,5/14/2024 2:16
eladio,,Eladio,,1,,5/14/2024 2:16
elder,,Elder,,1,,5/14/2024 2:16
eleuterio,,Eleuterio,,1,,5/14/2024 2:16
eleutério,,Eleutério,,1,,5/14/2024 2:16
elias,,Elias,,1,,5/14/2024 2:16
elías,,Elías,,1,,5/14/2024 2:16
eliel,,Eliel,,1,,5/14/2024 2:16
eligio,,Eligio,,1,,5/14/2024 2:16
eliseo,,Eliseo,,1,,5/14/2024 2:16
eliseu,,Eliseu,,1,,5/14/2024 2:16
eloy,,Eloy,,1,,5/14/2024 2:16
elpidio,,Elpidio,,1,,5/14/2024 2:16
elpídio,,Elpídio,,1,,5/14/2024 2:16
elton,,Elton,,1,,5/14/2024 2:16
emanuel,,Emanuel,,1,,5/14/2024 2:16
emigdio,,Emigdio,,1,,5/14/2024 2:16
emiliano,,Emiliano,,1,,5/14/2024 2:16
emilio,,Emilio,,1,,5/14/2024 2:16
emílio,,Emílio,,1,,5/14/2024 2:16
enrique,,Enrique,,1,,5/14/2024 2:16
enzo,,Enzo,,1,,5/14/2024 2:16
epifanio,,Epifanio,,1,,5/14/2024 2:16
erasmo,,Erasmo,,1,,5/14/2024 2:16
eric,,Eric,,1,,5/14/2024 2:16
erico,,Erico,,1,,5/14/2024 2:16
érico,,Érico,,1,,5/14/2024 2:16
erik,,Erik,,1,,5/14/2024 2:16
ernesto,,Ernesto,,1,,5/14/2024 2:16
espiridión,,Espiridión,,1,,5/14/2024 2:16
estanislao,,Estanislao,,1,,5/14/2024 2:16
esteban,,Esteban,,1,,5/14/2024 2:16
euclides,,Euclides,,1,,5/14/2024 2:16
