Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
—,—,—,—,—,—,—
aarav,,Aarav,,1,,5/9/2022 11:48
aarush,,Aarush,,1,,5/9/2022 11:48
aayush,,Aayush,,1,,5/9/2022 11:48
advik,,Advik,,1,,5/9/2022 11:48
akarsh,,Akarsh,,1,,5/9/2022 11:48
arnav,,Arnav,,1,,5/9/2022 11:48
aniruddh,,Aniruddh,,1,,5/9/2022 11:48
bhavin,,Bhavin,,1,,5/9/2022 11:48
chirag,,Chirag,,1,,5/9/2022 11:48
darshit,,Darshit,,1,,5/9/2022 11:48
devansh,,Devansh,,1,,5/9/2022 11:48
dhruv,,Dhruv,,1,,5/9/2022 11:48
divit,,Divit,,1,,5/9/2022 11:48
divyansh,,Divyansh,,1,,5/9/2022 11:48
eshan,,Eshan,,1,,5/9/2022 11:48
faiyaz,,Faiyaz,,1,,5/9/2022 11:48
gurkiran,,Gurkiran,,1,,5/9/2022 11:48
hansh,,Hansh,,1,,5/9/2022 11:48
harikiran,,Harikiran,,1,,5/9/2022 11:48
himmat,,Himmat,,1,,5/9/2022 11:48
hiran,,Hiran,,1,,5/9/2022 11:48
indrajit,,Indrajit,,1,,5/9/2022 11:48
indranil,,Indranil,,1,,5/9/2022 11:48
jayesh,,Jayesh,,1,,5/9/2022 11:48
kiaan,,Kiaan,,1,,5/9/2022 11:48
lakshit,,Lakshit,,1,,5/9/2022 11:48
lakshay,,Lakshay,,1,,5/9/2022 11:48
madhup,,Madhup,,1,,5/9/2022 11:48
mitul,,Mitul,,1,,5/9/2022 11:48
neerav,,Neerav,,1,,5/9/2022 11:48
nishith,,Nishith,,1,,5/9/2022 11:48
ojas,,Ojas,,1,,5/9/2022 11:48
pranay,,Pranay,,1,,5/9/2022 11:48
priyansh,,Priyansh,,1,,5/9/2022 11:48
rachit,,Rachit,,1,,5/9/2022 11:48
reyansh,,Reyansh,,1,,5/9/2022 11:48
ranbir,,Ranbir,,1,,5/9/2022 11:48
rohan,,Rohan,,1,,5/9/2022 11:48
sahil,,Sahil,,1,,5/9/2022 11:48
samar,,Samar,,1,,5/9/2022 11:48
shaan,,Shaan,,1,,5/9/2022 11:48
shlok,,Shlok,,1,,5/9/2022 11:48
shray,,Shray,,1,,5/9/2022 11:48
shreyas,,Shreyas,,1,,5/9/2022 11:48
tushar,,Tushar,,1,,5/9/2022 11:48
uthkarsh,,Uthkarsh,,1,,5/9/2022 11:48
vaibhav,,Vaibhav,,1,,5/9/2022 11:48
vihaan,,Vihaan,,1,,5/9/2022 11:48
vivaan,,Vivaan,,1,,5/9/2022 11:48
yakshit,,Yakshit,,1,,5/9/2022 11:48
aadi,,Aadi,,1,,5/9/2022 11:48
aarnav,,Aarnav,,1,,5/9/2022 11:48
abdul,,Abdul,,1,,5/9/2022 11:48
abeer,,Abeer,,1,,5/9/2022 11:48
abhimanyu,,Abhimanyu,,1,,5/9/2022 11:48
abhiramnew,,Abhiramnew,,1,,5/9/2022 11:48
aditya,,Aditya,,1,,5/9/2022 11:48
advaith,,Advaith,,1,,5/9/2022 11:48
advay,,Advay,,1,,5/9/2022 11:48
agastya,,Agastya,,1,,5/9/2022 11:48
akshay,,Akshay,,1,,5/9/2022 11:48
amol,,Amol,,1,,5/9/2022 11:48
anay,,Anay,,1,,5/9/2022 11:48
anirudhnew,,Anirudhnew,,1,,5/9/2022 11:48
anmol,,Anmol,,1,,5/9/2022 11:48
ansh,,Ansh,,1,,5/9/2022 11:48
arin,,Arin,,1,,5/9/2022 11:48
arjun,,Arjun,,1,,5/9/2022 11:48
aryan,,Aryan,,1,,5/9/2022 11:48
atharv,,Atharv,,1,,5/9/2022 11:48
avi,,Avi,,1,,5/9/2022 11:48
ayaan,,Ayaan,,1,,5/9/2022 11:48
ayush,,Ayush,,1,,5/9/2022 11:48
ayushman,,Ayushman,,1,,5/9/2022 11:48
azaan,,Azaan,,1,,5/9/2022 11:48
azad,,Azad,,1,,5/9/2022 11:48
daksh,,Daksh,,1,,5/9/2022 11:48
darsh,,Darsh,,1,,5/9/2022 11:48
dev,,Dev,,1,,5/9/2022 11:48
farhan,,Farhan,,1,,5/9/2022 11:48
gautam,,Gautam,,1,,5/9/2022 11:48
harsh,,Harsh,,1,,5/9/2022 11:48
harshil,,Harshil,,1,,5/9/2022 11:48
hredhaan,,Hredhaan,,1,,5/9/2022 11:48
isaac,,Isaac,,1,,5/9/2022 11:48
ishaan,,Ishaan,,1,,5/9/2022 11:48
jainew,,Jainew,,1,,5/9/2022 11:48
jason,,Jason,,1,,5/9/2022 11:48
kabir,,Kabir,,1,,5/9/2022 11:48
kalpit,,Kalpit,,1,,5/9/2022 11:48
karan,,Karan,,1,,5/9/2022 11:48
krish,,Krish,,1,,5/9/2022 11:48
krishna,,Krishna,,1,,5/9/2022 11:48
laksh,,Laksh,,1,,5/9/2022 11:48
manannew,,Manannew,,1,,5/9/2022 11:48
mohammed,,Mohammed,,1,,5/9/2022 11:48
nachiket,,Nachiket,,1,,5/9/2022 11:48
naksh,,Naksh,,1,,5/9/2022 11:48
nakul,,Nakul,,1,,5/9/2022 11:48
neel,,Neel,,1,,5/9/2022 11:48
om,,Om,,1,,5/9/2022 11:48
parth,,Parth,,1,,5/9/2022 11:48
pranav,,Pranav,,1,,5/9/2022 11:48
praneel,,Praneel,,1,,5/9/2022 11:48
pranit,,Pranit,,1,,5/9/2022 11:48
pratyush,,Pratyush,,1,,5/9/2022 11:48
raghav,,Raghav,,1,,5/9/2022 11:48
ranveer,,Ranveer,,1,,5/9/2022 11:48
rayaan,,Rayaan,,1,,5/9/2022 11:48
rehaannew,,Rehaannew,,1,,5/9/2022 11:48
rishi,,Rishi,,1,,5/9/2022 11:48
ronith,,Ronith,,1,,5/9/2022 11:48
rudranew,,Rudranew,,1,,5/9/2022 11:48
rushil,,Rushil,,1,,5/9/2022 11:48
ryan,,Ryan,,1,,5/9/2022 11:48
sai,,Sai,,1,,5/9/2022 11:48
saksham,,Saksham,,1,,5/9/2022 11:48
samaksh,,Samaksh,,1,,5/9/2022 11:48
samarth,,Samarth,,1,,5/9/2022 11:48
samesh,,Samesh,,1,,5/9/2022 11:48
sarthak,,Sarthak,,1,,5/9/2022 11:48
sathviknew,,Sathviknew,,1,,5/9/2022 11:48
shaurya,,Shaurya,,1,,5/9/2022 11:48
shivansh,,Shivansh,,1,,5/9/2022 11:48
siddharth,,Siddharth,,1,,5/9/2022 11:48
tejas,,Tejas,,1,,5/9/2022 11:48
vedant,,Vedant,,1,,5/9/2022 11:48
veer,,Veer,,1,,5/9/2022 11:48
viaannew,,Viaannew,,1,,5/9/2022 11:48
viraj,,Viraj,,1,,5/9/2022 11:48
yash,,Yash,,1,,5/9/2022 11:48
yug,,Yug,,1,,5/9/2022 11:48
zayan,,Zayan,,1,,5/9/2022 11:48
,,Aamir,,,,
,,Abbas,,,,
,,Abdul Haq,,,,
,,Abdullah,,,,
,,Abdur,,,,
,,Abdur Rahman,,,,
,,Abdur Rashid,,,,
,,Abdus,,,,
,,Abdus Salam,,,,
,,Abhay,,,,
,,Abhijeet,,,,
,,Abhijit,,,,
,,Abhilash,,,,
,,Abhinav,,,,
,,Abhishek,,,,
,,Abrar,,,,
,,Adil,,,,
,,Adnan,,,,
,,Agni,,,,
,,Ahmad,,,,
,,Ahmed,,,,
,,Ahsan,,,,
,,Ajay,,,,
,,Ajeet,,,,
,,Ajit,,,,
,,Ajith,,,,
,,Akash,,,,
,,Akbar,,,,
,,Akhil,,,,
,,Akif,,,,
,,Akmal,,,,
,,Ali,,,,
,,Amandeep,,,,
,,Amar,,,,
,,Amardeep,,,,
,,Amarjeet,,,,
,,Amin,,,,
,,Amir,,,,
,,Amit,,,,
,,Amitabh,,,,
,,Amrit,,,,
,,Anand,,,,
,,Ananda,,,,
,,Anant,,,,
,,Ananth,,,,
,,Anantha,,,,
,,Anbu,,,,
,,Anik,,,,
,,Aniket,,,,
,,Anil,,,,
,,Aniruddha,,,,
,,Anish,,,,
,,Anit,,,,
,,Ankit,,,,
,,Ankur,,,,
,,Anoop,,,,
,,Ansar,,,,
,,Anuj,,,,
,,Anup,,,,
,,Anupam,,,,
,,Anwar,,,,
,,Apoorva,,,,
,,Apurva,,,,
,,Arabinda,,,,
,,Aravind,,,,
,,Aravinda,,,,
,,Arif,,,,
,,Arijit,,,,
,,Aritra,,,,
,,Arun,,,,
,,Arya,,,,
,,Asad,,,,
,,Aseem,,,,
,,Ashish,,,,
,,Ashok,,,,
,,Ashwin,,,,
,,Asif,,,,
,,Asim,,,,
,,Aswathi,,,,
,,Aurobindo,,,,
,,Avinash,,,,
,,Ayan,,,,
,,Ayaz,,,,
,,Azhar,,,,
,,Aziz,,,,
,,Babar,,,,
,,Baber,,,,
,,Babur,,,,
,,Bahadur,,,,
,,Bakhtiar,,,,
,,Bala,,,,
,,Balakrishna,,,,
,,Balaram,,,,
,,Baldev,,,,
,,Balwinder,,,,
,,Basant,,,,
,,Basu,,,,
,,Bharat,,,,
,,Bharath,,,,
,,Bhaskar,,,,
,,Bhim,,,,
,,Bibek,,,,
,,Bijay,,,,
,,Bijoy,,,,
,,Bilal,,,,
,,Binay,,,,
,,Bipin,,,,
,,Bishal,,,,
,,Bishan,,,,
,,Brijesh,,,,
,,Chand,,,,
,,Chandan,,,,
,,Chander,,,,
,,Chandra,,,,
,,Chandrakant,,,,
,,Chandrasekhar,,,,
,,Chandrashekhar,,,,
,,Chetan,,,,
,,Chiranjeevi,,,,
,,Chiranjivi,,,,
,,Damodar,,,,
,,Danish,,,,
,,Daniyal,,,,
,,Darshan,,,,
,,Dayaram,,,,
,,Debdas,,,,
,,Deep,,,,
,,Deepak,,,,
,,Deo,,,,
,,Devadas,,,,
,,Devaraj,,,,
,,Devdas,,,,
,,Devraj,,,,
,,Dhananjay,,,,
,,Dharma,,,,
,,Dhaval,,,,
,,Dileep,,,,
,,Dilip,,,,
,,Dilshad,,,,
,,Dinesh,,,,
,,Dip,,,,
,,Dipak,,,,
,,Durai,,,,
,,Durga,,,,
,,Dushyant,,,,
,,Ezhil,,,,
,,Faisal,,,,
,,Fareed,,,,
,,Farid,,,,
,,Farrukh,,,,
,,Fateh,,,,
,,Ferdous,,,,
,,Feroz,,,,
,,Feroze,,,,
,,Firdaus,,,,
,,Firdos,,,,
,,Firdous,,,,
,,Firoz,,,,
,,Furqan,,,,
,,Ganesh,,,,
,,Gaurav,,,,
,,Geevarghese,,,,
,,George,,,,
,,Ghulam,,,,
,,Girish,,,,
,,Gobind,,,,
,,Gobinda,,,,
,,Gohar,,,,
,,Gopal,,,,
,,Gopinath,,,,
,,Gotam,,,,
,,Gourab,,,,
,,Goutam,,,,
,,Govind,,,,
,,Govinda,,,,
,,Gul,,,,
,,Gulbahar,,,,
,,Gulshan,,,,
,,Gulzar,,,,
,,Gurdeep,,,,
,,Gurmeet,,,,
,,Gurpreet,,,,
,,Habib,,,,
,,Hameed,,,,
,,Hamid,,,,
,,Haneef,,,,
,,Hanif,,,,
,,Hardeep,,,,
,,Harendra,,,,
,,Hari,,,,
,,Harinder,,,,
,,Haris,,,,
,,Harish,,,,
,,Haroon,,,,
,,Harpreet,,,,
,,Harsha,,,,
,,Harshad,,,,
,,Harshal,,,,
,,Hasan,,,,
,,Haseeb,,,,
,,Hashim,,,,
,,Hasib,,,,
,,Hassan,,,,
,,Hayat,,,,
,,Hira,,,,
,,Ibrahim,,,,
,,Imran,,,,
,,Imtiaz,,,,
,,Imtiyaz,,,,
,,Inayat,,,,
,,Inayatullah,,,,
,,Inderjeet,,,,
,,Inderjit,,,,
,,Inderpal,,,,
,,Indra,,,,
,,Irfan,,,,
,,Ismat,,,,
,,Jagadish,,,,
,,Jagannath,,,,
,,Jagdish,,,,
,,Jagjit,,,,
,,Jahangir,,,,
,,Jahid,,,,
,,Jai,,,,
,,Jaidev,,,,
,,Jasvinder,,,,
,,Jaswinder,,,,
,,Javaid,,,,
,,Javed,,,,
,,Jay,,,,
,,Jaya,,,,
,,Jayadev,,,,
,,Jayant,,,,
,,Jayanta,,,,
,,Jayendra,,,,
,,Jaywant,,,,
,,Jeetendra,,,,
,,Jitender,,,,
,,Jitendra,,,,
,,Jothi,,,,
,,Jyothi,,,,
,,Jyoti,,,,
,,Kailash,,,,
,,Kajal,,,,
,,Kali,,,,
,,Kalidas,,,,
,,Kalyan,,,,
,,Kalyana,,,,
,,Kamal,,,,
,,Kamran,,,,
,,Kannan,,,,
,,Kanta,,,,
,,Kanti,,,,
,,Kapil,,,,
,,Karthik,,,,
,,Karthikeyan,,,,
,,Kartik,,,,
,,Karuna,,,,
,,Kausar,,,,
,,Kavi,,,,
,,Khaled,,,,
,,Khalid,,,,
,,Khan,,,,
,,Khurram,,,,
,,Khurshid,,,,
,,Kiran,,,,
,,Kishan,,,,
,,Kishor,,,,
,,Kishore,,,,
,,Kshitij,,,,
,,Kuldeep,,,,
,,Kumar,,,,
,,Kumaran,,,,
,,Kunal,,,,
,,Lakshman,,,,
,,Lakshmi,,,,
,,Lal,,,,
,,Lalit,,,,
