Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
â€” ,â€” ,â€” ,â€” ,â€” ,â€” ,â€” 
singh,,Singh,,1,,5/9/2022 11:48
kumar,,Kumar,,3,,5/9/2022 11:48
das,,Das,,1,,5/9/2022 11:48
kaur,,Kaur,,1,,5/9/2022 11:48
mandal,,Mandal,,5,,5/9/2022 11:48
ram,,Ram,,5,,5/9/2022 11:48
kumari,,Kumari,,1,,5/9/2022 11:48
ali,,Ali,,4,,5/9/2022 11:48
lal,,Lal,,1,,5/9/2022 11:48
bibi,,Bibi,,1,,5/9/2022 11:48
khatun,,Khatun,,1,,5/9/2022 11:48
bai,,Bai,,1,,5/9/2022 11:48
sharma,,Sharma,,6,,5/9/2022 11:48
khan,,Khan,,10,,5/9/2022 11:48
patel,,Patel,,10,,5/9/2022 11:48
patil,,Patil,,1,,5/9/2022 11:48
abbi,,Abbi,,1,,5/9/2022 11:48
abraham,,Abraham,,10,,5/9/2022 11:48
adani,,Adani,,1,,5/9/2022 11:48
adiga,,Adiga,,1,,5/9/2022 11:48
advani,,Advani,,1,,5/9/2022 11:48
agate,,Agate,,1,,5/9/2022 11:48
akash,,Akash,,1,,5/9/2022 11:48
akhtar,,Akhtar,,1,,5/9/2022 11:48
amble,,Amble,,1,,5/9/2022 11:48
ameer,,Ameer,,7,,5/9/2022 11:48
anchan,,Anchan,,1,,5/9/2022 11:48
antony,,Antony,,1,,5/9/2022 11:48
anumula,,Anumula,,1,,5/9/2022 11:48
ashar,,Ashar,,1,,5/9/2022 11:48
asthana,,Asthana,,1,,5/9/2022 11:48
babbar,,Babbar,,1,,5/9/2022 11:48
bachchan,,Bachchan,,1,,5/9/2022 11:48
bahl,,Bahl,,5,,5/9/2022 11:48
bhasi,,Bhasi,,1,,5/9/2022 11:48
baid,,Baid,,1,,5/9/2022 11:48
bakshi,,Bakshi,,1,,5/9/2022 11:48
balakrishnan,,Balakrishnan,,1,,5/9/2022 11:48
banerjee,,Banerjee,,1,,5/9/2022 11:48
barman,,Barman,,1,,5/9/2022 11:48
barot,,Barot,,1,,5/9/2022 11:48
basu,,Basu,,1,,5/9/2022 11:48
bengal,,Bengal,,10,,5/9/2022 11:48
bhagat,,Bhagat,,1,,5/9/2022 11:48
bhakri,,Bhakri,,1,,5/9/2022 11:48
bhalla,,Bhalla,,1,,5/9/2022 11:48
bhan,,Bhan,,1,,5/9/2022 11:48
bora,,Bora,,1,,5/9/2022 11:48
burman,,Burman,,1,,5/9/2022 11:48
chacko,,Chacko,,1,,5/9/2022 11:48
chakole,,Chakole,,1,,5/9/2022 11:48
chanana,,Chanana,,7,,5/9/2022 11:48
chanchad,,Chanchad,,1,,5/9/2022 11:48
chandani,,Chandani,,5,,5/9/2022 11:48
chandel,,Chandel,,1,,5/9/2022 11:48
chander,,Chander,,7,,5/9/2022 11:48
chandak,,Chandak,,3,,5/9/2022 11:48
chandok,,Chandok,,1,,5/9/2022 11:48
channe,,Channe,,6,,5/9/2022 11:48
chary,,Chary,,1,,5/9/2022 11:48
chatterjee,,Chatterjee,,4,,5/9/2022 11:48
chandra,,Chandra,,7,,5/9/2022 11:48
chauhan,,Chauhan,,1,,5/9/2022 11:48
chitale,,Chitale,,1,,5/9/2022 11:48
darling,,Darling,,4,,5/9/2022 11:48
dashmunshi,,Dashmunshi,,1,,5/9/2022 11:48
daswani,,Daswani,,1,,5/9/2022 11:48
dawande,,Dawande,,1,,5/9/2022 11:48
desai,,Desai,,1,,5/9/2022 11:48
dev,,Dev,,9,,5/9/2022 11:48
devgade,,Devgade,,1,,5/9/2022 11:48
devgan,,Devgan,,1,,5/9/2022 11:48
dhake,,Dhake,,1,,5/9/2022 11:48
dhawan,,Dhawan,,1,,5/9/2022 11:48
faasil,,Faasil,,1,,5/9/2022 11:48
fadikar,,Fadikar,,1,,5/9/2022 11:48
faye,,Faye,,4,,5/9/2022 11:48
gangotri,,Gangotri,,1,,5/9/2022 11:48
ghai,,Ghai,,3,,5/9/2022 11:48
ghanekar,,Ghanekar,,4,,5/9/2022 11:48
ghatate,,Ghatate,,1,,5/9/2022 11:48
ghate,,Ghate,,1,,5/9/2022 11:48
ghosh,,Ghosh,,1,,5/9/2022 11:48
ghoshal,,Ghoshal,,3,,5/9/2022 11:48
ghui,,Ghui,,1,,5/9/2022 11:48
gilani,,Gilani,,1,,5/9/2022 11:48
gill,,Gill,,1,,5/9/2022 11:48
gunnam,,Gunnam,,1,,5/9/2022 11:48
gupta,,Gupta,,1,,5/9/2022 11:48
gupte,,Gupte,,1,,5/9/2022 11:48
haasan,,Haasan,,4,,5/9/2022 11:48
hadapsar,,Hadapsar,,1,,5/9/2022 11:48
hadas,,Hadas,,1,,5/9/2022 11:48
handoo,,Handoo,,1,,5/9/2022 11:48
hangal,,Hangal,,1,,5/9/2022 11:48
hardas,,Hardas,,1,,5/9/2022 11:48
haridas,,Haridas,,1,,5/9/2022 11:48
harode,,Harode,,1,,5/9/2022 11:48
hashmi,,Hashmi,,1,,5/9/2022 11:48
hasnee,,Hasnee,,1,,5/9/2022 11:48
hassan,,Hassan,,1,,5/9/2022 11:48
hattangadi,,Hattangadi,,1,,5/9/2022 11:48
hazra,,Hazra,,1,,5/9/2022 11:48
hazare,,Hazare,,1,,5/9/2022 11:48
jadeja,,Jadeja,,1,,5/9/2022 11:48
jadhav,,Jadhav,,1,,5/9/2022 11:48
jadi,,Jadi,,1,,5/9/2022 11:48
jadon,,Jadon,,1,,5/9/2022 11:48
jena,,Jena,,4,,5/9/2022 11:48
kale,,Kale,,1,,5/9/2022 11:48
kamat,,Kamat,,1,,5/9/2022 11:48
kambli,,Kambli,,1,,5/9/2022 11:48
kanakia,,Kanakia,,1,,5/9/2022 11:48
kanchan,,Kanchan,,1,,5/9/2022 11:48
kane,,Kane,,1,,5/9/2022 11:48
kanhe,,Kanhe,,1,,5/9/2022 11:48
kanitkar,,Kanitkar,,1,,5/9/2022 11:48
kapoor,,Kapoor,,8,,5/9/2022 11:48
kapre,,Kapre,,1,,5/9/2022 11:48
karkare,,Karkare,,1,,5/9/2022 11:48
karkera,,Karkera,,1,,5/9/2022 11:48
karlekar,,Karlekar,,1,,5/9/2022 11:48
kelkar,,Kelkar,,1,,5/9/2022 11:48
keshari,,Keshari,,1,,5/9/2022 11:48
khanna,,Khanna,,1,,5/9/2022 11:48
kumble,,Kumble,,1,,5/9/2022 11:48
lagoo,,Lagoo,,1,,5/9/2022 11:48
lahoti,,Lahoti,,1,,5/9/2022 11:48
