Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
â€” ,â€” ,â€” ,â€” ,â€” ,â€” ,â€” 
arihi,,Arihi,,1,,5/9/2022 11:48
asoese,,Asoese,,1,,5/9/2022 11:48
ele'ele,,Ele'ele,,1,,5/9/2022 11:48
emere,,Emere,,1,,5/9/2022 11:48
fetuilelagi,,Fetuilelagi,,1,,5/9/2022 11:48
huihana,,Huihana,,1,,5/9/2022 11:48
iosefina,,Iosefina,,1,,5/9/2022 11:48
la,,La,,1,,5/9/2022 11:48
lalago,,Lalago,,1,,5/9/2022 11:48
lelei,,Lelei,,1,,5/9/2022 11:48
masina,,Masina,,1,,5/9/2022 11:48
moana,,Moana,,1,,5/9/2022 11:48
penina,,Penina,,1,,5/9/2022 11:48
pogisa,,Pogisa,,1,,5/9/2022 11:48
rongomaiwhenua,,Rongomaiwhenua,,1,,5/9/2022 11:48
sefina,,Sefina,,1,,5/9/2022 11:48
sinasamoa,,Sinasamoa,,1,,5/9/2022 11:48
solosolo,,Solosolo,,1,,5/9/2022 11:48
t'ali'au,,T'ali'au,,1,,5/9/2022 11:48
tagioalisi,,Tagioalisi,,1,,5/9/2022 11:48
teuila,,Teuila,,1,,5/9/2022 11:48
tifaimoana,,Tifaimoana,,1,,5/9/2022 11:48
vailea,,Vailea,,1,,5/9/2022 11:48
wiki,,Wiki,,1,,5/9/2022 11:48
apikalia,,Apikalia,,1,,5/17/2024 15:34
elikapeka,,Elikapeka,,1,,5/17/2024 15:34
haukea,,Haukea,,1,,5/17/2024 15:34
haunani,,Haunani,,1,,5/17/2024 15:34
hokulani,,Hokulani,,1,,5/17/2024 15:34
iekika,,Iekika,,1,,5/17/2024 15:34
iolana,,Iolana,,1,,5/17/2024 15:34
kai,,Kai,,1,,5/17/2024 15:34
kailani,,Kailani,,1,,5/17/2024 15:34
kaimana,,Kaimana,,1,,5/17/2024 15:34
kaipo,,Kaipo,,1,,5/17/2024 15:34
kakalina,,Kakalina,,1,,5/17/2024 15:34
kala,,Kala,,1,,5/17/2024 15:34
kalani,,Kalani,,1,,5/17/2024 15:34
kalea,,Kalea,,1,,5/17/2024 15:34
kalei,,Kalei,,1,,5/17/2024 15:34
kalena,,Kalena,,1,,5/17/2024 15:34
kamalani,,Kamalani,,1,,5/17/2024 15:34
kanani,,Kanani,,1,,5/17/2024 15:34
kapua,,Kapua,,1,,5/17/2024 15:34
kau'i,,Kau'i,,1,,5/17/2024 15:34
kaulana,,Kaulana,,1,,5/17/2024 15:34
kawehi,,Kawehi,,1,,5/17/2024 15:34
keahi,,Keahi,,1,,5/17/2024 15:34
keala,,Keala,,1,,5/17/2024 15:34
kealoha,,Kealoha,,1,,5/17/2024 15:34
keanu,,Keanu,,1,,5/17/2024 15:34
kekepania,,Kekepania,,1,,5/17/2024 15:34
keone,,Keone,,1,,5/17/2024 15:34
kiana,,Kiana,,1,,5/17/2024 15:34
kilikina,,Kilikina,,1,,5/17/2024 15:34
konane,,Konane,,1,,5/17/2024 15:34
lani,,Lani,,1,,5/17/2024 15:34
lehua,,Lehua,,1,,5/17/2024 15:34
lei,,Lei,,1,,5/17/2024 15:34
leilani,,Leilani,,1,,5/17/2024 15:34
leimomi,,Leimomi,,1,,5/17/2024 15:34
maile,,Maile,,1,,5/17/2024 15:34
makana,,Makana,,1,,5/17/2024 15:34
malia,,Malia,,1,,5/17/2024 15:34
malie,,Malie,,1,,5/17/2024 15:34
maui,,Maui,,1,,5/17/2024 15:34
mele,,Mele,,1,,5/17/2024 15:34
melika,,Melika,,1,,5/17/2024 15:34
momi,,Momi,,1,,5/17/2024 15:34
nalani,,Nalani,,1,,5/17/2024 15:34
nani,,Nani,,1,,5/17/2024 15:34
noelani,,Noelani,,1,,5/17/2024 15:34
pua,,Pua,,1,,5/17/2024 15:34
pualani,,Pualani,,1,,5/17/2024 15:34
puanani,,Puanani,,1,,5/17/2024 15:34
u'ilani,,U'ilani,,1,,5/17/2024 15:34
wikolia,,Wikolia,,1,,5/17/2024 15:34
ana,,Ana,,1,,5/17/2024 15:34
mikala,,Mikala,,1,,5/17/2024 15:34
aiona,,Aiona,,1,,5/17/2024 15:34
ululani,,Ululani,,1,,5/17/2024 15:34
ka'ahumanu,,Ka'ahumanu,,1,,5/17/2024 15:34
kalama,,Kalama,,1,,5/17/2024 15:34
kina'u,,Kina'u,,1,,5/17/2024 15:34
lanihau,,Lanihau,,1,,5/17/2024 15:34
likelike,,Likelike,,1,,5/17/2024 15:34
kuini,,Kuini,,1,,5/17/2024 15:34
namahana,,Namahana,,1,,5/17/2024 15:34
po'omaikelani,,Po'omaikelani,,1,,5/17/2024 15:34
wahinepio,,Wahinepio,,1,,5/17/2024 15:34
auli'i,,Auli'i,,1,,5/17/2024 15:34
mamo,,Mamo,,1,,5/17/2024 15:34
kaliko,,Kaliko,,1,,5/17/2024 15:34
wini,,Wini,,1,,5/17/2024 15:34
mahina,,Mahina,,1,,5/17/2024 15:34
noa,,Noa,,1,,5/17/2024 15:34
leia,,Leia,,1,,5/17/2024 15:34
hilinai,,Hilinai,,1,,5/17/2024 15:34
aleia,,Aleia,,1,,5/17/2024 15:34
alaia,,Alaia,,1,,5/17/2024 15:34
mika,,Mika,,1,,5/17/2024 15:34
kailea,,Kailea,,1,,5/17/2024 15:34
kehlani,,Kehlani,,1,,5/17/2024 15:34
ailana,,Ailana,,1,,5/17/2024 15:34
akana,,Akana,,1,,5/17/2024 15:34
akeakamai,,Akeakamai,,1,,5/17/2024 15:34
akela,,Akela,,1,,5/17/2024 15:34
akoni,,Akoni,,1,,5/17/2024 15:34
alana,,Alana,,1,,5/17/2024 15:34
alani,,Alani,,1,,5/17/2024 15:34
alapa'i,,Alapa'i,,1,,5/17/2024 15:34
aloha,,Aloha,,1,,5/17/2024 15:34
ke'alohi,,Ke'alohi,,1,,5/17/2024 15:34
alohilani,,Alohilani,,1,,5/17/2024 15:34
amoe,,Amoe,,1,,5/17/2024 15:34
anela,,Anela,,1,,5/17/2024 15:34
anuenue,,Anuenue,,1,,5/17/2024 15:34
aulani,,Aulani,,1,,5/17/2024 15:34
ewalani,,Ewalani,,1,,5/17/2024 15:34
evalani,,Evalani,,1,,5/17/2024 15:34
haleakala,,Haleakala,,1,,5/17/2024 15:34
hali'a,,Hali'a,,1,,5/17/2024 15:34
hau'oli,,Hau'oli,,1,,5/17/2024 15:34
hawea,,Hawea,,1,,5/17/2024 15:34
healani,,Healani,,1,,5/17/2024 15:34
hi'iaka,,Hi'iaka,,1,,5/17/2024 15:34
