Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
—,—,—,—,—,—,—
fetu,,Fetu,,1,,5/9/2022 11:48
fetuao,,Fetuao,,1,,5/9/2022 11:48
iosefa,,Iosefa,,1,,5/9/2022 11:48
lagi,,Lagi,,1,,5/9/2022 11:48
lelei,,Lelei,,1,,5/9/2022 11:48
loto,,Loto,,1,,5/9/2022 11:48
manuia,,Manuia,,1,,5/9/2022 11:48
maru,,Maru,,1,,5/9/2022 11:48
ne'igalomeatiga,,Ne'igalomeatiga,,1,,5/9/2022 11:48
puleleiite,,Puleleiite,,1,,5/9/2022 11:48
rangi,,Rangi,,1,,5/9/2022 11:48
sefa,,Sefa,,1,,5/9/2022 11:48
tamati,,Tamati,,1,,5/9/2022 11:48
tane,,Tane,,1,,5/9/2022 11:48
akana,,Akana,,1,,5/17/2024 20:22
akoni,,Akoni,,1,,5/17/2024 20:22
alaka'i,,Alaka'i,,1,,5/17/2024 20:22
kealaka'i,,Kealaka'i,,1,,5/17/2024 20:22
alapa'i,,Alapa'i,,1,,5/17/2024 20:22
ali'i,,Ali'i,,1,,5/17/2024 20:22
ali'iloa,,Ali'iloa,,1,,5/17/2024 20:22
alika,,Alika,,1,,5/17/2024 20:22
aloha,,Aloha,,1,,5/17/2024 20:22
alohi,,Alohi,,1,,5/17/2024 20:22
anuenue,,Anuenue,,1,,5/17/2024 20:22
aukai,,Aukai,,1,,5/17/2024 20:22
ka'aukai,,Ka'aukai,,1,,5/17/2024 20:22
ehukai,,Ehukai,,1,,5/17/2024 20:22
enoka,,Enoka,,1,,5/17/2024 20:22
ha'aheo,,Ha'aheo,,1,,5/17/2024 20:22
hanalei,,Hanalei,,1,,5/17/2024 20:22
hanohano,,Hanohano,,1,,5/17/2024 20:22
hau'oli,,Hau'oli,,1,,5/17/2024 20:22
hawea,,Hawea,,1,,5/17/2024 20:22
healani,,Healani,,1,,5/17/2024 20:22
hekili,,Hekili,,1,,5/17/2024 20:22
kahekili,,Kahekili,,1,,5/17/2024 20:22
hiapo,,Hiapo,,1,,5/17/2024 20:22
hi'ilani,,Hi'ilani,,1,,5/17/2024 20:22
hilina'i,,Hilina'i,,1,,5/17/2024 20:22
hina,,Hina,,1,,5/17/2024 20:22
hinano,,Hinano,,1,,5/17/2024 20:22
kahiwahiwa,,Kahiwahiwa,,1,,5/17/2024 20:22
kahokuokalani,,Kahokuokalani,,1,,5/17/2024 20:22
ho'okano,,Ho'okano,,1,,5/17/2024 20:22
ho'onani,,Ho'onani,,1,,5/17/2024 20:22
ho'opi'i,,Ho'opi'i,,1,,5/17/2024 20:22
hualani,,Hualani,,1,,5/17/2024 20:22
hu'eu,,Hu'eu,,1,,5/17/2024 20:22
ihilani,,Ihilani,,1,,5/17/2024 20:22
ikaika,,Ikaika,,1,,5/17/2024 20:22
imaikalani,,Imaikalani,,1,,5/17/2024 20:22
imi'ike,,Imi'ike,,1,,5/17/2024 20:22
ioane,,Ioane,,1,,5/17/2024 20:22
iokepa,,Iokepa,,1,,5/17/2024 20:22
iolani,,Iolani,,1,,5/17/2024 20:22
ipo,,Ipo,,1,,5/17/2024 20:22
kaipokalani,,Kaipokalani,,1,,5/17/2024 20:22
ka'aumoana,,Ka'aumoana,,1,,5/17/2024 20:22
ka'ena,,Ka'ena,,1,,5/17/2024 20:22
ka'eo,,Ka'eo,,1,,5/17/2024 20:22
kaha'i,,Kaha'i,,1,,5/17/2024 20:22
kahalewai,,Kahalewai,,1,,5/17/2024 20:22
kahiau,,Kahiau,,1,,5/17/2024 20:22
kahikilani,,Kahikilani,,1,,5/17/2024 20:22
kai,,Kai,,1,,5/17/2024 20:22
kaihe,,Kaihe,,1,,5/17/2024 20:22
ka'ili,,Ka'ili,,1,,5/17/2024 20:22
ka'ili,,Ka'ili,,1,,5/17/2024 20:22
ka'ilihiwa,,Ka'ilihiwa,,1,,5/17/2024 20:22
ka'ilikea,,Ka'ilikea,,1,,5/17/2024 20:22
kaimana,,Kaimana,,1,,5/17/2024 20:22
ka'imi,,Ka'imi,,1,,5/17/2024 20:22
ka'imina'auao,,Ka'imina'auao,,1,,5/17/2024 20:22
ka'imipono,,Ka'imipono,,1,,5/17/2024 20:22
kaina,,Kaina,,1,,5/17/2024 20:22
kaikaina,,Kaikaina,,1,,5/17/2024 20:22
kainalu,,Kainalu,,1,,5/17/2024 20:22
kainoa,,Kainoa,,1,,5/17/2024 20:22
kainoakupuna,,Kainoakupuna,,1,,5/17/2024 20:22
kaiolohia,,Kaiolohia,,1,,5/17/2024 20:22
kaipo,,Kaipo,,1,,5/17/2024 20:22
ka'iu,,Ka'iu,,1,,5/17/2024 20:22
kala,,Kala,,1,,5/17/2024 20:22
kala,,Kala,,1,,5/17/2024 20:22
kalahikiola,,Kalahikiola,,1,,5/17/2024 20:22
kala'i,,Kala'i,,1,,5/17/2024 20:22
kalama,,Kalama,,1,,5/17/2024 20:22
kalani,,Kalani,,1,,5/17/2024 20:22
kalaniki'eki'e,,Kalaniki'eki'e,,1,,5/17/2024 20:22
kale,,Kale,,1,,5/17/2024 20:22
kalehuawehe,,Kalehuawehe,,1,,5/17/2024 20:22
kalei,,Kalei,,1,,5/17/2024 20:22
kaleialoha,,Kaleialoha,,1,,5/17/2024 20:22
kaleikaumaka,,Kaleikaumaka,,1,,5/17/2024 20:22
kaleinani,,Kaleinani,,1,,5/17/2024 20:22
kaleiokalani,,Kaleiokalani,,1,,5/17/2024 20:22
kaleo,,Kaleo,,1,,5/17/2024 20:22
kaleolani,,Kaleolani,,1,,5/17/2024 20:22
kaleokalani,,Kaleokalani,,1,,5/17/2024 20:22
kaleookalani,,Kaleookalani,,1,,5/17/2024 20:22
kaliko,,Kaliko,,1,,5/17/2024 20:22
kalikolehua,,Kalikolehua,,1,,5/17/2024 20:22
kalili,,Kalili,,1,,5/17/2024 20:22
kalua,,Kalua,,1,,5/17/2024 20:22
kaluhi,,Kaluhi,,1,,5/17/2024 20:22
kamaile,,Kamaile,,1,,5/17/2024 20:22
kamaka,,Kamaka,,1,,5/17/2024 20:22
kamakanamaikalani,,Kamakanamaikalani,,1,,5/17/2024 20:22
kamakanamaikeakua,,Kamakanamaikeakua,,1,,5/17/2024 20:22
kamakanaokalani,,Kamakanaokalani,,1,,5/17/2024 20:22
kamakanamakamaemaikalani,,Kamakanamakamaemaikalani,,1,,5/17/2024 20:22
kamalei,,Kamalei,,1,,5/17/2024 20:22
kamali'i,,Kamali'i,,1,,5/17/2024 20:22
kamalu,,Kamalu,,1,,5/17/2024 20:22
kamea'i'omakamae,,Kamea'i'omakamae,,1,,5/17/2024 20:22
kamealoha,,Kamealoha,,1,,5/17/2024 20:22
kamuela,,Kamuela,,1,,5/17/2024 20:22
kana'i,,Kana'i,,1,,5/17/2024 20:22
kana'iaupuni,,Kana'iaupuni,,1,,5/17/2024 20:22
kanakanui,,Kanakanui,,1,,5/17/2024 20:22
kanamu,,Kanamu,,1,,5/17/2024 20:22
kane,,Kane,,1,,5/17/2024 20:22
kaniela,,Kaniela,,1,,5/17/2024 20:22
kanoa,,Kanoa,,1,,5/17/2024 20:22
ka'opua,,Ka'opua,,1,,5/17/2024 20:22
kapena,,Kapena,,1,,5/17/2024 20:22
kapi'ioho,,Kapi'ioho,,1,,5/17/2024 20:22
kapono,,Kapono,,1,,5/17/2024 20:22
kapua,,Kapua,,1,,5/17/2024 20:22
kapulani,,Kapulani,,1,,5/17/2024 20:22
kapuni,,Kapuni,,1,,5/17/2024 20:22
ka'uhane,,Ka'uhane,,1,,5/17/2024 20:22
kau'ilani,,Kau'ilani,,1,,5/17/2024 20:22
kaulana,,Kaulana,,1,,5/17/2024 20:22
kaumana,,Kaumana,,1,,5/17/2024 20:22
kawai,,Kawai,,1,,5/17/2024 20:22
kawelo,,Kawelo,,1,,5/17/2024 20:22
kawika,,Kawika,,1,,5/17/2024 20:22
keahi,,Keahi,,1,,5/17/2024 20:22
keaka,,Keaka,,1,,5/17/2024 20:22
keakaokalani,,Keakaokalani,,1,,5/17/2024 20:22
keala,,Keala,,1,,5/17/2024 20:22
ke'ala,,Ke'ala,,1,,5/17/2024 20:22
keali'i,,Keali'i,,1,,5/17/2024 20:22
keali'i'aukai,,Keali'i'aukai,,1,,5/17/2024 20:22
keli'i'aukai,,Keli'i'aukai,,1,,5/17/2024 20:22
keli'iholokai,,Keli'iholokai,,1,,5/17/2024 20:22
keali'iokekai,,Keali'iokekai,,1,,5/17/2024 20:22
kealoha,,Kealoha,,1,,5/17/2024 20:22
kealohalani,,Kealohalani,,1,,5/17/2024 20:22
keanu,,Keanu,,1,,5/17/2024 20:22
keao,,Keao,,1,,5/17/2024 20:22
keaolani,,Keaolani,,1,,5/17/2024 20:22
keaookalani,,Keaookalani,,1,,5/17/2024 20:22
keawe,,Keawe,,1,,5/17/2024 20:22
kehau,,Kehau,,1,,5/17/2024 20:22
kehaunani,,Kehaunani,,1,,5/17/2024 20:22
keikiokalani,,Keikiokalani,,1,,5/17/2024 20:22
keikioka'aina,,Keikioka'aina,,1,,5/17/2024 20:22
kekaimalie,,Kekaimalie,,1,,5/17/2024 20:22
kekaulike,,Kekaulike,,1,,5/17/2024 20:22
kekoa,,Kekoa,,1,,5/17/2024 20:22
kekona,,Kekona,,1,,5/17/2024 20:22
keli'i,,Keli'i,,1,,5/17/2024 20:22
keoki,,Keoki,,1,,5/17/2024 20:22
keola,,Keola,,1,,5/17/2024 20:22
keona,,Keona,,1,,5/17/2024 20:22
keonaona,,Keonaona,,1,,5/17/2024 20:22
keone,,Keone,,1,,5/17/2024 20:22
keoni,,Keoni,,1,,5/17/2024 20:22
kepano,,Kepano,,1,,5/17/2024 20:22
kilohana,,Kilohana,,1,,5/17/2024 20:22
kimo,,Kimo,,1,,5/17/2024 20:22
kini,,Kini,,1,,5/17/2024 20:22
koa,,Koa,,1,,5/17/2024 20:22
kona,,Kona,,1,,5/17/2024 20:22
konapiliahi,,Konapiliahi,,1,,5/17/2024 20:22
ku,,Ku,,1,,5/17/2024 20:22
kuali'i,,Kuali'i,,1,,5/17/2024 20:22
kukunaokala,,Kukunaokala,,1,,5/17/2024 20:22
kulani,,Kulani,,1,,5/17/2024 20:22
kunane,,Kunane,,1,,5/17/2024 20:22
ku'ualoha,,Ku'ualoha,,1,,5/17/2024 20:22
la'akea,,La'akea,,1,,5/17/2024 20:22
lanakila,,Lanakila,,1,,5/17/2024 20:22
kalehua,,Kalehua,,1,,5/17/2024 20:22
leilehua,,Leilehua,,1,,5/17/2024 20:22
kaleilehua,,Kaleilehua,,1,,5/17/2024 20:22
leimamo,,Leimamo,,1,,5/17/2024 20:22
kaleimamo,,Kaleimamo,,1,,5/17/2024 20:22
leonani,,Leonani,,1,,5/17/2024 20:22
li,,Li,,1,,5/17/2024 20:22
li'ili'i,,Li'ili'i,,1,,5/17/2024 20:22
likeke,,Likeke,,1,,5/17/2024 20:22
liloa,,Liloa,,1,,5/17/2024 20:22
lono,,Lono,,1,,5/17/2024 20:22
lopaka,,Lopaka,,1,,5/17/2024 20:22
luka,,Luka,,1,,5/17/2024 20:22
mahi'ai,,Mahi'ai,,1,,5/17/2024 20:22
maika'i,,Maika'i,,1,,5/17/2024 20:22
maka,,Maka,,1,,5/17/2024 20:22
makai,,Makai,,1,,5/17/2024 20:22
makana,,Makana,,1,,5/17/2024 20:22
kamakana,,Kamakana,,1,,5/17/2024 20:22
makani,,Makani,,1,,5/17/2024 20:22
kamakani,,Kamakani,,1,,5/17/2024 20:22
makanui,,Makanui,,1,,5/17/2024 20:22
makaokalani,,Makaokalani,,1,,5/17/2024 20:22
namakaokalani,,Namakaokalani,,1,,5/17/2024 20:22
makalani,,Makalani,,1,,5/17/2024 20:22
makoa,,Makoa,,1,,5/17/2024 20:22
kamaluhia,,Kamaluhia,,1,,5/17/2024 20:22
malulani,,Malulani,,1,,5/17/2024 20:22
mana,,Mana,,1,,5/17/2024 20:22
kamana,,Kamana,,1,,5/17/2024 20:22
maui,,Maui,,1,,5/17/2024 20:22
maunakea,,Maunakea,,1,,5/17/2024 20:22
mika'ele,,Mika'ele,,1,,5/17/2024 20:22
mikala,,Mikala,,1,,5/17/2024 20:22
moana,,Moana,,1,,5/17/2024 20:22
na'auao,,Na'auao,,1,,5/17/2024 20:22
nai'a,,Nai'a,,1,,5/17/2024 20:22
nainoa,,Nainoa,,1,,5/17/2024 20:22
napua,,Napua,,1,,5/17/2024 20:22
noa,,Noa,,1,,5/17/2024 20:22
no'eau,,No'eau,,1,,5/17/2024 20:22
kano'eau,,Kano'eau,,1,,5/17/2024 20:22
nohea,,Nohea,,1,,5/17/2024 20:22
pahukula,,Pahukula,,1,,5/17/2024 20:22
pali,,Pali,,1,,5/17/2024 20:22
palikapu,,Palikapu,,1,,5/17/2024 20:22
pauahi,,Pauahi,,1,,5/17/2024 20:22
paulo,,Paulo,,1,,5/17/2024 20:22
pi'ikea,,Pi'ikea,,1,,5/17/2024 20:22
pilialoha,,Pilialoha,,1,,5/17/2024 20:22
