Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
— ,— ,— ,— ,— ,— ,— 
ai,,Ai,,1,,5/9/2022 11:48
aika,,Aika,,1,,5/9/2022 11:48
aiko,,Aiko,,1,,5/9/2022 11:48
aina,,Aina,,1,,5/9/2022 11:48
airi,,Airi,,1,,5/9/2022 11:48
akane,,Akane,,1,,5/9/2022 11:48
akari,,Akari,,1,,5/9/2022 11:48
akemi,,Akemi,,1,,5/9/2022 11:48
aki,,Aki,,1,,5/9/2022 11:48
akiko,,Akiko,,1,,5/9/2022 11:48
akira,,Akira,,1,,5/9/2022 11:48
ako,,Ako,,1,,5/9/2022 11:48
amane,,Amane,,1,,5/9/2022 11:48
ami,,Ami,,1,,5/9/2022 11:48
an,,An,,1,,5/9/2022 11:48
anju,,Anju,,1,,5/9/2022 11:48
anna,,Anna,,1,,5/9/2022 11:48
anri,,Anri,,1,,5/9/2022 11:48
aoha,,Aoha,,1,,5/9/2022 11:48
aoi,,Aoi,,1,,5/9/2022 11:48
araragi,,Araragi,,1,,5/9/2022 11:48
arisa,,Arisa,,1,,5/9/2022 11:48
asako,,Asako,,1,,5/9/2022 11:48
asami,,Asami,,1,,5/9/2022 11:48
asuka,,Asuka,,1,,5/9/2022 11:48
atsuko,,Atsuko,,1,,5/9/2022 11:48
aya,,Aya,,1,,5/9/2022 11:48
ayaka,,Ayaka,,1,,5/9/2022 11:48
ayako,,Ayako,,1,,5/9/2022 11:48
ayame,,Ayame,,1,,5/9/2022 11:48
ayana,,Ayana,,1,,5/9/2022 11:48
ayane,,Ayane,,1,,5/9/2022 11:48
ayano,,Ayano,,1,,5/9/2022 11:48
ayu,,Ayu,,1,,5/9/2022 11:48
ayumi,,Ayumi,,1,,5/9/2022 11:48
azuka,,Azuka,,1,,5/9/2022 11:48
azusa,,Azusa,,1,,5/9/2022 11:48
chiaki,,Chiaki,,1,,5/9/2022 11:48
chichiro,,Chichiro,,1,,5/9/2022 11:48
chidzuru,,Chidzuru,,1,,5/9/2022 11:48
chie,,Chie,,1,,5/9/2022 11:48
chieko,,Chieko,,1,,5/9/2022 11:48
chiharu,,Chiharu,,1,,5/9/2022 11:48
chihiro,,Chihiro,,1,,5/9/2022 11:48
chiho,,Chiho,,1,,5/9/2022 11:48
chika,,Chika,,1,,5/9/2022 11:48
chinatsu,,Chinatsu,,1,,5/9/2022 11:48
chisa,,Chisa,,1,,5/9/2022 11:48
chisaki,,Chisaki,,1,,5/9/2022 11:48
chisato,,Chisato,,1,,5/9/2022 11:48
emi,,Emi,,1,,5/14/2024 2:16
emiko,,Emiko,,1,,5/14/2024 2:16
eri,,Eri,,1,,5/14/2024 2:16
eriko,,Eriko,,1,,5/14/2024 2:16
etsuko,,Etsuko,,1,,5/14/2024 2:16
fuka,,Fuka,,1,,5/14/2024 2:16
fumika,,Fumika,,1,,5/14/2024 2:16
fumiko,,Fumiko,,1,,5/14/2024 2:16
futaba,,Futaba,,1,,5/14/2024 2:16
fuuka,,Fuuka,,1,,5/14/2024 2:16
hadzuki,,Hadzuki,,1,,5/14/2024 2:16
hana,,Hana,,1,,5/14/2024 2:16
hanako,,Hanako,,1,,5/14/2024 2:16
haru,,Haru,,1,,5/14/2024 2:16
haruka,,Haruka,,1,,5/14/2024 2:16
haruko,,Haruko,,1,,5/14/2024 2:16
harumi,,Harumi,,1,,5/14/2024 2:16
haruna,,Haruna,,1,,5/14/2024 2:16
harunka,,Harunka,,1,,5/14/2024 2:16
haruno,,Haruno,,1,,5/14/2024 2:16
hasu,,Hasu,,1,,5/14/2024 2:16
hatsune,,Hatsune,,1,,5/14/2024 2:16
hibiki,,Hibiki,,1,,5/14/2024 2:16
hijiri,,Hijiri,,1,,5/14/2024 2:16
hikari,,Hikari,,1,,5/14/2024 2:16
hikaru,,Hikaru,,1,,5/14/2024 2:16
himari,,Himari,,1,,5/14/2024 2:16
himawari,,Himawari,,1,,5/14/2024 2:16
hina,,Hina,,1,,5/14/2024 2:16
hinako,,Hinako,,1,,5/14/2024 2:16
hinano,,Hinano,,1,,5/14/2024 2:16
hinata,,Hinata,,1,,5/14/2024 2:16
hiroko,,Hiroko,,1,,5/14/2024 2:16
hiromi,,Hiromi,,1,,5/14/2024 2:16
hisako,,Hisako,,1,,5/14/2024 2:16
hitomi,,Hitomi,,1,,5/14/2024 2:16
hiyori,,Hiyori,,1,,5/14/2024 2:16
honoka,,Honoka,,1,,5/14/2024 2:16
ibuki,,Ibuki,,1,,5/14/2024 2:16
ichigo,,Ichigo,,1,,5/14/2024 2:16
ichika,,Ichika,,1,,5/14/2024 2:16
idzumi,,Idzumi,,1,,5/14/2024 2:16
ikuko,,Ikuko,,1,,5/14/2024 2:16
ikumi,,Ikumi,,1,,5/14/2024 2:16
iori,,Iori,,1,,5/14/2024 2:16
iroha,,Iroha,,1,,5/14/2024 2:16
itsuki,,Itsuki,,1,,5/14/2024 2:16
izumi,,Izumi,,1,,5/14/2024 2:16
jun,,Jun,,1,,5/14/2024 2:16
junko,,Junko,,1,,5/14/2024 2:16
juri,,Juri,,1,,5/14/2024 2:16
kaede,,Kaede,,1,,5/14/2024 2:16
kaho,,Kaho,,1,,5/14/2024 2:16
kana,,Kana,,1,,5/14/2024 2:16
kanade,,Kanade,,1,,5/14/2024 2:16
kanae,,Kanae,,1,,5/14/2024 2:16
kanako,,Kanako,,1,,5/14/2024 2:16
kanna,,Kanna,,1,,5/14/2024 2:16
kano,,Kano,,1,,5/14/2024 2:16
kanon,,Kanon,,1,,5/14/2024 2:16
kaori,,Kaori,,1,,5/14/2024 2:16
kaoru,,Kaoru,,1,,5/14/2024 2:16
karen,,Karen,,1,,5/14/2024 2:16
karin,,Karin,,1,,5/14/2024 2:16
kasumi,,Kasumi,,1,,5/14/2024 2:16
kayo,,Kayo,,1,,5/14/2024 2:16
kayoko,,Kayoko,,1,,5/14/2024 2:16
kazuha,,Kazuha,,1,,5/14/2024 2:16
kazuko,,Kazuko,,1,,5/14/2024 2:16
kazumi,,Kazumi,,1,,5/14/2024 2:16
kazuyo,,Kazuyo,,1,,5/14/2024 2:16
keiko,,Keiko,,1,,5/14/2024 2:16
kiyomi,,Kiyomi,,1,,5/14/2024 2:16
koharu,,Koharu,,1,,5/14/2024 2:16
kokoa,,Kokoa,,1,,5/14/2024 2:16
kokomi,,Kokomi,,1,,5/14/2024 2:16
kokona,,Kokona,,1,,5/14/2024 2:16
kokone,,Kokone,,1,,5/14/2024 2:16
kokoro,,Kokoro,,1,,5/14/2024 2:16
konatsu,,Konatsu,,1,,5/14/2024 2:16
koto,,Koto,,1,,5/14/2024 2:16
kotoha,,Kotoha,,1,,5/14/2024 2:16
kotoko,,Kotoko,,1,,5/14/2024 2:16
kotomi,,Kotomi,,1,,5/14/2024 2:16
kotone,,Kotone,,1,,5/14/2024 2:16
kotono,,Kotono,,1,,5/14/2024 2:16
kou,,Kou,,1,,5/14/2024 2:16
koume,,Koume,,1,,5/14/2024 2:16
koyuki,,Koyuki,,1,,5/14/2024 2:16
kozue,,Kozue,,1,,5/14/2024 2:16
kumi,,Kumi,,1,,5/14/2024 2:16
kumiko,,Kumiko,,1,,5/14/2024 2:16
kureha,,Kureha,,1,,5/14/2024 2:16
kurumi,,Kurumi,,1,,5/14/2024 2:16
kyouka,,Kyouka,,1,,5/14/2024 2:16
kyouko,,Kyouko,,1,,5/14/2024 2:16
madoka,,Madoka,,1,,5/14/2024 2:16
mahiro,,Mahiro,,1,,5/14/2024 2:16
maho,,Maho,,1,,5/14/2024 2:16
mai,,Mai,,1,,5/14/2024 2:16
maika,,Maika,,1,,5/14/2024 2:16
maiko,,Maiko,,1,,5/14/2024 2:16
maki,,Maki,,1,,5/14/2024 2:16
makiko,,Makiko,,1,,5/14/2024 2:16
mako,,Mako,,1,,5/14/2024 2:16
makoto,,Makoto,,1,,5/14/2024 2:16
mami,,Mami,,1,,5/14/2024 2:16
mana,,Mana,,1,,5/14/2024 2:16
manami,,Manami,,1,,5/14/2024 2:16
mao,,Mao,,1,,5/14/2024 2:16
maohina,,Maohina,,1,,5/14/2024 2:16
mari,,Mari,,1,,5/14/2024 2:16
mariko,,Mariko,,1,,5/14/2024 2:16
marin,,Marin,,1,,5/14/2024 2:16
masako,,Masako,,1,,5/14/2024 2:16
masami,,Masami,,1,,5/14/2024 2:16
maya,,Maya,,1,,5/14/2024 2:16
mayu,,Mayu,,1,,5/14/2024 2:16
mayuko,,Mayuko,,1,,5/14/2024 2:16
mayumi,,Mayumi,,1,,5/14/2024 2:16
megumi,,Megumi,,1,,5/14/2024 2:16
mei,,Mei,,1,,5/14/2024 2:16
michiko,,Michiko,,1,,5/14/2024 2:16
michiru,,Michiru,,1,,5/14/2024 2:16
midori,,Midori,,1,,5/14/2024 2:16
midzuki,,Midzuki,,1,,5/14/2024 2:16
mieko,,Mieko,,1,,5/14/2024 2:16
miharu,,Miharu,,1,,5/14/2024 2:16
miho,,Miho,,1,,5/14/2024 2:16
mika,,Mika,,1,,5/14/2024 2:16
miki,,Miki,,1,,5/14/2024 2:16
mikoto,,Mikoto,,1,,5/14/2024 2:16
miku,,Miku,,1,,5/14/2024 2:16
mina,,Mina,,1,,5/14/2024 2:16
minako,,Minako,,1,,5/14/2024 2:16
minami,,Minami,,1,,5/14/2024 2:16
minori,,Minori,,1,,5/14/2024 2:16
mio,,Mio,,1,,5/14/2024 2:16
miori,,Miori,,1,,5/14/2024 2:16
mirei,,Mirei,,1,,5/14/2024 2:16
misa,,Misa,,1,,5/14/2024 2:16
misaki,,Misaki,,1,,5/14/2024 2:16
misato,,Misato,,1,,5/14/2024 2:16
misuzu,,Misuzu,,1,,5/14/2024 2:16
mitsuki,,Mitsuki,,1,,5/14/2024 2:16
miu,,Miu,,1,,5/14/2024 2:16
miwa,,Miwa,,1,,5/14/2024 2:16
miwako,,Miwako,,1,,5/14/2024 2:16
miyabi,,Miyabi,,1,,5/14/2024 2:16
miyako,,Miyako,,1,,5/14/2024 2:16
miyoko,,Miyoko,,1,,5/14/2024 2:16
miyu,,Miyu,,1,,5/14/2024 2:16
miyuki,,Miyuki,,1,,5/14/2024 2:16
mizuho,,Mizuho,,1,,5/14/2024 2:16
mizuki,,Mizuki,,1,,5/14/2024 2:16
moe,,Moe,,1,,5/14/2024 2:16
moeka,,Moeka,,1,,5/14/2024 2:16
momiji,,Momiji,,1,,5/14/2024 2:16
momo,,Momo,,1,,5/14/2024 2:16
momoe,,Momoe,,1,,5/14/2024 2:16
momoka,,Momoka,,1,,5/14/2024 2:16
momoko,,Momoko,,1,,5/14/2024 2:16
mutsumi,,Mutsumi,,1,,5/14/2024 2:16
nagi,,Nagi,,1,,5/14/2024 2:16
nagisa,,Nagisa,,1,,5/14/2024 2:16
naho,,Naho,,1,,5/14/2024 2:16
nami,,Nami,,1,,5/14/2024 2:16
nana,,Nana,,1,,5/14/2024 2:16
nanako,,Nanako,,1,,5/14/2024 2:16
nanami,,Nanami,,1,,5/14/2024 2:16
nao,,Nao,,1,,5/14/2024 2:16
naoko,,Naoko,,1,,5/14/2024 2:16
naomi,,Naomi,,1,,5/14/2024 2:16
narumi,,Narumi,,1,,5/14/2024 2:16
natsuki,,Natsuki,,1,,5/14/2024 2:16
natsuko,,Natsuko,,1,,5/14/2024 2:16
natsumi,,Natsumi,,1,,5/14/2024 2:16
nene,,Nene,,1,,5/14/2024 2:16
noa,,Noa,,1,,5/14/2024 2:16
nodoka,,Nodoka,,1,,5/14/2024 2:16
nonoka,,Nonoka,,1,,5/14/2024 2:16
noriko,,Noriko,,1,,5/14/2024 2:16
nozomi,,Nozomi,,1,,5/14/2024 2:16
otoha,,Otoha,,1,,5/14/2024 2:16
otowa,,Otowa,,1,,5/14/2024 2:16
rei,,Rei,,1,,5/14/2024 2:16
reika,,Reika,,1,,5/14/2024 2:16
reiko,,Reiko,,1,,5/14/2024 2:16
reina,,Reina,,1,,5/14/2024 2:16
rena,,Rena,,1,,5/14/2024 2:16
ría,,Ría,,1,,5/14/2024 2:16
rie,,Rie,,1,,5/14/2024 2:16
rieko,,Rieko,,1,,5/14/2024 2:16
riho,,Riho,,1,,5/14/2024 2:16
rika,,Rika,,1,,5/14/2024 2:16
riko,,Riko,,1,,5/14/2024 2:16
rin,,Rin,,1,,5/14/2024 2:16
rina,,Rina,,1,,5/14/2024 2:16
rinka,,Rinka,,1,,5/14/2024 2:16
rinko,,Rinko,,1,,5/14/2024 2:16
rino,,Rino,,1,,5/14/2024 2:16
rio,,Rio,,1,,5/14/2024 2:16
rion,,Rion,,1,,5/14/2024 2:16
risa,,Risa,,1,,5/14/2024 2:16
ritsuko,,Ritsuko,,1,,5/14/2024 2:16
roshiko,,Roshiko,,1,,5/14/2024 2:16
rui,,Rui,,1,,5/14/2024 2:16
ruka,,Ruka,,1,,5/14/2024 2:16
rumi,,Rumi,,1,,5/14/2024 2:16
runa,,Runa,,1,,5/14/2024 2:16
ruri,,Ruri,,1,,5/14/2024 2:16
ryou,,Ryou,,1,,5/14/2024 2:16
