Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
— ,— ,— ,— ,— ,— ,— 
akari,,Akari,,1,,5/9/2022 11:48
akira,,Akira,,1,,5/9/2022 11:48
akiteru,,Akiteru,,1,,5/9/2022 11:48
aoi,,Aoi,,1,,5/9/2022 11:48
aoto,,Aoto,,1,,5/9/2022 11:48
arata,,Arata,,1,,5/9/2022 11:48
asahi,,Asahi,,1,,5/9/2022 11:48
asuka,,Asuka,,1,,5/9/2022 11:48
atarashi,,Atarashi,,1,,5/9/2022 11:48
atsushi,,Atsushi,,1,,5/9/2022 11:48
atsuya,,Atsuya,,1,,5/9/2022 11:48
ayumi,,Ayumi,,1,,5/9/2022 11:48
ayumu,,Ayumu,,1,,5/9/2022 11:48
chihiro,,Chihiro,,1,,5/9/2022 11:48
chikara,,Chikara,,1,,5/9/2022 11:48
dai,,Dai,,1,,5/9/2022 11:48
daichi,,Daichi,,1,,5/9/2022 11:48
daigo,,Daigo,,1,,5/9/2022 11:48
daiki,,Daiki,,1,,5/9/2022 11:48
daisuke,,Daisuke,,1,,5/9/2022 11:48
eisuke,,Eisuke,,1,,5/9/2022 11:48
eita,,Eita,,1,,5/9/2022 11:48
eito,,Eito,,1,,5/9/2022 11:48
fumiya,,Fumiya,,1,,5/9/2022 11:48
fuuga,,Fuuga,,1,,5/9/2022 11:48
fuuma,,Fuuma,,1,,5/9/2022 11:48
fuuta,,Fuuta,,1,,5/9/2022 11:48
gaku,,Gaku,,1,,5/9/2022 11:48
gen,,Gen,,1,,5/9/2022 11:48
genki,,Genki,,1,,5/9/2022 11:48
gou,,Gou,,1,,5/9/2022 11:48
hajime,,Hajime,,1,,5/9/2022 11:48
haku,,Haku,,1,,5/9/2022 11:48
haru,,Haru,,1,,5/9/2022 11:48
haruka,,Haruka,,1,,5/9/2022 11:48
haruki,,Haruki,,1,,5/9/2022 11:48
haruma,,Haruma,,1,,5/9/2022 11:48
haruto,,Haruto,,1,,5/9/2022 11:48
hasu,,Hasu,,1,,5/9/2022 11:48
hayate,,Hayate,,1,,5/9/2022 11:48
hayato,,Hayato,,1,,5/9/2022 11:48
hibiki,,Hibiki,,1,,5/9/2022 11:48
hideaki,,Hideaki,,1,,5/9/2022 11:48
hidekaze,,Hidekaze,,1,,5/9/2022 11:48
hideki,,Hideki,,1,,5/9/2022 11:48
hideo,,Hideo,,1,,5/9/2022 11:48
hideto,,Hideto,,1,,5/9/2022 11:48
hidetoshi,,Hidetoshi,,1,,5/9/2022 11:48
hijiri,,Hijiri,,1,,5/9/2022 11:48
hikaru,,Hikaru,,1,,5/9/2022 11:48
hinata,,Hinata,,1,,5/9/2022 11:48
hiraki,,Hiraki,,1,,5/14/2024 2:16
hiro,,Hiro,,1,,5/14/2024 2:16
hirofumi,,Hirofumi,,1,,5/14/2024 2:16
hiroki,,Hiroki,,1,,5/14/2024 2:16
hiromu,,Hiromu,,1,,5/14/2024 2:16
hiroshi,,Hiroshi,,1,,5/14/2024 2:16
hiroto,,Hiroto,,1,,5/14/2024 2:16
hiroyuki,,Hiroyuki,,1,,5/14/2024 2:16
hitoshi,,Hitoshi,,1,,5/14/2024 2:16
hokuto,,Hokuto,,1,,5/14/2024 2:16
homare,,Homare,,1,,5/14/2024 2:16
ibuki,,Ibuki,,1,,5/14/2024 2:16
ichigo,,Ichigo,,1,,5/14/2024 2:16
ichirou,,Ichirou,,1,,5/14/2024 2:16
ieyasu,,Ieyasu,,1,,5/14/2024 2:16
iori,,Iori,,1,,5/14/2024 2:16
ippei,,Ippei,,1,,5/14/2024 2:16
isami,,Isami,,1,,5/14/2024 2:16
isao,,Isao,,1,,5/14/2024 2:16
isshin,,Isshin,,1,,5/14/2024 2:16
itsuki,,Itsuki,,1,,5/14/2024 2:16
jin,,Jin,,1,,5/14/2024 2:16
jou,,Jou,,1,,5/14/2024 2:16
jun,,Jun,,1,,5/14/2024 2:16
jun'ichi,,Jun'ichi,,1,,5/14/2024 2:16
jun'ya,,Jun'ya,,1,,5/14/2024 2:16
jun'ichirou,,Jun'ichirou,,1,,5/14/2024 2:16
junpei,,Junpei,,1,,5/14/2024 2:16
kachi,,Kachi,,1,,5/14/2024 2:16
kaede,,Kaede,,1,,5/14/2024 2:16
kai,,Kai,,1,,5/14/2024 2:16
kairi,,Kairi,,1,,5/14/2024 2:16
kaisei,,Kaisei,,1,,5/14/2024 2:16
kaito,,Kaito,,1,,5/14/2024 2:16
kakeru,,Kakeru,,1,,5/14/2024 2:16
kanade,,Kanade,,1,,5/14/2024 2:16
kaname,,Kaname,,1,,5/14/2024 2:16
kanata,,Kanata,,1,,5/14/2024 2:16
kanato,,Kanato,,1,,5/14/2024 2:16
kanon,,Kanon,,1,,5/14/2024 2:16
kanta,,Kanta,,1,,5/14/2024 2:16
kanto,,Kanto,,1,,5/14/2024 2:16
kaoru,,Kaoru,,1,,5/14/2024 2:16
katsumi,,Katsumi,,1,,5/14/2024 2:16
katsuya,,Katsuya,,1,,5/14/2024 2:16
kazuhiko,,Kazuhiko,,1,,5/14/2024 2:16
kazuhiro,,Kazuhiro,,1,,5/14/2024 2:16
kazuki,,Kazuki,,1,,5/14/2024 2:16
kazuma,,Kazuma,,1,,5/14/2024 2:16
kazunari,,Kazunari,,1,,5/14/2024 2:16
kazushi,,Kazushi,,1,,5/14/2024 2:16
kazuto,,Kazuto,,1,,5/14/2024 2:16
kazuya,,Kazuya,,1,,5/14/2024 2:16
kazuyuki,,Kazuyuki,,1,,5/14/2024 2:16
kei,,Kei,,1,,5/14/2024 2:16
keigo,,Keigo,,1,,5/14/2024 2:16
keiichi,,Keiichi,,1,,5/14/2024 2:16
keiji,,Keiji,,1,,5/14/2024 2:16
keisuke,,Keisuke,,1,,5/14/2024 2:16
keita,,Keita,,1,,5/14/2024 2:16
keitarou,,Keitarou,,1,,5/14/2024 2:16
keito,,Keito,,1,,5/14/2024 2:16
ken,,Ken,,1,,5/14/2024 2:16
ken'ichi,,Ken'ichi,,1,,5/14/2024 2:16
ken'ichirou,,Ken'ichirou,,1,,5/14/2024 2:16
kengo,,Kengo,,1,,5/14/2024 2:16
kenji,,Kenji,,1,,5/14/2024 2:16
kenshin,,Kenshin,,1,,5/14/2024 2:16
kensuke,,Kensuke,,1,,5/14/2024 2:16
kenta,,Kenta,,1,,5/14/2024 2:16
kentarou,,Kentarou,,1,,5/14/2024 2:16
kento,,Kento,,1,,5/14/2024 2:16
kishi,,Kishi,,1,,5/14/2024 2:16
kiyo,,Kiyo,,1,,5/14/2024 2:16
kizuna,,Kizuna,,1,,5/14/2024 2:16
kohaku,,Kohaku,,1,,5/14/2024 2:16
koki,,Koki,,1,,5/14/2024 2:16
kokoro,,Kokoro,,1,,5/14/2024 2:16
kosei,,Kosei,,1,,5/14/2024 2:16
kosuke,,Kosuke,,1,,5/14/2024 2:16
kota,,Kota,,1,,5/14/2024 2:16
kotarou,,Kotarou,,1,,5/14/2024 2:16
kou,,Kou,,1,,5/14/2024 2:16
koudai,,Koudai,,1,,5/14/2024 2:16
kouhei,,Kouhei,,1,,5/14/2024 2:16
kouichi,,Kouichi,,1,,5/14/2024 2:16
kouji,,Kouji,,1,,5/14/2024 2:16
kouki,,Kouki,,1,,5/14/2024 2:16
koumei,,Koumei,,1,,5/14/2024 2:16
kounosuke,,Kounosuke,,1,,5/14/2024 2:16
kousei,,Kousei,,1,,5/14/2024 2:16
kousuke,,Kousuke,,1,,5/14/2024 2:16
kouta,,Kouta,,1,,5/14/2024 2:16
koutarou,,Koutarou,,1,,5/14/2024 2:16
kyouhei,,Kyouhei,,1,,5/14/2024 2:16
kyousuke,,Kyousuke,,1,,5/14/2024 2:16
mahiro,,Mahiro,,1,,5/14/2024 2:16
makoto,,Makoto,,1,,5/14/2024 2:16
mamori,,Mamori,,1,,5/14/2024 2:16
manabu,,Manabu,,1,,5/14/2024 2:16
manato,,Manato,,1,,5/14/2024 2:16
mao,,Mao,,1,,5/14/2024 2:16
masaaki,,Masaaki,,1,,5/14/2024 2:16
masaharu,,Masaharu,,1,,5/14/2024 2:16
masahiko,,Masahiko,,1,,5/14/2024 2:16
masakazu,,Masakazu,,1,,5/14/2024 2:16
masaki,,Masaki,,1,,5/14/2024 2:16
masamune,,Masamune,,1,,5/14/2024 2:16
masato,,Masato,,1,,5/14/2024 2:16
masaya,,Masaya,,1,,5/14/2024 2:16
masayoshi,,Masayoshi,,1,,5/14/2024 2:16
masayuki,,Masayuki,,1,,5/14/2024 2:16
miku,,Miku,,1,,5/14/2024 2:16
minato,,Minato,,1,,5/14/2024 2:16
mine,,Mine,,1,,5/14/2024 2:16
minoru,,Minoru,,1,,5/14/2024 2:16
mio,,Mio,,1,,5/14/2024 2:16
mitsuki,,Mitsuki,,1,,5/14/2024 2:16
mitsuru,,Mitsuru,,1,,5/14/2024 2:16
miyabi,,Miyabi,,1,,5/14/2024 2:16
mizuki,,Mizuki,,1,,5/14/2024 2:16
musashi,,Musashi,,1,,5/14/2024 2:16
nagi,,Nagi,,1,,5/14/2024 2:16
nagisa,,Nagisa,,1,,5/14/2024 2:16
nao,,Nao,,1,,5/14/2024 2:16
naoki,,Naoki,,1,,5/14/2024 2:16
naotarou,,Naotarou,,1,,5/14/2024 2:16
naoto,,Naoto,,1,,5/14/2024 2:16
naoya,,Naoya,,1,,5/14/2024 2:16
naoyuki,,Naoyuki,,1,,5/14/2024 2:16
natsuki,,Natsuki,,1,,5/14/2024 2:16
nobori,,Nobori,,1,,5/14/2024 2:16
nobunaga,,Nobunaga,,1,,5/14/2024 2:16
nodoka,,Nodoka,,1,,5/14/2024 2:16
nozomi,,Nozomi,,1,,5/14/2024 2:16
oochi,,Oochi,,1,,5/14/2024 2:16
ookara,,Ookara,,1,,5/14/2024 2:16
ookazu,,Ookazu,,1,,5/14/2024 2:16
oonari,,Oonari,,1,,5/14/2024 2:16
oosora,,Oosora,,1,,5/14/2024 2:16
osamu,,Osamu,,1,,5/14/2024 2:16
ousuke,,Ousuke,,1,,5/14/2024 2:16
rei,,Rei,,1,,5/14/2024 2:16
ren,,Ren,,1,,5/14/2024 2:16
renta,,Renta,,1,,5/14/2024 2:16
rentarou,,Rentarou,,1,,5/14/2024 2:16
rento,,Rento,,1,,5/14/2024 2:16
reo,,Reo,,1,,5/14/2024 2:16
reon,,Reon,,1,,5/14/2024 2:16
rihito,,Rihito,,1,,5/14/2024 2:16
riku,,Riku,,1,,5/14/2024 2:16
rikuto,,Rikuto,,1,,5/14/2024 2:16
rin,,Rin,,1,,5/14/2024 2:16
rinta,,Rinta,,1,,5/14/2024 2:16
rintarou,,Rintarou,,1,,5/14/2024 2:16
rio,,Rio,,1,,5/14/2024 2:16
rita,,Rita,,1,,5/14/2024 2:16
ritsu,,Ritsu,,1,,5/14/2024 2:16
rui,,Rui,,1,,5/14/2024 2:16
ryo,,Ryo,,1,,5/14/2024 2:16
ryota,,Ryota,,1,,5/14/2024 2:16
ryou,,Ryou,,1,,5/14/2024 2:16
ryouga,,Ryouga,,1,,5/14/2024 2:16
ryouhei,,Ryouhei,,1,,5/14/2024 2:16
ryouma,,Ryouma,,1,,5/14/2024 2:16
ryousuke,,Ryousuke,,1,,5/14/2024 2:16
ryouta,,Ryouta,,1,,5/14/2024 2:16
ryoutarou,,Ryoutarou,,1,,5/14/2024 2:16
ryuga,,Ryuga,,1,,5/14/2024 2:16
ryuki,,Ryuki,,1,,5/14/2024 2:16
ryusei,,Ryusei,,1,,5/14/2024 2:16
ryuto,,Ryuto,,1,,5/14/2024 2:16
ryuu,,Ryuu,,1,,5/14/2024 2:16
ryuuichi,,Ryuuichi,,1,,5/14/2024 2:16
ryuunosuke,,Ryuunosuke,,1,,5/14/2024 2:16
ryuusei,,Ryuusei,,1,,5/14/2024 2:16
ryuuta,,Ryuuta,,1,,5/14/2024 2:16
ryuutarou,,Ryuutarou,,1,,5/14/2024 2:16
ryuuto,,Ryuuto,,1,,5/14/2024 2:16
saku,,Saku,,1,,5/14/2024 2:16
sakutarou,,Sakutarou,,1,,5/14/2024 2:16
sakuya,,Sakuya,,1,,5/14/2024 2:16
satoru,,Satoru,,1,,5/14/2024 2:16
satoshi,,Satoshi,,1,,5/14/2024 2:16
satshi,,Satshi,,1,,5/14/2024 2:16
seiichi,,Seiichi,,1,,5/14/2024 2:16
seiichirou,,Seiichirou,,1,,5/14/2024 2:16
seiji,,Seiji,,1,,5/14/2024 2:16
seiya,,Seiya,,1,,5/14/2024 2:16
shigeki,,Shigeki,,1,,5/14/2024 2:16
shigeru,,Shigeru,,1,,5/14/2024 2:16
shin,,Shin,,1,,5/14/2024 2:16
shin'ichi,,Shin'ichi,,1,,5/14/2024 2:16
shin'ichirou,,Shin'ichirou,,1,,5/14/2024 2:16
shin'ya,,Shin'ya,,1,,5/14/2024 2:16
shingo,,Shingo,,1,,5/14/2024 2:16
shinichi,,Shinichi,,1,,5/14/2024 2:16
shinji,,Shinji,,1,,5/14/2024 2:16
shinnosuke,,Shinnosuke,,1,,5/14/2024 2:16
