Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
—,— ,— ,— ,— ,— ,— 
abe,,Abe,,1,,5/9/2022 11:48
adachi,,Adachi,,1,,5/9/2022 11:48
aida,,Aida,,1,,5/9/2022 11:48
aihara,,Aihara,,1,,5/9/2022 11:48
aikawa,,Aikawa,,1,,5/9/2022 11:48
aita,,Aita,,1,,5/9/2022 11:48
aizara,,Aizara,,1,,5/9/2022 11:48
akabane,,Akabane,,1,,5/9/2022 11:48
akagi,,Akagi,,1,,5/9/2022 11:48
akaishi,,Akaishi,,1,,5/9/2022 11:48
akamatsu,,Akamatsu,,1,,5/9/2022 11:48
akasaka,,Akasaka,,1,,5/9/2022 11:48
akiba,,Akiba,,1,,5/9/2022 11:48
akimoto,,Akimoto,,1,,5/9/2022 11:48
akita,,Akita,,1,,5/9/2022 11:48
akiyama,,Akiyama,,1,,5/9/2022 11:48
akutsu,,Akutsu,,1,,5/9/2022 11:48
amano,,Amano,,1,,5/9/2022 11:48
amemiya,,Amemiya,,1,,5/9/2022 11:48
ando,,Ando,,1,,5/9/2022 11:48
andou,,Andou,,1,,5/9/2022 11:48
aoki,,Aoki,,1,,5/9/2022 11:48
aono,,Aono,,1,,5/9/2022 11:48
aoyagi,,Aoyagi,,1,,5/9/2022 11:48
aoyama,,Aoyama,,1,,5/9/2022 11:48
arai,,Arai,,1,,5/9/2022 11:48
arakaki,,Arakaki,,1,,5/9/2022 11:48
arakawa,,Arakawa,,1,,5/9/2022 11:48
araki,,Araki,,1,,5/9/2022 11:48
aramura,,Aramura,,1,,5/9/2022 11:48
araya,,Araya,,1,,5/9/2022 11:48
ariga,,Ariga,,1,,5/9/2022 11:48
arima,,Arima,,1,,5/9/2022 11:48
arimura,,Arimura,,1,,5/9/2022 11:48
arita,,Arita,,1,,5/9/2022 11:48
asada,,Asada,,1,,5/9/2022 11:48
asai,,Asai,,1,,5/9/2022 11:48
asakawa,,Asakawa,,1,,5/9/2022 11:48
asakura,,Asakura,,1,,5/9/2022 11:48
asami,,Asami,,1,,5/9/2022 11:48
asano,,Asano,,1,,5/9/2022 11:48
asanuma,,Asanuma,,1,,5/9/2022 11:48
asao,,Asao,,1,,5/9/2022 11:48
ashida,,Ashida,,1,,5/9/2022 11:48
asukada,,Asukada,,1,,5/9/2022 11:48
atari,,Atari,,1,,5/9/2022 11:48
azuma,,Azuma,,1,,5/9/2022 11:48
baba,,Baba,,1,,5/9/2022 11:48
chiba,,Chiba,,1,,5/9/2022 11:48
date,,Date,,1,,5/9/2022 11:48
doi,,Doi,,1,,5/9/2022 11:48
ebara,,Ebara,,1,,5/9/2022 11:48
ebihara,,Ebihara,,1,,5/9/2022 11:48
echi,,Echi,,1,,5/9/2022 11:48
egawa,,Egawa,,1,,5/9/2022 11:48
eguchi,,Eguchi,,1,,5/9/2022 11:48
eiyama,,Eiyama,,1,,5/9/2022 11:48
ejima,,Ejima,,1,,5/9/2022 11:48
emoto,,Emoto,,1,,5/9/2022 11:48
en'ya,,En'ya,,1,,5/9/2022 11:48
endo,,Endo,,1,,5/9/2022 11:48
endou,,Endou,,1,,5/9/2022 11:48
esaki,,Esaki,,1,,5/9/2022 11:48
etou,,Etou,,1,,5/9/2022 11:48
fujii,,Fujii,,1,,5/9/2022 11:48
fujikawa,,Fujikawa,,1,,5/9/2022 11:48
fujiki,,Fujiki,,1,,5/9/2022 11:48
fujimori,,Fujimori,,1,,5/9/2022 11:48
fujimoto,,Fujimoto,,1,,5/9/2022 11:48
fujimura,,Fujimura,,1,,5/9/2022 11:48
fujino,,Fujino,,1,,5/9/2022 11:48
fujioka,,Fujioka,,1,,5/9/2022 11:48
fujisaki,,Fujisaki,,1,,5/9/2022 11:48
fujisawa,,Fujisawa,,1,,5/9/2022 11:48
fujishima,,Fujishima,,1,,5/9/2022 11:48
fujita,,Fujita,,1,,5/9/2022 11:48
fujiwara,,Fujiwara,,1,,5/9/2022 11:48
fujiyama,,Fujiyama,,1,,5/9/2022 11:48
fukai,,Fukai,,1,,5/9/2022 11:48
fukasawa,,Fukasawa,,1,,5/9/2022 11:48
fukata,,Fukata,,1,,5/9/2022 11:48
fukaya,,Fukaya,,1,,5/9/2022 11:48
fukuchi,,Fukuchi,,1,,5/9/2022 11:48
fukuda,,Fukuda,,1,,5/9/2022 11:48
fukuhara,,Fukuhara,,1,,5/9/2022 11:48
fukui,,Fukui,,1,,5/9/2022 11:48
fukumoto,,Fukumoto,,1,,5/9/2022 11:48
fukunaga,,Fukunaga,,1,,5/9/2022 11:48
fukuoka,,Fukuoka,,1,,5/9/2022 11:48
fukushi,,Fukushi,,1,,5/9/2022 11:48
fukushima,,Fukushima,,1,,5/9/2022 11:48
fukuyama,,Fukuyama,,1,,5/9/2022 11:48
furukawa,,Furukawa,,1,,5/9/2022 11:48
furuta,,Furuta,,1,,5/9/2022 11:48
furutani,,Furutani,,1,,5/9/2022 11:48
furuya,,Furuya,,1,,5/9/2022 11:48
fuse,,Fuse,,1,,5/9/2022 11:48
gomi,,Gomi,,1,,5/9/2022 11:48
goto,,Goto,,1,,5/9/2022 11:48
gotou,,Gotou,,1,,5/14/2024 2:16
haga,,Haga,,1,,5/14/2024 2:16
hagiwara,,Hagiwara,,1,,5/14/2024 2:16
hama,,Hama,,1,,5/14/2024 2:16
hamada,,Hamada,,1,,5/14/2024 2:16
hamaguchi,,Hamaguchi,,1,,5/14/2024 2:16
hamamoto,,Hamamoto,,1,,5/14/2024 2:16
hamano,,Hamano,,1,,5/14/2024 2:16
hamasaki,,Hamasaki,,1,,5/14/2024 2:16
hanada,,Hanada,,1,,5/14/2024 2:16
hanaoka,,Hanaoka,,1,,5/14/2024 2:16
handa,,Handa,,1,,5/14/2024 2:16
hara,,Hara,,1,,5/14/2024 2:16
harada,,Harada,,1,,5/14/2024 2:16
haraguchi,,Haraguchi,,1,,5/14/2024 2:16
hasebe,,Hasebe,,1,,5/14/2024 2:16
hasegawa,,Hasegawa,,1,,5/14/2024 2:16
hashidzume,,Hashidzume,,1,,5/14/2024 2:16
hashiguchi,,Hashiguchi,,1,,5/14/2024 2:16
hashimoto,,Hashimoto,,1,,5/14/2024 2:16
hata,,Hata,,1,,5/14/2024 2:16
hatakenaka,,Hatakenaka,,1,,5/14/2024 2:16
hatakeyama,,Hatakeyama,,1,,5/14/2024 2:16
hatanaka,,Hatanaka,,1,,5/14/2024 2:16
hatano,,Hatano,,1,,5/14/2024 2:16
hatta,,Hatta,,1,,5/14/2024 2:16
hattori,,Hattori,,1,,5/14/2024 2:16
hayakawa,,Hayakawa,,1,,5/14/2024 2:16
hayasaka,,Hayasaka,,1,,5/14/2024 2:16
hayashi,,Hayashi,,1,,5/14/2024 2:16
hayashida,,Hayashida,,1,,5/14/2024 2:16
hibino,,Hibino,,1,,5/14/2024 2:16
hidaka,,Hidaka,,1,,5/14/2024 2:16
higa,,Higa,,1,,5/14/2024 2:16
higuchi,,Higuchi,,1,,5/14/2024 2:16
hino,,Hino,,1,,5/14/2024 2:16
hirabayashi,,Hirabayashi,,1,,5/14/2024 2:16
hiraga,,Hiraga,,1,,5/14/2024 2:16
hirai,,Hirai,,1,,5/14/2024 2:16
hirakawa,,Hirakawa,,1,,5/14/2024 2:16
hiramatsu,,Hiramatsu,,1,,5/14/2024 2:16
hirano,,Hirano,,1,,5/14/2024 2:16
hirao,,Hirao,,1,,5/14/2024 2:16
hiraoka,,Hiraoka,,1,,5/14/2024 2:16
hirasawa,,Hirasawa,,1,,5/14/2024 2:16
hirata,,Hirata,,1,,5/14/2024 2:16
hiratsuka,,Hiratsuka,,1,,5/14/2024 2:16
hirayama,,Hirayama,,1,,5/14/2024 2:16
hirokawa,,Hirokawa,,1,,5/14/2024 2:16
hirose,,Hirose,,1,,5/14/2024 2:16
hirota,,Hirota,,1,,5/14/2024 2:16
honbashi,,Honbashi,,1,,5/14/2024 2:16
honda,,Honda,,1,,5/14/2024 2:16
honma,,Honma,,1,,5/14/2024 2:16
honmura,,Honmura,,1,,5/14/2024 2:16
hori,,Hori,,1,,5/14/2024 2:16
horie,,Horie,,1,,5/14/2024 2:16
horiguchi,,Horiguchi,,1,,5/14/2024 2:16
horii,,Horii,,1,,5/14/2024 2:16
horikawa,,Horikawa,,1,,5/14/2024 2:16
horikoshi,,Horikoshi,,1,,5/14/2024 2:16
horiuchi,,Horiuchi,,1,,5/14/2024 2:16
hosaka,,Hosaka,,1,,5/14/2024 2:16
hoshi,,Hoshi,,1,,5/14/2024 2:16
hoshino,,Hoshino,,1,,5/14/2024 2:16
hosoda,,Hosoda,,1,,5/14/2024 2:16
hosoi,,Hosoi,,1,,5/14/2024 2:16
hosokawa,,Hosokawa,,1,,5/14/2024 2:16
hosono,,Hosono,,1,,5/14/2024 2:16
hosoya,,Hosoya,,1,,5/14/2024 2:16
hotta,,Hotta,,1,,5/14/2024 2:16
ichihara,,Ichihara,,1,,5/14/2024 2:16
ichikawa,,Ichikawa,,1,,5/14/2024 2:16
ichimura,,Ichimura,,1,,5/14/2024 2:16
ida,,Ida,,1,,5/14/2024 2:16
ide,,Ide,,1,,5/14/2024 2:16
ideguchi,,Ideguchi,,1,,5/14/2024 2:16
igarashi,,Igarashi,,1,,5/14/2024 2:16
igawa,,Igawa,,1,,5/14/2024 2:16
iguchi,,Iguchi,,1,,5/14/2024 2:16
ihara,,Ihara,,1,,5/14/2024 2:16
iida,,Iida,,1,,5/14/2024 2:16
iidzuka,,Iidzuka,,1,,5/14/2024 2:16
iijima,,Iijima,,1,,5/14/2024 2:16
iino,,Iino,,1,,5/14/2024 2:16
ikeda,,Ikeda,,1,,5/14/2024 2:16
ikegami,,Ikegami,,1,,5/14/2024 2:16
ikemoto,,Ikemoto,,1,,5/14/2024 2:16
iketani,,Iketani,,1,,5/14/2024 2:16
ikeuchi,,Ikeuchi,,1,,5/14/2024 2:16
ikuta,,Ikuta,,1,,5/14/2024 2:16
ima,,Ima,,1,,5/14/2024 2:16
imada,,Imada,,1,,5/14/2024 2:16
imagawa,,Imagawa,,1,,5/14/2024 2:16
imai,,Imai,,1,,5/14/2024 2:16
imaizumi,,Imaizumi,,1,,5/14/2024 2:16
imamura,,Imamura,,1,,5/14/2024 2:16
imanishi,,Imanishi,,1,,5/14/2024 2:16
imoto,,Imoto,,1,,5/14/2024 2:16
inaba,,Inaba,,1,,5/14/2024 2:16
inada,,Inada,,1,,5/14/2024 2:16
inagaki,,Inagaki,,1,,5/14/2024 2:16
inomata,,Inomata,,1,,5/14/2024 2:16
inomura,,Inomura,,1,,5/14/2024 2:16
inoue,,Inoue,,1,,5/14/2024 2:16
inui,,Inui,,1,,5/14/2024 2:16
irie,,Irie,,1,,5/14/2024 2:16
isagawa,,Isagawa,,1,,5/14/2024 2:16
ishibashi,,Ishibashi,,1,,5/14/2024 2:16
ishida,,Ishida,,1,,5/14/2024 2:16
ishidzuka,,Ishidzuka,,1,,5/14/2024 2:16
ishigaki,,Ishigaki,,1,,5/14/2024 2:16
ishiguro,,Ishiguro,,1,,5/14/2024 2:16
ishihara,,Ishihara,,1,,5/14/2024 2:16
ishii,,Ishii,,1,,5/14/2024 2:16
ishikawa,,Ishikawa,,1,,5/14/2024 2:16
ishikura,,Ishikura,,1,,5/14/2024 2:16
ishimaru,,Ishimaru,,1,,5/14/2024 2:16
ishimoto,,Ishimoto,,1,,5/14/2024 2:16
ishino,,Ishino,,1,,5/14/2024 2:16
ishiwata,,Ishiwata,,1,,5/14/2024 2:16
ishiyama,,Ishiyama,,1,,5/14/2024 2:16
ishizaki,,Ishizaki,,1,,5/14/2024 2:16
ishizawa,,Ishizawa,,1,,5/14/2024 2:16
isobe,,Isobe,,1,,5/14/2024 2:16
isono,,Isono,,1,,5/14/2024 2:16
itabashi,,Itabashi,,1,,5/14/2024 2:16
itagaki,,Itagaki,,1,,5/14/2024 2:16
itakura,,Itakura,,1,,5/14/2024 2:16
ito,,Ito,,1,,5/14/2024 2:16
itou,,Itou,,1,,5/14/2024 2:16
iwabuchi,,Iwabuchi,,1,,5/14/2024 2:16
iwai,,Iwai,,1,,5/14/2024 2:16
iwaki,,Iwaki,,1,,5/14/2024 2:16
iwama,,Iwama,,1,,5/14/2024 2:16
iwamoto,,Iwamoto,,1,,5/14/2024 2:16
iwamura,,Iwamura,,1,,5/14/2024 2:16
iwanaga,,Iwanaga,,1,,5/14/2024 2:16
iwasa,,Iwasa,,1,,5/14/2024 2:16
iwasaki,,Iwasaki,,1,,5/14/2024 2:16
iwase,,Iwase,,1,,5/14/2024 2:16
iwashita,,Iwashita,,1,,5/14/2024 2:16
iwata,,Iwata,,1,,5/14/2024 2:16
iwatani,,Iwatani,,1,,5/14/2024 2:16
izumi,,Izumi,,1,,5/14/2024 2:16
kadota,,Kadota,,1,,5/14/2024 2:16
kadowaki,,Kadowaki,,1,,5/14/2024 2:16
kagawa,,Kagawa,,1,,5/14/2024 2:16
kageyama,,Kageyama,,1,,5/14/2024 2:16
kai,,Kai,,1,,5/14/2024 2:16
kajihara,,Kajihara,,1,,5/14/2024 2:16
