Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
—,—,—,—,—,—,—
seo-yun,,Seo-yun,,1,,5/9/2022 11:48
seo-yeon,,Seo-yeon,,1,,5/9/2022 11:48
ji-woo,,Ji-woo,,1,,5/9/2022 11:48
ji-yoo,,Ji-yoo,,1,,5/9/2022 11:48
ha-yoon,,Ha-yoon,,1,,5/9/2022 11:48
seo-hyeon,,Seo-hyeon,,1,,5/9/2022 11:48
min-seo,,Min-seo,,1,,5/9/2022 11:48
ha-eun,,Ha-eun,,1,,5/9/2022 11:48
ji-a,,Ji-a,,1,,5/9/2022 11:48
da-eun,,Da-eun,,1,,5/9/2022 11:48
,,A-yeong,,,,
,,Ae-cha,,,,
,,Ae-jung,,,,
,,Aera,,,,
,,Ah-in,,,,
,,Ahnjong,,,,
,,Ara,,,,
,,Areum,,,,
,,Bada,,,,
,,Bae,,,,
,,Binna,,,,
,,Bit-na,,,,
,,Bitna,,,,
,,Bo-bae,,,,
,,Bo-kyung,,,,
,,Bo-ram,,,,
,,Bo-reum,,,,
,,Bo-yeon,,,,
,,Bo-young,,,,
,,Boa,,,,
,,Bom,,,,
,,Bong,,,,
,,Bong-cha,,,,
,,Bora,,,,
,,Boram,,,,
,,Byeol,,,,
,,Byung-hee,,,,
,,Chae-won,,,,
,,Chae-yeon,,,,
,,Chae-yeong,,,,
,,Chae-young,,,,
,,Chin,,,,
,,Chin-hwa,,,,
,,Chin-sun,,,,
,,Cho,,,,
,,Choon-hee,,,,
,,Chul,,,,
,,Chun,,,,
,,Chun-cha,,,,
,,Chun-hee,,,,
,,Chun-hwa,,,,
,,Chun-ja,,,,
,,Chung-ae,,,,
,,Chung-cha,,,,
,,Da-bin,,,,
,,Da-hee,,,,
,,Da-hye,,,,
,,Da-rae,,,,
,,Da-som,,,,
,,Dae,,,,
,,Dal-rae,,,,
,,Dam-bi,,,,
,,Do-hee,,,,
,,Do-yeon,,,,
,,Do-yeong,,,,
,,Do-yun,,,,
,,Doh,,,,
,,Dong,,,,
,,Dong-joo,,,,
,,Du,,,,
,,Duri,,,,
,,Eui,,,,
,,Eun,,,,
,,Eun-ae,,,,
,,Eun-ah,,,,
,,Eun-bi,,,,
,,Eun-byul,,,,
,,Eun-chae,,,,
,,Eun-Gyeong,,,,
,,Eun-ha,,,,
,,Eun-hee,,,,
,,Eun-hye,,,,
,,Eun-jae,,,,
,,Eun-jeong,,,,
,,Eun-ji,,,,
,,Eun-jin,,,,
,,Eun-ju,,,,
,,Eun-jung,,,,
,,Eun-kyung,,,,
,,Eun-mi,,,,
,,Eun-sang,,,,
,,Eun-seo,,,,
,,Eun-soo,,,,
,,Eun-sook,,,,
,,Eun-sung,,,,
,,Eun-u,,,,
,,Eun-woo,,,,
,,Eun-yeong,,,,
,,Eun-young,,,,
,,Ga-eul,,,,
,,Ga-eun,,,,
,,Ga-in,,,,
,,Ga-ram,,,,
,,Ga-young,,,,
,,Gam,,,,
,,Geu-roo,,,,
,,Geum-eocho,,,,
,,Geumseong,,,,
,,Gi,,,,
,,Go-eun,,,,
,,Goo,,,,
,,Gook,,,,
,,Gyeong,,,,
,,Gyeong-hui,,,,
,,Gyeong-ja,,,,
,,Gyeong-suk,,,,
,,Gyuri,,,,
,,Ha-joon,,,,
,,Ha-jun,,,,
,,Ha-neul,,,,
,,Ha-rin,,,,
,,Ha-sun,,,,
,,Ha-yun,,,,
,,Hae,,,,
,,Hae-jin,,,,
,,Hae-joo,,,,
,,Hae-won,,,,
,,Han-na,,,,
,,Hana,,,,
,,Haneul,,,,
,,Hea,,,,
,,Hee,,,,
,,Hee-jin,,,,
,,Hee-joon,,,,
,,Hee-jung,,,,
,,Hee-kyung,,,,
,,Hee-soo,,,,
,,Hee-sun,,,,
,,Hee-sung,,,,
,,Hee-young,,,,
,,Hei,,,,
,,Hei-ran,,,,
,,Hei-ryung,,,,
,,Hiah,,,,
,,Ho,,,,
,,Ho-jung,,,,
,,Ho-sook,,,,
,,Hong-joo,,,,
,,Hwa-young,,,,
,,Hwan,,,,
,,Hye,,,,
,,Hye-bin,,,,
,,Hye-in,,,,
,,Hye-ja,,,,
,,Hye-jeong,,,,
,,Hye-jin,,,,
,,Hye-kyung,,,,
,,Hye-mi,,,,
,,Hye-rim,,,,
,,Hye-rin,,,,
,,Hye-su,,,,
,,Hye-sung,,,,
,,Hye-won,,,,
,,Hye-young,,,,
,,Hyeon,,,,
,,Hyeon-jeong,,,,
,,Hyeon-ju,,,,
,,Hyo,,,,
,,Hyo-jin,,,,
,,Hyo-joo,,,,
,,Hyo-rin,,,,
,,Hyo-sonn,,,,
,,Hyon-ok,,,,
,,Hyun,,,,
,,Hyun-a,,,,
,,Hyun-ae,,,,
,,Hyun-hee,,,,
,,Hyun-ho,,,,
,,Hyun-jae,,,,
,,Hyun-jin,,,,
,,Hyun-joo,,,,
,,Hyun-jung,,,,
,,Hyun-ki,,,,
,,Hyun-kyung,,,,
,,Hyun-mi,,,,
,,Hyun-ok,,,,
,,Hyun-soo,,,,
,,Hyun-sook,,,,
,,Hyung-joo,,,,
,,I-jun,,,,
,,In,,,,
,,In-hye,,,,
,,In-soo,,,,
,,In-sook,,,,
,,In-young,,,,
,,Iseul,,,,
,,Ja,,,,
,,Jae,,,,
,,Jae-eun,,,,
,,Jae-gyu,,,,
,,Jae-hui,,,,
,,Jae-hwa,,,,
,,Jae-in,,,,
,,Jae-kyung,,,,
,,Jae-shin,,,,
,,Jae-won,,,,
,,Jae-yoon,,,,
,,Jae-young,,,,
,,Jang-mi,,,,
,,Jeong,,,,
,,Jeong-eun,,,,
,,Jeong-hui,,,,
,,Jeong-hyo,,,,
,,Jeong-ja,,,,
,,Jeong-suk,,,,
,,Ji,,,,
,,Ji-ae,,,,
,,Ji-ah,,,,
,,Ji-an,,,,
,,Ji-eun,,,,
,,Ji-ha,,,,
,,Ji-hae,,,,
,,Ji-ho,,,,
,,Ji-hu,,,,
,,Ji-hye,,,,
,,Ji-hyun,,,,
,,Ji-min,,,,
,,Ji-seok,,,,
,,Ji-seong,,,,
,,Ji-soo,,,,
,,Ji-su,,,,
,,Ji-u,,,,
,,Ji-won,,,,
,,Ji-yeon,,,,
,,Ji-yeong,,,,
,,Ji-yoon,,,,
,,Ji-young,,,,
,,Ji-yu,,,,
,,Jin,,,,
,,Jin-hee,,,,
,,Jin-ho,,,,
,,Jin-joo,,,,
,,Jin-soo,,,,
,,Jin-sung,,,,
,,Jin-young,,,,
,,Jina,,,,
,,Jong,,,,
,,Jong-ok,,,,
,,Joo,,,,
,,Joo-eun,,,,
,,Joo-hyun,,,,
,,Joo-won,,,,
,,Joon-hee,,,,
,,Ju-hye,,,,
,,Ju-won,,,,
,,Jun,,,,
,,Jun-young,,,,
,,Jung,,,,
,,Jung-ah,,,,
,,Jung-hee,,,,
,,Jung-hwa,,,,
,,Jung-hyun,,,,
,,Jung-in,,,,
,,Jung-min,,,,
,,Jung-soo,,,,
,,Jung-sook,,,,
,,Jung-soon,,,,
,,Jung-won,,,,
,,Jung-woo,,,,
,,Kang,,,,
,,Ki,,,,
,,Ki-nam,,,,
,,Ki-young,,,,
,,Kum-song,,,,
,,Kwan,,,,
,,Kwang-hee,,,,
,,Kyong,,,,
,,Kyu-won,,,,
,,Kyung,,,,
,,Kyung-ah,,,,
,,Kyung-hee,,,,
,,Kyung-hu,,,,
,,Kyung-hwa,,,,
,,Kyung-ja,,,,
,,Kyung-ju,,,,
,,Kyung-lim,,,,
,,Kyung-min,,,,
,,Kyung-ok,,,,
,,Kyung-sook,,,,
,,Kyung-soon,,,,
,,Kyung-sun,,,,
,,Kyung-won,,,,
,,Ma-ri,,,,
,,Man-hee,,,,
,,Mee,,,,
,,Mi-cha,,,,
,,Mi-gyeong,,,,
,,Mi-hee,,,,
,,Mi-hi,,,,
,,Mi-ja,,,,
,,Mi-jung,,,,
,,Mi-kyung,,,,
,,Mi-ok,,,,
,,Mi-rae,,,,
,,Mi-ran,,,,
,,Mi-sook,,,,
,,Mi-suk,,,,
,,Mi-sun,,,,
,,Mi-yeon,,,,
,,Mi-young,,,,
,,Min,,,,
,,Min-hee,,,,
,,Min-jae,,,,
,,Min-ji,,,,
,,Min-ju,,,,
,,Min-jun,,,,
,,Min-jung,,,,
,,Min-kyung,,,,
,,Min-soo,,,,
,,Min-su,,,,
,,Min-sun,,,,
,,Min-young,,,,
,,Mina,,,,
,,Minali,,,,
,,Mishil,,,,
,,Moon,,,,
,,Mu-young,,,,
,,Mun-hee,,,,
,,Myeong,,,,
,,Myeong-suk,,,,
,,Myung,,,,
,,Myung-hee,,,,
,,Myung-hwa,,,,
,,Myung-ok,,,,
,,Myung-sook,,,,
,,Myung-soon,,,,
,,Na-moo,,,,
,,Na-rae,,,,
,,Na-young,,,,
,,Nabi,,,,
,,Nali,,,,
,,Nam,,,,
,,Nam-gil,,,,
,,Nam-kyu,,,,
,,Nam-seon,,,,
,,Nam-sun,,,,
,,Namjoo,,,,
,,Nari,,,,
,,Nuri,,,,
,,Paenji,,,,
,,Ryung,,,,
,,Sa-rang,,,,
,,Saja,,,,
,,Sam,,,,
,,Sang,,,,
,,Sang-eun,,,,
,,Sang-mi,,,,
,,Se-bin,,,,
,,Se-yeon,,,,
,,Se-yoon,,,,
,,Se-young,,,,
,,Seo-a,,,,
,,Seo-ah,,,,
,,Seo-hyun,,,,
,,Seo-jun,,,,
,,Seo-yoon,,,,
,,Seol-hee,,,,
,,Seon-mi,,,,
,,Seon-ok,,,,
,,Seong,,,,
,,Seong-gyeong,,,,
,,Seong-han,,,,
,,Seong-hui,,,,
,,Seong-hyeon,,,,
,,Seong-ja,,,,
,,Seong-min,,,,
,,Seul-gi,,,,
,,Seul-ki,,,,
,,Seung,,,,
,,Seung-ah,,,,
,,Seung-eun,,,,
,,Seung-hee,,,,
,,Seung-hyun,,,,
,,Seung-min,,,,
,,Seung-yeon,,,,
,,Seung-yong,,,,
,,Shik,,,,
,,Shin,,,,
,,Shin-hye,,,,
,,Shin-young,,,,
,,Si-eun,,,,
,,Si-hyun,,,,
,,Si-u,,,,
,,Si-won,,,,
,,Si-woo,,,,
,,Si-yeon,,,,
,,Si-young,,,,
,,So,,,,
,,So-hee,,,,
,,So-hye,,,,
,,So-hyun,,,,
,,So-won,,,,
,,So-yeon,,,,
,,So-yi,,,,
,,So-young,,,,
,,Soo,,,,
,,Soo-a,,,,
,,Soo-ah,,,,
,,Soo-hee,,,,
,,Soo-hyun,,,,
,,Soo-jin,,,,
,,Soo-jung,,,,
,,Soo-kyung,,,,
,,Soo-min,,,,
,,Soo-yeon,,,,
,,Soo-young,,,,
,,Soohee,,,,
,,Sook,,,,
,,Sook-ja,,,,
,,Soon Yi,,,,
,,Soon-bok,,,,
,,Soon-hee,,,,
,,Soon-ja,,,,
,,Sora,,,,
,,Su-bin,,,,
,,Su-ho,,,,
,,Su-hye,,,,
,,Su-hyeon,,,,
,,Su-ji,,,,
,,Su-jin,,,,
,,Su-mi,,,,
,,Suk-ja,,,,
,,Sun,,,,
,,Sun-hee,,,,
,,Sun-hi,,,,
,,Sun-hwa,,,,
,,Sun-ok,,,,
,,Sun-woo,,,,
,,Sun-young,,,,
,,Sung,,,,
,,Sung-hyun,,,,
,,Sung-mi,,,,
,,Sung-min,,,,
,,Sung-sook,,,,
,,Sung-won,,,,
,,Tae-hee,,,,
,,Tae-yeon,,,,
,,Tae-young,,,,
,,Won-shik,,,,
,,Wook,,,,
,,Ye-eun,,,,
,,Ye-ji,,,,
,,Ye-jin,,,,
,,Ye-jun,,,,
,,Ye-rin,,,,
,,Ye-seo,,,,
,,Ye-won,,,,
,,Yebin,,,,
,,Yeo-jin,,,,
,,Yeon-hee,,,,
,,Yeon-woo,,,,
,,Yeong,,,,
,,Yeong-hui,,,,
,,Yeong-ja,,,,
,,Yeong-nam,,,,
,,Yeong-ok,,,,
,,Yeong-suk,,,,
,,Yi-kyung,,,,
,,Yi-seul,,,,
,,Yi-soo,,,,
,,Yihwa,,,,
,,Yon,,,,
,,Yong,,,,
,,Yong-hwa,,,,
,,Yoo-jung,,,,
,,Yoo-kyung,,,,
,,Yoon,,,,
,,Yoon-jung,,,,
,,Yoon-suh,,,,
,,Yoona,,,,
,,Young,,,,
,,Young-ae,,,,
,,Young-ha,,,,
,,Young-hee,,,,
,,Young-il,,,,
,,Young-ja,,,,
,,Young-jin,,,,
,,Young-joo,,,,
,,Young-mi,,,,
,,Young-min,,,,
,,Young-shin,,,,
,,Young-sik,,,,
,,Young-soo,,,,
,,Young-sook,,,,
,,Young-soon,,,,
,,Youra,,,,
,,Yu-bin,,,,
,,Yu-jin,,,,
,,Yu-jun,,,,
,,Yu-mi,,,,
,,Yu-ri,,,,
,,Yumi,,,,
,,Yun-hui,,,,
,,Yun-hyeong,,,,
,,Yun-seo,,,,
,,Yun-seong,,,,
,,Yun-suk,,,,
,,Yunseo,,,,
,,Yuri,,,,
