Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
— ,— ,— ,— ,— ,— ,— 
beom-seok,,Beom-seok,,1,,5/9/2022 11:48
beom-soo,,Beom-soo,,1,,5/9/2022 11:48
bo-kyung,,Bo-kyung,,1,,5/9/2022 11:48
bo-ram,,Bo-ram,,1,,5/9/2022 11:48
bo-yeon,,Bo-yeon,,1,,5/9/2022 11:48
boa,,Boa,,1,,5/9/2022 11:48
byeong-cheol,,Byeong-cheol,,1,,5/9/2022 11:48
byeong-heon,,Byeong-heon,,1,,5/9/2022 11:48
byeong-ho,,Byeong-ho,,1,,5/9/2022 11:48
byung-hee,,Byung-hee,,1,,5/9/2022 11:48
byung-ho,,Byung-ho,,1,,5/9/2022 11:48
byung-hoon,,Byung-hoon,,1,,5/9/2022 11:48
byung-joon,,Byung-joon,,1,,5/9/2022 11:48
byung-woo,,Byung-woo,,1,,5/9/2022 11:48
byung-wook,,Byung-wook,,1,,5/9/2022 11:48
chan-woo,,Chan-woo,,1,,5/9/2022 11:48
chan-young,,Chan-young,,1,,5/9/2022 11:48
chang-ho,,Chang-ho,,1,,5/9/2022 11:48
chang-hoon,,Chang-hoon,,1,,5/9/2022 11:48
chang-min,,Chang-min,,1,,5/9/2022 11:48
chang-nam,,Chang-nam,,1,,5/9/2022 11:48
chang-woo,,Chang-woo,,1,,5/9/2022 11:48
cheol-min,,Cheol-min,,1,,5/9/2022 11:48
chi-won,,Chi-won,,1,,5/9/2022 11:48
chul,,Chul,,1,,5/9/2022 11:48
chul-soo,,Chul-soo,,1,,5/9/2022 11:48
chul-soon,,Chul-soon,,1,,5/9/2022 11:48
chul-woo,,Chul-woo,,1,,5/9/2022 11:48
chun-hee,,Chun-hee,,1,,5/9/2022 11:48
da-bin,,Da-bin,,1,,5/9/2022 11:48
dae-hyun,,Dae-hyun,,1,,5/9/2022 11:48
dae-jung,,Dae-jung,,1,,5/9/2022 11:48
dae-seong,,Dae-seong,,1,,5/9/2022 11:48
dae-sung ,,Dae-sung ,,1,,5/9/2022 11:48
dae-won ,,Dae-won ,,1,,5/9/2022 11:48
deok-su,,Deok-su,,1,,5/9/2022 11:48
do-hun,,Do-hun,,1,,5/9/2022 11:48
do-hyun,,Do-hyun,,1,,5/9/2022 11:48
do-won,,Do-won,,1,,5/9/2022 11:48
do-yeon,,Do-yeon,,1,,5/9/2022 11:48
do-yeong,,Do-yeong,,1,,5/9/2022 11:48
do-yun,,Do-yun,,1,,5/9/2022 11:48
dong-chan,,Dong-chan,,1,,5/9/2022 11:48
dong-chul,,Dong-chul,,1,,5/9/2022 11:48
dong-geun,,Dong-geun,,1,,5/9/2022 11:48
dong-gun,,Dong-gun,,1,,5/9/2022 11:48
dong-ha,,Dong-ha,,1,,5/9/2022 11:48
dong-hoon,,Dong-hoon,,1,,5/9/2022 11:48
dong-hyuk,,Dong-hyuk,,1,,5/9/2022 11:48
dong-hyun,,Dong-hyun,,1,,5/9/2022 11:48
dong-il,,Dong-il,,1,,5/9/2022 11:48
dong-joo,,Dong-joo,,1,,5/9/2022 11:48
dong-jun,,Dong-jun,,1,,5/9/2022 11:48
dong-seok,,Dong-seok,,1,,5/9/2022 11:48
dong-soo,,Dong-soo,,1,,5/9/2022 11:48
dong-won,,Dong-won,,1,,5/9/2022 11:48
dong-woo,,Dong-woo,,1,,5/9/2022 11:48
dong-wook,,Dong-wook,,1,,5/9/2022 11:48
duri,,Duri,,1,,5/9/2022 11:48
eun,,Eun,,1,,5/9/2022 11:48
eun-jae,,Eun-jae,,1,,5/9/2022 11:48
eun-jung,,Eun-jung,,1,,5/9/2022 11:48
eun-sang,,Eun-sang,,1,,5/9/2022 11:48
eun-soo,,Eun-soo,,1,,5/9/2022 11:48
eun-sung,,Eun-sung,,1,,5/9/2022 11:48
eun-u,,Eun-u,,1,,5/9/2022 11:48
eun-woo,,Eun-woo,,1,,5/9/2022 11:48
gam,,Gam,,1,,5/9/2022 11:48
geun,,Geun,,1,,5/9/2022 11:48
gi-ung,,Gi-ung,,1,,5/9/2022 11:48
gun,,Gun,,1,,5/9/2022 11:48
gyeong,,Gyeong,,1,,5/9/2022 11:48
gyeong-gu,,Gyeong-gu,,1,,5/9/2022 11:48
ha-joon,,Ha-joon,,1,,5/9/2022 11:48
ha-jun,,Ha-jun,,1,,5/9/2022 11:48
ha-neul,,Ha-neul,,1,,5/9/2022 11:48
ha-sun,,Ha-sun,,1,,5/9/2022 11:48
ha-yoon,,Ha-yoon,,1,,5/9/2022 11:48
hae-il,,Hae-il,,1,,5/9/2022 11:48
hae-jin,,Hae-jin,,1,,5/9/2022 11:48
hae-joo,,Hae-joo,,1,,5/9/2022 11:48
hae-seong,,Hae-seong,,1,,5/9/2022 11:48
hae-won,,Hae-won,,1,,5/9/2022 11:48
han-jae,,Han-jae,,1,,5/9/2022 11:48
haneul,,Haneul,,1,,5/9/2022 11:48
hee-jin,,Hee-jin,,1,,5/9/2022 11:48
hee-joon,,Hee-joon,,1,,5/9/2022 11:48
hee-jung,,Hee-jung,,1,,5/9/2022 11:48
hee-kyung,,Hee-kyung,,1,,5/9/2022 11:48
hee-soo,,Hee-soo,,1,,5/9/2022 11:48
hee-sun,,Hee-sun,,1,,5/9/2022 11:48
hee-sung,,Hee-sung,,1,,5/9/2022 11:48
ho,,Ho,,1,,5/9/2022 11:48
ho-jin,,Ho-jin,,1,,5/9/2022 11:48
ho-jun,,Ho-jun,,1,,5/9/2022 11:48
ho-jung,,Ho-jung,,1,,5/9/2022 11:48
ho-sung,,Ho-sung,,1,,5/9/2022 11:48
hong-gi,,Hong-gi,,1,,5/9/2022 11:48
hong-joo,,Hong-joo,,1,,5/9/2022 11:48
hoon,,Hoon,,1,,5/9/2022 11:48
hui-cheol,,Hui-cheol,,1,,5/9/2022 11:48
hwan,,Hwan,,1,,5/9/2022 11:48
hye,,Hye,,1,,5/9/2022 11:48
hye-sung,,Hye-sung,,1,,5/9/2022 11:48
hyeon,,Hyeon,,1,,5/9/2022 11:48
hyeon-jeong,,Hyeon-jeong,,1,,5/9/2022 11:48
hyeon-ju,,Hyeon-ju,,1,,5/9/2022 11:48
hyeon-u,,Hyeon-u,,1,,5/9/2022 11:48
hyeong-won,,Hyeong-won,,1,,5/9/2022 11:48
hyo-jin,,Hyo-jin,,1,,5/9/2022 11:48
hyuk,,Hyuk,,1,,5/14/2024 2:16
hyuk-jae,,Hyuk-jae,,1,,5/14/2024 2:16
hyun,,Hyun,,1,,5/14/2024 2:16
hyun-hee,,Hyun-hee,,1,,5/14/2024 2:16
hyun-ho,,Hyun-ho,,1,,5/14/2024 2:16
hyun-jin,,Hyun-jin,,1,,5/14/2024 2:16
hyun-joo,,Hyun-joo,,1,,5/14/2024 2:16
hyun-jun,,Hyun-jun,,1,,5/14/2024 2:16
hyun-jung,,Hyun-jung,,1,,5/14/2024 2:16
hyun-seok,,Hyun-seok,,1,,5/14/2024 2:16
hyun-seung,,Hyun-seung,,1,,5/14/2024 2:16
hyun-sik,,Hyun-sik,,1,,5/14/2024 2:16
hyun-soo,,Hyun-soo,,1,,5/14/2024 2:16
hyun-tae,,Hyun-tae,,1,,5/14/2024 2:16
hyun-woo,,Hyun-woo,,1,,5/14/2024 2:16
hyun-wook,,Hyun-wook,,1,,5/14/2024 2:16
hyung-joo,,Hyung-joo,,1,,5/14/2024 2:16
hyung-joon,,Hyung-joon,,1,,5/14/2024 2:16
hyung-min,,Hyung-min,,1,,5/14/2024 2:16
hyungsik,,Hyungsik,,1,,5/14/2024 2:16
il,,Il,,1,,5/14/2024 2:16
il-seong,,Il-seong,,1,,5/14/2024 2:16
il-sung,,Il-sung,,1,,5/14/2024 2:16
in-sik,,In-sik,,1,,5/14/2024 2:16
in-soo,,In-soo,,1,,5/14/2024 2:16
in-young,,In-young,,1,,5/14/2024 2:16
iseul,,Iseul,,1,,5/14/2024 2:16
jae,,Jae,,1,,5/14/2024 2:16
jae-beom,,Jae-beom,,1,,5/14/2024 2:16
jae-bong,,Jae-bong,,1,,5/14/2024 2:16
jae-eun,,Jae-eun,,1,,5/14/2024 2:16
jae-geun,,Jae-geun,,1,,5/14/2024 2:16
jae-gyu,,Jae-gyu,,1,,5/14/2024 2:16
jae-ho,,Jae-ho,,1,,5/14/2024 2:16
jae-hui,,Jae-hui,,1,,5/14/2024 2:16
jae-hyuk,,Jae-hyuk,,1,,5/14/2024 2:16
jae-hyun,,Jae-hyun,,1,,5/14/2024 2:16
jae-in,,Jae-in,,1,,5/14/2024 2:16
jae-jin,,Jae-jin,,1,,5/14/2024 2:16
jae-joon,,Jae-joon,,1,,5/14/2024 2:16
jae-joong,,Jae-joong,,1,,5/14/2024 2:16
jae-kuk,,Jae-kuk,,1,,5/14/2024 2:16
jae-kyung,,Jae-kyung,,1,,5/14/2024 2:16
jae-seong,,Jae-seong,,1,,5/14/2024 2:16
jae-seop,,Jae-seop,,1,,5/14/2024 2:16
jae-shin,,Jae-shin,,1,,5/14/2024 2:16
jae-suk,,Jae-suk,,1,,5/14/2024 2:16
jae-sung,,Jae-sung,,1,,5/14/2024 2:16
jae-won,,Jae-won,,1,,5/14/2024 2:16
jae-woo,,Jae-woo,,1,,5/14/2024 2:16
jae-wook,,Jae-wook,,1,,5/14/2024 2:16
jae-woong,,Jae-woong,,1,,5/14/2024 2:16
jae-yong,,Jae-yong,,1,,5/14/2024 2:16
jae-yoon,,Jae-yoon,,1,,5/14/2024 2:16
jae-young,,Jae-young,,1,,5/14/2024 2:16
jeong,,Jeong,,1,,5/14/2024 2:16
jeong-eun,,Jeong-eun,,1,,5/14/2024 2:16
jeong-ho,,Jeong-ho,,1,,5/14/2024 2:16
jeong-hui,,Jeong-hui,,1,,5/14/2024 2:16
jeong-hun,,Jeong-hun,,1,,5/14/2024 2:16
jeong-hyo,,Jeong-hyo,,1,,5/14/2024 2:16
jeong-sik,,Jeong-sik,,1,,5/14/2024 2:16
ji,,Ji,,1,,5/14/2024 2:16
ji-an,,Ji-an,,1,,5/14/2024 2:16
ji-ha,,Ji-ha,,1,,5/14/2024 2:16
ji-hae,,Ji-hae,,1,,5/14/2024 2:16
ji-ho,,Ji-ho,,1,,5/14/2024 2:16
ji-hoon,,Ji-hoon,,1,,5/14/2024 2:16
ji-hu,,Ji-hu,,1,,5/14/2024 2:16
ji-hun,,Ji-hun,,1,,5/14/2024 2:16
ji-hwan,,Ji-hwan,,1,,5/14/2024 2:16
ji-hyun,,Ji-hyun,,1,,5/14/2024 2:16
ji-min,,Ji-min,,1,,5/14/2024 2:16
ji-seok,,Ji-seok,,1,,5/14/2024 2:16
ji-seong,,Ji-seong,,1,,5/14/2024 2:16
ji-soo,,Ji-soo,,1,,5/14/2024 2:16
ji-su,,Ji-su,,1,,5/14/2024 2:16
ji-tae,,Ji-tae,,1,,5/14/2024 2:16
ji-u,,Ji-u,,1,,5/14/2024 2:16
ji-won,,Ji-won,,1,,5/14/2024 2:16
ji-woo,,Ji-woo,,1,,5/14/2024 2:16
ji-woon,,Ji-woon,,1,,5/14/2024 2:16
ji-woong,,Ji-woong,,1,,5/14/2024 2:16
ji-yeong,,Ji-yeong,,1,,5/14/2024 2:16
ji-yoon,,Ji-yoon,,1,,5/14/2024 2:16
ji-young,,Ji-young,,1,,5/14/2024 2:16
jin-gyu,,Jin-gyu,,1,,5/14/2024 2:16
jin-hee,,Jin-hee,,1,,5/14/2024 2:16
jin-ho,,Jin-ho,,1,,5/14/2024 2:16
jin-hwan,,Jin-hwan,,1,,5/14/2024 2:16
jin-hyuk,,Jin-hyuk,,1,,5/14/2024 2:16
jin-soo,,Jin-soo,,1,,5/14/2024 2:16
jin-sun,,Jin-sun,,1,,5/14/2024 2:16
jin-sung,,Jin-sung,,1,,5/14/2024 2:16
jin-woo,,Jin-woo,,1,,5/14/2024 2:16
jin-wook,,Jin-wook,,1,,5/14/2024 2:16
jin-woon,,Jin-woon,,1,,5/14/2024 2:16
jin-young,,Jin-young,,1,,5/14/2024 2:16
jong,,Jong,,1,,5/14/2024 2:16
jong-ho,,Jong-ho,,1,,5/14/2024 2:16
jong-hun,,Jong-hun,,1,,5/14/2024 2:16
jong-hyuk,,Jong-hyuk,,1,,5/14/2024 2:16
jong-hyun,,Jong-hyun,,1,,5/14/2024 2:16
jong-il,,Jong-il,,1,,5/14/2024 2:16
jong-ok,,Jong-ok,,1,,5/14/2024 2:16
jong-seok,,Jong-seok,,1,,5/14/2024 2:16
jong-soo,,Jong-soo,,1,,5/14/2024 2:16
jong-su,,Jong-su,,1,,5/14/2024 2:16
jong-yul,,Jong-yul,,1,,5/14/2024 2:16
joo-hwan,,Joo-hwan,,1,,5/14/2024 2:16
joo-hyun,,Joo-hyun,,1,,5/14/2024 2:16
joo-won,,Joo-won,,1,,5/14/2024 2:16
jooheon,,Jooheon,,1,,5/14/2024 2:16
joon,,Joon,,1,,5/14/2024 2:16
joon-hee,,Joon-hee,,1,,5/14/2024 2:16
joon-ho,,Joon-ho,,1,,5/14/2024 2:16
joon-ki,,Joon-ki,,1,,5/14/2024 2:16
