Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
— ,— ,— ,— ,— ,— ,— 
kim,,Kim,,10,,5/9/2022 11:48
yi,,Yi,,9,,5/9/2022 11:48
ri,,Ri,,9,,5/9/2022 11:48
pak,,Pak,,1,,5/9/2022 11:48
chong,,Chong,,8,,5/9/2022 11:48
ch'oe,,Ch'oe,,7,,5/9/2022 11:48
cho,,Cho,,10,,5/9/2022 11:48
kang,,Kang,,7,,5/9/2022 11:48
yu,,Yu,,10,,5/9/2022 11:48
ryu,,Ryu,,10,,5/9/2022 11:48
yun,,Yun,,8,,5/9/2022 11:48
chang,,Chang,,5,,5/9/2022 11:48
sin,,Sin,,6,,5/9/2022 11:48
im,,Im,,6,,5/9/2022 11:48
rim,,Rim,,5,,5/9/2022 11:48
han,,Han,,7,,5/9/2022 11:48
so,,So,,1,,5/9/2022 11:48
chon,,Chon,,4,,5/9/2022 11:48
kwon,,Kwon,,6,,5/9/2022 11:48
hwang,,Hwang,,6,,5/9/2022 11:48
song,,Song,,6,,5/9/2022 11:48
an,,An,,7,,5/9/2022 11:48
hong,,Hong,,8,,5/9/2022 11:48
yang,,Yang,,5,,5/9/2022 11:48
ryang,,Ryang,,5,,5/9/2022 11:48
ko,,Ko,,7,,5/9/2022 11:48
mun,,Mun,,4,,5/9/2022 11:48
son,,Son,,2,,5/9/2022 11:48
pae,,Pae,,2,,5/9/2022 11:48
paek,,Paek,,3,,5/9/2022 11:48
ho,,Ho,,5,,5/9/2022 11:48
no,,No,,2,,5/9/2022 11:48
ro,,Ro,,1,,5/9/2022 11:48
nam,,Nam,,3,,5/9/2022 11:48
sim,,Sim,,4,,5/9/2022 11:48
chu,,Chu,,5,,5/9/2022 11:48
ha,,Ha,,2,,5/9/2022 11:48
ku,,Ku,,3,,5/9/2022 11:48
ch'a,,Ch'a,,1,,5/9/2022 11:48
na,,Na,,1,,5/9/2022 11:48
ra,,Ra,,1,,5/9/2022 11:48
chin,,Chin,,3,,5/9/2022 11:48
min,,Min,,1,,5/9/2022 11:48
chi,,Chi,,1,,5/9/2022 11:48
om,,Om,,2,,5/9/2022 11:48
pyon,,Pyon,,2,,5/9/2022 11:48
won,,Won,,3,,5/9/2022 11:48
pang,,Pang,,1,,5/9/2022 11:48
ch'ae,,Ch'ae,,3,,5/9/2022 11:48
ch'on,,Ch'on,,2,,5/9/2022 11:48
,,Ah,,,,
,,Ch'ang,,,,
,,Ch'u,,,,
,,Che,,,,
,,Chegal,,,,
,,Ham,,,,
,,Hwa,,,,
,,Hwangbo,,,,
,,Hyon,,,,
,,Hyong,,,,
,,In,,,,
,,Ka,,,,
,,Kal,,,,
,,Kam,,,,
,,Kan,,,,
,,Ki,,,,
,,Kil,,,,
,,Kong,,,,
,,Kuk,,,,
,,Kung,,,,
,,Kwak,,,,
,,Kye,,,,
,,Kyo,,,,
,,Kyon,,,,
,,Kyong,,,,
,,Ma,,,,
,,Maeng,,,,
,,Mo,,,,
,,Mok,,,,
,,Myong,,,,
,,Namgung,,,,
,,Ok,,,,
,,On,,,,
,,Ong,,,,
,,P'aeng,,,,
,,P'i,,,,
,,P'ung,,,,
,,P'yo,,,,
,,P'yon,,,,
,,P'yong,,,,
,,Pan,,,,
,,Pin,,,,
,,Ping,,,,
,,Pok,,,,
,,Pom,,,,
,,Pong,,,,
,,Sa,,,,
,,Sagong,,,,
,,Sang,,,,
,,Si,,,,
,,Sok,,,,
,,Sol,,,,
,,Somun,,,,
,,Sonu,,,,
,,Sun,,,,
,,Sung,,,,
,,T'ae,,,,
,,T'ak,,,,
,,Tae,,,,
,,Tan,,,,
,,Tang,,,,
,,To,,,,
,,Tokko,,,,
,,Tong,,,,
,,Tu,,,,
,,Um,,,,
,,Wang,,,,
,,Wi,,,,
,,Ye,,,,
,,Yo,,,,
,,Yom,,,,
,,Yon,,,,
,,Yuk,,,,
