Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
—,—,—,—,—,—,—
lucia,,Lucia,,2,,5/9/2022 11:48
maria,,Maria,,1,,5/9/2022 11:48
martina,,Martina,,1,,5/9/2022 11:48
paula,,Paula,,3,,5/9/2022 11:48
sofia,,Sofia,,4,,5/9/2022 11:48
daniela,,Daniela,,1,,5/9/2022 11:48
alba,,Alba,,1,,5/9/2022 11:48
julia,,Julia,,1,,5/9/2022 11:48
carla,,Carla,,1,,5/9/2022 11:48
sara,,Sara,,1,,5/9/2022 11:48
valeria,,Valeria,,1,,5/9/2022 11:48
noa,,Noa,,1,,5/9/2022 11:48
emma,,Emma,,1,,5/9/2022 11:48
claudia,,Claudia,,1,,5/9/2022 11:48
carmen,,Carmen,,1,,5/9/2022 11:48
marta,,Marta,,1,,5/9/2022 11:48
valentina,,Valentina,,1,,5/9/2022 11:48
irene,,Irene,,1,,5/9/2022 11:48
adriana,,Adriana,,1,,5/9/2022 11:48
ana,,Ana,,1,,5/9/2022 11:48
laura,,Laura,,1,,5/9/2022 11:48
elena,,Elena,,1,,5/9/2022 11:48
alejandra,,Alejandra,,1,,5/9/2022 11:48
olivia,,Olivia,,1,,5/9/2022 11:48
ines,,Ines,,1,,5/9/2022 11:48
lola,,Lola,,1,,5/9/2022 11:48
aitana,,Aitana,,1,,5/9/2022 11:48
ariadna,,Ariadna,,1,,5/9/2022 11:48
vera,,Vera,,1,,5/9/2022 11:48
laia,,Laia,,1,,5/9/2022 11:48
vega,,Vega,,1,,5/9/2022 11:48
alma,,Alma,,1,,5/9/2022 11:48
candela,,Candela,,1,,5/9/2022 11:48
marina,,Marina,,1,,5/9/2022 11:48
ainhoa,,Ainhoa,,1,,5/9/2022 11:48
elsa,,Elsa,,1,,5/9/2022 11:48
jimena,,Jimena,,1,,5/9/2022 11:48
triana,,Triana,,1,,5/9/2022 11:48
leire,,Leire,,1,,5/9/2022 11:48
carlota,,Carlota,,1,,5/9/2022 11:48
blanca,,Blanca,,1,,5/9/2022 11:48
rocío,,Rocío,,1,,5/9/2022 11:48
ainara,,Ainara,,1,,5/9/2022 11:48
alicia,,Alicia,,1,,5/9/2022 11:48
nora,,Nora,,1,,5/9/2022 11:48
nerea,,Nerea,,1,,5/9/2022 11:48
angela,,Angela,,1,,5/9/2022 11:48
clara,,Clara,,1,,5/9/2022 11:48
abril,,Abril,,1,,5/9/2022 11:48
leyre,,Leyre,,1,,5/9/2022 11:48
celia,,Celia,,1,,5/9/2022 11:48
andrea,,Andrea,,1,,5/9/2022 11:48
victoria,,Victoria,,1,,5/9/2022 11:48
lara,,Lara,,1,,5/9/2022 11:48
eva,,Eva,,1,,5/9/2022 11:48
mia,,Mia,,1,,5/9/2022 11:48
chloe,,Chloe,,1,,5/9/2022 11:48
natalia,,Natalia,,1,,5/9/2022 11:48
manuela,,Manuela,,1,,5/9/2022 11:48
isabel,,Isabel,,1,,5/9/2022 11:48
aina,,Aina,,1,,5/9/2022 11:48
zoe,,Zoe,,1,,5/9/2022 11:48
cristina,,Cristina,,1,,5/9/2022 11:48
aroa,,Aroa,,1,,5/9/2022 11:48
nuria,,Nuria,,1,,5/9/2022 11:48
alexia,,Alexia,,1,,5/9/2022 11:48
lia,,Lia,,1,,5/9/2022 11:48
carolina,,Carolina,,1,,5/9/2022 11:48
iria,,Iria,,1,,5/9/2022 11:48
africa,,Africa,,1,,5/9/2022 11:48
mar,,Mar,,1,,5/9/2022 11:48
mara,,Mara,,1,,5/9/2022 11:48
gabriela,,Gabriela,,1,,5/9/2022 11:48
ona,,Ona,,1,,5/9/2022 11:48
naia,,Naia,,1,,5/9/2022 11:48
helena,,Helena,,1,,5/9/2022 11:48
paola,,Paola,,1,,5/9/2022 11:48
azahara,,Azahara,,1,,5/9/2022 11:48
noelia,,Noelia,,1,,5/9/2022 11:48
elia,,Elia,,1,,5/9/2022 11:48
iris,,Iris,,1,,5/9/2022 11:48
luna,,Luna,,1,,5/9/2022 11:48
malak,,Malak,,1,,5/9/2022 11:48
nahia,,Nahia,,1,,5/9/2022 11:48
berta,,Berta,,1,,5/9/2022 11:48
aya,,Aya,,1,,5/9/2022 11:48
mireia,,Mireia,,1,,5/9/2022 11:48
salma,,Salma,,1,,5/9/2022 11:48
ane,,Ane,,1,,5/9/2022 11:48
cayetana,,Cayetana,,1,,5/9/2022 11:48
silvia,,Silvia,,1,,5/9/2022 11:48
diana,,Diana,,1,,5/9/2022 11:48
miriam,,Miriam,,1,,5/9/2022 11:48
arlet,,Arlet,,1,,5/9/2022 11:48
nadia,,Nadia,,1,,5/9/2022 11:48
naiara,,Naiara,,1,,5/9/2022 11:48
jana,,Jana,,1,,5/9/2022 11:48
cloe,,Cloe,,1,,5/9/2022 11:48
anna,,Anna,,1,,5/9/2022 11:48
nayara,,Nayara,,1,,5/9/2022 11:48
júlia/julia,,Júlia/Julia,,1,,5/9/2022 11:48
maria/maría,,Maria/María,,1,,5/9/2022 11:48
clàudia/claudia,,Clàudia/Claudia,,1,,5/9/2022 11:48
sofía/sofia,,Sofía/Sofia,,1,,5/9/2022 11:48
giulia,,Giulia,,1,,5/9/2022 11:48
aurora,,Aurora,,1,,5/9/2022 11:48
giorgia,,Giorgia,,1,,5/9/2022 11:48
greta,,Greta,,1,,5/9/2022 11:48
chiara,,Chiara,,1,,5/9/2022 11:48
alice,,Alice,,1,,5/9/2022 11:48
gaia,,Gaia,,1,,5/9/2022 11:48
francesca,,Francesca,,1,,5/9/2022 11:48
ginevra,,Ginevra,,1,,5/9/2022 11:48
noemi,,Noemi,,1,,5/9/2022 11:48
alessia,,Alessia,,1,,5/9/2022 11:48
matilde,,Matilde,,1,,5/9/2022 11:48
vittoria,,Vittoria,,1,,5/9/2022 11:48
viola,,Viola,,1,,5/9/2022 11:48
beatrice,,Beatrice,,1,,5/9/2022 11:48
nicole,,Nicole,,1,,5/9/2022 11:48
giada,,Giada,,1,,5/9/2022 11:48
elisa,,Elisa,,1,,5/9/2022 11:48
rebecca,,Rebecca,,1,,5/9/2022 11:48
arianna,,Arianna,,1,,5/9/2022 11:48
camilla,,Camilla,,1,,5/9/2022 11:48
ludovica,,Ludovica,,1,,5/9/2022 11:48
melissa,,Melissa,,1,,5/9/2022 11:48
bianca,,Bianca,,1,,5/9/2022 11:48
gioia,,Gioia,,1,,5/9/2022 11:48
asia,,Asia,,1,,5/9/2022 11:48
adele,,Adele,,1,,5/9/2022 11:48
eleonora,,Eleonora,,1,,5/9/2022 11:48
serena,,Serena,,1,,5/9/2022 11:48
benedetta,,Benedetta,,1,,5/9/2022 11:48
angelica,,Angelica,,1,,5/9/2022 11:48
ilaria,,Ilaria,,1,,5/9/2022 11:48
carlotta,,Carlotta,,1,,5/9/2022 11:48
caterina,,Caterina,,1,,5/9/2022 11:48
margherita,,Margherita,,1,,5/9/2022 11:48
alessandra,,Alessandra,,1,,5/9/2022 11:48
emily,,Emily,,1,,5/9/2022 11:48
acacia,,Acacia,,1,,5/9/2022 11:48
acantha,,Acantha,,1,,5/9/2022 11:48
adelpha,,Adelpha,,1,,5/9/2022 11:48
agatha,,Agatha,,1,,5/9/2022 11:48
agathe,,Agathe,,1,,5/9/2022 11:48
agnes,,Agnes,,1,,5/9/2022 11:48
aimilios,,Aimilios,,1,,5/9/2022 11:48
alcie,,Alcie,,1,,5/9/2022 11:48
alcina,,Alcina,,1,,5/9/2022 11:48
alethea,,Alethea,,1,,5/9/2022 11:48
alex,,Alex,,1,,5/9/2022 11:48
alexa,,Alexa,,1,,5/9/2022 11:48
alexandra,,Alexandra,,1,,5/9/2022 11:48
alexandria,,Alexandria,,1,,5/9/2022 11:48
alexandrina,,Alexandrina,,1,,5/9/2022 11:48
alexina,,Alexina,,1,,5/9/2022 11:48
alexis,,Alexis,,1,,5/9/2022 11:48
alike,,Alike,,1,,5/9/2022 11:48
aliz,,Aliz,,1,,5/9/2022 11:48
alizka,,Alizka,,1,,5/9/2022 11:48
alpha,,Alpha,,1,,5/9/2022 11:48
alsie,,Alsie,,1,,5/9/2022 11:48
althea,,Althea,,1,,5/9/2022 11:48
amara,,Amara,,1,,5/9/2022 11:48
amarantha,,Amarantha,,1,,5/9/2022 11:48
amaryllis,,Amaryllis,,1,,5/9/2022 11:48
ambrosia,,Ambrosia,,1,,5/9/2022 11:48
aminta,,Aminta,,1,,5/9/2022 11:48
anastacia,,Anastacia,,1,,5/9/2022 11:48
anastasha,,Anastasha,,1,,5/9/2022 11:48
anastasia,,Anastasia,,1,,5/9/2022 11:48
anatola,,Anatola,,1,,5/9/2022 11:48
andromeda,,Andromeda,,1,,5/9/2022 11:48
anemone,,Anemone,,1,,5/9/2022 11:48
ange,,Ange,,1,,5/9/2022 11:48
angele,,Angele,,1,,5/9/2022 11:48
angelika,,Angelika,,1,,5/9/2022 11:48
angelina,,Angelina,,1,,5/9/2022 11:48
aniceta,,Aniceta,,1,,5/9/2022 11:48
annis,,Annis,,1,,5/9/2022 11:48
annys,,Annys,,1,,5/9/2022 11:48
anthea,,Anthea,,1,,5/9/2022 11:48
antigone,,Antigone,,1,,5/9/2022 11:48
antimony,,Antimony,,1,,5/9/2022 11:48
antinea,,Antinea,,1,,5/9/2022 11:48
aphrodite,,Aphrodite,,1,,5/9/2022 11:48
apollonia,,Apollonia,,1,,5/9/2022 11:48
arcadia,,Arcadia,,1,,5/9/2022 11:48
arcangela,,Arcangela,,1,,5/9/2022 11:48
arete,,Arete,,1,,5/9/2022 11:48
aretha,,Aretha,,1,,5/9/2022 11:48
ariadne,,Ariadne,,1,,5/9/2022 11:48
arista,,Arista,,1,,5/9/2022 11:48
arkadina,,Arkadina,,1,,5/9/2022 11:48
artemis,,Artemis,,1,,5/9/2022 11:48
artemisia,,Artemisia,,1,,5/9/2022 11:48
asta,,Asta,,1,,5/9/2022 11:48
aster,,Aster,,1,,5/9/2022 11:48
asteria,,Asteria,,1,,5/9/2022 11:48
astraea,,Astraea,,1,,5/9/2022 11:48
astraia,,Astraia,,1,,5/9/2022 11:48
atalanta,,Atalanta,,1,,5/9/2022 11:48
athena,,Athena,,1,,5/9/2022 11:48
basilia,,Basilia,,1,,5/9/2022 11:48
beranice,,Beranice,,1,,5/9/2022 11:48
beraniece,,Beraniece,,1,,5/9/2022 11:48
berenice,,Berenice,,1,,5/9/2022 11:48
berenike,,Berenike,,1,,5/9/2022 11:48
bernice,,Bernice,,1,,5/9/2022 11:48
beryl,,Beryl,,1,,5/9/2022 11:48
beta,,Beta,,1,,5/9/2022 11:48
bronte,,Bronte,,1,,5/9/2022 11:48
brontë,,Brontë,,1,,5/9/2022 11:48
bryonia,,Bryonia,,1,,5/9/2022 11:48
calandra,,Calandra,,1,,5/9/2022 11:48
calantha,,Calantha,,1,,5/9/2022 11:48
calista,,Calista,,1,,5/9/2022 11:48
calixta,,Calixta,,1,,5/9/2022 11:48
calla,,Calla,,1,,5/9/2022 11:48
callie,,Callie,,1,,5/9/2022 11:48
calliope,,Calliope,,1,,5/9/2022 11:48
callista,,Callista,,1,,5/9/2022 11:48
calypso,,Calypso,,1,,5/9/2022 11:48
carissa,,Carissa,,1,,5/9/2022 11:48
cassandra,,Cassandra,,1,,5/9/2022 11:48
cassia,,Cassia,,1,,5/9/2022 11:48
cassiane,,Cassiane,,1,,5/9/2022 11:48
cassiopeia,,Cassiopeia,,1,,5/9/2022 11:48
cat,,Cat,,1,,5/9/2022 11:48
cate,,Cate,,1,,5/9/2022 11:48
catherine,,Catherine,,1,,5/9/2022 11:48
celena,,Celena,,1,,5/9/2022 11:48
chara,,Chara,,1,,5/9/2022 11:48
charis,,Charis,,1,,5/9/2022 11:48
charmian,,Charmian,,1,,5/9/2022 11:48
chloris,,Chloris,,1,,5/9/2022 11:48
christina,,Christina,,1,,5/9/2022 11:48
cinda,,Cinda,,1,,5/9/2022 11:48
cipriana,,Cipriana,,1,,5/9/2022 11:48
circe,,Circe,,1,,5/9/2022 11:48
clematis,,Clematis,,1,,5/9/2022 11:48
cleopatra,,Cleopatra,,1,,5/9/2022 11:48
cleora,,Cleora,,1,,5/9/2022 11:48
cliantha,,Cliantha,,1,,5/9/2022 11:48
clio,,Clio,,1,,5/9/2022 11:48
collins,,Collins,,1,,5/9/2022 11:48
cora,,Cora,,1,,5/9/2022 11:48
corinna,,Corinna,,1,,5/9/2022 11:48
corisande,,Corisande,,1,,5/9/2022 11:48
cosima,,Cosima,,1,,5/9/2022 11:48
cressida,,Cressida,,1,,5/9/2022 11:48
crisanta,,Crisanta,,1,,5/9/2022 11:48
cyane,,Cyane,,1,,5/9/2022 11:48
cybele,,Cybele,,1,,5/9/2022 11:48
cynara,,Cynara,,1,,5/9/2022 11:48
cynthia,,Cynthia,,1,,5/9/2022 11:48
cytherea,,Cytherea,,1,,5/9/2022 11:48
damara,,Damara,,1,,5/9/2022 11:48
damaris,,Damaris,,1,,5/9/2022 11:48
damia,,Damia,,1,,5/9/2022 11:48
damiana,,Damiana,,1,,5/9/2022 11:48
danaë,,Danaë,,1,,5/9/2022 11:48
