Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
— ,— ,— ,— ,— ,— ,— 
aaron,,Aaron,,1,,5/9/2022 11:48
abacus,,Abacus,,1,,5/9/2022 11:48
abbondio,,Abbondio,,1,,5/9/2022 11:48
abele,,Abele,,1,,5/9/2022 11:48
abraham,,Abraham,,1,,5/9/2022 11:48
abramo,,Abramo,,1,,5/9/2022 11:48
acacius,,Acacius,,1,,5/9/2022 11:48
achilios,,Achilios,,1,,5/9/2022 11:48
achille,,Achille,,1,,5/9/2022 11:48
achilleas,,Achilleas,,1,,5/9/2022 11:48
achilles,,Achilles,,1,,5/9/2022 11:48
achilleus,,Achilleus,,1,,5/9/2022 11:48
adalberto,,Adalberto,,1,,5/9/2022 11:48
adam,,Adam,,1,,5/9/2022 11:48
adamantios,,Adamantios,,1,,5/9/2022 11:48
adamo,,Adamo,,1,,5/9/2022 11:48
adelardo,,Adelardo,,1,,5/9/2022 11:48
adelmo,,Adelmo,,1,,5/9/2022 11:48
ademaro,,Ademaro,,1,,5/9/2022 11:48
adone,,Adone,,1,,5/9/2022 11:48
adonis,,Adonis,,1,,5/9/2022 11:48
adrià,,Adrià,,1,,5/9/2022 11:48
adrian,,Adrian,,1,,5/9/2022 11:48
adriano,,Adriano,,1,,5/9/2022 11:48
aduino,,Aduino,,1,,5/9/2022 11:48
aegis,,Aegis,,1,,5/9/2022 11:48
aeneas,,Aeneas,,1,,5/9/2022 11:48
aesop,,Aesop,,1,,5/9/2022 11:48
agamemnon,,Agamemnon,,1,,5/9/2022 11:48
agapios,,Agapios,,1,,5/9/2022 11:48
agapito,,Agapito,,1,,5/9/2022 11:48
agapitos,,Agapitos,,1,,5/9/2022 11:48
agatino,,Agatino,,1,,5/9/2022 11:48
agostino,,Agostino,,1,,5/9/2022 11:48
aimar,,Aimar,,1,,5/9/2022 11:48
aimilios,,Aimilios,,1,,5/9/2022 11:48
aitor,,Aitor,,1,,5/9/2022 11:48
ajax,,Ajax,,1,,5/9/2022 11:48
akakios,,Akakios,,1,,5/9/2022 11:48
albano,,Albano,,1,,5/9/2022 11:48
alberico,,Alberico,,1,,5/9/2022 11:48
alberto,,Alberto,,1,,5/9/2022 11:48
albino,,Albino,,1,,5/9/2022 11:48
alcide,,Alcide,,1,,5/9/2022 11:48
aldo,,Aldo,,1,,5/9/2022 11:48
ale,,Ale,,1,,5/9/2022 11:48
alec,,Alec,,1,,5/9/2022 11:48
aleix,,Aleix,,1,,5/9/2022 11:48
alejandro,,Alejandro,,1,,5/9/2022 11:48
alekos,,Alekos,,1,,5/9/2022 11:48
alessandro,,Alessandro,,1,,5/9/2022 11:48
alessio,,Alessio,,1,,5/9/2022 11:48
alex,,Alex,,1,,5/9/2022 11:48
alexander,,Alexander,,1,,5/9/2022 11:48
alexandre,,Alexandre,,1,,5/9/2022 11:48
alexandros,,Alexandros,,1,,5/9/2022 11:48
alexei,,Alexei,,1,,5/9/2022 11:48
alexios,,Alexios,,1,,5/9/2022 11:48
alexis,,Alexis,,1,,5/9/2022 11:48
alfeo,,Alfeo,,1,,5/9/2022 11:48
alfio,,Alfio,,1,,5/9/2022 11:48
alfonso,,Alfonso,,1,,5/9/2022 11:48
alfredo,,Alfredo,,1,,5/9/2022 11:48
alipio,,Alipio,,1,,5/9/2022 11:48
alkiviadis,,Alkiviadis,,1,,5/9/2022 11:48
aloisio,,Aloisio,,1,,5/9/2022 11:48
alonso,,Alonso,,1,,5/9/2022 11:48
alpheus,,Alpheus,,1,,5/9/2022 11:48
alvaro,,Alvaro,,1,,5/9/2022 11:48
alvertos,,Alvertos,,1,,5/9/2022 11:48
alvise,,Alvise,,1,,5/9/2022 11:48
amadeo,,Amadeo,,1,,5/9/2022 11:48
amato,,Amato,,1,,5/9/2022 11:48
amatore,,Amatore,,1,,5/9/2022 11:48
ambrogio,,Ambrogio,,1,,5/9/2022 11:48
amedeo,,Amedeo,,1,,5/9/2022 11:48
amelto,,Amelto,,1,,5/9/2022 11:48
amerigo,,Amerigo,,1,,5/9/2022 11:48
amilcare,,Amilcare,,1,,5/9/2022 11:48
amore,,Amore,,1,,5/9/2022 11:48
ampelio,,Ampelio,,1,,5/9/2022 11:48
amphion,,Amphion,,1,,5/9/2022 11:48
anacleto,,Anacleto,,1,,5/9/2022 11:48
anargyros,,Anargyros,,1,,5/9/2022 11:48
anastasio,,Anastasio,,1,,5/9/2022 11:48
anastasios,,Anastasios,,1,,5/9/2022 11:48
anatole,,Anatole,,1,,5/9/2022 11:48
anatolios,,Anatolios,,1,,5/9/2022 11:48
andonios,,Andonios,,1,,5/9/2022 11:48
andrea,,Andrea,,1,,5/9/2022 11:48
andreas,,Andreas,,1,,5/9/2022 11:48
andres,,Andres,,1,,5/9/2022 11:48
andrew,,Andrew,,1,,5/9/2022 11:48
androcles,,Androcles,,1,,5/9/2022 11:48
angel,,Angel,,1,,5/9/2022 11:48
angelo,,Angelo,,1,,5/9/2022 11:48
angelos,,Angelos,,1,,5/9/2022 11:48
angiolo,,Angiolo,,1,,5/9/2022 11:48
aniello,,Aniello,,1,,5/9/2022 11:48
aniketos,,Aniketos,,1,,5/9/2022 11:48
annibale,,Annibale,,1,,5/9/2022 11:48
annunziato,,Annunziato,,1,,5/9/2022 11:48
ansaldo,,Ansaldo,,1,,5/9/2022 11:48
anselmo,,Anselmo,,1,,5/9/2022 11:48
antelmo,,Antelmo,,1,,5/9/2022 11:48
anthanasios,,Anthanasios,,1,,5/9/2022 11:48
antioco,,Antioco,,1,,5/9/2022 11:48
antonello,,Antonello,,1,,5/9/2022 11:48
antonino,,Antonino,,1,,5/9/2022 11:48
antonio,,Antonio,,1,,5/9/2022 11:48
antonio pio,,Antonio Pio,,1,,5/9/2022 11:48
antonios,,Antonios,,1,,5/9/2022 11:48
antonis,,Antonis,,1,,5/9/2022 11:48
apollo,,Apollo,,1,,5/9/2022 11:48
apollon,,Apollon,,1,,5/9/2022 11:48
apostolis,,Apostolis,,1,,5/9/2022 11:48
apostolos,,Apostolos,,1,,5/9/2022 11:48
arcangelo,,Arcangelo,,1,,5/9/2022 11:48
archimedes,,Archimedes,,1,,5/9/2022 11:48
ardito,,Ardito,,1,,5/9/2022 11:48
ares,,Ares,,1,,5/9/2022 11:48
argo,,Argo,,1,,5/9/2022 11:48
argus,,Argus,,1,,5/9/2022 11:48
argyris,,Argyris,,1,,5/9/2022 11:48
aris,,Aris,,1,,5/9/2022 11:48
aristedes,,Aristedes,,1,,5/9/2022 11:48
aristeidis,,Aristeidis,,1,,5/9/2022 11:48
aristide,,Aristide,,1,,5/9/2022 11:48
aristidis,,Aristidis,,1,,5/9/2022 11:48
aristotelis,,Aristotelis,,1,,5/9/2022 11:48
aristotle,,Aristotle,,1,,5/9/2022 11:48
armando,,Armando,,1,,5/9/2022 11:48
arnaldo,,Arnaldo,,1,,5/9/2022 11:48
arnau,,Arnau,,1,,5/9/2022 11:48
arnoldo,,Arnoldo,,1,,5/9/2022 11:48
aronne,,Aronne,,1,,5/9/2022 11:48
arrigo,,Arrigo,,1,,5/9/2022 11:48
arsenio,,Arsenio,,1,,5/9/2022 11:48
artemas,,Artemas,,1,,5/9/2022 11:48
artemio,,Artemio,,1,,5/9/2022 11:48
arturo,,Arturo,,1,,5/9/2022 11:48
ascanio,,Ascanio,,1,,5/9/2022 11:48
asier,,Asier,,1,,5/9/2022 11:48
asterios,,Asterios,,1,,5/9/2022 11:48
atanasio,,Atanasio,,1,,5/9/2022 11:48
athan,,Athan,,1,,5/9/2022 11:48
athanasios,,Athanasios,,1,,5/9/2022 11:48
atlas,,Atlas,,1,,5/9/2022 11:48
atticus,,Atticus,,1,,5/9/2022 11:48
attilio,,Attilio,,1,,5/9/2022 11:48
augustin,,Augustin,,1,,5/9/2022 11:48
augustinos,,Augustinos,,1,,5/9/2022 11:48
augusto,,Augusto,,1,,5/9/2022 11:48
aureliano,,Aureliano,,1,,5/9/2022 11:48
aurelio,,Aurelio,,1,,5/9/2022 11:48
avram,,Avram,,1,,5/9/2022 11:48
azarius,,Azarius,,1,,5/9/2022 11:48
bacchus,,Bacchus,,1,,5/9/2022 11:48
balbino,,Balbino,,1,,5/9/2022 11:48
baldassare,,Baldassare,,1,,5/9/2022 11:48
baldo,,Baldo,,1,,5/9/2022 11:48
baldovino,,Baldovino,,1,,5/9/2022 11:48
balthasar,,Balthasar,,1,,5/9/2022 11:48
balthazar,,Balthazar,,1,,5/9/2022 11:48
barnaba,,Barnaba,,1,,5/9/2022 11:48
bartolo,,Bartolo,,1,,5/9/2022 11:48
bartolomeo,,Bartolomeo,,1,,5/9/2022 11:48
basil,,Basil,,1,,5/9/2022 11:48
basilio,,Basilio,,1,,5/9/2022 11:48
bastian,,Bastian,,1,,5/9/2022 11:48
battista,,Battista,,1,,5/9/2022 11:48
benedetto,,Benedetto,,1,,5/9/2022 11:48
beniamino,,Beniamino,,1,,5/9/2022 11:48
benigno,,Benigno,,1,,5/9/2022 11:48
benito,,Benito,,1,,5/9/2022 11:48
benvenuto,,Benvenuto,,1,,5/9/2022 11:48
berardo,,Berardo,,1,,5/9/2022 11:48
bernardo,,Bernardo,,1,,5/9/2022 11:48
berto,,Berto,,1,,5/9/2022 11:48
bertoldo,,Bertoldo,,1,,5/9/2022 11:48
bertrando,,Bertrando,,1,,5/9/2022 11:48
biaggio,,Biaggio,,1,,5/9/2022 11:48
biagio,,Biagio,,1,,5/9/2022 11:48
biel,,Biel,,1,,5/9/2022 11:48
bonaventura,,Bonaventura,,1,,5/9/2022 11:48
bonifacio,,Bonifacio,,1,,5/9/2022 11:48
bruno,,Bruno,,1,,5/9/2022 11:48
cadmus,,Cadmus,,1,,5/9/2022 11:48
caio,,Caio,,1,,5/9/2022 11:48
calix,,Calix,,1,,5/9/2022 11:48
calixto,,Calixto,,1,,5/9/2022 11:48
callisto,,Callisto,,1,,5/9/2022 11:48
calogero,,Calogero,,1,,5/9/2022 11:48
calypso,,Calypso,,1,,5/9/2022 11:48
camillo,,Camillo,,1,,5/9/2022 11:48
candido,,Candido,,1,,5/9/2022 11:48
carlo,,Carlo,,1,,5/9/2022 11:48
carlos,,Carlos,,1,,5/9/2022 11:48
carmelo,,Carmelo,,1,,5/9/2022 11:48
carmine,,Carmine,,1,,5/9/2022 11:48
carolos,,Carolos,,1,,5/9/2022 11:48
casimiro,,Casimiro,,1,,5/9/2022 11:48
cassio,,Cassio,,1,,5/9/2022 11:48
castor,,Castor,,1,,5/9/2022 11:48
catello,,Catello,,1,,5/9/2022 11:48
cecilio,,Cecilio,,1,,5/9/2022 11:48
celeste,,Celeste,,1,,5/9/2022 11:48
celestino,,Celestino,,1,,5/9/2022 11:48
celino,,Celino,,1,,5/9/2022 11:48
celio,,Celio,,1,,5/9/2022 11:48
celso,,Celso,,1,,5/9/2022 11:48
cesare,,Cesare,,1,,5/9/2022 11:48
charalambos,,Charalambos,,1,,5/9/2022 11:48
charalampos,,Charalampos,,1,,5/9/2022 11:48
charilaos,,Charilaos,,1,,5/9/2022 11:48
charis,,Charis,,1,,5/9/2022 11:48
christakis,,Christakis,,1,,5/9/2022 11:48
christian,,Christian,,1,,5/9/2022 11:48
christiano,,Christiano,,1,,5/9/2022 11:48
christion,,Christion,,1,,5/9/2022 11:48
christodoulos,,Christodoulos,,1,,5/9/2022 11:48
christoforos,,Christoforos,,1,,5/9/2022 11:48
christopher,,Christopher,,1,,5/9/2022 11:48
christos,,Christos,,1,,5/9/2022 11:48
christy,,Christy,,1,,5/9/2022 11:48
chrysanthos,,Chrysanthos,,1,,5/9/2022 11:48
chrysostomos,,Chrysostomos,,1,,5/9/2022 11:48
cipriano,,Cipriano,,1,,5/9/2022 11:48
ciriaco,,Ciriaco,,1,,5/9/2022 11:48
cirillo,,Cirillo,,1,,5/9/2022 11:48
cirino,,Cirino,,1,,5/9/2022 11:48
ciro,,Ciro,,1,,5/9/2022 11:48
claudio,,Claudio,,1,,5/9/2022 11:48
claudios,,Claudios,,1,,5/9/2022 11:48
cleanth,,Cleanth,,1,,5/9/2022 11:48
clemente,,Clemente,,1,,5/9/2022 11:48
cleon,,Cleon,,1,,5/9/2022 11:48
clete,,Clete,,1,,5/9/2022 11:48
cleto,,Cleto,,1,,5/9/2022 11:48
cletus,,Cletus,,1,,5/9/2022 11:48
colin,,Colin,,1,,5/9/2022 11:48
collins,,Collins,,1,,5/9/2022 11:48
colombano,,Colombano,,1,,5/9/2022 11:48
colombo,,Colombo,,1,,5/9/2022 11:48
concetto,,Concetto,,1,,5/9/2022 11:48
consalvo,,Consalvo,,1,,5/9/2022 11:48
constantinos,,Constantinos,,1,,5/9/2022 11:48
cornelio,,Cornelio,,1,,5/9/2022 11:48
corrado,,Corrado,,1,,5/9/2022 11:48
cosimo,,Cosimo,,1,,5/9/2022 11:48
cosma,,Cosma,,1,,5/9/2022 11:48
cosmo,,Cosmo,,1,,5/9/2022 11:48
costa,,Costa,,1,,5/9/2022 11:48
costantino,,Costantino,,1,,5/9/2022 11:48
costanzo,,Costanzo,,1,,5/9/2022 11:48
