Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
— ,— ,— ,— ,— ,— ,— 
abano,,Abano,,1,,5/9/2022 11:48
abatangelo,,Abatangelo,,1,,5/9/2022 11:48
abatantuono,,Abatantuono,,1,,5/9/2022 11:48
abate,,Abate,,1,,5/9/2022 11:48
abategiovanni,,Abategiovanni,,1,,5/9/2022 11:48
abatescianni,,Abatescianni,,1,,5/9/2022 11:48
abbà,,Abbà,,1,,5/9/2022 11:48
abbadelli,,Abbadelli,,1,,5/9/2022 11:48
abbandonato,,Abbandonato,,1,,5/9/2022 11:48
abbascia,,Abbascia,,1,,5/9/2022 11:48
abbatangelo,,Abbatangelo,,1,,5/9/2022 11:48
abbatantuono,,Abbatantuono,,1,,5/9/2022 11:48
abbate,,Abbate,,1,,5/9/2022 11:48
abbatelli,,Abbatelli,,1,,5/9/2022 11:48
abbaticchio,,Abbaticchio,,1,,5/9/2022 11:48
abbiati,,Abbiati,,1,,5/9/2022 11:48
abelli,,Abelli,,1,,5/9/2022 11:48
abrami,,Abrami,,1,,5/9/2022 11:48
abramo,,Abramo,,1,,5/9/2022 11:48
acardi,,Acardi,,1,,5/9/2022 11:48
accardi,,Accardi,,1,,5/9/2022 11:48
accardo,,Accardo,,1,,5/9/2022 11:48
acciai,,Acciai,,1,,5/9/2022 11:48
acciaio,,Acciaio,,1,,5/9/2022 11:48
acciaioli,,Acciaioli,,1,,5/9/2022 11:48
acconci,,Acconci,,1,,5/9/2022 11:48
acconcio,,Acconcio,,1,,5/9/2022 11:48
accorsi,,Accorsi,,1,,5/9/2022 11:48
accorso,,Accorso,,1,,5/9/2022 11:48
accursio,,Accursio,,1,,5/9/2022 11:48
acerbi,,Acerbi,,1,,5/9/2022 11:48
achilleos,,Achilleos,,1,,5/9/2022 11:48
acone,,Acone,,1,,5/9/2022 11:48
acqua,,Acqua,,1,,5/9/2022 11:48
acquafredda,,Acquafredda,,1,,5/9/2022 11:48
acquarone,,Acquarone,,1,,5/9/2022 11:48
acquati,,Acquati,,1,,5/9/2022 11:48
adami,,Adami,,1,,5/9/2022 11:48
adamo,,Adamo,,1,,5/9/2022 11:48
adamoli,,Adamoli,,1,,5/9/2022 11:48
addario,,Addario,,1,,5/9/2022 11:48
adelardi,,Adelardi,,1,,5/9/2022 11:48
adesso,,Adesso,,1,,5/9/2022 11:48
adimari,,Adimari,,1,,5/9/2022 11:48
adriatico,,Adriatico,,1,,5/9/2022 11:48
afendoulis,,Afendoulis,,1,,5/9/2022 11:48
affini,,Affini,,1,,5/9/2022 11:48
afroudakis,,Afroudakis,,1,,5/9/2022 11:48
agani,,Agani,,1,,5/9/2022 11:48
agathangelou,,Agathangelou,,1,,5/9/2022 11:48
aggelonitis,,Aggelonitis,,1,,5/9/2022 11:48
aggio,,Aggio,,1,,5/9/2022 11:48
agli,,Agli,,1,,5/9/2022 11:48
agnelli,,Agnelli,,1,,5/9/2022 11:48
agnellini,,Agnellini,,1,,5/9/2022 11:48
agnusdei,,Agnusdei,,1,,5/9/2022 11:48
agosti,,Agosti,,1,,5/9/2022 11:48
agostini,,Agostini,,1,,5/9/2022 11:48
agresta,,Agresta,,1,,5/9/2022 11:48
agricola,,Agricola,,1,,5/9/2022 11:48
aiello,,Aiello,,1,,5/9/2022 11:48
aiolfi,,Aiolfi,,1,,5/9/2022 11:48
airaldi,,Airaldi,,1,,5/9/2022 11:48
airò,,Airò,,1,,5/9/2022 11:48
aita,,Aita,,1,,5/9/2022 11:48
ajello,,Ajello,,1,,5/9/2022 11:48
alafouzos,,Alafouzos,,1,,5/9/2022 11:48
alagona,,Alagona,,1,,5/9/2022 11:48
alamanni,,Alamanni,,1,,5/9/2022 11:48
albanesi,,Albanesi,,1,,5/9/2022 11:48
albani,,Albani,,1,,5/9/2022 11:48
albano,,Albano,,1,,5/9/2022 11:48
alberghi,,Alberghi,,1,,5/9/2022 11:48
alberghini,,Alberghini,,1,,5/9/2022 11:48
alberici,,Alberici,,1,,5/9/2022 11:48
alberighi,,Alberighi,,1,,5/9/2022 11:48
albero,,Albero,,1,,5/9/2022 11:48
alberto,,Alberto,,1,,5/9/2022 11:48
albini,,Albini,,1,,5/9/2022 11:48
albricci,,Albricci,,1,,5/9/2022 11:48
albrici,,Albrici,,1,,5/9/2022 11:48
aldebrandi,,Aldebrandi,,1,,5/9/2022 11:48
alderisi,,Alderisi,,1,,5/9/2022 11:48
alduino,,Alduino,,1,,5/9/2022 11:48
alemagna,,Alemagna,,1,,5/9/2022 11:48
aleppo,,Aleppo,,1,,5/9/2022 11:48
alesci,,Alesci,,1,,5/9/2022 11:48
alescio,,Alescio,,1,,5/9/2022 11:48
alesi,,Alesi,,1,,5/9/2022 11:48
alesini,,Alesini,,1,,5/9/2022 11:48
alesio,,Alesio,,1,,5/9/2022 11:48
alessandri,,Alessandri,,1,,5/9/2022 11:48
alessi,,Alessi,,1,,5/9/2022 11:48
alexakis,,Alexakis,,1,,5/9/2022 11:48
alexandris,,Alexandris,,1,,5/9/2022 11:48
alexandrou,,Alexandrou,,1,,5/9/2022 11:48
alexiadis,,Alexiadis,,1,,5/9/2022 11:48
alexiou,,Alexiou,,1,,5/9/2022 11:48
alexopoulos,,Alexopoulos,,1,,5/9/2022 11:48
alexoudis,,Alexoudis,,1,,5/9/2022 11:48
alfero,,Alfero,,1,,5/9/2022 11:48
aliberti,,Aliberti,,1,,5/9/2022 11:48
alinari,,Alinari,,1,,5/9/2022 11:48
aliprandi,,Aliprandi,,1,,5/9/2022 11:48
allegri,,Allegri,,1,,5/9/2022 11:48
allegro,,Allegro,,1,,5/9/2022 11:48
alò,,Alò,,1,,5/9/2022 11:48
aloi,,Aloi,,1,,5/9/2022 11:48
aloia,,Aloia,,1,,5/9/2022 11:48
aloisi,,Aloisi,,1,,5/9/2022 11:48
altamura,,Altamura,,1,,5/9/2022 11:48
altimari,,Altimari,,1,,5/9/2022 11:48
altoviti,,Altoviti,,1,,5/9/2022 11:48
alunni,,Alunni,,1,,5/9/2022 11:48
amadei,,Amadei,,1,,5/9/2022 11:48
amadori,,Amadori,,1,,5/9/2022 11:48
amalberti,,Amalberti,,1,,5/9/2022 11:48
amantea,,Amantea,,1,,5/9/2022 11:48
amato,,Amato,,1,,5/9/2022 11:48
amatore,,Amatore,,1,,5/9/2022 11:48
ambrogi,,Ambrogi,,1,,5/9/2022 11:48
ambrosi,,Ambrosi,,1,,5/9/2022 11:48
amerighi,,Amerighi,,1,,5/9/2022 11:48
amoretto,,Amoretto,,1,,5/9/2022 11:48
anagnostakis,,Anagnostakis,,1,,5/9/2022 11:48
anagnostopoulos,,Anagnostopoulos,,1,,5/9/2022 11:48
anagnostou,,Anagnostou,,1,,5/9/2022 11:48
anastasiadis,,Anastasiadis,,1,,5/9/2022 11:48
anastasiou,,Anastasiou,,1,,5/9/2022 11:48
anastasopoulos,,Anastasopoulos,,1,,5/9/2022 11:48
anastopoulos,,Anastopoulos,,1,,5/9/2022 11:48
anastos,,Anastos,,1,,5/9/2022 11:48
andreadis,,Andreadis,,1,,5/9/2022 11:48
andreou,,Andreou,,1,,5/9/2022 11:48
andrianopoulos,,Andrianopoulos,,1,,5/9/2022 11:48
andritsos,,Andritsos,,1,,5/9/2022 11:48
androulakis,,Androulakis,,1,,5/9/2022 11:48
androutsos,,Androutsos,,1,,5/9/2022 11:48
anestis,,Anestis,,1,,5/9/2022 11:48
angelakis,,Angelakis,,1,,5/9/2022 11:48
angelakos,,Angelakos,,1,,5/9/2022 11:48
angelidis,,Angelidis,,1,,5/9/2022 11:48
angelidou,,Angelidou,,1,,5/9/2022 11:48
angelopoulos,,Angelopoulos,,1,,5/9/2022 11:48
angioli,,Angioli,,1,,5/9/2022 11:48
ansaldi,,Ansaldi,,1,,5/9/2022 11:48
anselmetti,,Anselmetti,,1,,5/9/2022 11:48
anselmi,,Anselmi,,1,,5/9/2022 11:48
anselmo,,Anselmo,,1,,5/9/2022 11:48
antonakis,,Antonakis,,1,,5/9/2022 11:48
antonelli,,Antonelli,,1,,5/9/2022 11:48
antoni,,Antoni,,1,,5/9/2022 11:48
antoniades,,Antoniades,,1,,5/9/2022 11:48
antoniadis,,Antoniadis,,1,,5/9/2022 11:48
antonini,,Antonini,,1,,5/9/2022 11:48
antonino,,Antonino,,1,,5/9/2022 11:48
antoniou,,Antoniou,,1,,5/9/2022 11:48
antonis,,Antonis,,1,,5/9/2022 11:48
antonopoulos,,Antonopoulos,,1,,5/9/2022 11:48
apostolidis,,Apostolidis,,1,,5/9/2022 11:48
apostolou,,Apostolou,,1,,5/9/2022 11:48
aquila,,Aquila,,1,,5/9/2022 11:48
aquino,,Aquino,,1,,5/9/2022 11:48
arbore,,Arbore,,1,,5/9/2022 11:48
ardiccioni,,Ardiccioni,,1,,5/9/2022 11:48
ardizzone,,Ardizzone,,1,,5/9/2022 11:48
ardovini,,Ardovini,,1,,5/9/2022 11:48
arena,,Arena,,1,,5/9/2022 11:48
argyri,,Argyri,,1,,5/9/2022 11:48
argyris,,Argyris,,1,,5/9/2022 11:48
argyropoulos,,Argyropoulos,,1,,5/9/2022 11:48
argyros,,Argyros,,1,,5/9/2022 11:48
arlotti,,Arlotti,,1,,5/9/2022 11:48
armando,,Armando,,1,,5/9/2022 11:48
armani,,Armani,,1,,5/9/2022 11:48
armati,,Armati,,1,,5/9/2022 11:48
armenis,,Armenis,,1,,5/9/2022 11:48
arnolfi,,Arnolfi,,1,,5/9/2022 11:48
arnoni,,Arnoni,,1,,5/9/2022 11:48
arrighetti,,Arrighetti,,1,,5/9/2022 11:48
arrighi,,Arrighi,,1,,5/9/2022 11:48
arrigucci,,Arrigucci,,1,,5/9/2022 11:48
arsenis,,Arsenis,,1,,5/9/2022 11:48
arvanitaki,,Arvanitaki,,1,,5/9/2022 11:48
athanasiadis,,Athanasiadis,,1,,5/9/2022 11:48
athanasiou,,Athanasiou,,1,,5/9/2022 11:48
athanasoulas,,Athanasoulas,,1,,5/9/2022 11:48
athineos,,Athineos,,1,,5/9/2022 11:48
avellino,,Avellino,,1,,5/9/2022 11:48
averoff,,Averoff,,1,,5/9/2022 11:48
avgeropoulos,,Avgeropoulos,,1,,5/9/2022 11:48
avramidis,,Avramidis,,1,,5/9/2022 11:48
axiotis,,Axiotis,,1,,5/9/2022 11:48
azzarà,,Azzarà,,1,,5/9/2022 11:48
baggi,,Baggi,,1,,5/9/2022 11:48
baggio,,Baggio,,1,,5/9/2022 11:48
baglio,,Baglio,,1,,5/9/2022 11:48
bagni,,Bagni,,1,,5/9/2022 11:48
bagnoli,,Bagnoli,,1,,5/9/2022 11:48
bakirtzis,,Bakirtzis,,1,,5/9/2022 11:48
bakoyannis,,Bakoyannis,,1,,5/9/2022 11:48
balboni,,Balboni,,1,,5/9/2022 11:48
baldi,,Baldi,,1,,5/9/2022 11:48
baldini,,Baldini,,1,,5/9/2022 11:48
baldinotti,,Baldinotti,,1,,5/9/2022 11:48
baldovini,,Baldovini,,1,,5/9/2022 11:48
ballerini,,Ballerini,,1,,5/9/2022 11:48
bandini,,Bandini,,1,,5/9/2022 11:48
bandoni,,Bandoni,,1,,5/9/2022 11:48
barbieri,,Barbieri,,1,,5/9/2022 11:48
barlos,,Barlos,,1,,5/9/2022 11:48
barone,,Barone,,1,,5/9/2022 11:48
barsotti,,Barsotti,,1,,5/9/2022 11:48
bartalotti,,Bartalotti,,1,,5/9/2022 11:48
bartolomei,,Bartolomei,,1,,5/9/2022 11:48
bartolomeo,,Bartolomeo,,1,,5/9/2022 11:48
barzetti,,Barzetti,,1,,5/9/2022 11:48
basile,,Basile,,1,,5/9/2022 11:48
bassanelli,,Bassanelli,,1,,5/9/2022 11:48
bassani,,Bassani,,1,,5/9/2022 11:48
bassi,,Bassi,,1,,5/9/2022 11:48
basso,,Basso,,1,,5/9/2022 11:48
battaglia,,Battaglia,,1,,5/9/2022 11:48
bazzoli,,Bazzoli,,1,,5/9/2022 11:48
behrakis,,Behrakis,,1,,5/9/2022 11:48
belevonis,,Belevonis,,1,,5/9/2022 11:48
bellandi,,Bellandi,,1,,5/9/2022 11:48
bellandini,,Bellandini,,1,,5/9/2022 11:48
bellincioni,,Bellincioni,,1,,5/9/2022 11:48
bellini,,Bellini,,1,,5/9/2022 11:48
bello,,Bello,,1,,5/9/2022 11:48
bellomi,,Bellomi,,1,,5/9/2022 11:48
bellomo,,Bellomo,,1,,5/9/2022 11:48
belloni,,Belloni,,1,,5/9/2022 11:48
belluomo,,Belluomo,,1,,5/9/2022 11:48
belmonte,,Belmonte,,1,,5/9/2022 11:48
bencivenni,,Bencivenni,,1,,5/9/2022 11:48
benedetti,,Benedetti,,1,,5/9/2022 11:48
benenati,,Benenati,,1,,5/9/2022 11:48
benetton,,Benetton,,1,,5/9/2022 11:48
benini,,Benini,,1,,5/9/2022 11:48
benizzi,,Benizzi,,1,,5/9/2022 11:48
benvenuti,,Benvenuti,,1,,5/9/2022 11:48
berardi,,Berardi,,1,,5/9/2022 11:48
bergamaschi,,Bergamaschi,,1,,5/9/2022 11:48
