Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
— ,— ,— ,— ,— ,— ,— 
a'isha,,A'isha,,1,,5/9/2022 11:48
aaliyah,,Aaliyah,,1,,5/9/2022 11:48
aamina,,Aamina,,1,,5/9/2022 11:48
aaminah,,Aaminah,,1,,5/9/2022 11:48
abla,,Abla,,1,,5/9/2022 11:48
abrar,,Abrar,,1,,5/9/2022 11:48
ada,,Ada,,1,,5/9/2022 11:48
adele,,Adele,,1,,5/9/2022 11:48
adila,,Adila,,1,,5/9/2022 11:48
afaf,,Afaf,,1,,5/9/2022 11:48
afifa,,Afifa,,1,,5/9/2022 11:48
afnan,,Afnan,,1,,5/9/2022 11:48
afra,,Afra,,1,,5/9/2022 11:48
afsaneh,,Afsaneh,,1,,5/9/2022 11:48
afsoon,,Afsoon,,1,,5/9/2022 11:48
afsoun,,Afsoun,,1,,5/9/2022 11:48
afsun,,Afsun,,1,,5/9/2022 11:48
aïcha,,Aïcha,,1,,5/9/2022 11:48
aida,,Aida,,1,,5/9/2022 11:48
aisha,,Aisha,,1,,5/9/2022 11:48
aishah,,Aishah,,1,,5/9/2022 11:48
akilah,,Akilah,,1,,5/9/2022 11:48
alia,,Alia,,1,,5/9/2022 11:48
aliya,,Aliya,,1,,5/9/2022 11:48
aliyah,,Aliyah,,1,,5/9/2022 11:48
aliyya,,Aliyya,,1,,5/9/2022 11:48
aliyyah,,Aliyyah,,1,,5/9/2022 11:48
almas,,Almas,,1,,5/9/2022 11:48
alya,,Alya,,1,,5/9/2022 11:48
amaal,,Amaal,,1,,5/9/2022 11:48
amal,,Amal,,1,,5/9/2022 11:48
amani,,Amani,,1,,5/9/2022 11:48
amel,,Amel,,1,,5/9/2022 11:48
amina,,Amina,,1,,5/9/2022 11:48
aminah,,Aminah,,1,,5/9/2022 11:48
amira,,Amira,,1,,5/9/2022 11:48
amirah,,Amirah,,1,,5/9/2022 11:48
amna,,Amna,,1,,5/9/2022 11:48
anahita,,Anahita,,1,,5/9/2022 11:48
anisa,,Anisa,,1,,5/9/2022 11:48
aqila,,Aqila,,1,,5/9/2022 11:48
arezoo,,Arezoo,,1,,5/9/2022 11:48
arezou,,Arezou,,1,,5/9/2022 11:48
arezu,,Arezu,,1,,5/9/2022 11:48
arij,,Arij,,1,,5/9/2022 11:48
arwa,,Arwa,,1,,5/9/2022 11:48
asal,,Asal,,1,,5/9/2022 11:48
ashraqat,,Ashraqat,,1,,5/9/2022 11:48
asiya,,Asiya,,1,,5/9/2022 11:48
asma,,Asma,,1,,5/9/2022 11:48
asmaa,,Asmaa,,1,,5/9/2022 11:48
asra,,Asra,,1,,5/9/2022 11:48
assia,,Assia,,1,,5/9/2022 11:48
asya,,Asya,,1,,5/9/2022 11:48
atefeh,,Atefeh,,1,,5/9/2022 11:48
atifa,,Atifa,,1,,5/9/2022 11:48
atiya,,Atiya,,1,,5/9/2022 11:48
atliba,,Atliba,,1,,5/9/2022 11:48
atousa,,Atousa,,1,,5/9/2022 11:48
ava,,Ava,,1,,5/9/2022 11:48
avigail,,Avigail,,1,,5/9/2022 11:48
aya,,Aya,,1,,5/9/2022 11:48
ayah,,Ayah,,1,,5/9/2022 11:48
ayda,,Ayda,,1,,5/9/2022 11:48
ayesha,,Ayesha,,1,,5/9/2022 11:48
ayishah,,Ayishah,,1,,5/9/2022 11:48
ayşe,,Ayşe,,1,,5/9/2022 11:48
aysha,,Aysha,,1,,5/9/2022 11:48
azar,,Azar,,1,,5/9/2022 11:48
aziza,,Aziza,,1,,5/9/2022 11:48
azra,,Azra,,1,,5/9/2022 11:48
badr,,Badr,,1,,5/9/2022 11:48
bahar,,Bahar,,1,,5/9/2022 11:48
bahiga,,Bahiga,,1,,5/9/2022 11:48
bahija,,Bahija,,1,,5/9/2022 11:48
bahiyya,,Bahiyya,,1,,5/9/2022 11:48
balqis,,Balqis,,1,,5/9/2022 11:48
baran,,Baran,,1,,5/14/2024 2:16
basima,,Basima,,1,,5/14/2024 2:16
basira,,Basira,,1,,5/14/2024 2:16
basma,,Basma,,1,,5/14/2024 2:16
batul,,Batul,,1,,5/14/2024 2:16
behnaz,,Behnaz,,1,,5/14/2024 2:16
behnoosh,,Behnoosh,,1,,5/14/2024 2:16
behnoush,,Behnoush,,1,,5/14/2024 2:16
belinay,,Belinay,,1,,5/14/2024 2:16
beren,,Beren,,1,,5/14/2024 2:16
besan,,Besan,,1,,5/14/2024 2:16
betül,,Betül,,1,,5/14/2024 2:16
budur,,Budur,,1,,5/14/2024 2:16
buglem,,Buglem,,1,,5/14/2024 2:16
bushra,,Bushra,,1,,5/14/2024 2:16
büsra,,Büsra,,1,,5/14/2024 2:16
cemre,,Cemre,,1,,5/14/2024 2:16
dalal,,Dalal,,1,,5/14/2024 2:16
dalia,,Dalia,,1,,5/14/2024 2:16
dana,,Dana,,1,,5/14/2024 2:16
dania,,Dania,,1,,5/14/2024 2:16
daniyah,,Daniyah,,1,,5/14/2024 2:16
danya,,Danya,,1,,5/14/2024 2:16
darya,,Darya,,1,,5/14/2024 2:16
defne,,Defne,,1,,5/14/2024 2:16
delara,,Delara,,1,,5/14/2024 2:16
delshad,,Delshad,,1,,5/14/2024 2:16
dema,,Dema,,1,,5/14/2024 2:16
derin,,Derin,,1,,5/14/2024 2:16
dima,,Dima,,1,,5/14/2024 2:16
dina,,Dina,,1,,5/14/2024 2:16
djamila,,Djamila,,1,,5/14/2024 2:16
dua,,Dua,,1,,5/14/2024 2:16
duha,,Duha,,1,,5/14/2024 2:16
duru,,Duru,,1,,5/14/2024 2:16
ecrin,,Ecrin,,1,,5/14/2024 2:16
ehsan,,Ehsan,,1,,5/14/2024 2:16
ela,,Ela,,1,,5/14/2024 2:16
elaheh,,Elaheh,,1,,5/14/2024 2:16
elanur,,Elanur,,1,,5/14/2024 2:16
elham,,Elham,,1,,5/14/2024 2:16
elif,,Elif,,1,,5/14/2024 2:16
elif nur,,Elif Nur,,1,,5/14/2024 2:16
eman,,Eman,,1,,5/14/2024 2:16
emine,,Emine,,1,,5/14/2024 2:16
erva,,Erva,,1,,5/14/2024 2:16
esila,,Esila,,1,,5/14/2024 2:16
eslem,,Eslem,,1,,5/14/2024 2:16
esma,,Esma,,1,,5/14/2024 2:16
esmanur,,Esmanur,,1,,5/14/2024 2:16
esmat,,Esmat,,1,,5/14/2024 2:16
eylül,,Eylül,,1,,5/14/2024 2:16
fadia,,Fadia,,1,,5/14/2024 2:16
fadila,,Fadila,,1,,5/14/2024 2:16
fahima,,Fahima,,1,,5/14/2024 2:16
fairuz,,Fairuz,,1,,5/14/2024 2:16
fairuza,,Fairuza,,1,,5/14/2024 2:16
faiza,,Faiza,,1,,5/14/2024 2:16
fajr,,Fajr,,1,,5/14/2024 2:16
fakhriyya,,Fakhriyya,,1,,5/14/2024 2:16
farah,,Farah,,1,,5/14/2024 2:16
fareeha,,Fareeha,,1,,5/14/2024 2:16
farhana,,Farhana,,1,,5/14/2024 2:16
fariba,,Fariba,,1,,5/14/2024 2:16
farida,,Farida,,1,,5/14/2024 2:16
farideh,,Farideh,,1,,5/14/2024 2:16
fariha,,Fariha,,1,,5/14/2024 2:16
farrah,,Farrah,,1,,5/14/2024 2:16
farzaneh,,Farzaneh,,1,,5/14/2024 2:16
fatema,,Fatema,,1,,5/14/2024 2:16
fatemah,,Fatemah,,1,,5/14/2024 2:16
fatemeh,,Fatemeh,,1,,5/14/2024 2:16
fathiyya,,Fathiyya,,1,,5/14/2024 2:16
fatiha,,Fatiha,,1,,5/14/2024 2:16
fatima,,Fatima,,1,,5/14/2024 2:16
fatimah,,Fatimah,,1,,5/14/2024 2:16
fatin,,Fatin,,1,,5/14/2024 2:16
fatma,,Fatma,,1,,5/14/2024 2:16
fawzia,,Fawzia,,1,,5/14/2024 2:16
fawziya,,Fawziya,,1,,5/14/2024 2:16
fawziyya,,Fawziyya,,1,,5/14/2024 2:16
fayruz,,Fayruz,,1,,5/14/2024 2:16
fayza,,Fayza,,1,,5/14/2024 2:16
fereshteh,,Fereshteh,,1,,5/14/2024 2:16
fidda,,Fidda,,1,,5/14/2024 2:16
fikriyya,,Fikriyya,,1,,5/14/2024 2:16
firoozeh,,Firoozeh,,1,,5/14/2024 2:16
firouzeh,,Firouzeh,,1,,5/14/2024 2:16
firuzeh,,Firuzeh,,1,,5/14/2024 2:16
fizza,,Fizza,,1,,5/14/2024 2:16
fouzia,,Fouzia,,1,,5/14/2024 2:16
galila,,Galila,,1,,5/14/2024 2:16
gamila,,Gamila,,1,,5/14/2024 2:16
gawahir,,Gawahir,,1,,5/14/2024 2:16
gazbia,,Gazbia,,1,,5/14/2024 2:16
gazbiyya,,Gazbiyya,,1,,5/14/2024 2:16
ghada,,Ghada,,1,,5/14/2024 2:16
ghadir,,Ghadir,,1,,5/14/2024 2:16
ghaliya,,Ghaliya,,1,,5/14/2024 2:16
ghazal,,Ghazal,,1,,5/14/2024 2:16
ghena,,Ghena,,1,,5/14/2024 2:16
ghoncheh,,Ghoncheh,,1,,5/14/2024 2:16
ghufran,,Ghufran,,1,,5/14/2024 2:16
gohar,,Gohar,,1,,5/14/2024 2:16
gol,,Gol,,1,,5/14/2024 2:16
golbahar,,Golbahar,,1,,5/14/2024 2:16
golnar,,Golnar,,1,,5/14/2024 2:16
golnaz,,Golnaz,,1,,5/14/2024 2:16
golshan,,Golshan,,1,,5/14/2024 2:16
golzar,,Golzar,,1,,5/14/2024 2:16
habiba,,Habiba,,1,,5/14/2024 2:16
hadia,,Hadia,,1,,5/14/2024 2:16
hadil,,Hadil,,1,,5/14/2024 2:16
hadiya,,Hadiya,,1,,5/14/2024 2:16
hadiyya,,Hadiyya,,1,,5/14/2024 2:16
hadya,,Hadya,,1,,5/14/2024 2:16
hafsa,,Hafsa,,1,,5/14/2024 2:16
hafsah,,Hafsah,,1,,5/14/2024 2:16
hafza,,Hafza,,1,,5/14/2024 2:16
hagir,,Hagir,,1,,5/14/2024 2:16
haifa,,Haifa,,1,,5/14/2024 2:16
hajar,,Hajar,,1,,5/14/2024 2:16
hala,,Hala,,1,,5/14/2024 2:16
halima,,Halima,,1,,5/14/2024 2:16
halimah,,Halimah,,1,,5/14/2024 2:16
hamida,,Hamida,,1,,5/14/2024 2:16
hamidah,,Hamidah,,1,,5/14/2024 2:16
hamide,,Hamide,,1,,5/14/2024 2:16
hamideh,,Hamideh,,1,,5/14/2024 2:16
hana,,Hana,,1,,5/14/2024 2:16
hanaa,,Hanaa,,1,,5/14/2024 2:16
hanan,,Hanan,,1,,5/14/2024 2:16
hania,,Hania,,1,,5/14/2024 2:16
hanieh,,Hanieh,,1,,5/14/2024 2:16
hanifa,,Hanifa,,1,,5/14/2024 2:16
haniya,,Haniya,,1,,5/14/2024 2:16
haniyah,,Haniyah,,1,,5/14/2024 2:16
haniyya,,Haniyya,,1,,5/14/2024 2:16
hannah,,Hannah,,1,,5/14/2024 2:16
hasna,,Hasna,,1,,5/14/2024 2:16
hatice,,Hatice,,1,,5/14/2024 2:16
hawa,,Hawa,,1,,5/14/2024 2:16
haya,,Haya,,1,,5/14/2024 2:16
hayat,,Hayat,,1,,5/14/2024 2:16
hayfa,,Hayfa,,1,,5/14/2024 2:16
hiba,,Hiba,,1,,5/14/2024 2:16
hikmat,,Hikmat,,1,,5/14/2024 2:16
hind,,Hind,,1,,5/14/2024 2:16
hira,,Hira,,1,,5/14/2024 2:16
hira nur,,Hira Nur,,1,,5/14/2024 2:16
hiranur,,Hiranur,,1,,5/14/2024 2:16
hooda,,Hooda,,1,,5/14/2024 2:16
hosni,,Hosni,,1,,5/14/2024 2:16
houda,,Houda,,1,,5/14/2024 2:16
huda,,Huda,,1,,5/14/2024 2:16
humaira,,Humaira,,1,,5/14/2024 2:16
humayra,,Humayra,,1,,5/14/2024 2:16
husna,,Husna,,1,,5/14/2024 2:16
husni,,Husni,,1,,5/14/2024 2:16
husniya,,Husniya,,1,,5/14/2024 2:16
i'tidal,,I'tidal,,1,,5/14/2024 2:16
i'timad,,I'timad,,1,,5/14/2024 2:16
ibtihaj,,Ibtihaj,,1,,5/14/2024 2:16
ibtisam,,Ibtisam,,1,,5/14/2024 2:16
ihab,,Ihab,,1,,5/14/2024 2:16
ihsan,,Ihsan,,1,,5/14/2024 2:16
ikraam,,Ikraam,,1,,5/14/2024 2:16
ikram,,Ikram,,1,,5/14/2024 2:16
ilham,,Ilham,,1,,5/14/2024 2:16
imaan,,Imaan,,1,,5/14/2024 2:16
iman,,Iman,,1,,5/14/2024 2:16
imen,,Imen,,1,,5/14/2024 2:16
in'am,,In'am,,1,,5/14/2024 2:16
inas,,Inas,,1,,5/14/2024 2:16
irem,,Irem,,1,,5/14/2024 2:16
ismat,,Ismat,,1,,5/14/2024 2:16
isra,,Isra,,1,,5/14/2024 2:16
israa,,Israa,,1,,5/14/2024 2:16
izdihar,,Izdihar,,1,,5/14/2024 2:16
jahanara,,Jahanara,,1,,5/14/2024 2:16
jaleh,,Jaleh,,1,,5/14/2024 2:16
jalila,,Jalila,,1,,5/14/2024 2:16
