Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
— ,— ,— ,— ,— ,— ,— 
aali,,Aali,,1,,5/9/2022 11:48
aamir,,Aamir,,1,,5/9/2022 11:48
abbas,,Abbas,,1,,5/9/2022 11:48
abd al-aziz,,Abd al-Aziz,,1,,5/9/2022 11:48
abd al-hamid,,Abd al-Hamid,,1,,5/9/2022 11:48
abd al-haqq,,Abd al-Haqq,,1,,5/9/2022 11:48
abd al-ilah,,Abd al-Ilah,,1,,5/9/2022 11:48
abd al-kader,,Abd al-Kader,,1,,5/9/2022 11:48
abd al-karim,,Abd al-Karim,,1,,5/9/2022 11:48
abd al-latif,,Abd al-Latif,,1,,5/9/2022 11:48
abd al-majid,,Abd al-Majid,,1,,5/9/2022 11:48
abd al-malik,,Abd al-Malik,,1,,5/9/2022 11:48
abd al-qadir,,Abd al-Qadir,,1,,5/9/2022 11:48
abd al-rahim,,Abd al-Rahim,,1,,5/9/2022 11:48
abd al-rahman,,Abd al-Rahman,,1,,5/9/2022 11:48
abd al-rashid,,Abd al-Rashid,,1,,5/9/2022 11:48
abd al-salam,,Abd al-Salam,,1,,5/9/2022 11:48
abd al-wali,,Abd al-Wali,,1,,5/9/2022 11:48
abd ar-rahim,,Abd ar-Rahim,,1,,5/9/2022 11:48
abd ar-rahman,,Abd ar-Rahman,,1,,5/9/2022 11:48
abd ar-rashid,,Abd ar-Rashid,,1,,5/9/2022 11:48
abd as-salam,,Abd as-Salam,,1,,5/9/2022 11:48
abdallah,,Abdallah,,1,,5/9/2022 11:48
abdalrahman,,Abdalrahman,,1,,5/9/2022 11:48
abdolhossein,,Abdolhossein,,1,,5/9/2022 11:48
abdollah,,Abdollah,,1,,5/9/2022 11:48
abdolreza,,Abdolreza,,1,,5/9/2022 11:48
abduh,,Abduh,,1,,5/9/2022 11:48
abdul,,Abdul,,1,,5/9/2022 11:48
abdul aziz,,Abdul Aziz,,1,,5/9/2022 11:48
abdul hamid,,Abdul Hamid,,1,,5/9/2022 11:48
abdul haq,,Abdul Haq,,1,,5/9/2022 11:48
abdulaziz,,Abdulaziz,,1,,5/9/2022 11:48
abdulla,,Abdulla,,1,,5/9/2022 11:48
abdullah,,Abdullah,,1,,5/9/2022 11:48
abdur rahim,,Abdur Rahim,,1,,5/9/2022 11:48
abdur rahman,,Abdur Rahman,,1,,5/9/2022 11:48
abdur rashid,,Abdur Rashid,,1,,5/9/2022 11:48
abdus salam,,Abdus Salam,,1,,5/9/2022 11:48
abolfazl,,Abolfazl,,1,,5/9/2022 11:48
adam,,Adam,,1,,5/9/2022 11:48
adel,,Adel,,1,,5/9/2022 11:48
adil,,Adil,,1,,5/9/2022 11:48
adnan,,Adnan,,1,,5/9/2022 11:48
affan,,Affan,,1,,5/9/2022 11:48
afif,,Afif,,1,,5/9/2022 11:48
afzal,,Afzal,,1,,5/9/2022 11:48
aghil,,Aghil,,1,,5/9/2022 11:48
aghlab,,Aghlab,,1,,5/9/2022 11:48
ahmad,,Ahmad,,1,,5/9/2022 11:48
ahman,,Ahman,,1,,5/9/2022 11:48
ahmed,,Ahmed,,1,,5/9/2022 11:48
ahmet,,Ahmet,,1,,5/9/2022 11:48
ahsan,,Ahsan,,1,,5/9/2022 11:48
aiman,,Aiman,,1,,5/9/2022 11:48
akbar,,Akbar,,1,,5/9/2022 11:48
akif,,Akif,,1,,5/9/2022 11:48
akmal,,Akmal,,1,,5/9/2022 11:48
al-amir,,al-Amir,,1,,5/9/2022 11:48
al-hasan,,al-Hasan,,1,,5/9/2022 11:48
ala,,Ala,,1,,5/9/2022 11:48
ala ad-din,,Ala ad-Din,,1,,5/9/2022 11:48
ala al-din,,Ala al-Din,,1,,5/9/2022 11:48
alborz,,Alborz,,1,,5/9/2022 11:48
ali,,Ali,,1,,5/9/2022 11:48
alim,,Alim,,1,,5/9/2022 11:48
alireza,,Alireza,,1,,5/9/2022 11:48
almas,,Almas,,1,,5/9/2022 11:48
alperen,,Alperen,,1,,5/9/2022 11:48
amal,,Amal,,1,,5/9/2022 11:48
amani,,Amani,,1,,5/9/2022 11:48
ameer,,Ameer,,1,,5/9/2022 11:48
amin,,Amin,,1,,5/9/2022 11:48
amir,,Amir,,1,,5/9/2022 11:48
amjad,,Amjad,,1,,5/14/2024 2:16
ammar,,Ammar,,1,,5/14/2024 2:16
anas,,Anas,,1,,5/14/2024 2:16
anass,,Anass,,1,,5/14/2024 2:16
anis,,Anis,,1,,5/14/2024 2:16
ansar,,Ansar,,1,,5/14/2024 2:16
anwar,,Anwar,,1,,5/14/2024 2:16
anwer,,Anwer,,1,,5/14/2024 2:16
aqil,,Aqil,,1,,5/14/2024 2:16
arash,,Arash,,1,,5/14/2024 2:16
arastoo,,Arastoo,,1,,5/14/2024 2:16
arda,,Arda,,1,,5/14/2024 2:16
ardeshir,,Ardeshir,,1,,5/14/2024 2:16
aref,,Aref,,1,,5/14/2024 2:16
aria,,Aria,,1,,5/14/2024 2:16
ariel,,Ariel,,1,,5/14/2024 2:16
arif,,Arif,,1,,5/14/2024 2:16
arman,,Arman,,1,,5/14/2024 2:16
arya,,Arya,,1,,5/14/2024 2:16
arzhang,,Arzhang,,1,,5/14/2024 2:16
as'ad,,As'ad,,1,,5/14/2024 2:16
asad,,Asad,,1,,5/14/2024 2:16
asadollah,,Asadollah,,1,,5/14/2024 2:16
asadullah,,Asadullah,,1,,5/14/2024 2:16
asef,,Asef,,1,,5/14/2024 2:16
asghar,,Asghar,,1,,5/14/2024 2:16
ashfaq,,Ashfaq,,1,,5/14/2024 2:16
asif,,Asif,,1,,5/14/2024 2:16
asim,,Asim,,1,,5/14/2024 2:16
ata,,Ata,,1,,5/14/2024 2:16
atallah,,Atallah,,1,,5/14/2024 2:16
ataullah,,Ataullah,,1,,5/14/2024 2:16
atif,,Atif,,1,,5/14/2024 2:16
atiya,,Atiya,,1,,5/14/2024 2:16
atuf,,Atuf,,1,,5/14/2024 2:16
ayaz,,Ayaz,,1,,5/14/2024 2:16
ayham,,Ayham,,1,,5/14/2024 2:16
ayman,,Ayman,,1,,5/14/2024 2:16
ayoub,,Ayoub,,1,,5/14/2024 2:16
ayyub,,Ayyub,,1,,5/14/2024 2:16
azad,,Azad,,1,,5/14/2024 2:16
azar,,Azar,,1,,5/14/2024 2:16
azhar,,Azhar,,1,,5/14/2024 2:16
aziz,,Aziz,,1,,5/14/2024 2:16
babak,,Babak,,1,,5/14/2024 2:16
badr,,Badr,,1,,5/14/2024 2:16
baha,,Baha,,1,,5/14/2024 2:16
bahador,,Bahador,,1,,5/14/2024 2:16
bahij,,Bahij,,1,,5/14/2024 2:16
bahman,,Bahman,,1,,5/14/2024 2:16
bahram,,Bahram,,1,,5/14/2024 2:16
bakhtiar,,Bakhtiar,,1,,5/14/2024 2:16
baki,,Baki,,1,,5/14/2024 2:16
bakr,,Bakr,,1,,5/14/2024 2:16
baqi,,Baqi,,1,,5/14/2024 2:16
baqir,,Baqir,,1,,5/14/2024 2:16
barack,,Barack,,1,,5/14/2024 2:16
barak,,Barak,,1,,5/14/2024 2:16
barakat,,Barakat,,1,,5/14/2024 2:16
baran,,Baran,,1,,5/14/2024 2:16
baraz,,Baraz,,1,,5/14/2024 2:16
bashar,,Bashar,,1,,5/14/2024 2:16
basil,,Basil,,1,,5/14/2024 2:16
basim,,Basim,,1,,5/14/2024 2:16
basir,,Basir,,1,,5/14/2024 2:16
basit,,Basit,,1,,5/14/2024 2:16
bassam,,Bassam,,1,,5/14/2024 2:16
bassem,,Bassem,,1,,5/14/2024 2:16
behdad,,Behdad,,1,,5/14/2024 2:16
behnam,,Behnam,,1,,5/14/2024 2:16
behrooz,,Behrooz,,1,,5/14/2024 2:16
behrouz,,Behrouz,,1,,5/14/2024 2:16
behruz,,Behruz,,1,,5/14/2024 2:16
behzad,,Behzad,,1,,5/14/2024 2:16
berat,,Berat,,1,,5/14/2024 2:16
bilal,,Bilal,,1,,5/14/2024 2:16
binyamin,,Binyamin,,1,,5/14/2024 2:16
botros,,Botros,,1,,5/14/2024 2:16
boulos,,Boulos,,1,,5/14/2024 2:16
boutros,,Boutros,,1,,5/14/2024 2:16
bulus,,Bulus,,1,,5/14/2024 2:16
bünyamin,,Bünyamin,,1,,5/14/2024 2:16
burak,,Burak,,1,,5/14/2024 2:16
burhan,,Burhan,,1,,5/14/2024 2:16
burhan ad-din,,Burhan ad-Din,,1,,5/14/2024 2:16
burhan al-din,,Burhan al-Din,,1,,5/14/2024 2:16
burhanuddin,,Burhanuddin,,1,,5/14/2024 2:16
butrus,,Butrus,,1,,5/14/2024 2:16
çinar,,Çinar,,1,,5/14/2024 2:16
dana,,Dana,,1,,5/14/2024 2:16
danial,,Danial,,1,,5/14/2024 2:16
daniel,,Daniel,,1,,5/14/2024 2:16
daniyal,,Daniyal,,1,,5/14/2024 2:16
dara,,Dara,,1,,5/14/2024 2:16
dariush,,Dariush,,1,,5/14/2024 2:16
daryush,,Daryush,,1,,5/14/2024 2:16
daud,,Daud,,1,,5/14/2024 2:16
david,,David,,1,,5/14/2024 2:16
davoud,,Davoud,,1,,5/14/2024 2:16
davud,,Davud,,1,,5/14/2024 2:16
dawood,,Dawood,,1,,5/14/2024 2:16
dawud,,Dawud,,1,,5/14/2024 2:16
delshad,,Delshad,,1,,5/14/2024 2:16
deniz,,Deniz,,1,,5/14/2024 2:16
diya,,Diya,,1,,5/14/2024 2:16
duha,,Duha,,1,,5/14/2024 2:16
ebrahim,,Ebrahim,,1,,5/14/2024 2:16
eesa,,Eesa,,1,,5/14/2024 2:16
ehsan,,Ehsan,,1,,5/14/2024 2:16
eitan,,Eitan,,1,,5/14/2024 2:16
emir,,Emir,,1,,5/14/2024 2:16
emirhan,,Emirhan,,1,,5/14/2024 2:16
emre,,Emre,,1,,5/14/2024 2:16
enes,,Enes,,1,,5/14/2024 2:16
eren,,Eren,,1,,5/14/2024 2:16
erfan,,Erfan,,1,,5/14/2024 2:16
ertugrul,,Ertugrul,,1,,5/14/2024 2:16
eskandar,,Eskandar,,1,,5/14/2024 2:16
esmaeel,,Esmaeel,,1,,5/14/2024 2:16
esmaeil,,Esmaeil,,1,,5/14/2024 2:16
esmail,,Esmail,,1,,5/14/2024 2:16
esmat,,Esmat,,1,,5/14/2024 2:16
essa,,Essa,,1,,5/14/2024 2:16
eymen,,Eymen,,1,,5/14/2024 2:16
fadi,,Fadi,,1,,5/14/2024 2:16
fadil,,Fadil,,1,,5/14/2024 2:16
fadl,,Fadl,,1,,5/14/2024 2:16
fahd,,Fahd,,1,,5/14/2024 2:16
fahim,,Fahim,,1,,5/14/2024 2:16
faisal,,Faisal,,1,,5/14/2024 2:16
faiz,,Faiz,,1,,5/14/2024 2:16
faizel,,Faizel,,1,,5/14/2024 2:16
fakhri,,Fakhri,,1,,5/14/2024 2:16
farag,,Farag,,1,,5/14/2024 2:16
farah,,Farah,,1,,5/14/2024 2:16
faraj,,Faraj,,1,,5/14/2024 2:16
fareed,,Fareed,,1,,5/14/2024 2:16
farhad,,Farhad,,1,,5/14/2024 2:16
farhan,,Farhan,,1,,5/14/2024 2:16
farid,,Farid,,1,,5/14/2024 2:16
faridoon,,Faridoon,,1,,5/14/2024 2:16
faris,,Faris,,1,,5/14/2024 2:16
farooq,,Farooq,,1,,5/14/2024 2:16
farouk,,Farouk,,1,,5/14/2024 2:16
farrokh,,Farrokh,,1,,5/14/2024 2:16
faruk,,Faruk,,1,,5/14/2024 2:16
faruq,,Faruq,,1,,5/14/2024 2:16
fathi,,Fathi,,1,,5/14/2024 2:16
fatih,,Fatih,,1,,5/14/2024 2:16
fatin,,Fatin,,1,,5/14/2024 2:16
fawzi,,Fawzi,,1,,5/14/2024 2:16
fayiz,,Fayiz,,1,,5/14/2024 2:16
faysal,,Faysal,,1,,5/14/2024 2:16
fazl,,Fazl,,1,,5/14/2024 2:16
fereydoon,,Fereydoon,,1,,5/14/2024 2:16
fereydoun,,Fereydoun,,1,,5/14/2024 2:16
fereydun,,Fereydun,,1,,5/14/2024 2:16
fihr,,Fihr,,1,,5/14/2024 2:16
fikri,,Fikri,,1,,5/14/2024 2:16
firdaus,,Firdaus,,1,,5/14/2024 2:16
firouz,,Firouz,,1,,5/14/2024 2:16
firuz,,Firuz,,1,,5/14/2024 2:16
fouad,,Fouad,,1,,5/14/2024 2:16
fuad,,Fuad,,1,,5/14/2024 2:16
furkan,,Furkan,,1,,5/14/2024 2:16
furqan,,Furqan,,1,,5/14/2024 2:16
gabir,,Gabir,,1,,5/14/2024 2:16
gabr,,Gabr,,1,,5/14/2024 2:16
gafar,,Gafar,,1,,5/14/2024 2:16
galal,,Galal,,1,,5/14/2024 2:16
gamal,,Gamal,,1,,5/14/2024 2:16
gamil,,Gamil,,1,,5/14/2024 2:16
gawdat,,Gawdat,,1,,5/14/2024 2:16
ghalib,,Ghalib,,1,,5/14/2024 2:16
ghassan,,Ghassan,,1,,5/14/2024 2:16
ghayth,,Ghayth,,1,,5/14/2024 2:16
gholam,,Gholam,,1,,5/14/2024 2:16
