Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
— ,— ,— ,— ,— ,— ,— 
abadi,,Abadi,,1,,5/9/2022 11:48
abboud,,Abboud,,1,,5/9/2022 11:48
almasi,,Almasi,,1,,5/9/2022 11:48
amari,,Amari,,1,,5/9/2022 11:48
antar,,Antar,,1,,5/9/2022 11:48
antoun,,Antoun,,1,,5/9/2022 11:48
arian,,Arian,,1,,5/9/2022 11:48
asfour,,Asfour,,1,,5/9/2022 11:48
asghar,,Asghar,,1,,5/9/2022 11:48
asker,,Asker,,1,,5/9/2022 11:48
aswad,,Aswad,,1,,5/9/2022 11:48
atiyeh,,Atiyeh,,1,,5/9/2022 11:48
attia,,Attia,,1,,5/9/2022 11:48
awad,,Awad,,1,,5/9/2022 11:48
ba,,Ba,,1,,5/9/2022 11:48
baba,,Baba,,1,,5/9/2022 11:48
bahar,,Bahar,,1,,5/9/2022 11:48
basara,,Basara,,1,,5/9/2022 11:48
baz,,Baz,,1,,5/9/2022 11:48
bishara,,Bishara,,1,,5/9/2022 11:48
bitar,,Bitar,,1,,5/9/2022 11:48
botros,,Botros,,1,,5/9/2022 11:48
boulos,,Boulos,,1,,5/9/2022 11:48
boutros,,Boutros,,1,,5/9/2022 11:48
cham,,Cham,,1,,5/9/2022 11:48
dagher,,Dagher,,1,,5/9/2022 11:48
daher,,Daher,,1,,5/9/2022 11:48
deeb,,Deeb,,1,,5/9/2022 11:48
essa,,Essa,,1,,5/9/2022 11:48
fakhoury,,Fakhoury,,1,,5/9/2022 11:48
ganem,,Ganem,,1,,5/9/2022 11:48
ganim,,Ganim,,1,,5/9/2022 11:48
gerges,,Gerges,,1,,5/9/2022 11:48
ghannam,,Ghannam,,1,,5/9/2022 11:48
guirguis,,Guirguis,,1,,5/9/2022 11:48
hadad,,Hadad,,1,,5/9/2022 11:48
haddad,,Haddad,,1,,5/9/2022 11:48
haik,,Haik,,1,,5/9/2022 11:48
hajjar,,Hajjar,,1,,5/9/2022 11:48
hakimi,,Hakimi,,1,,5/9/2022 11:48
halabi,,Halabi,,1,,5/9/2022 11:48
hanania,,Hanania,,1,,5/9/2022 11:48
handal,,Handal,,1,,5/9/2022 11:48
harb,,Harb,,1,,5/9/2022 11:48
isa,,Isa,,1,,5/9/2022 11:48
issa,,Issa,,1,,5/9/2022 11:48
kalb,,Kalb,,1,,5/9/2022 11:48
kanaan,,Kanaan,,1,,5/9/2022 11:48
kassab,,Kassab,,1,,5/9/2022 11:48
kassis,,Kassis,,1,,5/9/2022 11:48
kattan,,Kattan,,1,,5/9/2022 11:48
khouri,,Khouri,,1,,5/9/2022 11:48
khoury,,Khoury,,1,,5/9/2022 11:48
kouri,,Kouri,,1,,5/9/2022 11:48
koury,,Koury,,1,,5/9/2022 11:48
maalouf,,Maalouf,,1,,5/9/2022 11:48
maloof,,Maloof,,1,,5/9/2022 11:48
malouf,,Malouf,,1,,5/9/2022 11:48
maroun,,Maroun,,1,,5/9/2022 11:48
masih,,Masih,,1,,5/9/2022 11:48
mifsud,,Mifsud,,1,,5/9/2022 11:48
mikhail,,Mikhail,,1,,5/9/2022 11:48
moghadam,,Moghadam,,1,,5/9/2022 11:48
morcos,,Morcos,,1,,5/9/2022 11:48
nader,,Nader,,1,,5/9/2022 11:48
nahas,,Nahas,,1,,5/9/2022 11:48
naifeh,,Naifeh,,1,,5/9/2022 11:48
najjar,,Najjar,,1,,5/9/2022 11:48
naser,,Naser,,1,,5/9/2022 11:48
nassar,,Nassar,,1,,5/9/2022 11:48
nazari,,Nazari,,1,,5/9/2022 11:48
quraishi,,Quraishi,,1,,5/9/2022 11:48
qureshi,,Qureshi,,1,,5/9/2022 11:48
rahal,,Rahal,,1,,5/9/2022 11:48
sabbag,,Sabbag,,1,,5/9/2022 11:48
sabbagh,,Sabbagh,,1,,5/9/2022 11:48
safar,,Safar,,1,,5/9/2022 11:48
said,,Said,,1,,5/9/2022 11:48
salib,,Salib,,1,,5/9/2022 11:48
saliba,,Saliba,,1,,5/9/2022 11:48
samaha,,Samaha,,1,,5/9/2022 11:48
sarraf,,Sarraf,,1,,5/9/2022 11:48
sayegh,,Sayegh,,1,,5/9/2022 11:48
seif,,Seif,,1,,5/9/2022 11:48
shadid,,Shadid,,1,,5/9/2022 11:48
shalhoub,,Shalhoub,,1,,5/9/2022 11:48
shammas,,Shammas,,1,,5/9/2022 11:48
shamon,,Shamon,,1,,5/9/2022 11:48
shamoon,,Shamoon,,1,,5/9/2022 11:48
shamoun,,Shamoun,,1,,5/9/2022 11:48
sleiman,,Sleiman,,1,,5/9/2022 11:48
tahan,,Tahan,,1,,5/9/2022 11:48
tannous,,Tannous,,1,,5/9/2022 11:48
toma,,Toma,,1,,5/9/2022 11:48
totah,,Totah,,1,,5/9/2022 11:48
touma,,Touma,,1,,5/9/2022 11:48
tuma,,Tuma,,1,,5/9/2022 11:48
wasem,,Wasem,,1,,5/9/2022 11:48
zogby,,Zogby,,1,,5/9/2022 11:48
,,Aamer,,,,
,,Abargil,,,,
,,Abaza,,,,
,,Abbar,,,,
,,Abbas,,,,
,,Abbasi,,,,
,,Abd al-Nur,,,,
,,Abd Manaf,,,,
,,Abdi,,,,
,,Abdil,,,,
,,Abdul,,,,
,,Abdul Samad,,,,
,,Abdullah,,,,
,,Abdulrashid,,,,
,,Abergel,,,,
,,Abidi,,,,
,,Abidin,,,,
,,Abiha,,,,
,,Abitbol,,,,
,,Abiteboul,,,,
,,Aboutaleb,,,,
,,Abouzeid,,,,
,,Abu Hanna,,,,
,,Abu Shaqra,,,,
,,Abulafia,,,,
,,Abumohor,,,,
,,Adeel,,,,
,,Adham,,,,
,,Adib,,,,
,,Adil,,,,
,,Adila,,,,
,,Adli,,,,
,,Adnan,,,,
,,Adwan,,,,
,,Afif,,,,
,,Ahad,,,,
,,Ahmad,,,,
,,Ahmadi,,,,
,,Ahmar,,,,
,,Ahmed,,,,
,,Ahsan,,,,
,,Ajam,,,,
,,Ajami,,,,
,,Ajda,,,,
,,Akif,,,,
,,Akkad,,,,
,,Akram,,,,
,,Aksoy,,,,
,,Al Bu Muhair,,,,
,,Al Gosaibi,,,,
,,Al Hamdan,,,,
,,Al Libi,,,,
,,Al Saud,,,,
,,Al Su'ud,,,,
,,Al Tunaij,,,,
,,al-Abharī,,,,
,,al-Adwan,,,,
,,al-Ahdal,,,,
,,al-Ajlani,,,,
,,al-Alusi,,,,
,,al-Amili,,,,
,,al-Amin,,,,
,,al-Amri,,,,
,,al-Amuli,,,,
,,al-Andalusi,,,,
,,al-Anizi,,,,
,,al-Anzi,,,,
,,al-Ashwal,,,,
,,al-Asiri,,,,
,,al-Atrash,,,,
,,al-Azm,,,,
,,al-Balawi ,,,,
,,al-Balushi,,,,
,,al-Barazi,,,,
,,al-Bariqi,,,,
,,al-Bayati,,,,
,,al-Bishi,,,,
,,al-Dimashqi,,,,
,,al-Enezi,,,,
,,al-Fadhli,,,,
,,al-Farsi,,,,
,,al-Fasi,,,,
,,al-Ghazzawi,,,,
,,al-Habsi,,,,
,,al-Hallaq,,,,
,,al-Harthi,,,,
,,al-Hashim,,,,
,,al-Hashimi,,,,
,,al-Hazmi,,,,
,,al-Hilli,,,,
,,al-Jabiri,,,,
,,al-Jazari ,,,,
,,al-Jazuli,,,,
,,al-Johani,,,,
,,al-Jurjani,,,,
,,al-Katib,,,,
,,al-Khafaji,,,,
,,al-Khatib,,,,
,,al-Khelaifi,,,,
,,al-Kindi ,,,,
,,al-Maghrabi,,,,
,,al-Mardini,,,,
,,al-Marri,,,,
,,al-Masri,,,,
,,al-Mubarak,,,,
,,al-Mufti,,,,
,,al-Mutairi,,,,
,,al-Omari,,,,
,,al-Qadi,,,,
,,al-Qudsi,,,,
,,al-Qurtubi,,,,
,,al-Rajhi,,,,
,,al-Sadr,,,,
,,al-Samarrai,,,,
,,al-Sayyed,,,,
,,al-Shahrani,,,,
,,al-Shamrani,,,,
,,al-Sharekh,,,,
,,al-Shehri,,,,
,,al-Sheikh,,,,
,,al-Shuaibi,,,,
,,al-Sijistani,,,,
,,al-Tabari ,,,,
,,al-Tiflisi,,,,
,,al-Tikriti,,,,
,,al-Turk,,,,
,,al-Tusi,,,,
,,al-Wazir,,,,
,,al-Yasiri,,,,
,,al-Zaffa Clan,,,,
,,al-Zahabi,,,,
,,al-Zahrani,,,,
,,al-Zamel,,,,
,,al-Zawahiri,,,,
,,al-Zayani,,,,
,,al-Zoubi,,,,
,,Alai,,,,
,,Alam,,,,
,,Alavi,,,,
,,Alawi,,,,
,,Alfarsi,,,,
,,Ali,,,,
,,Alim,,,,
,,Alinejad,,,,
,,Allaf,,,,
,,Altaf,,,,
,,Amir,,,,
,,Amjad,,,,
,,Ammar,,,,
,,Amr,,,,
,,Amrani,,,,
,,Anwar ,,,,
,,Arafi,,,,
,,Araiji,,,,
,,Arap,,,,
,,Arazi ,,,,
,,Arfaoui,,,,
,,as-Suwaidi,,,,
,,As'ad,,,,
,,Asad,,,,
,,Asem,,,,
,,Ashhad,,,,
,,Ashour,,,,
,,Aslam,,,,
,,Aslan,,,,
,,Asmar ,,,,
,,Assan ,,,,
,,Assemani,,,,
,,Ata ,,,,
,,Atashi,,,,
,,Atassi,,,,
,,Atif,,,,
,,Atiq,,,,
,,Atiyah,,,,
,,Attar,,,,
,,Attar ,,,,
,,Atwan,,,,
,,Atwi,,,,
,,Aulaqi,,,,
,,Awan ,,,,
,,Ayad,,,,
,,Ayari,,,,
,,Azhar ,,,,
,,Azim,,,,
,,Aziz,,,,
,,Azizul,,,,
,,Azmy,,,,
,,Badat,,,,
,,Badawi,,,,
,,Badem,,,,
,,Badir,,,,
,,Badr,,,,
,,Badri,,,,
,,Baghdadi,,,,
,,Baha,,,,
,,Baha ,,,,
,,Bahij,,,,
,,Bahjat,,,,
,,Bahri,,,,
,,Bakir,,,,
,,Bakkal,,,,
,,Barad ,,,,
,,Barakat ,,,,
,,Barghouti,,,,
,,Barjas ,,,,
,,Barmada,,,,
,,Barzegar,,,,
,,Bashar,,,,
,,Bashir,,,,
,,Basma ,,,,
,,Basri,,,,
,,Batma,,,,
,,Bboulos,,,,
,,Bedul,,,,
,,Belhocine,,,,
,,Belkacem,,,,
,,Belkadi,,,,
,,Ben Yahia,,,,
,,Benaldjia,,,,
,,Benayoun,,,,
,,Benguigui,,,,
,,Bennouna,,,,
,,Bensaïd,,,,
,,Bensoussan,,,,
,,Benyamina,,,,
,,Bettayeb,,,,
,,Bilal ,,,,
,,Binici,,,,
,,Bouazizi,,,,
,,Bouhouche,,,,
,,Boukacem,,,,
,,Bousaid,,,,
,,Boushaki,,,,
,,Boustani,,,,
,,Bseiso,,,,
,,Bukhari ,,,,
,,Burakgazi,,,,
,,Burhan,,,,
,,Çelik,,,,
,,Chahuán,,,,
,,Chaibi,,,,
,,Chakroun,,,,
,,Chalhoub,,,,
,,Chamas,,,,
,,Chamoun,,,,
,,Charmchi,,,,
,,Chatti ,,,,
,,Chebli ,,,,
,,Chishti,,,,
,,Dabbagh,,,,
,,Dabbas ,,,,
,,Dahdah,,,,
,,Daivari,,,,
,,Damji,,,,
,,Dandachi,,,,
,,Daou ,,,,
,,Darwish,,,,
,,Darzi,,,,
,,Dawoud,,,,
,,Degirmenci,,,,
,,Dehlavi,,,,
,,Demir,,,,
,,Demirci,,,,
,,Diab ,,,,
,,Didouche,,,,
,,Din ,,,,
,,Dudin,,,,
,,Dziri,,,,
,,Ebeid,,,,
,,Ebrahimi,,,,
,,Eid ,,,,
,,Ekmekçi,,,,
,,El Fassi,,,,
,,El Guindi ,,,,
,,El Hammamy,,,,
,,El Taib,,,,
,,el-Amin,,,,
,,el-Baz,,,,
,,el-Ghazzawy,,,,
,,el-Hashem,,,,
,,el-Mofty,,,,
,,el-Shennawi,,,,
,,Elaraby,,,,
,,Elharar,,,,
,,Elmaleh,,,,
,,Elyounoussi,,,,
,,Entezam,,,,
,,Erakat,,,,
,,Fadel,,,,
,,Faez,,,,
,,Faheem,,,,
,,Fahimi,,,,
,,Fahmi,,,,
,,Fahri,,,,
,,Faizan,,,,
,,Fakhr,,,,
,,Fares ,,,,
,,Farhat,,,,
,,Farhi,,,,
,,Farid,,,,
,,Farooq,,,,
,,Farooqui,,,,
,,Farrugia,,,,
,,Fasih,,,,
,,Fawzi,,,,
,,Fayed,,,,
,,Fazil,,,,
,,Ferchichi,,,,
,,Filali,,,,
,,Fitoussi,,,,
,,Gaddafi ,,,,
,,Gamil ,,,,
,,Gazzah ,,,,
,,Gebran ,,,,
,,Ghafour,,,,
,,Ghali,,,,
,,Ghamd,,,,
,,Ghanem,,,,
,,Ghannouchi,,,,
,,Gharsallah,,,,
,,Ghattas,,,,
,,Ghaus,,,,
,,Ghazali,,,,
,,Ghazzawi,,,,
,,Ghulam,,,,
,,Girgis,,,,
,,Habib,,,,
,,Habibi ,,,,
,,Habus,,,,
,,Haddaoui,,,,
,,Hadi,,,,
,,Hadid ,,,,
,,Hadrami,,,,
,,Hafeez,,,,
,,Hagigat,,,,
,,Hajj ,,,,
