Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
— ,— ,— ,— ,— ,— ,— 
aanakwad,,Aanakwad,,1,,5/9/2022 11:48
adsila,,Adsila,,1,,5/9/2022 11:48
ailen,,Ailen,,1,,5/9/2022 11:48
aiyana,,Aiyana,,1,,5/9/2022 11:48
ajei,,Ajei,,1,,5/9/2022 11:48
ameohne'e,,Ameohne'e,,1,,5/9/2022 11:48
ameyalli,,Ameyalli,,1,,5/9/2022 11:48
anangikwe,,Anangikwe,,1,,5/9/2022 11:48
anayeli,,Anayeli,,1,,5/9/2022 11:48
apanii,,Apanii,,1,,5/9/2022 11:48
aponi,,Aponi,,1,,5/9/2022 11:48
arnaq,,Arnaq,,1,,5/9/2022 11:48
asiri,,Asiri,,1,,5/9/2022 11:48
atepa,,Atepa,,1,,5/9/2022 11:48
aviaaja,,Aviaaja,,1,,5/9/2022 11:48
awee,,Awee,,1,,5/9/2022 11:48
awinita,,Awinita,,1,,5/9/2022 11:48
ayelen,,Ayelen,,1,,5/9/2022 11:48
aylen,,Aylen,,1,,5/9/2022 11:48
ayün,,Ayün,,1,,5/9/2022 11:48
calfuray,,Calfuray,,1,,5/9/2022 11:48
catori,,Catori,,1,,5/9/2022 11:48
chenoa,,Chenoa,,1,,5/14/2024 2:16
cipactli,,Cipactli,,1,,5/14/2024 2:16
citlali,,Citlali,,1,,5/14/2024 2:16
citlalli,,Citlalli,,1,,5/14/2024 2:16
dehgewanus,,Dehgewanus,,1,,5/14/2024 2:16
dena,,Dena,,1,,5/14/2024 2:16
dezba,,Dezba,,1,,5/14/2024 2:16
diindiisi,,Diindiisi,,1,,5/14/2024 2:16
dos-teh-seh,,Dos-teh-seh,,1,,5/14/2024 2:16
dyani,,Dyani,,1,,5/14/2024 2:16
eluney,,Eluney,,1,,5/14/2024 2:16
enola,,Enola,,1,,5/14/2024 2:16
eseeva'e,,Eseeva'e,,1,,5/14/2024 2:16
galilahi,,Galilahi,,1,,5/14/2024 2:16
giiwedinokwe,,Giiwedinokwe,,1,,5/14/2024 2:16
gouyen,,Gouyen,,1,,5/14/2024 2:16
guwisti,,Guwisti,,1,,5/14/2024 2:16
ha-o-zinne,,Ha-o-zinne,,1,,5/14/2024 2:16
halona,,Halona,,1,,5/14/2024 2:16
hauzini,,Hauzini,,1,,5/14/2024 2:16
ho'otseoo'e,,Ho'otseoo'e,,1,,5/14/2024 2:16
iara,,Iara,,1,,5/14/2024 2:16
iina,,Iina,,1,,5/14/2024 2:16
imala,,Imala,,1,,5/14/2024 2:16
inola,,Inola,,1,,5/14/2024 2:16
iqaluk,,Iqaluk,,1,,5/14/2024 2:16
iracema,,Iracema,,1,,5/14/2024 2:16
isi,,Isi,,1,,5/14/2024 2:16
itzel,,Itzel,,1,,5/14/2024 2:16
ivaana,,Ivaana,,1,,5/14/2024 2:16
ivalu,,Ivalu,,1,,5/14/2024 2:16
ixchel,,Ixchel,,1,,5/14/2024 2:16
jaci,,Jaci,,1,,5/14/2024 2:16
jacira,,Jacira,,1,,5/14/2024 2:16
jeruti,,Jeruti,,1,,5/14/2024 2:16
kaniehtiio,,Kaniehtiio,,1,,5/14/2024 2:16
kantuta,,Kantuta,,1,,5/14/2024 2:16
kasa,,Kasa,,1,,5/14/2024 2:16
kawisenhawe,,Kawisenhawe,,1,,5/14/2024 2:16
kenojuak,,Kenojuak,,1,,5/14/2024 2:16
killa,,Killa,,1,,5/14/2024 2:16
kimi,,Kimi,,1,,5/14/2024 2:16
kiminela,,Kiminela,,1,,5/14/2024 2:16
kimmernaq,,Kimmernaq,,1,,5/14/2024 2:16
leotie,,Leotie,,1,,5/14/2024 2:16
licarayen,,Licarayen,,1,,5/14/2024 2:16
lihuén,,Lihuén,,1,,5/14/2024 2:16
liwen,,Liwen,,1,,5/14/2024 2:16
lulu,,Lulu,,1,,5/14/2024 2:16
ma'evehpota'e,,Ma'evehpota'e,,1,,5/14/2024 2:16
mahpiya,,Mahpiya,,1,,5/14/2024 2:16
mai,,Mai,,1,,5/14/2024 2:16
maiara,,Maiara,,1,,5/14/2024 2:16
malinalli,,Malinalli,,1,,5/14/2024 2:16
methoataske,,Methoataske,,1,,5/14/2024 2:16
metztli,,Metztli,,1,,5/14/2024 2:16
meztli,,Meztli,,1,,5/14/2024 2:16
miigwan,,Miigwan,,1,,5/14/2024 2:16
miillaaraq,,Miillaaraq,,1,,5/14/2024 2:16
millaray,,Millaray,,1,,5/14/2024 2:16
minik,,Minik,,1,,5/14/2024 2:16
miski,,Miski,,1,,5/14/2024 2:16
mokee'e,,Mokee'e,,1,,5/14/2024 2:16
naasunnguaq,,Naasunnguaq,,1,,5/14/2024 2:16
nadie,,Nadie,,1,,5/14/2024 2:16
naira,,Naira,,1,,5/14/2024 2:16
naja,,Naja,,1,,5/14/2024 2:16
nakoma,,Nakoma,,1,,5/14/2024 2:16
nanabah,,Nanabah,,1,,5/14/2024 2:16
nauja,,Nauja,,1,,5/14/2024 2:16
nayeli,,Nayeli,,1,,5/14/2024 2:16
neohne'e,,Neohne'e,,1,,5/14/2024 2:16
nicte,,Nicte,,1,,5/14/2024 2:16
nina,,Nina,,1,,5/14/2024 2:16
nindaanis,,Nindaanis,,1,,5/14/2024 2:16
nipisiy,,Nipisiy,,1,,5/14/2024 2:16
nita,,Nita,,1,,5/14/2024 2:16
nivi,,Nivi,,1,,5/14/2024 2:16
niviarsiaq,,Niviarsiaq,,1,,5/14/2024 2:16
nizhóní,,Nizhóní,,1,,5/14/2024 2:16
nonhelema,,Nonhelema,,1,,5/14/2024 2:16
nova,,Nova,,1,,5/14/2024 2:16
nuka,,Nuka,,1,,5/14/2024 2:16
pahoevotona'e,,Pahoevotona'e,,1,,5/14/2024 2:16
paninnguaq,,Paninnguaq,,1,,5/14/2024 2:16
payne,,Payne,,1,,5/14/2024 2:16
piloqutinnguaq,,Piloqutinnguaq,,1,,5/14/2024 2:16
pipaluk,,Pipaluk,,1,,5/14/2024 2:16
pitseolak,,Pitseolak,,1,,5/14/2024 2:16
pitsiulaaq,,Pitsiulaaq,,1,,5/14/2024 2:16
pittiulaaq,,Pittiulaaq,,1,,5/14/2024 2:16
poloma,,Poloma,,1,,5/14/2024 2:16
qinnuajuaq,,Qinnuajuaq,,1,,5/14/2024 2:16
quetzalli,,Quetzalli,,1,,5/14/2024 2:16
quispe,,Quispe,,1,,5/14/2024 2:16
rayen,,Rayen,,1,,5/14/2024 2:16
sacnicte,,Sacnicte,,1,,5/14/2024 2:16
sacnite,,Sacnite,,1,,5/14/2024 2:16
sayen,,Sayen,,1,,5/14/2024 2:16
shandiin,,Shandiin,,1,,5/14/2024 2:16
shikoba,,Shikoba,,1,,5/14/2024 2:16
siqiniq,,Siqiniq,,1,,5/14/2024 2:16
sissinnguaq,,Sissinnguaq,,1,,5/14/2024 2:16
sons-ee-ah-ray,,Sons-ee-ah-ray,,1,,5/14/2024 2:16
tagwanibisan,,Tagwanibisan,,1,,5/14/2024 2:16
tamya,,Tamya,,1,,5/14/2024 2:16
taqqiq,,Taqqiq,,1,,5/14/2024 2:16
tarqik,,Tarqik,,1,,5/14/2024 2:16
tashina,,Tashina,,1,,5/14/2024 2:16
tayanita,,Tayanita,,1,,5/14/2024 2:16
tekakwitha,,Tekakwitha,,1,,5/14/2024 2:16
tiriaq,,Tiriaq,,1,,5/14/2024 2:16
tlalli,,Tlalli,,1,,5/14/2024 2:16
tonalli,,Tonalli,,1,,5/14/2024 2:16
topusana,,Topusana,,1,,5/14/2024 2:16
tulugaq,,Tulugaq,,1,,5/14/2024 2:16
tupaarnaq,,Tupaarnaq,,1,,5/14/2024 2:16
tuta,,Tuta,,1,,5/14/2024 2:16
uiara,,Uiara,,1,,5/14/2024 2:16
ujarak,,Ujarak,,1,,5/14/2024 2:16
ukaleq,,Ukaleq,,1,,5/14/2024 2:16
ulloriaq,,Ulloriaq,,1,,5/14/2024 2:16
urpi,,Urpi,,1,,5/14/2024 2:16
vanaheo'o,,Vanaheo'o,,1,,5/14/2024 2:16
ve'keseha'e,,Ve'keseha'e,,1,,5/14/2024 2:16
voestaa'e,,Voestaa'e,,1,,5/14/2024 2:16
vonahe'e,,Vonahe'e,,1,,5/14/2024 2:16
walela,,Walela,,1,,5/14/2024 2:16
wambdi,,Wambdi,,1,,5/14/2024 2:16
wambli,,Wambli,,1,,5/14/2024 2:16
wapanacahkos,,Wapanacahkos,,1,,5/14/2024 2:16
wenona,,Wenona,,1,,5/14/2024 2:16
winona,,Winona,,1,,5/14/2024 2:16
xiadani,,Xiadani,,1,,5/14/2024 2:16
xitlalli,,Xitlalli,,1,,5/14/2024 2:16
xóchilt,,Xóchilt,,1,,5/14/2024 2:16
xochiquetzal,,Xochiquetzal,,1,,5/14/2024 2:16
xochitl,,Xochitl,,1,,5/14/2024 2:16
xóchitl,,Xóchitl,,1,,5/14/2024 2:16
xquenda,,Xquenda,,1,,5/14/2024 2:16
yara,,Yara,,1,,5/14/2024 2:16
yatzil,,Yatzil,,1,,5/14/2024 2:16
yaxkin,,Yaxkin,,1,,5/14/2024 2:16
yeruti,,Yeruti,,1,,5/14/2024 2:16
yolotl,,Yolotl,,1,,5/14/2024 2:16
yolotli,,Yolotli,,1,,5/14/2024 2:16
yolotzin,,Yolotzin,,1,,5/14/2024 2:16
yoloxochitl,,Yoloxochitl,,1,,5/14/2024 2:16
ysapy,,Ysapy,,1,,5/14/2024 2:16
yuraq,,Yuraq,,1,,5/14/2024 2:16
zazil,,Zazil,,1,,5/14/2024 2:16
zeltzin,,Zeltzin,,1,,5/14/2024 2:16
zitkala,,Zitkala,,1,,5/14/2024 2:16
zyanya,,Zyanya,,1,,5/14/2024 2:16
