Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
— ,— ,— ,— ,— ,— ,— 
peyak,,Peyak,,1,,5/9/2022 11:48
tapu,,Tapu,,1,,5/9/2022 11:48
nas,,Nas,,1,,5/9/2022 11:48
niewi,,Niewi,,1,,5/9/2022 11:48
alenia,,Alenia,,1,,5/9/2022 11:48
alemwa,,Alemwa,,1,,5/9/2022 11:48
kisomma,,Ki'somma,,1,,5/9/2022 11:48
nipahem,,Nipahem,,1,,5/9/2022 11:48
nebi,,Nebi,,1,,5/9/2022 11:48
wapi,,Wapi,,1,,5/9/2022 11:48
wisaw,,Wisaw,,1,,5/9/2022 11:48
mekwi,,Mekwi,,1,,5/9/2022 11:48
seke,,Seke,,1,,5/9/2022 11:48
mitsu,,Mitsu,,1,,5/9/2022 11:48
namito,,Namito,,1,,5/9/2022 11:48
nutomon,,Nutomon,,1,,5/9/2022 11:48
nakamo,,Nakamo,,1,,5/9/2022 11:48
matcaw,,Matcaw,,1,,5/9/2022 11:48
chaske,,Chaske,,1,,5/9/2022 11:48
chetan,,Chetan,,1,,5/9/2022 11:48
magi,,Magi,,1,,5/9/2022 11:48
ataian,,Ataian,,1,,5/9/2022 11:48
biyen,,Biyen,,1,,5/9/2022 11:48
achak,,Achak,,1,,5/9/2022 11:48
adahy,,Adahy,,1,,5/9/2022 11:48
ahanu,,Ahanu,,1,,5/9/2022 11:48
ahusaka,,Ahusaka,,1,,5/9/2022 11:48
ashkii,,Ashkii,,1,,5/9/2022 11:48
bidziil,,Bidziil,,1,,5/9/2022 11:48
bodaway,,Bodaway,,1,,5/9/2022 11:48
chaska,,Chaska,,1,,5/9/2022 11:48
chayton,,Chayton,,1,,5/9/2022 11:48
cheveyo,,Cheveyo,,1,,5/9/2022 11:48
dasan,,Dasan,,1,,5/9/2022 11:48
demothi,,Demothi,,1,,5/9/2022 11:48
dohasan,,Dohasan,,1,,5/9/2022 11:48
elan,,Elan,,1,,5/9/2022 11:48
etu,,Etu,,1,,5/9/2022 11:48
hakan,,Hakan,,1,,5/9/2022 11:48
ki'somma,,Aanakwad,,,,5/9/2022 11:48
,,Adawosgi,,,,
,,Aenoheso,,,,
,,Ahtahkakoop,,,,
,,Ahuludegi,,,,
,,Akicita,,,,
,,Amaru,,,,
,,Amaruq,,,,
,,Animikii,,,,
,,Antiman,,,,
,,Antinanco,,,,
,,Aputsiaq,,,,
,,Aqissiaq,,,,
,,Atahualpa,,,,
,,Aucaman,,,,
,,Awee,,,,
,,Baishan,,,,
,,Balam,,,,
,,Bira,,,,
,,Catahecassa,,,,
,,Cauã,,,,
,,Cauan,,,,
,,Cipactli,,,,
,,Cochise,,,,
,,Cowessess,,,,
,,Cuauhtemoc,,,,
,,Cuauhtémoc,,,,
,,Dasoda-hae,,,,
,,Degataga,,,,
,,Diindiisi,,,,
,,Ehecatl,,,,
,,Eluney,,,,
,,Gian-nah-tah,,,,
,,Giiwedin,,,,
,,Goyaalé,,,,
,,Goyathlay,,,,
,,Hastiin,,,,
,,Hiawatha,,,,
,,Hokolesqua,,,,
,,Inti,,,,
,,Inuk,,,,
,,Inunnguaq,,,,
,,Iqaluk,,,,
,,Isapo-Muxika,,,,
,,Isi,,,,
,,Itzamna,,,,
,,Itzcoatl,,,,
,,Ivaaq,,,,
,,Jaci,,,,
,,Kaneonuskatew,,,,
,,Kauã,,,,
,,Kauan,,,,
,,Kawacatoose,,,,
,,Kenojuak,,,,
,,Kisecawchuck,,,,
,,Klah,,,,
,,Lalawethika,,,,
,,Lautaro,,,,
,,Lef-Traru,,,,
,,Lihuén,,,,
,,Liwen,,,,
,,Ma'ome,,,,
,,Ma'tano,,,,
,,Mahihkan,,,,
,,Mahpiya,,,,
,,Malik,,,,
,,Maquinna,,,,
,,Mekaisto,,,,
,,Meona'hane,,,,
,,Miigwan,,,,
,,Minik,,,,
,,Mistawasis,,,,
,,Moacir,,,,
,,Moctezuma,,,,
,,Montezuma,,,,
,,Motecuhzoma,,,,
,,Mupitsukupu,,,,
,,Muscowequan,,,,
,,Nahuel,,,,
,,Naiche,,,,
,,Nanook,,,,
,,Nanuk,,,,
,,Nanuq,,,,
,,Nawel,,,,
,,Nehuén,,,,
,,Newen,,,,
,,Noodin,,,,
,,Notah,,,,
,,Nuka,,,,
,,Odeserundiye,,,,
,,Ohiyesa,,,,
,,Ojigkwanong,,,,
,,Onangwatgo,,,,
,,Pachacútec,,,,
,,Pachakutiq,,,,
,,Payne,,,,
,,Pitikwahanapiwiyin,,,,
,,Pitseolak,,,,
,,Pitsiulaaq,,,,
,,Pittiulaaq,,,,
,,Potsunakwahipu,,,,
,,Qillaq,,,,
,,Qinnuajuaq,,,,
,,Quanah,,,,
,,Quidel,,,,
,,Quispe,,,,
,,Salik,,,,
,,Sequoyah,,,,
,,Sganyodaiyo,,,,
,,Shandiin,,,,
,,Shenandoah,,,,
,,Shikoba,,,,
,,Skenandoa,,,,
,,Tahlako,,,,
,,Taqqiq,,,,
,,Tarqik,,,,
,,Tasunka,,,,
,,Tatanka,,,,
,,Tecumseh,,,,
,,Tenskwatawa,,,,
,,Tessouat,,,,
,,Tiriaq,,,,
,,Tlaloc,,,,
,,Tonalli,,,,
,,Tonatiuh,,,,
,,Tosahwi,,,,
,,Tuhuyakwahipu,,,,
,,Tulugaq,,,,
,,Túpac,,,,
,,Tupaq,,,,
,,Ubirajara,,,,
,,Ujarak,,,,
,,Ujaraq,,,,
,,Ulloriaq,,,,
,,Ve'keseheveho,,,,
,,Wahunsenacawh,,,,
,,Waman,,,,
,,Wambdi,,,,
,,Wambli,,,,
,,Wapasha,,,,
,,Wawatam,,,,
,,Wayna,,,,
,,Wayra,,,,
,,Wickaninnish,,,,
,,Willka,,,,
,,Xquenda,,,,
,,Yaxkin,,,,
,,Yolotl,,,,
,,Yolotli,,,,
,,Yolotzin,,,,
,,Yonaguska,,,,
,,Yuraq,,,,
