Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
— ,— ,— ,— ,— ,— ,— 
begay,,Begay,,1,,5/9/2022 11:48
cardinal,,Cardinal,,1,,5/9/2022 11:48
deloria,,Deloria,,1,,5/9/2022 11:48
echohawk,,Echohawk,,1,,5/9/2022 11:48
harjo,,Harjo,,1,,5/9/2022 11:48
mankiller,,Mankiller,,1,,5/9/2022 11:48
nakos,,Nakos,,1,,5/9/2022 11:48
tiger,,Tiger,,1,,5/9/2022 11:48
yazzie,,Yazzie,,1,,5/9/2022 11:48
yellow robe,,Yellow Robe,,1,,5/9/2022 11:48
buffalo,,Buffalo,,1,,5/9/2022 11:48
springs,,Springs,,1,,5/9/2022 11:48
,,Aca,,,,
,,Acahua,,,,
,,Acatecatl,,,,
,,Acatl,,,,
,,Acatzihua,,,,
,,Acothley,,,,
,,Adahy,,,,
,,Adakai,,,,
,,Aeneas,,,,
,,Ahoka,,,,
,,Ahtone,,,,
,,Ahuatl,,,,
,,Ahyuini,,,,
,,Ajactle,,,,
,,Akecheta,,,,
,,Alberty,,,,
,,Allooloo,,,,
,,Altaha,,,,
,,Amayo,,,,
,,Amole,,,,
,,Angpetu,,,,
,,Anoki,,,,
,,Apale,,,,
,,Apanecatl,,,,
,,Apaza,,,,
,,Arotaipe,,,,
,,Arrow,,,,
,,Asicksik,,,,
,,Askoak,,,,
,,Astts,,,,
,,Atamaint,,,,
,,Atcitty,,,,
,,Atempa,,,,
,,Atlahua,,,,
,,Atohi,,,,
,,Atsadi,,,,
,,Austenaco,,,,
,,Awiakta,,,,
,,Ayohua,,,,
,,Ayotle,,,,
,,Ayuluk,,,,
,,Ayunerak,,,,
,,Azcatl,,,,
,,Bayayok,,,,
,,Begaye,,,,
,,Bellecourt,,,,
,,Benallie,,,,
,,Benally,,,,
,,Bia,,,,
,,Bitsillie,,,,
,,Bitsilly,,,,
,,Bitsui,,,,
,,Bitsuie,,,,
,,Blackhawk,,,,
,,Blackhorse,,,,
,,Blackplume,,,,
,,Blackrock,,,,
,,Bluerock,,,,
,,Boothill,,,,
,,Bravebird,,,,
,,Brown,,,,
,,Bylilly,,,,
,,Calabaza,,,,
,,Calihua,,,,
,,Can,,,,
,,Canowicakte,,,,
,,Canul,,,,
,,Catawanee,,,,
,,Cehuanocatl,,,,
,,Chapul,,,,
,,Chapulin,,,,
,,Chaska,,,,
,,Chaske,,,,
,,Cheasequah,,,,
,,Chee,,,,
,,Cheechoo,,,,
,,Cheeshahteaumuck,,,,
,,Cheucarama,,,,
,,Chewey,,,,
,,Chihuán,,,,
,,Chiklak,,,,
,,Chimalhua,,,,
,,Chincoya,,,,
,,Choque,,,,
,,Chubbuck,,,,
,,Chumpitaz,,,,
,,Citlalpopoca,,,,
,,Clah,,,,
,,Claw,,,,
,,Claymore,,,,
,,Clitso,,,,
,,Cly,,,,
,,Colque,,,,
,,Comanche,,,,
,,Condori,,,,
,,Coriz,,,,
,,Cosay,,,,
,,Countryman,,,,
,,Coyac,,,,
,,Creepingbear,,,,
,,Crowfoot,,,,
,,Cuautemoc,,,,
,,Cuautli,,,,
,,Daisy,,,,
,,Declay,,,,
,,Decorah,,,,
,,Densman,,,,
,,Descheene,,,,
,,Deschene,,,,
,,Dosela,,,,
,,Dullknife,,,,
,,Eegeesiak,,,,
,,Egoak,,,,
,,Ehecatl,,,,
,,Elachik,,,,
,,Enapay,,,,
,,Enoksen,,,,
,,Escuintla,,,,
,,Etcitty,,,,
,,Etsitty,,,,
,,Filemonsen,,,,
,,Fineday,,,,
,,Fly,,,,
,,Foothill,,,,
,,Galihai,,,,
,,Gawonisgi,,,,
,,Goodluck,,,,
,,Grasshopper,,,,
,,Greyeyes,,,,
,,Guujaaw,,,,
,,Hardluck,,,,
,,Hatahali,,,,
,,Hatahle,,,,
,,Hatathli,,,,
,,Howahkan,,,,
,,Huaman,,,,
,,Huamán,,,,
,,Huanca,,,,
,,Huancahuari,,,,
,,Huapaya,,,,
,,Huehuetenango,,,,
,,Huitzil,,,,
,,Humala,,,,
,,Humetewa,,,,
,,Ignatiussen,,,,
,,Ishtasapa,,,,
,,Johnson,,,,
,,Josytewa,,,,
,,Kahnawake,,,,
,,Kana'ti,,,,
,,Kanagagota,,,,
,,Kanatiqueli,,,,
,,Kanatiquelli,,,,
,,Karasick,,,,
,,Kashatok,,,,
,,Kassaiuli,,,,
,,Kaydahzinne,,,,
,,Kieyoomia,,,,
,,Knife,,,,
,,Kopanuk,,,,
,,Lapahie,,,,
,,Lewis,,,,
,,Lightfoot,,,,
,,Littleshield,,,,
,,Loloma,,,,
,,Lyberth,,,,
,,Maka,,,,
,,Mamani,,,,
,,Maskwa,,,,
,,Mato,,,,
,,Maytwayashing,,,,
,,Mescal,,,,
,,Mikaelsen,,,,
,,Moccasin,,,,
,,Moctezuma,,,,
,,Moytoy,,,,
,,Mungaray,,,,
,,Nakai,,,,
,,Navajo,,,,
,,Nez,,,,
,,Neztsosie,,,,
,,Nic,,,,
,,Noisecat,,,,
,,Nukusuk,,,,
,,Obonsawin,,,,
,,Onacona,,,,
,,Oowaite,,,,
,,Pale,,,,
,,Panzacola,,,,
,,Papaqui,,,,
,,Patkotak,,,,
,,Pegahmagabow,,,,
,,Peshlakai,,,,
,,Pingayak,,,,
,,Pompey,,,,
,,Popoca,,,,
,,Pucuhuaranga,,,,
,,Quispe,,,,
,,Rayetayah,,,,
,,Redbreathbear,,,,
,,Redlightning,,,,
,,Ridesatthedoor,,,,
,,Rideshorse,,,,
,,Ridesthehorse,,,,
,,Riverwind,,,,
,,Saila,,,,
,,Sakagut,,,,
,,Samossen,,,,
,,Samøssen,,,,
,,Samuelsen,,,,
,,Schnekler,,,,
,,Seesequasis,,,,
,,Sekaquaptewa,,,,
,,Shortbull,,,,
,,Sikaattsista,,,,
,,Sikimiotasi,,,,
,,Sikonskiwa,,,,
,,Siksski,,,,
,,Sioux,,,,
,,Sixkiller,,,,
,,Stamiksiipokai,,,,
,,Summerhill,,,,
,,Swiftwater,,,,
,,Tabaaha,,,,
,,Takumjenak,,,,
,,Tanguma,,,,
,,Tapachula,,,,
,,Tapahonso,,,,
,,Taugelchee,,,,
,,Tecuanhuehue,,,,
,,Tenayuca,,,,
,,Tepetl,,,,
,,Tessay,,,,
,,Testawich,,,,
,,Teton,,,,
,,Thunderchild,,,,
,,Thunderhawk,,,,
,,Ticona,,,,
,,Tigre,,,,
,,Tlatilpa,,,,
,,Tlizilani,,,,
,,Toadlena,,,,
,,Tochihuitl,,,,
,,Todachine,,,,
,,Todicheene,,,,
,,Tomaganuk,,,,
,,Tomahawk,,,,
,,Tsinaji,,,,
,,Tsinajinnie,,,,
,,Tsiyi,,,,
,,Tskilekwa,,,,
,,Tsosie,,,,
,,Tulum,,,,
,,Tungwenuk,,,,
,,Tunuchuk,,,,
,,Tunutmoak,,,,
,,Tustenuggee,,,,
,,Tuyuc,,,,
,,Uentillie,,,,
,,Ukiah,,,,
,,Umugak,,,,
,,Utsidihi,,,,
,,Vallad,,,,
,,Vance,,,,
,,Villca,,,,
,,Voeman,,,,
,,Waawaashkeshshi,,,,
,,Wagamese,,,,
,,Wahkan,,,,
,,Walkingbear,,,,
,,Wallowingbull,,,,
,,Wanbli,,,,
,,Warcloud,,,,
,,Wawia,,,,
,,Waya,,,,
,,Weekusk,,,,
,,Wesa,,,,
,,Whitehorse,,,,
,,Whiteplume,,,,
,,Wolfblack,,,,
,,Wolfblood,,,,
,,Xotlanihua,,,,
,,Xuc,,,,
,,Yahgulanaas,,,,
,,Yansa,,,,
,,Yarlequé,,,,
,,Yazzi,,,,
,,Yellowrobe,,,,
,,Yellowtail,,,,
,,Youngblood,,,,
,,Yupanqui,,,,
,,Zitalpopopa,,,,
,,Zuni,,,,
