Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
— ,— ,— ,— ,— ,— ,— 
abbey,,Abbey,,1,,5/9/2022 11:48
abbie,,Abbie,,1,,5/9/2022 11:48
abby,,Abby,,1,,5/9/2022 11:48
abigail,,Abigail,Abby,1,,5/9/2022 11:48
ada,,Ada,,1,,5/9/2022 11:48
adaline,,Adaline,,1,,5/9/2022 11:48
addie,,Addie,,1,,5/9/2022 11:48
addison,,Addison,,1,,5/9/2022 11:48
adela,,Adela,,1,,5/9/2022 11:48
adelaide,,Adelaide,Adi,1,,5/9/2022 11:48
adele,,Adele,,1,,5/9/2022 11:48
adelia,,Adelia,,1,,5/9/2022 11:48
adelina,,Adelina,Addy,1,,5/9/2022 11:48
adeline,,Adeline,Addy,1,,5/9/2022 11:48
adell,,Adell,Addy,1,,5/9/2022 11:48
adella,,Adella,Addy,1,,5/9/2022 11:48
adelle,,Adelle,Addy,1,,5/9/2022 11:48
adelyn,,Adelyn,Addy,1,,5/9/2022 11:48
adelynn,,Adelynn,Addy,1,,5/9/2022 11:48
adria,,Adria,,1,,5/9/2022 11:48
adrian,,Adrian,,1,,5/9/2022 11:48
adriana,,Adriana,,1,,5/9/2022 11:48
adriane,,Adriane,,1,,5/9/2022 11:48
adrianna,,Adrianna,,1,,5/9/2022 11:48
adrianne,,Adrianne,,1,,5/9/2022 11:48
adrienne,,Adrienne,,1,,5/9/2022 11:48
agatha,,Agatha,Aggie,1,,5/9/2022 11:48
agnes,,Agnes,Aggie,1,,5/9/2022 11:48
aida,,Aida,,1,,5/9/2022 11:48
aileen,,Aileen,,1,,5/9/2022 11:48
aimee,,Aimee,,1,,5/9/2022 11:48
ainsley,,Ainsley,,1,,5/9/2022 11:48
aisha,,Aisha,,1,,5/9/2022 11:48
aja,,Aja,,1,,5/9/2022 11:48
alaina,,Alaina,,1,,5/9/2022 11:48
alana,,Alana,,1,,5/9/2022 11:48
alani,,Alani,,1,,5/9/2022 11:48
alanna,,Alanna,,1,,5/9/2022 11:48
alaya,,Alaya,,1,,5/9/2022 11:48
alberta,,Alberta,,1,,5/9/2022 11:48
albertha,,Albertha,,1,,5/9/2022 11:48
albina,,Albina,,1,,5/9/2022 11:48
alda,,Alda,,1,,5/9/2022 11:48
aldona,,Aldona,,1,,5/9/2022 11:48
alecia,,Alecia,,1,,5/9/2022 11:48
aleen,,Aleen,,1,,5/9/2022 11:48
alejandra,,Alejandra,,1,,5/9/2022 11:48
alena,,Alena,,1,,5/9/2022 11:48
alene,,Alene,,1,,5/9/2022 11:48
alesha,,Alesha,,1,,5/9/2022 11:48
aleta,,Aleta,,1,,5/9/2022 11:48
aletha,,Aletha,,1,,5/9/2022 11:48
alexa,,Alexa,Alex,1,,5/9/2022 11:48
alexandra,,Alexandra,Alex,1,,5/9/2022 11:48
alexandria,,Alexandria,Alex,1,,5/9/2022 11:48
alexia,,Alexia,Alex,1,,5/9/2022 11:48
alexis,,Alexis,Alex,1,,5/9/2022 11:48
alfreda,,Alfreda,,1,,5/9/2022 11:48
alice,,Alice,,1,,5/9/2022 11:48
alicia,,Alicia,,1,,5/9/2022 11:48
alina,,Alina,,1,,5/9/2022 11:48
aline,,Aline,,1,,5/9/2022 11:48
alisa,,Alisa,,1,,5/9/2022 11:48
alisha,,Alisha,,1,,5/9/2022 11:48
alison,,Alison,,1,,5/9/2022 11:48
alissa,,Alissa,,1,,5/9/2022 11:48
alivia,,Alivia,,1,,5/9/2022 11:48
allene,,Allene,Alli,1,,5/9/2022 11:48
allie,,Allie,,1,,5/9/2022 11:48
alline,,Alline,Alli,1,,5/9/2022 11:48
allison,,Allison,Alli,1,,5/9/2022 11:48
ally,,Ally,,1,,5/9/2022 11:48
allyson,,Allyson,Ally,1,,5/9/2022 11:48
alma,,Alma,,1,,5/9/2022 11:48
almeda,,Almeda,,1,,5/9/2022 11:48
almeta,,Almeta,,1,,5/9/2022 11:48
alondra,,Alondra,,1,,5/9/2022 11:48
alpha,,Alpha,,1,,5/9/2022 11:48
alta,,Alta,,1,,5/9/2022 11:48
altha,,Altha,,1,,5/9/2022 11:48
althea,,Althea,Thea,1,,5/9/2022 11:48
alva,,Alva,,1,,5/9/2022 11:48
alvera,,Alvera,,1,,5/9/2022 11:48
alverta,,Alverta,,1,,5/9/2022 11:48
alvina,,Alvina,,1,,5/9/2022 11:48
alyce,,Alyce,,1,,5/9/2022 11:48
alycia,,Alycia,,1,,5/9/2022 11:48
alysia,,Alysia,,1,,5/9/2022 11:48
alyson,,Alyson,,1,,5/9/2022 11:48
alyssa,,Alyssa,,1,,5/9/2022 11:48
amalia,,Amalia,,1,,5/9/2022 11:48
amanda,,Amanda,Mandy,1,,5/9/2022 11:48
amani,,Amani,,1,,5/9/2022 11:48
amara,,Amara,,1,,5/9/2022 11:48
amaya,,Amaya,,1,,5/9/2022 11:48
amber,,Amber,,1,,5/9/2022 11:48
amelia,,Amelia,,1,,5/9/2022 11:48
america,,America,,1,,5/9/2022 11:48
ami,,Ami,,1,,5/9/2022 11:48
amie,,Amie,,1,,5/9/2022 11:48
amina,,Amina,,1,,5/9/2022 11:48
amira,,Amira,,1,,5/9/2022 11:48
amiya,,Amiya,,1,,5/9/2022 11:48
amy,,Amy,,1,,5/9/2022 11:48
ana,,Ana,,1,,5/9/2022 11:48
anabel,,Anabel,,1,,5/9/2022 11:48
anahi,,Anahi,,1,,5/9/2022 11:48
anastasia,,Anastasia,Ana,1,,5/9/2022 11:48
andrea,,Andrea,Andie,1,,5/9/2022 11:48
andria,,Andria,Andie,1,,5/9/2022 11:48
angel,,Angel,,1,,5/9/2022 11:48
angela,,Angela,Angie,1,,5/9/2022 11:48
angelia,,Angelia,Angie,1,,5/9/2022 11:48
angelica,,Angelica,Angie,1,,5/9/2022 11:48
angelina,,Angelina,Angie,1,,5/9/2022 11:48
angeline,,Angeline,Angie,1,,5/9/2022 11:48
angelique,,Angelique,Angie,1,,5/9/2022 11:48
angelita,,Angelita,Angie,1,,5/9/2022 11:48
angie,,Angie,,1,,5/9/2022 11:48
anika,,Anika,,1,,5/9/2022 11:48
anita,,Anita,,1,,5/9/2022 11:48
ann,,Ann,,1,,5/9/2022 11:48
anna,,Anna,,1,,5/9/2022 11:48
annabel,,Annabel,Anna,1,,5/9/2022 11:48
annabell,,Annabell,Anna,1,,5/9/2022 11:48
annabella,,Annabella,Anna,1,,5/9/2022 11:48
annabelle,,Annabelle,Anna,1,,5/9/2022 11:48
annalee,,Annalee,Anna,1,,5/9/2022 11:48
annalise,,Annalise,Anna,1,,5/9/2022 11:48
annamae,,Annamae,Anna,1,,5/9/2022 11:48
annamarie,,Annamarie,Anna,1,,5/9/2022 11:48
anne,,Anne,,1,,5/9/2022 11:48
annemarie,,Annemarie,Anne,1,,5/9/2022 11:48
annetta,,Annetta,Annie,1,,5/9/2022 11:48
annette,,Annette,Annie,1,,5/9/2022 11:48
annie,,Annie,,1,,5/9/2022 11:48
annika,,Annika,,1,,5/9/2022 11:48
annis,,Annis,,1,,5/9/2022 11:48
annmarie,,Annmarie,,1,,5/9/2022 11:48
ansley,,Ansley,,1,,5/9/2022 11:48
antoinette,,Antoinette,,1,,5/9/2022 11:48
antonette,,Antonette,,1,,5/9/2022 11:48
antonia,,Antonia,,1,,5/9/2022 11:48
anya,,Anya,,1,,5/9/2022 11:48
april,,April,,1,,5/9/2022 11:48
arabella,,Arabella,,1,,5/9/2022 11:48
araceli,,Araceli,,1,,5/9/2022 11:48
ardell,,Ardell,,1,,5/9/2022 11:48
ardella,,Ardella,,1,,5/9/2022 11:48
ardis,,Ardis,,1,,5/9/2022 11:48
ardith,,Ardith,,1,,5/9/2022 11:48
arely,,Arely,,1,,5/9/2022 11:48
aria,,Aria,,1,,5/9/2022 11:48
ariana,,Ariana,,1,,5/9/2022 11:48
ariel,,Ariel,,1,,5/9/2022 11:48
ariella,,Ariella,,1,,5/9/2022 11:48
arielle,,Arielle,,1,,5/9/2022 11:48
arleen,,Arleen,,1,,5/9/2022 11:48
arlene,,Arlene,,1,,5/9/2022 11:48
arline,,Arline,,1,,5/9/2022 11:48
artie,,Artie,,1,,5/9/2022 11:48
arvilla,,Arvilla,,1,,5/9/2022 11:48
arya,,Arya,,1,,5/9/2022 11:48
ashanti,,Ashanti,Ash,1,,5/9/2022 11:48
ashlee,,Ashlee,Ash,1,,5/9/2022 11:48
ashleigh,,Ashleigh,Ash,1,,5/9/2022 11:48
ashley,,Ashley,Ash,1,,5/9/2022 11:48
ashlie,,Ashlie,Ash,1,,5/9/2022 11:48
ashlyn,,Ashlyn,Ash,1,,5/9/2022 11:48
ashlynn,,Ashlynn,Ash,1,,5/9/2022 11:48
asia,,Asia,,1,,5/9/2022 11:48
aspen,,Aspen,Penny,1,,5/9/2022 11:48
astrid,,Astrid,,1,,5/9/2022 11:48
athena,,Athena,,1,,5/9/2022 11:48
aubree,,Aubree,,1,,5/9/2022 11:48
aubrey,,Aubrey,,1,,5/9/2022 11:48
aubrie,,Aubrie,,1,,5/9/2022 11:48
aubriella,,Aubriella,Aubrey,1,,5/9/2022 11:48
audie,,Audie,,1,,5/9/2022 11:48
audra,,Audra,,1,,5/9/2022 11:48
audrey,,Audrey,,1,,5/9/2022 11:48
audry,,Audry,,1,,5/9/2022 11:48
augusta,,Augusta,,1,,5/9/2022 11:48
augustine,,Augustine,,1,,5/9/2022 11:48
aurelia,,Aurelia,,1,,5/9/2022 11:48
aurora,,Aurora,,1,,5/9/2022 11:48
autumn,,Autumn,,1,,5/9/2022 11:48
ava,,Ava,,1,,5/9/2022 11:48
avis,,Avis,,1,,5/9/2022 11:48
bailey,,Bailey,,1,,5/9/2022 11:48
bambi,,Bambi,,1,,5/9/2022 11:48
barbara,,Barbara,,1,,5/9/2022 11:48
barbra,,Barbra,,1,,5/9/2022 11:48
baylee,,Baylee,,1,,5/9/2022 11:48
beatrice,,Beatrice,,1,,5/9/2022 11:48
beatrix,,Beatrix,,1,,5/9/2022 11:48
beatriz,,Beatriz,,1,,5/9/2022 11:48
beaulah,,Beaulah,,1,,5/9/2022 11:48
becky,,Becky,,1,,5/9/2022 11:48
belinda,,Belinda,,1,,5/9/2022 11:48
bella,,Bella,,1,,5/9/2022 11:48
belle,,Belle,,1,,5/9/2022 11:48
belva,,Belva,,1,,5/9/2022 11:48
benita,,Benita,,1,,5/9/2022 11:48
bennie,,Bennie,,1,,5/9/2022 11:48
berenice,,Berenice,,1,,5/9/2022 11:48
bernadette,,Bernadette,,1,,5/9/2022 11:48
bernadine,,Bernadine,,1,,5/9/2022 11:48
berneice,,Berneice,,1,,5/9/2022 11:48
bernice,,Bernice,,1,,5/9/2022 11:48
berniece,,Berniece,,1,,5/9/2022 11:48
bernita,,Bernita,,1,,5/9/2022 11:48
berta,,Berta,,1,,5/9/2022 11:48
bertha,,Bertha,,1,,5/9/2022 11:48
bertie,,Bertie,,1,,5/9/2022 11:48
beryl,,Beryl,,1,,5/9/2022 11:48
bess,,Bess,,1,,5/9/2022 11:48
bessie,,Bessie,,1,,5/9/2022 11:48
beth,,Beth,,1,,5/9/2022 11:48
bethany,,Bethany,Beth,1,,5/9/2022 11:48
bethel,,Bethel,Beth,1,,5/9/2022 11:48
betsy,,Betsy,,1,,5/9/2022 11:48
bette,,Bette,,1,,5/9/2022 11:48
bettie,,Bettie,,1,,5/9/2022 11:48
bettina,,Bettina,,1,,5/9/2022 11:48
betty,,Betty,,1,,5/9/2022 11:48
bettye,,Bettye,,1,,5/9/2022 11:48
beulah,,Beulah,,1,,5/9/2022 11:48
beverley,,Beverley,,1,,5/9/2022 11:48
beverly,,Beverly,,1,,5/9/2022 11:48
bianca,,Bianca,,1,,5/9/2022 11:48
billie,,Billie,,1,,5/9/2022 11:48
billy,,Billy,,1,,5/9/2022 11:48
birdie,,Birdie,,1,,5/9/2022 11:48
blair,,Blair,,1,,5/9/2022 11:48
blakely,,Blakely,,1,,5/9/2022 11:48
blanca,,Blanca,,1,,5/9/2022 11:48
blanch,,Blanch,,1,,5/9/2022 11:48
blanche,,Blanche,,1,,5/9/2022 11:48
blossom,,Blossom,,1,,5/9/2022 11:48
bobbi,,Bobbi,,1,,5/9/2022 11:48
bobbie,,Bobbie,,1,,5/9/2022 11:48
bobby,,Bobby,,1,,5/9/2022 11:48
bonita,,Bonita,,1,,5/9/2022 11:48
bonnie,,Bonnie,,1,,5/9/2022 11:48
bonny,,Bonny,,1,,5/9/2022 11:48
brandee,,Brandee,,1,,5/9/2022 11:48
brandi,,Brandi,,1,,5/9/2022 11:48
brandie,,Brandie,,1,,5/9/2022 11:48
brandy,,Brandy,,1,,5/9/2022 11:48
breanna,,Breanna,,1,,5/9/2022 11:48
breanne,,Breanne,Anne,1,,5/9/2022 11:48
bree,,Bree,,1,,5/9/2022 11:48
brenda,,Brenda,,1,,5/9/2022 11:48
brenna,,Brenna,,1,,5/9/2022 11:48
bria,,Bria,,1,,5/9/2022 11:48
briana,,Briana,Ana,1,,5/9/2022 11:48
brianna,,Brianna,Anna,1,,5/9/2022 11:48
