Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
— ,— ,— ,— ,— ,— ,— 
aaron,,Aaron,,1,,5/9/2022 11:48
abdul,,Abdul,,1,,5/9/2022 11:48
abe,,Abe,,1,,5/9/2022 11:48
abel,,Abel,,1,,5/9/2022 11:48
abner,,Abner,,1,,5/9/2022 11:48
abraham,,Abraham,Abe,1,,5/9/2022 11:48
abram,,Abram,,1,,5/9/2022 11:48
ace,,Ace,,1,,5/9/2022 11:48
adam,,Adam,,1,,5/9/2022 11:48
adan,,Adan,,1,,5/9/2022 11:48
addison,,Addison,,1,,5/9/2022 11:48
adelbert,,Adelbert,,1,,5/9/2022 11:48
aden,,Aden,,1,,5/9/2022 11:48
adrain,,Adrain,,1,,5/9/2022 11:48
adrian,,Adrian,,1,,5/9/2022 11:48
agustin,,Agustin,,1,,5/9/2022 11:48
ahmad,,Ahmad,,1,,5/9/2022 11:48
ahmed,,Ahmed,,1,,5/9/2022 11:48
aidan,,Aidan,,1,,5/9/2022 11:48
aiden,,Aiden,,1,,5/9/2022 11:48
al,,Al,,1,,5/9/2022 11:48
alan,,Alan,,1,,5/9/2022 11:48
albert,,Albert,Al,1,,5/9/2022 11:48
alberto,,Alberto,Al,1,,5/9/2022 11:48
albin,,Albin,Al,1,,5/9/2022 11:48
alden,,Alden,,1,,5/9/2022 11:48
aldo,,Aldo,,1,,5/9/2022 11:48
alec,,Alec,,1,,5/9/2022 11:48
alejandro,,Alejandro,,1,,5/9/2022 11:48
alex,,Alex,,1,,5/9/2022 11:48
alexander,,Alexander,Alex,1,,5/9/2022 11:48
alexis,,Alexis,Alex,1,,5/9/2022 11:48
alfonso,,Alfonso,Alfie,1,,5/9/2022 11:48
alfonzo,,Alfonzo,Alfie,1,,5/9/2022 11:48
alford,,Alford,,1,,5/9/2022 11:48
alfred,,Alfred,,1,,5/9/2022 11:48
alfredo,,Alfredo,,1,,5/9/2022 11:48
ali,,Ali,,1,,5/9/2022 11:48
allan,,Allan,,1,,5/9/2022 11:48
allen,,Allen,,1,,5/9/2022 11:48
allie,,Allie,,1,,5/9/2022 11:48
allison,,Allison,,1,,5/9/2022 11:48
almon,,Almon,,1,,5/9/2022 11:48
alois,,Alois,,1,,5/9/2022 11:48
alonso,,Alonso,,1,,5/9/2022 11:48
alonza,,Alonza,,1,,5/9/2022 11:48
alonzo,,Alonzo,,1,,5/9/2022 11:48
aloysius,,Aloysius,,1,,5/9/2022 11:48
alphonse,,Alphonse,Alfie,1,,5/9/2022 11:48
alphonso,,Alphonso,Alfie,1,,5/9/2022 11:48
alton,,Alton,,1,,5/9/2022 11:48
alva,,Alva,,1,,5/9/2022 11:48
alvaro,,Alvaro,,1,,5/9/2022 11:48
alvie,,Alvie,,1,,5/9/2022 11:48
alvin,,Alvin,,1,,5/9/2022 11:48
alvis,,Alvis,,1,,5/9/2022 11:48
ambrose,,Ambrose,,1,,5/9/2022 11:48
americo,,Americo,,1,,5/9/2022 11:48
amir,,Amir,,1,,5/9/2022 11:48
amit,,Amit,,1,,5/9/2022 11:48
amos,,Amos,,1,,5/9/2022 11:48
anderson,,Anderson,Andy,1,,5/9/2022 11:48
andrae,,Andrae,Andy,1,,5/9/2022 11:48
andre,,Andre,Andy,1,,5/9/2022 11:48
andrea,,Andrea,Andy,1,,5/9/2022 11:48
andreas,,Andreas,Andy,1,,5/9/2022 11:48
andres,,Andres,Andy,1,,5/9/2022 11:48
andrew,,Andrew,Andy,1,,5/9/2022 11:48
andy,,Andy,,1,,5/9/2022 11:48
angel,,Angel,,1,,5/9/2022 11:48
angelo,,Angelo,,1,,5/9/2022 11:48
angus,,Angus,,1,,5/9/2022 11:48
anson,,Anson,,1,,5/9/2022 11:48
anthony,,Anthony,Tony,1,,5/9/2022 11:48
antione,,Antione,Tony,1,,5/9/2022 11:48
antoine,,Antoine,Tony,1,,5/9/2022 11:48
anton,,Anton,Tony,1,,5/9/2022 11:48
antone,,Antone,Tony,1,,5/9/2022 11:48
antonio,,Antonio,Tony,1,,5/9/2022 11:48
antony,,Antony,Tony,1,,5/9/2022 11:48
antwain,,Antwain,,1,,5/9/2022 11:48
antwan,,Antwan,,1,,5/9/2022 11:48
antwon,,Antwon,,1,,5/9/2022 11:48
apollo,,Apollo,,1,,5/9/2022 11:48
arch,,Arch,,1,,5/9/2022 11:48
archer,,Archer,,1,,5/9/2022 11:48
archibald,,Archibald,Archie,1,,5/9/2022 11:48
archie,,Archie,,1,,5/9/2022 11:48
ardell,,Ardell,,1,,5/9/2022 11:48
arden,,Arden,,1,,5/9/2022 11:48
ari,,Ari,,1,,5/9/2022 11:48
arian,,Arian,,1,,5/9/2022 11:48
aric,,Aric,,1,,5/9/2022 11:48
ariel,,Ariel,,1,,5/9/2022 11:48
arlen,,Arlen,,1,,5/9/2022 11:48
arlie,,Arlie,,1,,5/9/2022 11:48
arlin,,Arlin,,1,,5/9/2022 11:48
arlo,,Arlo,,1,,5/9/2022 11:48
armand,,Armand,,1,,5/9/2022 11:48
armando,,Armando,,1,,5/9/2022 11:48
armond,,Armond,,1,,5/9/2022 11:48
arne,,Arne,,1,,5/9/2022 11:48
arnold,,Arnold,,1,,5/9/2022 11:48
arnulfo,,Arnulfo,,1,,5/9/2022 11:48
aron,,Aron,,1,,5/9/2022 11:48
arron,,Arron,,1,,5/9/2022 11:48
art,,Art,,1,,5/9/2022 11:48
arther,,Arther,,1,,5/9/2022 11:48
arthur,,Arthur,,1,,5/9/2022 11:48
artie,,Artie,,1,,5/9/2022 11:48
artis,,Artis,,1,,5/9/2022 11:48
arturo,,Arturo,,1,,5/9/2022 11:48
arvel,,Arvel,,1,,5/9/2022 11:48
arvid,,Arvid,,1,,5/9/2022 11:48
arvil,,Arvil,,1,,5/9/2022 11:48
arvin,,Arvin,,1,,5/9/2022 11:48
asa,,Asa,,1,,5/9/2022 11:48
asher,,Asher,Ash,1,,5/9/2022 11:48
ashley,,Ashley,Ash,1,,5/9/2022 11:48
ashton,,Ashton,Ash,1,,5/9/2022 11:48
atlas,,Atlas,,1,,5/9/2022 11:48
atticus,,Atticus,,1,,5/9/2022 11:48
aubrey,,Aubrey,,1,,5/9/2022 11:48
audrey,,Audrey,,1,,5/9/2022 11:48
august,,August,,1,,5/9/2022 11:48
augustine,,Augustine,,1,,5/9/2022 11:48
augustus,,Augustus,,1,,5/9/2022 11:48
austin,,Austin,,1,,5/9/2022 11:48
auther,,Auther,,1,,5/9/2022 11:48
avery,,Avery,,1,,5/9/2022 11:48
axel,,Axel,,1,,5/9/2022 11:48
axl,,Axl,,1,,5/9/2022 11:48
ayden,,Ayden,,1,,5/9/2022 11:48
bailey,,Bailey,,1,,5/9/2022 11:48
barney,,Barney,,1,,5/9/2022 11:48
barrett,,Barrett,,1,,5/9/2022 11:48
barry,,Barry,,1,,5/9/2022 11:48
bart,,Bart,,1,,5/9/2022 11:48
barton,,Barton,,1,,5/9/2022 11:48
basil,,Basil,,1,,5/9/2022 11:48
beau,,Beau,,1,,5/9/2022 11:48
beckett,,Beckett,,1,,5/9/2022 11:48
beckham,,Beckham,,1,,5/9/2022 11:48
ben,,Ben,,1,,5/9/2022 11:48
benedict,,Benedict,Ben,1,,5/9/2022 11:48
benito,,Benito,,1,,5/9/2022 11:48
benjamin,,Benjamin,Ben,1,,5/9/2022 11:48
benjiman,,Benjiman,Ben,1,,5/9/2022 11:48
bennett,,Bennett,Ben,1,,5/9/2022 11:48
bennie,,Bennie,,1,,5/9/2022 11:48
benny,,Benny,,1,,5/9/2022 11:48
benson,,Benson,Ben,1,,5/9/2022 11:48
benton,,Benton,Ben,1,,5/9/2022 11:48
bernard,,Bernard,,1,,5/9/2022 11:48
bernardo,,Bernardo,,1,,5/9/2022 11:48
bernice,,Bernice,,1,,5/9/2022 11:48
bernie,,Bernie,,1,,5/9/2022 11:48
berry,,Berry,,1,,5/9/2022 11:48
bert,,Bert,,1,,5/9/2022 11:48
bertram,,Bertram,,1,,5/9/2022 11:48
bertrand,,Bertrand,,1,,5/9/2022 11:48
beryl,,Beryl,,1,,5/9/2022 11:48
beverly,,Beverly,,1,,5/9/2022 11:48
bill,,Bill,,1,,5/9/2022 11:48
billie,,Billie,,1,,5/9/2022 11:48
billy,,Billy,,1,,5/9/2022 11:48
bjorn,,Bjorn,,1,,5/9/2022 11:48
blaine,,Blaine,,1,,5/9/2022 11:48
blair,,Blair,,1,,5/9/2022 11:48
blake,,Blake,,1,,5/9/2022 11:48
blaze,,Blaze,,1,,5/9/2022 11:48
bo,,Bo,,1,,5/9/2022 11:48
bob,,Bob,,1,,5/9/2022 11:48
bobbie,,Bobbie,,1,,5/9/2022 11:48
bobby,,Bobby,,1,,5/9/2022 11:48
bodie,,Bodie,,1,,5/9/2022 11:48
bonnie,,Bonnie,,1,,5/9/2022 11:48
booker,,Booker,,1,,5/9/2022 11:48
bowen,,Bowen,,1,,5/9/2022 11:48
boyce,,Boyce,,1,,5/9/2022 11:48
boyd,,Boyd,,1,,5/9/2022 11:48
brad,,Brad,,1,,5/9/2022 11:48
braden,,Braden,,1,,5/9/2022 11:48
bradford,,Bradford,,1,,5/9/2022 11:48
bradley,,Bradley,,1,,5/9/2022 11:48
bradly,,Bradly,,1,,5/9/2022 11:48
brady,,Brady,,1,,5/9/2022 11:48
brandan,,Brandan,,1,,5/9/2022 11:48
branden,,Branden,,1,,5/9/2022 11:48
brandon,,Brandon,,1,,5/9/2022 11:48
brannon,,Brannon,,1,,5/9/2022 11:48
branson,,Branson,,1,,5/9/2022 11:48
brant,,Brant,,1,,5/9/2022 11:48
brantley,,Brantley,,1,,5/9/2022 11:48
braxton,,Braxton,,1,,5/9/2022 11:48
brayden,,Brayden,,1,,5/9/2022 11:48
brendan,,Brendan,,1,,5/9/2022 11:48
brenden,,Brenden,,1,,5/9/2022 11:48
brendon,,Brendon,,1,,5/9/2022 11:48
brennan,,Brennan,,1,,5/9/2022 11:48
brent,,Brent,,1,,5/9/2022 11:48
brenton,,Brenton,,1,,5/9/2022 11:48
bret,,Bret,,1,,5/9/2022 11:48
brett,,Brett,,1,,5/9/2022 11:48
brian,,Brian,,1,,5/9/2022 11:48
brice,,Brice,,1,,5/9/2022 11:48
briggs,,Briggs,,1,,5/9/2022 11:48
britton,,Britton,,1,,5/9/2022 11:48
brock,,Brock,,1,,5/9/2022 11:48
broderick,,Broderick,Brody,1,,5/9/2022 11:48
brodie,,Brodie,,1,,5/9/2022 11:48
brody,,Brody,,1,,5/9/2022 11:48
bronson,,Bronson,,1,,5/9/2022 11:48
brook,,Brook,,1,,5/9/2022 11:48
brooks,,Brooks,,1,,5/9/2022 11:48
bruce,,Bruce,,1,,5/9/2022 11:48
bruno,,Bruno,,1,,5/9/2022 11:48
bryan,,Bryan,,1,,5/9/2022 11:48
bryant,,Bryant,,1,,5/9/2022 11:48
bryce,,Bryce,,1,,5/9/2022 11:48
bryon,,Bryon,,1,,5/9/2022 11:48
bryson,,Bryson,,1,,5/9/2022 11:48
buck,,Buck,,1,,5/9/2022 11:48
bud,,Bud,,1,,5/9/2022 11:48
buddy,,Buddy,,1,,5/9/2022 11:48
buford,,Buford,,1,,5/9/2022 11:48
burdette,,Burdette,,1,,5/9/2022 11:48
burl,,Burl,,1,,5/9/2022 11:48
burnell,,Burnell,,1,,5/9/2022 11:48
burt,,Burt,,1,,5/9/2022 11:48
burton,,Burton,,1,,5/9/2022 11:48
buster,,Buster,,1,,5/9/2022 11:48
butch,,Butch,,1,,5/9/2022 11:48
byron,,Byron,,1,,5/9/2022 11:48
cain,,Cain,,1,,5/9/2022 11:48
cale,,Cale,,1,,5/9/2022 11:48
caleb,,Caleb,Cal,1,,5/9/2022 11:48
callum,,Callum,Cal,1,,5/9/2022 11:48
calvin,,Calvin,Cal,1,,5/9/2022 11:48
camden,,Camden,Cam,1,,5/9/2022 11:48
cameron,,Cameron,Cam,1,,5/9/2022 11:48
carey,,Carey,,1,,5/9/2022 11:48
carl,,Carl,,1,,5/9/2022 11:48
carleton,,Carleton,,1,,5/9/2022 11:48
carlo,,Carlo,,1,,5/9/2022 11:48
carlos,,Carlos,,1,,5/9/2022 11:48
carlton,,Carlton,Carl,1,,5/9/2022 11:48
carlyle,,Carlyle,,1,,5/9/2022 11:48
carmelo,,Carmelo,,1,,5/9/2022 11:48
carmen,,carmen,,1,,5/9/2022 11:48
carmine,,Carmine,,1,,5/9/2022 11:48
carnell,,Carnell,,1,,5/9/2022 11:48
carol,,Carol,,1,,5/9/2022 11:48
carrol,,Carrol,,1,,5/9/2022 11:48
carroll,,Carroll,,1,,5/9/2022 11:48
carson,,Carson,,1,,5/9/2022 11:48
carter,,Carter,,1,,5/9/2022 11:48
cary,,Cary,,1,,5/9/2022 11:48
casey,,Casey,,1,,5/9/2022 11:48
casimer,,Casimer,,1,,5/9/2022 11:48
casimir,,Casimir,,1,,5/9/2022 11:48
casper,,Casper,,1,,5/9/2022 11:48
cecil,,Cecil,,1,,5/9/2022 11:48
cedric,,Cedric,,1,,5/9/2022 11:48
