Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
—,—,—,—,—,—,—
smith,,Smith,,10,,5/9/2022 11:48
johnson,,Johnson,,10,,5/9/2022 11:48
williams,,Williams,,10,,5/9/2022 11:48
jones,,Jones,,10,,5/9/2022 11:48
brown,,Brown,,6,,5/9/2022 11:48
davis,,Davis,,7,,5/9/2022 11:48
miller,,Miller,,7,,5/9/2022 11:48
wilson,,Wilson,,10,,5/9/2022 11:48
moore,,Moore,,8,,5/9/2022 11:48
taylor,,Taylor,,9,,5/9/2022 11:48
anderson,,Anderson,,8,,5/9/2022 11:48
thomas,,Thomas,,6,,5/9/2022 11:48
jackson,,Jackson,,10,,5/9/2022 11:48
white,,White,,10,,5/9/2022 11:48
harris,,Harris,,7,,5/9/2022 11:48
martin,,Martin,,1,,5/9/2022 11:48
thompson,,Thompson,,10,,5/9/2022 11:48
garcia,,Garcia,,2,,5/9/2022 11:48
robinson,,Robinson,,7,,5/9/2022 11:48
clark,,Clark,,10,,5/9/2022 11:48
lewis,,Lewis,,1,,5/9/2022 11:48
lee,,Lee,,4,,5/9/2022 11:48
walker,,Walker,,10,,5/9/2022 11:48
hall,,Hall,,8,,5/9/2022 11:48
allen,,Allen,,7,,5/9/2022 11:48
young,,Young,,8,,5/9/2022 11:48
king,,King,,4,,5/9/2022 11:48
wright,,Wright,,4,,5/9/2022 11:48
hill,,Hill,,3,,5/9/2022 11:48
scott,,Scott,,3,,5/9/2022 11:48
green,,Green,,4,,5/9/2022 11:48
adams,,Adams,,5,,5/9/2022 11:48
baker,,Baker,,5,,5/9/2022 11:48
nelson,,Nelson,,8,,5/9/2022 11:48
carter,,Carter,,10,,5/9/2022 11:48
mitchell,,Mitchell,,10,,5/9/2022 11:48
roberts,,Roberts,,4,,5/9/2022 11:48
turner,,Turner,,2,,5/9/2022 11:48
phillips,,Phillips,,4,,5/9/2022 11:48
campbell,,Campbell,,10,,5/9/2022 11:48
parker,,Parker,,10,,5/9/2022 11:48
evans,,Evans,,5,,5/9/2022 11:48
edwards,,Edwards,,5,,5/9/2022 11:48
collins,,Collins,,5,,5/9/2022 11:48
stewart,,Stewart,,4,,5/9/2022 11:48
morris,,Morris,,6,,5/9/2022 11:48
rogers,,Rogers,,8,,5/9/2022 11:48
reed,,Reed,,7,,5/9/2022 11:48
cook,,Cook,,6,,5/9/2022 11:48
morgan,,Morgan,,2,,5/9/2022 11:48
bell,,Bell,,4,,5/9/2022 11:48
murphy,,Murphy,,10,,5/9/2022 11:48
bailey,,Bailey,,4,,5/9/2022 11:48
cooper,,Cooper,,1,,5/9/2022 11:48
richardson,,Richardson,,7,,5/9/2022 11:48
cox,,Cox,,3,,5/9/2022 11:48
howard,,Howard,,3,,5/9/2022 11:48
ward,,Ward,,4,,5/9/2022 11:48
peterson,,Peterson,,4,,5/9/2022 11:48
gray,,Gray,,10,,5/9/2022 11:48
james,,James,,3,,5/9/2022 11:48
watson,,Watson,,10,,5/9/2022 11:48
brooks,,Brooks,,9,,5/9/2022 11:48
kelly,,Kelly,,7,,5/9/2022 11:48
sanders,,Sanders,,10,,5/9/2022 11:48
price,,Price,,5,,5/9/2022 11:48
bennett,,Bennett,,5,,5/9/2022 11:48
wood,,Wood,,5,,5/9/2022 11:48
barnes,,Barnes,,5,,5/9/2022 11:48
ross,,Ross,,3,,5/9/2022 11:48
henderson,,Henderson,,8,,5/9/2022 11:48
coleman,,Coleman,,6,,5/9/2022 11:48
jenkins,,Jenkins,,8,,5/9/2022 11:48
perry,,Perry,,4,,5/9/2022 11:48
powell,,Powell,,5,,5/9/2022 11:48
long,,Long,,6,,5/9/2022 11:48
patterson,,Patterson,,5,,5/9/2022 11:48
hughes,,Hughes,,4,,5/9/2022 11:48
washington,,Washington,,10,,5/9/2022 11:48
butler,,Butler,,4,,5/9/2022 11:48
simmons,,Simmons,,6,,5/9/2022 11:48
foster,,Foster,,6,,5/9/2022 11:48
bryant,,Bryant,,6,,5/9/2022 11:48
alexander,,Alexander,,8,,5/9/2022 11:48
russell,,Russell,,4,,5/9/2022 11:48
griffin,,Griffin,,7,,5/9/2022 11:48
myers,,Myers,,3,,5/9/2022 11:48
ford,,Ford,,10,,5/9/2022 11:48
hamilton,,Hamilton,,10,,5/9/2022 11:48
graham,,Graham,,4,,5/9/2022 11:48
sullivan,,Sullivan,,7,,5/9/2022 11:48
wallace,,Wallace,,7,,5/9/2022 11:48
woods,,Woods,,6,,5/9/2022 11:48
cole,,Cole,,6,,5/9/2022 11:48
west,,West,,6,,5/9/2022 11:48
jordan,,Jordan,,1,,5/9/2022 11:48
owens,,Owens,,4,,5/9/2022 11:48
reynolds,,Reynolds,,10,,5/9/2022 11:48
fisher,,Fisher,,6,,5/9/2022 11:48
ellis,,Ellis,,3,,5/9/2022 11:48
harrison,,Harrison,,10,,5/9/2022 11:48
gibson,,Gibson,,1,,5/9/2022 11:48
mcdonald,,McDonald,,10,,5/9/2022 11:48
marshall,,Marshall,,8,,5/9/2022 11:48
murray,,Murray,,10,,5/9/2022 11:48
freeman,,Freeman,,10,,5/9/2022 11:48
wells,,Wells,,1,,5/9/2022 11:48
webb,,Webb,,2,,5/9/2022 11:48
simpson,,Simpson,,10,,5/9/2022 11:48
stevens,,Stevens,,3,,5/9/2022 11:48
tucker,,Tucker,,6,,5/9/2022 11:48
porter,,Porter,,3,,5/9/2022 11:48
hunter,,Hunter,,6,,5/9/2022 11:48
hicks,,Hicks,,1,,5/9/2022 11:48
crawford,,Crawford,,10,,5/9/2022 11:48
henry,,Henry,,1,,5/9/2022 11:48
boyd,,Boyd,,2,,5/9/2022 11:48
mason,,Mason,,1,,5/9/2022 11:48
kennedy,,Kennedy,,10,,5/9/2022 11:48
warren,,Warren,,10,,5/9/2022 11:48
dixon,,Dixon,,3,,5/9/2022 11:48
burns,,Burns,,6,,5/9/2022 11:48
gordon,,Gordon,,7,,5/9/2022 11:48
shaw,,Shaw,,2,,5/9/2022 11:48
holmes,,Holmes,,10,,5/9/2022 11:48
rice,,Rice,,5,,5/9/2022 11:48
robertson,,Robertson,,4,,5/9/2022 11:48
hunt,,Hunt,,8,,5/9/2022 11:48
black,,Black,,10,,5/9/2022 11:48
daniels,,Daniels,,3,,5/9/2022 11:48
palmer,,Palmer,,7,,5/9/2022 11:48
mills,,Mills,,3,,5/9/2022 11:48
nichols,,Nichols,,3,,5/9/2022 11:48
grant,,Grant,,5,,5/9/2022 11:48
knight,,Knight,,7,,5/9/2022 11:48
ferguson,,Ferguson,,5,,5/9/2022 11:48
rose,,Rose,,9,,5/9/2022 11:48
stone,,Stone,,6,,5/9/2022 11:48
hawkins,,Hawkins,,10,,5/9/2022 11:48
dunn,,Dunn,,10,,5/9/2022 11:48
perkins,,Perkins,,5,,5/9/2022 11:48
hudson,,Hudson,,10,,5/9/2022 11:48
spencer,,Spencer,,8,,5/9/2022 11:48
gardner,,Gardner,,4,,5/9/2022 11:48
stephens,,Stephens,,3,,5/9/2022 11:48
payne,,Payne,,8,,5/9/2022 11:48
pierce,,Pierce,,4,,5/9/2022 11:48
berry,,Berry,,2,,5/9/2022 11:48
matthews,,Matthews,,2,,5/9/2022 11:48
arnold,,Arnold,,1,,5/9/2022 11:48
wagner,,Wagner,,1,,5/9/2022 11:48
willis,,Willis,,4,,5/9/2022 11:48
watkins,,Watkins,,8,,5/9/2022 11:48
carroll,,Carroll,,3,,5/9/2022 11:48
duncan,,Duncan,,1,,5/9/2022 11:48
snyder,,Snyder,,1,,5/9/2022 11:48
hart,,Hart,,5,,5/9/2022 11:48
cunningham,,Cunningham,,8,,5/9/2022 11:48
bradley,,Bradley,,1,,5/9/2022 11:48
lane,,Lane,,1,,5/9/2022 11:48
andrews,,Andrews,,2,,5/9/2022 11:48
harper,,Harper,,4,,5/9/2022 11:48
fox,,Fox,,7,,5/9/2022 11:48
riley,,Riley,,1,,5/9/2022 11:48
armstrong,,Armstrong,,10,,5/9/2022 11:48
carpenter,,Carpenter,,9,,5/9/2022 11:48
weaver,,Weaver,,1,,5/9/2022 11:48
greene,,Greene,,4,,5/9/2022 11:48
lawrence,,Lawrence,,4,,5/9/2022 11:48
elliott,,Elliott,,10,,5/9/2022 11:48
sims,,Sims,,2,,5/9/2022 11:48
austin,,Austin,,7,,5/9/2022 11:48
peters,,Peters,,1,,5/9/2022 11:48
kelley,,Kelley,,1,,5/9/2022 11:48
franklin,,Franklin,,10,,5/9/2022 11:48
lawson,,Lawson,,1,,5/9/2022 11:48
fields,,Fields,,1,,5/9/2022 11:48
ryan,,Ryan,,2,,5/9/2022 11:48
schmidt,,Schmidt,,1,,5/9/2022 11:48
carr,,Carr,,1,,5/9/2022 11:48
wheeler,,Wheeler,,3,,5/9/2022 11:48
chapman,,Chapman,,5,,5/9/2022 11:48
oliver,,Oliver,,1,,5/9/2022 11:48
montgomery,,Montgomery,,10,,5/9/2022 11:48
richards,,Richards,,1,,5/9/2022 11:48
williamson,,Williamson,,6,,5/9/2022 11:48
johnston,,Johnston,,8,,5/9/2022 11:48
banks,,Banks,,8,,5/9/2022 11:48
meyer,,Meyer,,6,,5/9/2022 11:48
bishop,,Bishop,,8,,5/9/2022 11:48
mccoy,,McCoy,,8,,5/9/2022 11:48
howell,,Howell,,4,,5/9/2022 11:48
morrison,,Morrison,,8,,5/9/2022 11:48
hansen,,Hansen,,4,,5/9/2022 11:48
harvey,,Harvey,,1,,5/9/2022 11:48
little,,Little,,4,,5/9/2022 11:48
burton,,Burton,,1,,5/9/2022 11:48
stanley,,Stanley,,1,,5/9/2022 11:48
george,,George,,1,,5/9/2022 11:48
jacobs,,Jacobs,,1,,5/9/2022 11:48
reid,,Reid,,1,,5/9/2022 11:48
kim,,Kim,,1,,5/9/2022 11:48
fuller,,Fuller,,1,,5/9/2022 11:48
lynch,,Lynch,,9,,5/9/2022 11:48
dean,,Dean,,1,,5/9/2022 11:48
gilbert,,Gilbert,,1,,5/9/2022 11:48
garrett,,Garrett,,1,,5/9/2022 11:48
welch,,Welch,,1,,5/9/2022 11:48
larson,,Larson,,1,,5/9/2022 11:48
frazier,,Frazier,,1,,5/9/2022 11:48
burke,,Burke,,1,,5/9/2022 11:48
hanson,,Hanson,,1,,5/9/2022 11:48
day,,Day,,1,,5/9/2022 11:48
moreno,,Moreno,,5,,5/9/2022 11:48
bowman,,Bowman,,8,,5/9/2022 11:48
fowler,,Fowler,,1,,5/9/2022 11:48
brewer,,Brewer,,1,,5/9/2022 11:48
hoffman,,Hoffman,,1,,5/9/2022 11:48
carlson,,Carlson,,1,,5/9/2022 11:48
pearson,,Pearson,,1,,5/9/2022 11:48
holland,,Holland,,6,,5/9/2022 11:48
douglas,,Douglas,,1,,5/9/2022 11:48
fleming,,Fleming,,1,,5/9/2022 11:48
jensen,,Jensen,,1,,5/9/2022 11:48
byrd,,Byrd,,1,,5/9/2022 11:48
davidson,,Davidson,,1,,5/9/2022 11:48
hopkins,,Hopkins,,5,,5/9/2022 11:48
may,,May,,1,,5/9/2022 11:48
terry,,Terry,,1,,5/9/2022 11:48
wade,,Wade,,1,,5/9/2022 11:48
walters,,Walters,,1,,5/9/2022 11:48
curtis,,Curtis,,1,,5/9/2022 11:48
neal,,Neal,,1,,5/9/2022 11:48
caldwell,,Caldwell,,7,,5/9/2022 11:48
lowe,,Lowe,,7,,5/9/2022 11:48
jennings,,Jennings,,1,,5/9/2022 11:48
barnett,,Barnett,,5,,5/9/2022 11:48
graves,,Graves,,8,,5/9/2022 11:48
horton,,Horton,,4,,5/9/2022 11:48
shelton,,Shelton,,1,,5/9/2022 11:48
barrett,,Barrett,,5,,5/9/2022 11:48
o'brien,,O'Brien,,5,,5/9/2022 11:48
sutton,,Sutton,,1,,5/9/2022 11:48
gregory,,Gregory,,1,,5/9/2022 11:48
mckinney,,McKinney,,6,,5/9/2022 11:48
lucas,,Lucas,,1,,5/9/2022 11:48
miles,,Miles,,1,,5/9/2022 11:48
craig,,Craig,,1,,5/9/2022 11:48
chambers,,Chambers,,1,,5/9/2022 11:48
holt,,Holt,,1,,5/9/2022 11:48
lambert,,Lambert,,7,,5/9/2022 11:48
fletcher,,Fletcher,,8,,5/9/2022 11:48
watts,,Watts,,1,,5/9/2022 11:48
bates,,Bates,,1,,5/9/2022 11:48
hale,,Hale,,1,,5/9/2022 11:48
rhodes,,Rhodes,,1,,5/9/2022 11:48
pena,,Pena,,1,,5/9/2022 11:48
beck,,Beck,,1,,5/9/2022 11:48
newman,,Newman,,1,,5/9/2022 11:48
haynes,,Haynes,,1,,5/9/2022 11:48
mcdaniel,,McDaniel,,6,,5/9/2022 11:48
bush,,Bush,,1,,5/9/2022 11:48
vaughn,,Vaughn,,1,,5/9/2022 11:48
parks,,Parks,,1,,5/9/2022 11:48
dawson,,Dawson,,1,,5/9/2022 11:48
norris,,Norris,,1,,5/9/2022 11:48
hardy,,Hardy,,1,,5/9/2022 11:48
love,,Love,,1,,5/9/2022 11:48
steele,,Steele,,5,,5/9/2022 11:48
curry,,Curry,,6,,5/9/2022 11:48
