game reference key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[the key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
—,—,—,—,—,—,—
william,,William,,1,,5/9/2022 11:49
noah,,Noah,,1,,5/9/2022 11:49
lucas,,Lucas,,1,,5/9/2022 11:49
emil,,Emil,,1,,5/9/2022 11:49
oliver,,Oliver,,1,,5/9/2022 11:49
oscar,,Oscar,,1,,5/9/2022 11:49
victor,,Victor,,1,,5/9/2022 11:49
malthe,,Malthe,,1,,5/9/2022 11:49
alfred,,Alfred,,1,,5/9/2022 11:49
carl,,Carl,,1,,5/9/2022 11:49
frederik,,Frederik,,1,,5/9/2022 11:49
elias,,Elias,,1,,5/9/2022 11:49
magnus,,Magnus,,1,,5/9/2022 11:49
valdemar,,Valdemar,,1,,5/9/2022 11:49
villads,,Villads,,1,,5/9/2022 11:49
alexander,,Alexander,,1,,5/9/2022 11:49
christian,,Christian,,1,,5/9/2022 11:49
august,,August,,1,,5/9/2022 11:49
johan,,Johan,,1,,5/9/2022 11:49
felix,,Felix,,1,,5/9/2022 11:49
anton,,Anton,,1,,5/9/2022 11:49
nohr,,Nohr,,1,,5/9/2022 11:49
liam,,Liam,,1,,5/9/2022 11:49
aksel,,Aksel,,1,,5/9/2022 11:49
mikkel,,Mikkel,,1,,5/9/2022 11:49
benjamin,,Benjamin,,1,,5/9/2022 11:49
mads,,Mads,,1,,5/9/2022 11:49
storm,,Storm,,1,,5/9/2022 11:49
mathias,,Mathias,,1,,5/9/2022 11:49
adam,,Adam,,1,,5/9/2022 11:49
sebastian,,Sebastian,,1,,5/9/2022 11:49
albert,,Albert,,1,,5/9/2022 11:49
theodor,,Theodor,,1,,5/9/2022 11:49
arthur,,Arthur,,1,,5/9/2022 11:49
elliot,,Elliot,,1,,5/9/2022 11:49
marius,,Marius,,1,,5/9/2022 11:49
marcus,,Marcus,,1,,5/9/2022 11:49
viggo,,Viggo,,1,,5/9/2022 11:49
philip,,Philip,,1,,5/9/2022 11:49
tobias,,Tobias,,1,,5/9/2022 11:49
villum,,Villum,,1,,5/9/2022 11:49
lauge,,Lauge,,1,,5/9/2022 11:49
thor,,Thor,,1,,5/9/2022 11:49
jakob,,Jakob,,1,,5/9/2022 11:49
laurits,,Laurits,,1,,5/9/2022 11:49
theo,,Theo,,1,,5/9/2022 11:49
jonathan,,Jonathan,,1,,5/9/2022 11:49
asger,,Asger,,1,,5/9/2022 11:49
silas,,Silas,,1,,5/9/2022 11:49
milas,,Milas,,1,,5/9/2022 11:49
hugo,,Hugo,,1,,5/9/2022 11:49
charlie,,Charlie,,1,,5/9/2022 11:49
axel,,Axel,,1,,5/9/2022 11:49
vincent,,Vincent,,1,,5/9/2022 11:49
leo,,Leo,,1,,5/9/2022 11:49
ludvig,,Ludvig,,1,,5/9/2022 11:49
arvid,,Arvid,,1,,5/9/2022 11:49
nils,,Nils,,1,,5/9/2022 11:49
filip,,Filip,,1,,5/9/2022 11:49
leon,,Leon,,1,,5/9/2022 11:49
melvin,,Melvin,,1,,5/9/2022 11:49
viktor,,Viktor,,1,,5/9/2022 11:49
valter,,Valter,,1,,5/9/2022 11:49
edvin,,Edvin,,1,,5/9/2022 11:49
isak,,Isak,,1,,5/9/2022 11:49
harry,,Harry,,1,,5/9/2022 11:49
olle,,Olle,,1,,5/9/2022 11:49
love,,Love,,1,,5/9/2022 11:49
sixten,,Sixten,,1,,5/9/2022 11:49
erik,,Erik,,1,,5/9/2022 11:49
adrian,,Adrian,,1,,5/9/2022 11:49
albin,,Albin,,1,,5/9/2022 11:49
gustav,,Gustav,,1,,5/9/2022 11:49
melker,,Melker,,1,,5/9/2022 11:49
malte,,Malte,,1,,5/9/2022 11:49
ebbe,,Ebbe,,1,,5/9/2022 11:49
gabriel,,Gabriel,,1,,5/9/2022 11:49
alvin,,Alvin,,1,,5/9/2022 11:49
max,,Max,,1,,5/9/2022 11:49
josef,,Josef,,1,,5/9/2022 11:49
casper,,Casper,,1,,5/9/2022 11:49
colin,,Colin,,1,,5/9/2022 11:49
sam,,Sam,,1,,5/9/2022 11:49
noel,,Noel,,1,,5/9/2022 11:49
loke,,Loke,,1,,5/9/2022 11:49
loui,,Loui,,1,,5/9/2022 11:49
henry,,Henry,,1,,5/9/2022 11:49
wilmer,,Wilmer,,1,,5/9/2022 11:49
kevin,,Kevin,,1,,5/9/2022 11:49
sigge,,Sigge,,1,,5/9/2022 11:49
vidar,,Vidar,,1,,5/9/2022 11:49
jacob,,Jacob,,1,,5/9/2022 11:49
frank,,Frank,,1,,5/9/2022 11:49
matteo,,Matteo,,1,,5/9/2022 11:49
milton,,Milton,,1,,5/9/2022 11:49
jack,,Jack,,1,,5/9/2022 11:49
milo,,Milo,,1,,5/9/2022 11:49
elton,,Elton,,1,,5/9/2022 11:49
ville,,Ville,,1,,5/9/2022 11:49
simon,,Simon,,1,,5/9/2022 11:49
wilhelm,,Wilhelm,,1,,5/9/2022 11:49
samuel,,Samuel,,1,,5/9/2022 11:49
vilgot,,Vilgot,,1,,5/9/2022 11:49
julian,,Julian,,1,,5/9/2022 11:49
otto,,Otto,,1,,5/9/2022 11:49
john,,John,,1,,5/9/2022 11:49
elis,,Elis,,1,,5/9/2022 11:49
daniel,,Daniel,,1,,5/9/2022 11:49
ivar,,Ivar,,1,,5/9/2022 11:49
joel,,Joel,,1,,5/9/2022 11:49
tage,,Tage,,1,,5/9/2022 11:49
david,,David,,1,,5/9/2022 11:49
aron,,Aron,,1,,5/9/2022 11:49
hjalmar,,Hjalmar,,1,,5/9/2022 11:49
kian,,Kian,,1,,5/9/2022 11:49
rasmus,,Rasmus,,1,,5/9/2022 11:49
eddie,,Eddie,,1,,5/9/2022 11:49
maximilian,,Maximilian,,1,,5/9/2022 11:49
algot,,Algot,,1,,5/9/2022 11:49
linus,,Linus,,1,,5/9/2022 11:49
alex,,Alex,,1,,5/9/2022 11:49
ali,,Ali,,1,,5/9/2022 11:49
edward,,Edward,,1,,5/9/2022 11:49
ture,,Ture,,1,,5/9/2022 11:49
elvin,,Elvin,,1,,5/9/2022 11:49
folke,,Folke,,1,,5/9/2022 11:49
levi,,Levi,,1,,5/9/2022 11:49
oskar,,Oskar,,1,,5/9/2022 11:49
markus,,Markus,,1,,5/9/2022 11:49
kasper,,Kasper,,1,,5/9/2022 11:49
jonas,,Jonas,,1,,5/9/2022 11:49
henrik,,Henrik,,1,,5/9/2022 11:49
sander,,Sander,,1,,5/9/2022 11:49
kristian,,Kristian,,1,,5/9/2022 11:49
johannes,,Johannes,,1,,5/9/2022 11:49
mathéo,,Mathéo,,1,,5/9/2022 11:49
nikolai,,Nikolai,,1,,5/9/2022 11:49
martin,,Martin,,1,,5/9/2022 11:49
mohammad,,Mohammad,,1,,5/9/2022 11:49
olav,,Olav,,1,,5/9/2022 11:49
hakon,,Hakon,,1,,5/9/2022 11:49
sondre,,Sondre,,1,,5/9/2022 11:49
andreas,,Andreas,,1,,5/9/2022 11:49
even,,Even,,1,,5/9/2022 11:49
sigurd,,Sigurd,,1,,5/9/2022 11:49
herman,,Herman,,1,,5/9/2022 11:49
iver,,Iver,,1,,5/9/2022 11:49
onni,,Onni,,1,,5/9/2022 11:49
eino,,Eino,,1,,5/9/2022 11:49
kristjan,,Kristjan,,1,,5/9/2022 11:49
jon,,Jon,,1,,5/9/2022 11:49
kristofer,,Kristofer,,1,,5/9/2022 11:49
gunnar,,Gunnar,,1,,5/9/2022 11:49
benedikt,,Benedikt,,1,,5/9/2022 11:49
dagur,,Dagur,,1,,5/9/2022 11:49
arnar,,Arnar,,1,,5/9/2022 11:49
bjarki,,Bjarki,,1,,5/9/2022 11:49
kari,,Kari,,1,,5/9/2022 11:49
andri,,Andri,,1,,5/9/2022 11:49
robert,,Robert,,1,,5/9/2022 11:49
johann,,Johann,,1,,5/9/2022 11:49
baltasar,,Baltasar,,1,,5/9/2022 11:49
einar,,Einar,,1,,5/9/2022 11:49
aabraham,,Aabraham,,1,,5/24/2024 14:48
aage,,Aage,,1,,5/24/2024 14:48
aamos,,Aamos,,1,,5/24/2024 14:48
aapeli,,Aapeli,,1,,5/24/2024 14:48
aapo,,Aapo,,1,,5/24/2024 14:48
aarne,,Aarne,,1,,5/24/2024 14:48
aarni,,Aarni,,1,,5/24/2024 14:48
aarno,,Aarno,,1,,5/24/2024 14:48
aaro,,Aaro,,1,,5/24/2024 14:48
aaron,,Aaron,,1,,5/24/2024 14:48
aarre,,Aarre,,1,,5/24/2024 14:48
aatami,,Aatami,,1,,5/24/2024 14:48
aate,,Aate,,1,,5/24/2024 14:48
aatos,,Aatos,,1,,5/24/2024 14:48
aatto,,Aatto,,1,,5/24/2024 14:48
aatu,,Aatu,,1,,5/24/2024 14:48
abbe,,Abbe,,1,,5/24/2024 14:48
abel,,Abel,,1,,5/24/2024 14:48
ábel,,Ábel,,1,,5/24/2024 14:48
ábo,,Ábo,,1,,5/24/2024 14:48
abraham,,Abraham,,1,,5/24/2024 14:48
ábrrán,,Ábrrán,,1,,5/24/2024 14:48
acke,,Acke,,1,,5/24/2024 14:48
adalsteinn,,Adalsteinn,,1,,5/24/2024 14:48
adel,,Adel,,1,,5/24/2024 14:48
adil,,Adil,,1,,5/24/2024 14:48
ådne,,Ådne,,1,,5/24/2024 14:48
ádo,,Ádo,,1,,5/24/2024 14:48
ágá,,Ágá,,1,,5/24/2024 14:48
åge,,Åge,,1,,5/24/2024 14:48
ággi,,Ággi,,1,,5/24/2024 14:48
agnar,,Agnar,,1,,5/24/2024 14:48
agne,,Agne,,1,,5/24/2024 14:48
agner,,Agner,,1,,5/24/2024 14:48
ahkebeaivi,,Ahkebeaivi,,1,,5/24/2024 14:48
ahkejuoksa,,Ahkejuoksa,,1,,5/24/2024 14:48
ahkemiella,,Ahkemiella,,1,,5/24/2024 14:48
ahti,,Ahti,,1,,5/24/2024 14:48
áibmu,,Áibmu,,1,,5/24/2024 14:48
aiden,,Aiden,,1,,5/24/2024 14:48
áigesárri,,Áigesárri,,1,,5/24/2024 14:48
áigin,,Áigin,,1,,5/24/2024 14:48
áillon,,Áillon,,1,,5/24/2024 14:48
áillun,,Áillun,,1,,5/24/2024 14:48
ailo,,Ailo,,1,,5/24/2024 14:48
áilu,,Áilu,,1,,5/24/2024 14:48
aimo,,Aimo,,1,,5/24/2024 14:48
áivvit,,Áivvit,,1,,5/24/2024 14:48
åke,,Åke,,1,,5/24/2024 14:48
aki,,Aki,,1,,5/24/2024 14:48
áki,,Áki,,1,,5/24/2024 14:48
áksel,,Áksel,,1,,5/24/2024 14:48
akseli,,Akseli,,1,,5/24/2024 14:48
aku,,Aku,,1,,5/24/2024 14:48
alan,,Alan,,1,,5/24/2024 14:48
alarik,,Alarik,,1,,5/24/2024 14:48
álbe,,Álbe,,1,,5/24/2024 14:48
albearta,,Albearta,,1,,5/24/2024 14:48
alberto,,Alberto,,1,,5/24/2024 14:48
ale,,Ale,,1,,5/24/2024 14:48
ále,,Ále,,1,,5/24/2024 14:48
aleks,,Aleks,,1,,5/24/2024 14:48
aleksander,,Aleksander,,1,,5/24/2024 14:48
aleksanteri,,Aleksanteri,,1,,5/24/2024 14:48
aleksei,,Aleksei,,1,,5/24/2024 14:48
aleksi,,Aleksi,,1,,5/24/2024 14:48
aleksis,,Aleksis,,1,,5/24/2024 14:48
alen,,Alen,,1,,5/24/2024 14:48
áles,,Áles,,1,,5/24/2024 14:48
alexey,,Alexey,,1,,5/24/2024 14:48
alexis,,Alexis,,1,,5/24/2024 14:48
alf,,Alf,,1,,5/24/2024 14:48
álfa,,Álfa,,1,,5/24/2024 14:48
alfons,,Alfons,,1,,5/24/2024 14:48
algebeaivi,,Algebeaivi,,1,,5/24/2024 14:48
allan,,Allan,,1,,5/24/2024 14:48
állan,,Állan,,1,,5/24/2024 14:48
alpertti,,Alpertti,,1,,5/24/2024 14:48
alpo,,Alpo,,1,,5/24/2024 14:48
altti,,Altti,,1,,5/24/2024 14:48
alv,,Alv,,1,,5/24/2024 14:48
alvar,,Alvar,,1,,5/24/2024 14:48
alvari,,Alvari,,1,,5/24/2024 14:48
alvaro,,Alvaro,,1,,5/24/2024 14:48
alve,,Alve,,1,,5/24/2024 14:48
alwin,,Alwin,,1,,5/24/2024 14:48
amadeus,,Amadeus,,1,,5/24/2024 14:48
amanuel,,Amanuel,,1,,5/24/2024 14:48
amir,,Amir,,1,,5/24/2024 14:48
ámmá,,Ámmá,,1,,5/24/2024 14:48
ámmol,,Ámmol,,1,,5/24/2024 14:48
ámmon,,Ámmon,,1,,5/24/2024 14:48
ámmot,,Ámmot,,1,,5/24/2024 14:48
amos,,Amos,,1,,5/24/2024 14:48
amund,,Amund,,1,,5/24/2024 14:48
ánda,,Ánda,,1,,5/24/2024 14:48
ándá,,Ándá,,1,,5/24/2024 14:48
ándaras,,Ándaras,,1,,5/24/2024 14:48
ándde,,Ándde,,1,,5/24/2024 14:48
ánddijá,,Ánddijá,,1,,5/24/2024 14:48
ánde,,Ánde,,1,,5/24/2024 14:48
ánderijá,,Ánderijá,,1,,5/24/2024 14:48
anders,,Anders,,1,,5/24/2024 14:48
