Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
— ,— ,— ,— ,— ,— ,— 
jensen,,Jensen,,1,,5/9/2022 11:49
nielsen,,Nielsen,,1,,5/9/2022 11:49
hansen,,Hansen,,1,,5/9/2022 11:49
pedersen,,Pedersen,,1,,5/9/2022 11:49
andersen,,Andersen,,1,,5/9/2022 11:49
christensen,,Christensen,,1,,5/9/2022 11:49
larsen,,Larsen,,1,,5/9/2022 11:49
sørensen,,Sørensen,,1,,5/9/2022 11:49
rasmussen,,Rasmussen,,1,,5/9/2022 11:49
jørgensen,,Jørgensen,,1,,5/9/2022 11:49
petersen,,Petersen,,1,,5/9/2022 11:49
madsen,,Madsen,,1,,5/9/2022 11:49
kristensen,,Kristensen,,1,,5/9/2022 11:49
olsen,,Olsen,,1,,5/9/2022 11:49
thomsen,,Thomsen,,1,,5/9/2022 11:49
christiansen,,Christiansen,,1,,5/9/2022 11:49
poulsen,,Poulsen,,1,,5/9/2022 11:49
johansen,,Johansen,,1,,5/9/2022 11:49
møller,,Møller,,1,,5/9/2022 11:49
johnson,,Johnson,,1,,5/9/2022 11:49
nilsen,,Nilsen,,1,,5/9/2022 11:49
kristiansen,,Kristiansen,,1,,5/9/2022 11:49
karlsen,,Karlsen,,1,,5/9/2022 11:49
johnsen,,Johnsen,,1,,5/9/2022 11:49
pettersen,,Pettersen,,1,,5/9/2022 11:49
eriksen,,Eriksen,,1,,5/9/2022 11:49
berg,,Berg,,1,,5/9/2022 11:49
haugen,,Haugen,,1,,5/9/2022 11:49
hagen,,Hagen,,1,,5/9/2022 11:49
johannessen,,Johannessen,,1,,5/9/2022 11:49
andreassen,,Andreassen,,1,,5/9/2022 11:49
jacobsen,,Jacobsen,,1,,5/9/2022 11:49
halvorsen,,Halvorsen,,1,,5/9/2022 11:49
andersson,,Andersson,,1,,5/9/2022 11:49
johansson,,Johansson,,1,,5/9/2022 11:49
karlsson,,Karlsson,,1,,5/9/2022 11:49
nilsson,,Nilsson,,1,,5/9/2022 11:49
eriksson,,Eriksson,,1,,5/9/2022 11:49
larsson,,Larsson,,1,,5/9/2022 11:49
olsson,,Olsson,,1,,5/9/2022 11:49
persson,,Persson,,1,,5/9/2022 11:49
svensson,,Svensson,,1,,5/9/2022 11:49
gustafsson,,Gustafsson,,1,,5/9/2022 11:49
pettersson,,Pettersson,,1,,5/9/2022 11:49
jonsson,,Jonsson,,1,,5/9/2022 11:49
jansson,,Jansson,,1,,5/9/2022 11:49
hansson,,Hansson,,1,,5/9/2022 11:49
bengtsson,,Bengtsson,,1,,5/9/2022 11:49
jönsson,,Jönsson,,1,,5/9/2022 11:49
lindberg,,Lindberg,,1,,5/9/2022 11:49
jakobsson,,Jakobsson,,1,,5/9/2022 11:49
magnusson,,Magnusson,,1,,5/9/2022 11:49
olofsson,,Olofsson,,1,,5/9/2022 11:49
,,Aalto,,,,
,,Aaltonen,,,,
,,Abel,,,,
,,Åberg,,,,
,,Abrahamsen,,,,
,,Abrahamsson,,,,
,,Abramsen,,,,
