Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
â€” ,â€” ,â€” ,â€” ,â€” ,â€” ,â€” 
sofia,,Sofia,,1,,5/9/2022 11:49
maria,,Maria,,1,,5/9/2022 11:49
lucia,,Lucia,,1,,5/9/2022 11:49
martina,,Martina,,1,,5/9/2022 11:49
catalina,,Catalina,,1,,5/9/2022 11:49
elena,,Elena,,1,,5/9/2022 11:49
emilia,,Emilia,,1,,5/9/2022 11:49
valentina,,Valentina,,1,,5/9/2022 11:49
paula,,Paula,,1,,5/9/2022 11:49
zoe,,Zoe,,1,,5/9/2022 11:49
juana,,Juana,,1,,5/9/2022 11:49
isidora,,Isidora,,1,,5/9/2022 11:49
florencia,,Florencia,,1,,5/9/2022 11:49
maite,,Maite,,1,,5/9/2022 11:49
josefa,,Josefa,,1,,5/9/2022 11:49
amanda,,Amanda,,1,,5/9/2022 11:49
antonella,,Antonella,,1,,5/9/2022 11:49
agustina,,Agustina,,1,,5/9/2022 11:49
isabella,,Isabella,,1,,5/9/2022 11:49
antonia,,Antonia,,1,,5/9/2022 11:49
julieta,,Julieta,,1,,5/9/2022 11:49
trinidad,,Trinidad,,1,,5/9/2022 11:49
fernanda,,Fernanda,,1,,5/9/2022 11:49
renata,,Renata,,1,,5/9/2022 11:49
javiera,,Javiera,,1,,5/9/2022 11:49
ignacia,,Ignacia,,1,,5/9/2022 11:49
mia,,Mia,,1,,5/9/2022 11:49
victoria,,Victoria,,1,,5/9/2022 11:49
emily,,Emily,,1,,5/9/2022 11:49
francisca,,Francisca,,1,,5/9/2022 11:49
constanza,,Constanza,,1,,5/9/2022 11:49
monserrat,,Monserrat,,1,,5/9/2022 11:49
matilda,,Matilda,,1,,5/9/2022 11:49
laura,,Laura,,1,,5/9/2022 11:49
camila,,Camila,,1,,5/9/2022 11:49
salome,,Salome,,1,,5/9/2022 11:49
luciana,,Luciana,,1,,5/9/2022 11:49
mariana,,Mariana,,1,,5/9/2022 11:49
gabriela,,Gabriela,,1,,5/9/2022 11:49
valeria,,Valeria,,1,,5/9/2022 11:49
sara,,Sara,,1,,5/9/2022 11:49
regina,,Regina,,1,,5/9/2022 11:49
ximena,,Ximena,,1,,5/9/2022 11:49
alejandra,,Alejandra,,1,,5/9/2022 11:49
elizabeth,,Elizabeth,,1,,5/9/2022 11:49
beatriz,,Beatriz,,1,,5/9/2022 11:49
ramona,,Ramona,,1,,5/9/2022 11:49
liz,,Liz,,1,,5/9/2022 11:49
concepcion,,Concepcion,,1,,5/9/2022 11:49
carolina,,Carolina,,1,,5/9/2022 11:49
mabel,,Mabel,,1,,5/9/2022 11:49
raquel,,Raquel,,1,,5/9/2022 11:49
noemi,,Noemi,,1,,5/9/2022 11:49
emma,,Emma,,1,,5/9/2022 11:49
adelaide,,Adelaide,,1,,5/16/2024 23:13
adelina,,Adelina,,1,,5/16/2024 23:13
adelma,,Adelma,,1,,5/16/2024 23:13
adriana,,Adriana,,1,,5/16/2024 23:13
adriene,,Adriene,,1,,5/16/2024 23:13
ágata,,Ágata,,1,,5/16/2024 23:13
águeda,,Águeda,,1,,5/16/2024 23:13
alberta,,Alberta,,1,,5/16/2024 23:13
albertina,,Albertina,,1,,5/16/2024 23:13
albina,,Albina,,1,,5/16/2024 23:13
alda,,Alda,,1,,5/16/2024 23:13
aldina,,Aldina,,1,,5/16/2024 23:13
alexandra,,Alexandra,,1,,5/16/2024 23:13
alexandrina,,Alexandrina,,1,,5/16/2024 23:13
alice,,Alice,,1,,5/16/2024 23:13
alícia,,Alícia,,1,,5/16/2024 23:13
aline,,Aline,,1,,5/16/2024 23:13
amália,,Amália,,1,,5/16/2024 23:13
amélia,,Amélia,,1,,5/16/2024 23:13
américa,,América,,1,,5/16/2024 23:13
amor,,Amor,,1,,5/16/2024 23:13
ana,,Ana,,1,,5/16/2024 23:13
anabela,,Anabela,,1,,5/16/2024 23:13
anastácia,,Anastácia,,1,,5/16/2024 23:13
andréa,,Andréa,,1,,5/16/2024 23:13
andréia,,Andréia,,1,,5/16/2024 23:13
andreia,,Andreia,,1,,5/16/2024 23:13
andressa,,Andressa,,1,,5/16/2024 23:13
angela,,Angela,,1,,5/16/2024 23:13
angélica,,Angélica,,1,,5/16/2024 23:13
angelina,,Angelina,,1,,5/16/2024 23:13
anita,,Anita,,1,,5/16/2024 23:13
angélina,,Angélina,,1,,5/16/2024 23:13
antônia,,Antônia,,1,,5/16/2024 23:13
antonieta,,Antonieta,,1,,5/16/2024 23:13
aparecida,,Aparecida,,1,,5/16/2024 23:13
apolônia,,Apolônia,,1,,5/16/2024 23:13
ariana,,Ariana,,1,,5/16/2024 23:13
assunção,,Assunção,,1,,5/16/2024 23:13
atena,,Atena,,1,,5/16/2024 23:13
augusta,,Augusta,,1,,5/16/2024 23:13
áurea,,Áurea,,1,,5/16/2024 23:13
aurélia,,Aurélia,,1,,5/16/2024 23:13
aurora,,Aurora,,1,,5/16/2024 23:13
balbina,,Balbina,,1,,5/16/2024 23:13
bárbara,,Bárbara,,1,,5/16/2024 23:13
belinha,,Belinha,,1,,5/16/2024 23:13
benedita,,Benedita,,1,,5/16/2024 23:13
benigna,,Benigna,,1,,5/16/2024 23:13
betânia,,Betânia,,1,,5/16/2024 23:13
bethânia,,Bethânia,,1,,5/16/2024 23:13
bia,,Bia,,1,,5/16/2024 23:13
branca,,Branca,,1,,5/16/2024 23:13
brígida,,Brígida,,1,,5/16/2024 23:13
bruna,,Bruna,,1,,5/16/2024 23:13
brunilda,,Brunilda,,1,,5/16/2024 23:13
caetana,,Caetana,,1,,5/16/2024 23:13
calista,,Calista,,1,,5/16/2024 23:13
calixta,,Calixta,,1,,5/16/2024 23:13
cândida,,Cândida,,1,,5/16/2024 23:13
carina,,Carina,,1,,5/16/2024 23:13
carla,,Carla,,1,,5/16/2024 23:13
carlota,,Carlota,,1,,5/16/2024 23:13
carminho,,Carminho,,1,,5/16/2024 23:13
carmo,,Carmo,,1,,5/16/2024 23:13
cássia,,Cássia,,1,,5/16/2024 23:13
catarina,,Catarina,,1,,5/16/2024 23:13
cátia,,Cátia,,1,,5/16/2024 23:13
cecília,,Cecília,,1,,5/16/2024 23:13
celeste,,Celeste,,1,,5/16/2024 23:13
célia,,Célia,,1,,5/16/2024 23:13
celina,,Celina,,1,,5/16/2024 23:13
cesária,,Cesária,,1,,5/16/2024 23:13
chica,,Chica,,1,,5/16/2024 23:13
cila,,Cila,,1,,5/16/2024 23:13
cíntia,,Cíntia,,1,,5/16/2024 23:13
