Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
â€” ,â€” ,â€” ,â€” ,â€” ,â€” ,â€” 
santiago,,Santiago,,1,,5/9/2022 11:49
mateo,,Mateo,,1,,5/9/2022 11:49
juan,,Juan,,1,,5/9/2022 11:49
matias,,Matias,,1,,5/9/2022 11:49
nicolas,,Nicolas,,1,,5/9/2022 11:49
benjamin,,Benjamin,,1,,5/9/2022 11:49
pedro,,Pedro,,1,,5/9/2022 11:49
tomas,,Tomas,,1,,5/9/2022 11:49
thiago,,Thiago,,1,,5/9/2022 11:49
santino,,Santino,,1,,5/9/2022 11:49
juan carlos,,Juan Carlos,,1,,5/9/2022 11:49
mario,,Mario,,1,,5/9/2022 11:49
agustin,,Agustin,,1,,5/9/2022 11:49
vicente,,Vicente,,1,,5/9/2022 11:49
martin,,Martin,,1,,5/9/2022 11:49
alonso,,Alonso,,1,,5/9/2022 11:49
maximiliano,,Maximiliano,,1,,5/9/2022 11:49
joaquin,,Joaquin,,1,,5/9/2022 11:49
cristobal,,Cristobal,,1,,5/9/2022 11:49
lucas,,Lucas,,1,,5/9/2022 11:49
josé,,José,,1,,5/9/2022 11:49
diego,,Diego,,1,,5/9/2022 11:49
sebastian,,Sebastian,,1,,5/9/2022 11:49
felipe,,Felipe,,1,,5/9/2022 11:49
gaspar,,Gaspar,,1,,5/9/2022 11:49
maximo,,Maximo,,1,,5/9/2022 11:49
gabriel,,Gabriel,,1,,5/9/2022 11:49
renato,,Renato,,1,,5/9/2022 11:49
ignacio,,Ignacio,,1,,5/9/2022 11:49
emiliano,,Emiliano,,1,,5/9/2022 11:49
bruno,,Bruno,,1,,5/9/2022 11:49
bastian,,Bastian,,1,,5/9/2022 11:49
leon,,Leon,,1,,5/9/2022 11:49
franco,,Franco,,1,,5/9/2022 11:49
amaro,,Amaro,,1,,5/9/2022 11:49
samuel,,Samuel,,1,,5/9/2022 11:49
jeronimo,,Jeronimo,,1,,5/9/2022 11:49
emmanuel,,Emmanuel,,1,,5/9/2022 11:49
alejandro,,Alejandro,,1,,5/9/2022 11:49
leonardo,,Leonardo,,1,,5/9/2022 11:49
ramon,,Ramon,,1,,5/9/2022 11:49
antonio,,Antonio,,1,,5/9/2022 11:49
carlos,,Carlos,,1,,5/9/2022 11:49
daniel,,Daniel,,1,,5/9/2022 11:49
luis,,Luis,,1,,5/9/2022 11:49
javier,,Javier,,1,,5/9/2022 11:49
david,,David,,1,,5/9/2022 11:49
cesar,,Cesar,,1,,5/9/2022 11:49
lautaro,,Lautaro,,1,,5/9/2022 11:49
abdias,,Abdias,,1,,5/16/2024 22:56
abel,,Abel,,1,,5/16/2024 22:56
abílio,,Abílio,,1,,5/16/2024 22:56
abraão,,Abraão,,1,,5/16/2024 22:56
adalberto,,Adalberto,,1,,5/16/2024 22:56
adão,,Adão,,1,,5/16/2024 22:56
adelmo,,Adelmo,,1,,5/16/2024 22:56
ademar,,Ademar,,1,,5/16/2024 22:56
ademir,,Ademir,,1,,5/16/2024 22:56
adriano,,Adriano,,1,,5/16/2024 22:56
afonso,,Afonso,,1,,5/16/2024 22:56
agostinho,,Agostinho,,1,,5/16/2024 22:56
albano,,Albano,,1,,5/16/2024 22:56
alberto,,Alberto,,1,,5/16/2024 22:56
albino,,Albino,,1,,5/16/2024 22:56
alcides,,Alcides,,1,,5/16/2024 22:56
aleixo,,Aleixo,,1,,5/16/2024 22:56
alex,,Alex,,1,,5/16/2024 22:56
alexandre,,Alexandre,,1,,5/16/2024 22:56
alfredo,,Alfredo,,1,,5/16/2024 22:56
alison,,Alison,,1,,5/16/2024 22:56
alisson,,Alisson,,1,,5/16/2024 22:56
almir,,Almir,,1,,5/16/2024 22:56
almiro,,Almiro,,1,,5/16/2024 22:56
aloísio,,Aloísio,,1,,5/16/2024 22:56
altair,,Altair,,1,,5/16/2024 22:56
álvaro,,Álvaro,,1,,5/16/2024 22:56
amadeu,,Amadeu,,1,,5/16/2024 22:56
amâncio,,Amâncio,,1,,5/16/2024 22:56
amando,,Amando,,1,,5/16/2024 22:56
ambrósio,,Ambrósio,,1,,5/16/2024 22:56
américo,,Américo,,1,,5/16/2024 22:56
amílcar,,Amílcar,,1,,5/16/2024 22:56
anacleto,,Anacleto,,1,,5/16/2024 22:56
andré,,André,,1,,5/16/2024 22:56
angelino,,Angelino,,1,,5/16/2024 22:56
ângelo,,Ângelo,,1,,5/16/2024 22:56
aníbal,,Aníbal,,1,,5/16/2024 22:56
anselmo,,Anselmo,,1,,5/16/2024 22:56
antelmo,,Antelmo,,1,,5/16/2024 22:56
antônio,,Antônio,,1,,5/16/2024 22:56
aristides,,Aristides,,1,,5/16/2024 22:56
armando,,Armando,,1,,5/16/2024 22:56
arnaldo,,Arnaldo,,1,,5/16/2024 22:56
arsênio,,Arsênio,,1,,5/16/2024 22:56
artur,,Artur,,1,,5/16/2024 22:56
atílio,,Atílio,,1,,5/16/2024 22:56
augusto,,Augusto,,1,,5/16/2024 22:56
aureliano,,Aureliano,,1,,5/16/2024 22:56
aurélio,,Aurélio,,1,,5/16/2024 22:56
avelino,,Avelino,,1,,5/16/2024 22:56
balbino,,Balbino,,1,,5/16/2024 22:56
balduíno,,Balduíno,,1,,5/16/2024 22:56
bartolomeu,,Bartolomeu,,1,,5/16/2024 22:56
benedito,,Benedito,,1,,5/16/2024 22:56
benício,,Benício,,1,,5/16/2024 22:56
benigno,,Benigno,,1,,5/16/2024 22:56
benjamim,,Benjamim,,1,,5/16/2024 22:56
bento,,Bento,,1,,5/16/2024 22:56
bernardino,,Bernardino,,1,,5/16/2024 22:56
bernardo,,Bernardo,,1,,5/16/2024 22:56
bira,,Bira,,1,,5/16/2024 22:56
boaventura,,Boaventura,,1,,5/16/2024 22:56
bonifácio,,Bonifácio,,1,,5/16/2024 22:56
brás,,Brás,,1,,5/16/2024 22:56
breno,,Breno,,1,,5/16/2024 22:56
caetano,,Caetano,,1,,5/16/2024 22:56
caio,,Caio,,1,,5/16/2024 22:56
calisto,,Calisto,,1,,5/16/2024 22:56
calixto,,Calixto,,1,,5/16/2024 22:56
camilo,,Camilo,,1,,5/16/2024 22:56
cândido,,Cândido,,1,,5/16/2024 22:56
carlinhos,,Carlinhos,,1,,5/16/2024 22:56
carlito,,Carlito,,1,,5/16/2024 22:56
carlitos,,Carlitos,,1,,5/16/2024 22:56
carmo,,Carmo,,1,,5/16/2024 22:56
casimiro,,Casimiro,,1,,5/16/2024 22:56
cássio,,Cássio,,1,,5/16/2024 22:56
