Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
â€” ,â€” ,â€” ,â€” ,â€” ,â€” ,â€” 
fernandez,,Fernandez,,1,,5/9/2022 11:49
rodríguez,,Rodríguez,,1,,5/9/2022 11:49
gonzàlez,,Gonzàlez,,1,,5/9/2022 11:49
garcía,,García,,1,,5/9/2022 11:49
lópez,,López,,1,,5/9/2022 11:49
martínez,,Martínez,,1,,5/9/2022 11:49
pérez,,Pérez,,1,,5/9/2022 11:49
ãlvarez,,Ãlvarez,,1,,5/9/2022 11:49
gómez,,Gómez,,1,,5/9/2022 11:49
sànchez,,Sànchez,,1,,5/9/2022 11:49
díaz,,Díaz,,1,,5/9/2022 11:49
vàsquez,,Vàsquez,,1,,5/9/2022 11:49
castro,,Castro,,1,,5/9/2022 11:49
romero,,Romero,,1,,5/9/2022 11:49
suàrez,,Suàrez,,1,,5/9/2022 11:49
blanco,,Blanco,,1,,5/9/2022 11:49
ruiz,,Ruiz,,1,,5/9/2022 11:49
alonso,,Alonso,,1,,5/9/2022 11:49
torres,,Torres,,1,,5/9/2022 11:49
domínguez,,Domínguez,,1,,5/9/2022 11:49
gutiérrez,,Gutiérrez,,1,,5/9/2022 11:49
sosa,,Sosa,,1,,5/9/2022 11:49
iglesias,,Iglesias,,1,,5/9/2022 11:49
giménez,,Giménez,,1,,5/9/2022 11:49
ramírez,,Ramírez,,1,,5/9/2022 11:49
martín,,Martín,,1,,5/9/2022 11:49
varela,,Varela,,1,,5/9/2022 11:49
ramos,,Ramos,,1,,5/9/2022 11:49
núnez,,Núnez,,1,,5/9/2022 11:49
rossi,,Rossi,,1,,5/9/2022 11:49
silva,,Silva,,1,,5/9/2022 11:49
méndez,,Méndez,,1,,5/9/2022 11:49
hernàndez,,Hernàndez,,1,,5/9/2022 11:49
flores,,Flores,,1,,5/9/2022 11:49
pereyra,,Pereyra,,1,,5/9/2022 11:49
ferrari,,Ferrari,,1,,5/9/2022 11:49
ortiz,,Ortiz,,1,,5/9/2022 11:49
medina,,Medina,,1,,5/9/2022 11:49
benítez,,Benítez,,1,,5/9/2022 11:49
herrera,,Herrera,,1,,5/9/2022 11:49
arias,,Arias,,1,,5/9/2022 11:49
acosta,,Acosta,,1,,5/9/2022 11:49
moreno,,Moreno,,1,,5/9/2022 11:49
aguirre,,Aguirre,,1,,5/9/2022 11:49
otero,,Otero,,1,,5/9/2022 11:49
cabrera,,Cabrera,,1,,5/9/2022 11:49
rey,,Rey,,1,,5/9/2022 11:49
rojas,,Rojas,,1,,5/9/2022 11:49
vidal,,Vidal,,1,,5/9/2022 11:49
molina,,Molina,,1,,5/9/2022 11:49
russo,,Russo,,1,,5/9/2022 11:49
paz,,Paz,,1,,5/9/2022 11:49
vega,,Vega,,1,,5/9/2022 11:49
costa,,Costa,,1,,5/9/2022 11:49
bruno,,Bruno,,1,,5/9/2022 11:49
romano,,Romano,,1,,5/9/2022 11:49
morales,,Morales,,1,,5/9/2022 11:49
ríos,,Ríos,,1,,5/9/2022 11:49
miranda,,Miranda,,1,,5/9/2022 11:49
muñoz,,Muñoz,,1,,5/9/2022 11:49
franco,,Franco,,1,,5/9/2022 11:49
castillo,,Castillo,,1,,5/9/2022 11:49
campos,,Campos,,1,,5/9/2022 11:49
bianchi,,Bianchi,,1,,5/9/2022 11:49
luna,,Luna,,1,,5/9/2022 11:49
correa,,Correa,,1,,5/9/2022 11:49
ferreyra,,Ferreyra,,1,,5/9/2022 11:49
navarro,,Navarro,,1,,5/9/2022 11:49
quiroga,,Quiroga,,1,,5/9/2022 11:49
colombo,,Colombo,,1,,5/9/2022 11:49
cohen,,Cohen,,1,,5/9/2022 11:49
vera,,Vera,,1,,5/9/2022 11:49
lorenzo,,Lorenzo,,1,,5/9/2022 11:49
gil,,Gil,,1,,5/9/2022 11:49
santos,,Santos,,1,,5/9/2022 11:49
delgado,,Delgado,,1,,5/9/2022 11:49
godoy,,Godoy,,1,,5/9/2022 11:49
rivas,,Rivas,,1,,5/9/2022 11:49
rivero,,Rivero,,1,,5/9/2022 11:49
gallo,,Gallo,,1,,5/9/2022 11:49
peralta,,Peralta,,1,,5/9/2022 11:49
soto,,Soto,,1,,5/9/2022 11:49
figueroa,,Figueroa,,1,,5/9/2022 11:49
juàrez,,Juàrez,,1,,5/9/2022 11:49
marino,,Marino,,1,,5/9/2022 11:49
ponce,,Ponce,,1,,5/9/2022 11:49
calvo,,Calvo,,1,,5/9/2022 11:49
ibàñez,,Ibàñez,,1,,5/9/2022 11:49
càceres,,Càceres,,1,,5/9/2022 11:49
carrizo,,Carrizo,,1,,5/9/2022 11:49
vargas,,Vargas,,1,,5/9/2022 11:49
mendoza,,Mendoza,,1,,5/9/2022 11:49
aguilar,,Aguilar,,1,,5/9/2022 11:49
ledesma,,Ledesma,,1,,5/9/2022 11:49
guzmàn,,Guzmàn,,1,,5/9/2022 11:49
soria,,Soria,,1,,5/9/2022 11:49
villalba,,Villalba,,1,,5/9/2022 11:49
prieto,,Prieto,,1,,5/9/2022 11:49
maldonado,,Maldonado,,1,,5/9/2022 11:49
gonzález,,González,,1,,5/16/2024 22:30
álvarez,,Álvarez,,1,,5/16/2024 22:30
sánchez,,Sánchez,,1,,5/16/2024 22:30
vásquez,,Vásquez,,1,,5/16/2024 22:30
suárez,,Suárez,,1,,5/16/2024 22:30
núñez,,Núñez,,1,,5/16/2024 22:30
hernández,,Hernández,,1,,5/16/2024 22:30
juárez,,Juárez,,1,,5/16/2024 22:30
ibáñez,,Ibáñez,,1,,5/16/2024 22:30
cáceres,,Cáceres,,1,,5/16/2024 22:30
guzmán,,Guzmán,,1,,5/16/2024 22:30
sousa,,Sousa,,1,,5/16/2024 22:30
oliveira,,Oliveira,,1,,5/16/2024 22:30
pereira,,Pereira,,1,,5/16/2024 22:30
lima,,Lima,,1,,5/16/2024 22:30
carvalho,,Carvalho,,1,,5/16/2024 22:30
ferreira,,Ferreira,,1,,5/16/2024 22:30
rodrigues,,Rodrigues,,1,,5/16/2024 22:30
almeida,,Almeida,,1,,5/16/2024 22:30
gomes,,Gomes,,1,,5/16/2024 22:30
martins,,Martins,,1,,5/16/2024 22:30
araújo,,Araújo,,1,,5/16/2024 22:30
melo,,Melo,,1,,5/16/2024 22:30
barbosa,,Barbosa,,1,,5/16/2024 22:30
ribeiro,,Ribeiro,,1,,5/16/2024 22:30
alves,,Alves,,1,,5/16/2024 22:30
cardoso,,Cardoso,,1,,5/16/2024 22:30
schmitz,,Schmitz,,1,,5/16/2024 22:30
