Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
â€” ,â€” ,â€” ,â€” ,â€” ,â€” ,â€” 
amelia,Breton,Amelia,,1,,5/9/2022 11:49
olivia,Brythonic,Olivia,,1,,5/9/2022 11:49
ava,Dutch,Ava,,1,,5/9/2022 11:49
isla,Flemish,Isla,,1,,5/9/2022 11:49
emily,French,Emily,,1,,5/9/2022 11:49
ella,Frisian,Ella,,1,,5/9/2022 11:49
mia,Gaulish,Mia,,1,,5/9/2022 11:49
isabella,German/Germanic,Isabella,,1,,5/9/2022 11:49
lily,Irish,Lily,,1,,5/9/2022 11:49
evie,Limburgish,Evie,,1,,5/9/2022 11:49
sophie,Low German,Sophie,,1,,5/9/2022 11:49
ruby,Norman,Ruby,,1,,5/9/2022 11:49
grace,Scottish,Grace,,1,,5/9/2022 11:49
freya,Scottish Gaelic,Freya,,1,,5/9/2022 11:49
poppy,Welsh,Poppy,,1,,5/9/2022 11:49
sophia,Yiddish,Sophia,,1,,5/9/2022 11:49
seren,,Seren,,1,,5/9/2022 11:49
isabelle,,Isabelle,,1,,5/9/2022 11:49
millie,,Millie,,1,,5/9/2022 11:49
ffion,,Ffion,,1,,5/9/2022 11:49
daisy,,Daisy,,1,,5/9/2022 11:49
sienna,,Sienna,,1,,5/9/2022 11:49
chloe,,Chloe,,1,,5/9/2022 11:49
scarlett,,Scarlett,,1,,5/9/2022 11:49
phoebe,,Phoebe,,1,,5/9/2022 11:49
erin,,Erin,,1,,5/9/2022 11:49
megan,,Megan,,1,,5/9/2022 11:49
layla,,Layla,,1,,5/9/2022 11:49
florence,,Florence,,1,,5/9/2022 11:49
rosie,,Rosie,,1,,5/9/2022 11:49
imogen,,Imogen,,1,,5/9/2022 11:49
eva,,Eva,,1,,5/9/2022 11:49
charlotte,,Charlotte,,1,,5/9/2022 11:49
ellie,,Ellie,,1,,5/9/2022 11:49
elsie,,Elsie,,1,,5/9/2022 11:49
lola,,Lola,,1,,5/9/2022 11:49
maisie,,Maisie,,1,,5/9/2022 11:49
sofia,,Sofia,,1,,5/9/2022 11:49
jessica,,Jessica,,1,,5/9/2022 11:49
esme,,Esme,,1,,5/9/2022 11:49
harper,,Harper,,1,,5/9/2022 11:49
thea,,Thea,,1,,5/9/2022 11:49
matilda,,Matilda,,1,,5/9/2022 11:49
molly,,Molly,,1,,5/9/2022 11:49
evelyn,,Evelyn,,1,,5/9/2022 11:49
gracie,,Gracie,,1,,5/9/2022 11:49
mali,,Mali,,1,,5/9/2022 11:49
lilly,,Lilly,,1,,5/9/2022 11:49
willow,,Willow,,1,,5/9/2022 11:49
lucy,,Lucy,,1,,5/9/2022 11:49
lottie,,Lottie,,1,,5/9/2022 11:49
alice,,Alice,,1,,5/9/2022 11:49
bella,,Bella,,1,,5/9/2022 11:49
emilia,,Emilia,,1,,5/9/2022 11:49
georgia,,Georgia,,1,,5/9/2022 11:49
lacey,,Lacey,,1,,5/9/2022 11:49
martha,,Martha,,1,,5/9/2022 11:49
darcie,,Darcie,,1,,5/9/2022 11:49
mila,,Mila,,1,,5/9/2022 11:49
ivy,,Ivy,,1,,5/9/2022 11:49
amber,,Amber,,1,,5/9/2022 11:49
harriet,,Harriet,,1,,5/9/2022 11:49
eliza,,Eliza,,1,,5/9/2022 11:49
jasmine,,Jasmine,,1,,5/9/2022 11:49
nia,,Nia,,1,,5/9/2022 11:49
alys,,Alys,,1,,5/9/2022 11:49
aria,,Aria,,1,,5/9/2022 11:49
faith,,Faith,,1,,5/9/2022 11:49
holly,,Holly,,1,,5/9/2022 11:49
lexi,,Lexi,,1,,5/9/2022 11:49
annabelle,,Annabelle,,1,,5/9/2022 11:49
carys,,Carys,,1,,5/9/2022 11:49
brooke,,Brooke,,1,,5/9/2022 11:49
efa,,Efa,,1,,5/9/2022 11:49
robyn,,Robyn,,1,,5/9/2022 11:49
summer,,Summer,,1,,5/9/2022 11:49
abigail,,Abigail,,1,,5/9/2022 11:49
elizabeth,,Elizabeth,,1,,5/9/2022 11:49
maya,,Maya,,1,,5/9/2022 11:49
mollie,,Mollie,,1,,5/9/2022 11:49
emma,,Emma,,1,,5/9/2022 11:49
cadi,,Cadi,,1,,5/9/2022 11:49
hannah,,Hannah,,1,,5/9/2022 11:49
violet,,Violet,,1,,5/9/2022 11:49
lili,,Lili,,1,,5/9/2022 11:49
lois,,Lois,,1,,5/9/2022 11:49
nancy,,Nancy,,1,,5/9/2022 11:49
anna,,Anna,,1,,5/9/2022 11:49
lowri,,Lowri,,1,,5/9/2022 11:49
madison,,Madison,,1,,5/9/2022 11:49
paige,,Paige,,1,,5/9/2022 11:49
amelie,,Amelie,,1,,5/9/2022 11:49
bonnie,,Bonnie,,1,,5/9/2022 11:49
eira,,Eira,,1,,5/9/2022 11:49
mya,,Mya,,1,,5/9/2022 11:49
skyla,,Skyla,,1,,5/9/2022 11:49
darcey,,Darcey,,1,,5/9/2022 11:49
ela,,Ela,,1,,5/9/2022 11:49
eleanor,,Eleanor,,1,,5/9/2022 11:49
elin,,Elin,,1,,5/9/2022 11:49
eilidh,,Eilidh,,1,,5/9/2022 11:49
katie,,Katie,,1,,5/9/2022 11:49
orla,,Orla,,1,,5/9/2022 11:49
skye,,Skye,,1,,5/9/2022 11:49
leah,,Leah,,1,,5/9/2022 11:49
zoe,,Zoe,,1,,5/9/2022 11:49
amy,,Amy,,1,,5/9/2022 11:49
hollie,,Hollie,,1,,5/9/2022 11:49
niamh,,Niamh,,1,,5/9/2022 11:49
rebecca,,Rebecca,,1,,5/9/2022 11:49
zara,,Zara,,1,,5/9/2022 11:49
abbie,,Abbie,,1,,5/9/2022 11:49
kayla,,Kayla,,1,,5/9/2022 11:49
cara,,Cara,,1,,5/9/2022 11:49
sarah,,Sarah,,1,,5/9/2022 11:49
rose,,Rose,,1,,5/9/2022 11:49
ayla,,Ayla,,1,,5/9/2022 11:49
rachel,,Rachel,,1,,5/9/2022 11:49
iona,,Iona,,1,,5/9/2022 11:49
julia,,Julia,,1,,5/9/2022 11:49
darcy,,Darcy,,1,,5/9/2022 11:49
lauren,,Lauren,,1,,5/9/2022 11:49
arianna,,Arianna,,1,,5/9/2022 11:49
eve,,Eve,,1,,5/9/2022 11:49
caitlin,,Caitlin,,1,,5/9/2022 11:49
beth,,Beth,,1,,5/9/2022 11:49
maria,,Maria,,1,,5/9/2022 11:49
heidi,,Heidi,,1,,5/9/2022 11:49
hope,,Hope,,1,,5/9/2022 11:49
ariana,,Ariana,,1,,5/9/2022 11:49
