Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
—,—,—,—,—,—,—
oliver,Breton,Oliver,,1,,5/9/2022 11:49
george,Brythonic,George,,1,,5/9/2022 11:49
harry,Dutch,Harry,,1,,5/9/2022 11:49
jack,Flemish,Jack,,1,,5/9/2022 11:49
jacob,French,Jacob,,1,,5/9/2022 11:49
noah,Frisian,Noah,,1,,5/9/2022 11:49
charlie,Gaulish,Charlie,,1,,5/9/2022 11:49
thomas,German/Germanic,Thomas,,1,,5/9/2022 11:49
oscar,Irish,Oscar,,1,,5/9/2022 11:49
william,Limburgish,William,,1,,5/9/2022 11:49
james,Low German,James,,1,,5/9/2022 11:49
henry,Norman,Henry,,1,,5/9/2022 11:49
leo,Scottish,Leo,,1,,5/9/2022 11:49
alfie,Scottish Gaelic,Alfie,,1,,5/9/2022 11:49
joshua,Welsh,Joshua,,1,,5/9/2022 11:49
freddie,Yiddish,Freddie,,1,,5/9/2022 11:49
archie,,Archie,,1,,5/9/2022 11:49
ethan,,Ethan,,1,,5/9/2022 11:49
isaac,,Isaac,,1,,5/9/2022 11:49
alexander,,Alexander,,1,,5/9/2022 11:49
joseph,,Joseph,,1,,5/9/2022 11:49
edward,,Edward,,1,,5/9/2022 11:49
samuel,,Samuel,,1,,5/9/2022 11:49
max,,Max,,1,,5/9/2022 11:49
daniel,,Daniel,,1,,5/9/2022 11:49
arthur,,Arthur,,1,,5/9/2022 11:49
lucas,,Lucas,,1,,5/9/2022 11:49
logan,,Logan,,1,,5/9/2022 11:49
theo,,Theo,,1,,5/9/2022 11:49
harrison,,Harrison,,1,,5/9/2022 11:49
benjamin,,Benjamin,,1,,5/9/2022 11:49
mason,,Mason,,1,,5/9/2022 11:49
sebastian,,Sebastian,,1,,5/9/2022 11:49
finley,,Finley,,1,,5/9/2022 11:49
adam,,Adam,,1,,5/9/2022 11:49
dylan,,Dylan,,1,,5/9/2022 11:49
zachary,,Zachary,,1,,5/9/2022 11:49
riley,,Riley,,1,,5/9/2022 11:49
teddy,,Teddy,,1,,5/9/2022 11:49
theodore,,Theodore,,1,,5/9/2022 11:49
david,,David,,1,,5/9/2022 11:49
toby,,Toby,,1,,5/9/2022 11:49
jake,,Jake,,1,,5/9/2022 11:49
louie,,Louie,,1,,5/9/2022 11:49
elijah,,Elijah,,1,,5/9/2022 11:49
reuben,,Reuben,,1,,5/9/2022 11:49
arlo,,Arlo,,1,,5/9/2022 11:49
hugo,,Hugo,,1,,5/9/2022 11:49
luca,,Luca,,1,,5/9/2022 11:49
jaxon,,Jaxon,,1,,5/9/2022 11:49
matthew,,Matthew,,1,,5/9/2022 11:49
harvey,,Harvey,,1,,5/9/2022 11:49
reggie,,Reggie,,1,,5/9/2022 11:49
michael,,Michael,,1,,5/9/2022 11:49
harley,,Harley,,1,,5/9/2022 11:49
jude,,Jude,,1,,5/9/2022 11:49
albert,,Albert,,1,,5/9/2022 11:49
tommy,,Tommy,,1,,5/9/2022 11:49
luke,,Luke,,1,,5/9/2022 11:49
stanley,,Stanley,,1,,5/9/2022 11:49
jenson,,Jenson,,1,,5/9/2022 11:49
frankie,,Frankie,,1,,5/9/2022 11:49
jayden,,Jayden,,1,,5/9/2022 11:49
gabriel,,Gabriel,,1,,5/9/2022 11:49
elliot,,Elliot,,1,,5/9/2022 11:49
ronnie,,Ronnie,,1,,5/9/2022 11:49
charles,,Charles,,1,,5/9/2022 11:49
louis,,Louis,,1,,5/9/2022 11:49
elliott,,Elliott,,1,,5/9/2022 11:49
frederick,,Frederick,,1,,5/9/2022 11:49
nathan,,Nathan,,1,,5/9/2022 11:49
lewis,,Lewis,,1,,5/9/2022 11:49
blake,,Blake,,1,,5/9/2022 11:49
rory,,Rory,,1,,5/9/2022 11:49
ollie,,Ollie,,1,,5/9/2022 11:49
ryan,,Ryan,,1,,5/9/2022 11:49
tyler,,Tyler,,1,,5/9/2022 11:49
jackson,,Jackson,,1,,5/9/2022 11:49
dexter,,Dexter,,1,,5/9/2022 11:49
alex,,Alex,,1,,5/9/2022 11:49
austin,,Austin,,1,,5/9/2022 11:49
kai,,Kai,,1,,5/9/2022 11:49
albie,,Albie,,1,,5/9/2022 11:49
caleb,,Caleb,,1,,5/9/2022 11:49
carter,,Carter,,1,,5/9/2022 11:49
bobby,,Bobby,,1,,5/9/2022 11:49
ezra,,Ezra,,1,,5/9/2022 11:49
ellis,,Ellis,,1,,5/9/2022 11:49
leon,,Leon,,1,,5/9/2022 11:49
roman,,Roman,,1,,5/9/2022 11:49
ibrahim,,Ibrahim,,1,,5/9/2022 11:49
aaron,,Aaron,,1,,5/9/2022 11:49
liam,,Liam,,1,,5/9/2022 11:49
jesse,,Jesse,,1,,5/9/2022 11:49
jasper,,Jasper,,1,,5/9/2022 11:49
felix,,Felix,,1,,5/9/2022 11:49
jamie,,Jamie,,1,,5/9/2022 11:49
osian,,Osian,,1,,5/9/2022 11:49
harri,,Harri,,1,,5/9/2022 11:49
jac,,Jac,,1,,5/9/2022 11:49
rhys,,Rhys,,1,,5/9/2022 11:49
evan,,Evan,,1,,5/9/2022 11:49
morgan,,Morgan,,1,,5/9/2022 11:49
rowan,,Rowan,,1,,5/9/2022 11:49
owen,,Owen,,1,,5/9/2022 11:49
sonny,,Sonny,,1,,5/9/2022 11:49
elis,,Elis,,1,,5/9/2022 11:49
kian,,Kian,,1,,5/9/2022 11:49
eli,,Eli,,1,,5/9/2022 11:49
gethin,,Gethin,,1,,5/9/2022 11:49
cody,,Cody,,1,,5/9/2022 11:49
owain,,Owain,,1,,5/9/2022 11:49
ashton,,Ashton,,1,,5/9/2022 11:49
ifan,,Ifan,,1,,5/9/2022 11:49
levi,,Levi,,1,,5/9/2022 11:49
seth,,Seth,,1,,5/9/2022 11:49
harris,,Harris,,1,,5/9/2022 11:49
finlay,,Finlay,,1,,5/9/2022 11:49
callum,,Callum,,1,,5/9/2022 11:49
cameron,,Cameron,,1,,5/9/2022 11:49
brodie,,Brodie,,1,,5/9/2022 11:49
andrew,,Andrew,,1,,5/9/2022 11:49
connor,,Connor,,1,,5/9/2022 11:49
muhammad,,Muhammad,,1,,5/9/2022 11:49
kyle,,Kyle,,1,,5/9/2022 11:49
finn,,Finn,,1,,5/9/2022 11:49
fraser,,Fraser,,1,,5/9/2022 11:49
murray,,Murray,,1,,5/9/2022 11:49
john,,John,,1,,5/9/2022 11:49
arran,,Arran,,1,,5/9/2022 11:49
angus,,Angus,,1,,5/9/2022 11:49
cole,,Cole,,1,,5/9/2022 11:49
robert,,Robert,,1,,5/9/2022 11:49
cooper,,Cooper,,1,,5/9/2022 11:49
aiden,,Aiden,,1,,5/9/2022 11:49
ben,,Ben,,1,,5/9/2022 11:49
euan,,Euan,,1,,5/9/2022 11:49
josh,,Josh,,1,,5/9/2022 11:49
blair,,Blair,,1,,5/9/2022 11:49
robbie,,Robbie,,1,,5/9/2022 11:49
hamish,,Hamish,,1,,5/9/2022 11:49
sam,,Sam,,1,,5/9/2022 11:49
aidan,,Aidan,,1,,5/9/2022 11:49
jay,,Jay,,1,,5/9/2022 11:49
christopher,,Christopher,,1,,5/9/2022 11:49
lachlan,,Lachlan,,1,,5/9/2022 11:49
calum,,Calum,,1,,5/9/2022 11:49
carson,,Carson,,1,,5/9/2022 11:49
calvin,,Calvin,,1,,5/9/2022 11:49
callan,,Callan,,1,,5/9/2022 11:49
conor,,Conor,,1,,5/9/2022 11:49
sean,,Sean,,1,,5/9/2022 11:49
oisin,,Oisin,,1,,5/9/2022 11:49
cian,,Cian,,1,,5/9/2022 11:49
patrick,,Patrick,,1,,5/9/2022 11:49
fionn,,Fionn,,1,,5/9/2022 11:49
cillian,,Cillian,,1,,5/9/2022 11:49
rian,,Rian,,1,,5/9/2022 11:49
tom,,Tom,,1,,5/9/2022 11:49
eoin,,Eoin,,1,,5/9/2022 11:49
ronan,,Ronan,,1,,5/9/2022 11:49
senan,,Senan,,1,,5/9/2022 11:49
mark,,Mark,,1,,5/9/2022 11:49
cathal,,Cathal,,1,,5/9/2022 11:49
danny,,Danny,,1,,5/9/2022 11:49
donnacha,,Donnacha,,1,,5/9/2022 11:49
eoghan,,Eoghan,,1,,5/9/2022 11:49
shane,,Shane,,1,,5/9/2022 11:49
scott,,Scott,,1,,5/9/2022 11:49
peter,,Peter,,1,,5/9/2022 11:49
dara,,Dara,,1,,5/9/2022 11:49
shay,,Shay,,1,,5/9/2022 11:49
billy,,Billy,,1,,5/9/2022 11:49
anthony,,Anthony,,1,,5/9/2022 11:49
martin,,Martin,,1,,5/9/2022 11:49
kevin,,Kevin,,1,,5/9/2022 11:49
lorcan,,Lorcan,,1,,5/9/2022 11:49
cormac,,Cormac,,1,,5/9/2022 11:49
tomas,,Tomas,,1,,5/9/2022 11:49
brian,,Brian,,1,,5/9/2022 11:49
killian,,Killian,,1,,5/9/2022 11:49
jonathan,,Jonathan,,1,,5/9/2022 11:49
zach,,Zach,,1,,5/9/2022 11:49
daragh,,Daragh,,1,,5/9/2022 11:49
hugh,,Hugh,,1,,5/9/2022 11:49
colin,,Colin,,1,,5/9/2022 11:49
craig,,Craig,,1,,5/9/2022 11:49
richard,,Richard,,1,,5/9/2022 11:49
tristan,,Tristan,,1,,5/9/2022 11:49
darren,,Darren,,1,,5/9/2022 11:49
denis,,Denis,,1,,5/9/2022 11:49
philip,,Philip,,1,,5/9/2022 11:49
simon,,Simon,,1,,5/9/2022 11:49
filip,,Filip,,1,,5/9/2022 11:49
gerard,,Gerard,,1,,5/9/2022 11:49
karl,,Karl,,1,,5/9/2022 11:49
eric,,Eric,,1,,5/9/2022 11:49
seamus,,Seamus,,1,,5/9/2022 11:49
brendan,,Brendan,,1,,5/9/2022 11:49
shaun,,Shaun,,1,,5/9/2022 11:49
steven,,Steven,,1,,5/9/2022 11:49
marcus,,Marcus,,1,,5/9/2022 11:49
keith,,Keith,,1,,5/9/2022 11:49
dillon,,Dillon,,1,,5/9/2022 11:49
glen,,Glen,,1,,5/9/2022 11:49
barry,,Barry,,1,,5/9/2022 11:49
declan,,Declan,,1,,5/9/2022 11:49
emmet,,Emmet,,1,,5/9/2022 11:49
jordan,,Jordan,,1,,5/9/2022 11:49
donal,,Donal,,1,,5/9/2022 11:49
ian,,Ian,,1,,5/9/2022 11:49
gary,,Gary,,1,,5/9/2022 11:49
neil,,Neil,,1,,5/9/2022 11:49
emmanuel,,Emmanuel,,1,,5/9/2022 11:49
kayden,,Kayden,,1,,5/9/2022 11:49
paul,,Paul,,1,,5/9/2022 11:49
milan,,Milan,,1,,5/9/2022 11:49
daan,,Daan,,1,,5/9/2022 11:49
bram,,Bram,,1,,5/9/2022 11:49
tim,,Tim,,1,,5/9/2022 11:49
lars,,Lars,,1,,5/9/2022 11:49
ruben,,Ruben,,1,,5/9/2022 11:49
julian,,Julian,,1,,5/9/2022 11:49
siem,,Siem,,1,,5/9/2022 11:49
vince,,Vince,,1,,5/9/2022 11:49
sven,,Sven,,1,,5/9/2022 11:49
teun,,Teun,,1,,5/9/2022 11:49
jan,,Jan,,1,,5/9/2022 11:49
tygo,,Tygo,,1,,5/9/2022 11:49
jens,,Jens,,1,,5/9/2022 11:49
mats,,Mats,,1,,5/9/2022 11:49
dex,,Dex,,1,,5/9/2022 11:49
floris,,Floris,,1,,5/9/2022 11:49
guus,,Guus,,1,,5/9/2022 11:49
cas,,Cas,,1,,5/9/2022 11:49
olivier,,Olivier,,1,,5/9/2022 11:49
boaz,,Boaz,,1,,5/9/2022 11:49
joep,,Joep,,1,,5/9/2022 11:49
jurre,,Jurre,,1,,5/9/2022 11:49
pim,,Pim,,1,,5/9/2022 11:49
roan,,Roan,,1,,5/9/2022 11:49
senn,,Senn,,1,,5/9/2022 11:49
dean,,Dean,,1,,5/9/2022 11:49
daley,,Daley,,1,,5/9/2022 11:49
quinn,,Quinn,,1,,5/9/2022 11:49
jason,,Jason,,1,,5/9/2022 11:49
joris,,Joris,,1,,5/9/2022 11:49
tobias,,Tobias,,1,,5/9/2022 11:49
dani,,Dani,,1,,5/9/2022 11:49
willem,,Willem,,1,,5/9/2022 11:49
hidde,,Hidde,,1,,5/9/2022 11:49
rayan,,Rayan,,1,,5/9/2022 11:49
bas,,Bas,,1,,5/9/2022 11:49
johannes,,Johannes,,1,,5/9/2022 11:49
morris,,Morris,,1,,5/9/2022 11:49
stan,,Stan,,1,,5/9/2022 11:49
casper,,Casper,,1,,5/9/2022 11:49
koen,,Koen,,1,,5/9/2022 11:49
nick,,Nick,,1,,5/9/2022 11:49
joey,,Joey,,1,,5/9/2022 11:49
jax,,Jax,,1,,5/9/2022 11:49
stef,,Stef,,1,,5/9/2022 11:49
job,,Job,,1,,5/9/2022 11:49
mick,,Mick,,1,,5/9/2022 11:49
abel,,Abel,,1,,5/9/2022 11:49
niels,,Niels,,1,,5/9/2022 11:49
jelle,,Jelle,,1,,5/9/2022 11:49
kyan,,Kyan,,1,,5/9/2022 11:49
jace,,Jace,,1,,5/9/2022 11:49
raphael,,Raphael,,1,,5/9/2022 11:49
