game reference key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[the key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
—,—,—,—,—,—,—
gruber,,Gruber,,9,,5/9/2022 11:49
huber,,Huber,,3,,5/9/2022 11:49
bauer,,Bauer,,5,,5/9/2022 11:49
wagner,,Wagner,,6,,5/9/2022 11:49
muller,,Muller,,4,,5/9/2022 11:49
pichler,,Pichler,,4,,5/9/2022 11:49
steiner,,Steiner,,6,,5/9/2022 11:49
moser,,Moser,,6,,5/9/2022 11:49
mayer,,Mayer,,6,,5/9/2022 11:49
hofer,,Hofer,,5,,5/9/2022 11:49
leitner,,Leitner,,5,,5/9/2022 11:49
berger,,Berger,,6,,5/9/2022 11:49
fuchs,,Fuchs,,1,,5/9/2022 11:49
eder,,Eder,,1,,5/9/2022 11:49
fischer,,Fischer,,5,,5/9/2022 11:49
schmid,,Schmid,,4,,5/9/2022 11:49
winkler,,Winkler,,3,,5/9/2022 11:49
weber,,Weber,,1,,5/9/2022 11:49
schwarz,,Schwarz,,10,,5/9/2022 11:49
maier,,Maier,,6,,5/9/2022 11:49
schneider,,Schneider,,7,,5/9/2022 11:49
reiter,,Reiter,,4,,5/9/2022 11:49
mayr,,Mayr,,2,,5/9/2022 11:49
schmidt,,Schmidt,,9,,5/9/2022 11:49
wimmer,,Wimmer,,4,,5/9/2022 11:49
egger,,Egger,,1,,5/9/2022 11:49
brunner,,Brunner,,1,,5/9/2022 11:49
lang,,Lang,,6,,5/9/2022 11:49
baumgartner,,Baumgartner,,3,,5/9/2022 11:49
auer,,Auer,,1,,5/9/2022 11:49
binder,,Binder,,3,,5/9/2022 11:49
lechner,,Lechner,,3,,5/9/2022 11:49
wolf,,Wolf,,4,,5/9/2022 11:49
wallner,,Wallner,,3,,5/9/2022 11:49
aigner,,Aigner,,4,,5/9/2022 11:49
ebner,,Ebner,,4,,5/9/2022 11:49
koller,,Koller,,4,,5/9/2022 11:49
lehner,,Lehner,,4,,5/9/2022 11:49
haas,,Haas,,5,,5/9/2022 11:49
schuster,,Schuster,,9,,5/9/2022 11:49
peeters,,Peeters,,3,,5/9/2022 11:49
janssens,,Janssens,,3,,5/9/2022 11:49
maes,,Maes,,1,,5/9/2022 11:49
jacobs,,Jacobs,,6,,5/9/2022 11:49
mertens,,Mertens,,6,,5/9/2022 11:49
willems,,Willems,,5,,5/9/2022 11:49
claes,,Claes,,4,,5/9/2022 11:49
goossens,,Goossens,,3,,5/9/2022 11:49
wouters,,Wouters,,3,,5/9/2022 11:49
de smet,,de Smet,,3,,5/9/2022 11:49
dubois,,Dubois,,3,,5/9/2022 11:49
lambert,,Lambert,,9,,5/9/2022 11:49
dupont,,Dupont,,10,,5/9/2022 11:49
martin,,Martin,,10,,5/9/2022 11:49
simon,,Simon,,7,,5/9/2022 11:49
novák,,Novák,,3,,5/9/2022 11:49
svoboda,,Svoboda,,1,,5/9/2022 11:49
novotný,,Novotný,,1,,5/9/2022 11:49
dvorák,,Dvorák,,3,,5/9/2022 11:49
cerný,,Cerný,,3,,5/9/2022 11:49
procházka,,Procházka,,4,,5/9/2022 11:49
kucera,,Kucera,,1,,5/9/2022 11:49
veselý,,Veselý,,3,,5/9/2022 11:49
horák,,Horák,,3,,5/9/2022 11:49
nemec,,Nemec,,3,,5/9/2022 11:49
bernard,,Bernard,,5,,5/9/2022 11:49
thomas,,Thomas,,5,,5/9/2022 11:49
robert,,Robert,,3,,5/9/2022 11:49
richard,,Richard,,4,,5/9/2022 11:49
petit,,Petit,,8,,5/9/2022 11:49
durand,,Durand,,8,,5/9/2022 11:49
leroy,,Leroy,,4,,5/9/2022 11:49
moreau,,Moreau,,5,,5/9/2022 11:49
laurent,,Laurent,,10,,5/9/2022 11:49
lefebvre,,Lefebvre,,1,,5/9/2022 11:49
michel,,Michel,,6,,5/9/2022 11:49
garcia,,Garcia,,5,,5/9/2022 11:49
david,,David,,4,,5/9/2022 11:49
bertrand,,Bertrand,,5,,5/9/2022 11:49
roux,,Roux,,10,,5/9/2022 11:49
vincent,,Vincent,,6,,5/9/2022 11:49
fournier,,Fournier,,5,,5/9/2022 11:49
morel,,Morel,,4,,5/9/2022 11:49
girard,,Girard,,5,,5/9/2022 11:49
andré,,André,,4,,5/9/2022 11:49
lefèvre,,Lefèvre,,6,,5/9/2022 11:49
mercier,,Mercier,,3,,5/9/2022 11:49
bonnet,,Bonnet,,7,,5/9/2022 11:49
françois,,François,,2,,5/9/2022 11:49
meyer,,Meyer,,7,,5/9/2022 11:49
schulz,,Schulz,,8,,5/9/2022 11:49
becker,,Becker,,4,,5/9/2022 11:49
hoffmann,,Hoffmann,,6,,5/9/2022 11:49
murphy,,Murphy,,9,,5/9/2022 11:49
kelly,,Kelly,,7,,5/9/2022 11:49
sullivan,,Sullivan,,7,,5/9/2022 11:49
walsh,,Walsh,,6,,5/9/2022 11:49
smith,,Smith,,9,,5/9/2022 11:49
o'brien,,O'Brien,,6,,5/9/2022 11:49
byrne,,Byrne,,7,,5/9/2022 11:49
ryan,,Ryan,,7,,5/9/2022 11:49
o'connor,,O'Connor,,6,,5/9/2022 11:49
o'neill,,O'Neill,,6,,5/9/2022 11:49
reilly,,Reilly,,5,,5/9/2022 11:49
doyle,,Doyle,,5,,5/9/2022 11:49
mccarthy,,McCarthy,,9,,5/9/2022 11:49
gallagher,,Gallagher,,10,,5/9/2022 11:49
doherty,,Doherty,,6,,5/9/2022 11:49
kennedy,,Kennedy,,2,,5/9/2022 11:49
lynch,,Lynch,,9,,5/9/2022 11:49
murray,,Murray,,4,,5/9/2022 11:49
quinn,,Quinn,,4,,5/9/2022 11:49
moore,,Moore,,4,,5/9/2022 11:49
de jong,,de Jong,,8,,5/9/2022 11:49
jansen,,Jansen,,7,,5/9/2022 11:49
de vries,,de Vries,,5,,5/9/2022 11:49
van den berg,,van den Berg,,5,,5/9/2022 11:49
van dyk,,van Dyk,,7,,5/9/2022 11:49
bakker,,Bakker,,3,,5/9/2022 11:49
janssen,,Janssen,,3,,5/9/2022 11:49
visser,,Visser,,4,,5/9/2022 11:49
smit,,Smit,,1,,5/9/2022 11:49
de boer,,de Boer,,5,,5/9/2022 11:49
mulder,,Mulder,,4,,5/9/2022 11:49
de groot,,de Groot,,4,,5/9/2022 11:49
bos,,Bos,,3,,5/9/2022 11:49
vos,,Vos,,1,,5/9/2022 11:49
peters,,Peters,,7,,5/9/2022 11:49
hendriks,,Hendriks,,9,,5/9/2022 11:49
van leeuwen,,van Leeuwen,,2,,5/9/2022 11:49
dekker,,Dekker,,3,,5/9/2022 11:49
brouwer,,Brouwer,,3,,5/9/2022 11:49
de wit,,de Wit,,5,,5/9/2022 11:49
dijkstra,,Dijkstra,,3,,5/9/2022 11:49
smits,,Smits,,3,,5/9/2022 11:49
de graaf,,de Graaf,,3,,5/9/2022 11:49
van der meer,,van der Meer,,4,,5/9/2022 11:49
bianchi,,Bianchi,,5,,5/9/2022 11:49
bernasconi,,Bernasconi,,3,,5/9/2022 11:49
fontana,,Fontana,,3,,5/9/2022 11:49
crivelli,,Crivelli,,3,,5/9/2022 11:49
galli,,Galli,,3,,5/9/2022 11:49
cereghetti,,Cereghetti,,3,,5/9/2022 11:49
colombo,,Colombo,,9,,5/9/2022 11:49
rossi,,Rossi,,7,,5/9/2022 11:49
ferrari,,Ferrari,,4,,5/9/2022 11:49
cavadini,,Cavadini,,5,,5/9/2022 11:49
meier,,Meier,,5,,5/9/2022 11:49
keller,,Keller,,3,,5/9/2022 11:49
baumann,,Baumann,,3,,5/9/2022 11:49
gerber,,Gerber,,1,,5/9/2022 11:49
frei,,Frei,,4,,5/9/2022 11:49
jones,,Jones,,7,,5/9/2022 11:49
taylor,,Taylor,,8,,5/9/2022 11:49
brown,,Brown,,8,,5/9/2022 11:49
williams,,Williams,,7,,5/9/2022 11:49
wilson,,Wilson,,2,,5/9/2022 11:49
johnson,,Johnson,,8,,5/9/2022 11:49
davies,,Davies,,8,,5/9/2022 11:49
robinson,,Robinson,,8,,5/9/2022 11:49
wright,,Wright,,7,,5/9/2022 11:49
thompson,,Thompson,,8,,5/9/2022 11:49
evans,,Evans,,8,,5/9/2022 11:49
walker,,Walker,,8,,5/9/2022 11:49
white,,White,,5,,5/9/2022 11:49
roberts,,Roberts,,4,,5/9/2022 11:49
green,,Green,,4,,5/9/2022 11:49
hall,,Hall,,5,,5/9/2022 11:49
wood,,Wood,,5,,5/9/2022 11:49
jackson,,Jackson,,7,,5/9/2022 11:49
clarke,,Clarke,,8,,5/9/2022 11:49
robertson,,Robertson,,4,,5/9/2022 11:49
thomson,,Thomson,,7,,5/9/2022 11:49
campbell,,Campbell,,4,,5/9/2022 11:49
stewart,,Stewart,,5,,5/9/2022 11:49
anderson,,Anderson,,5,,5/9/2022 11:49
scott,,Scott,,6,,5/9/2022 11:49
macdonald,,MacDonald,,7,,5/9/2022 11:49
reid,,Reid,,6,,5/9/2022 11:49
clark,,Clark,,6,,5/9/2022 11:49
ross,,Ross,,7,,5/9/2022 11:49
young,,Young,,7,,5/9/2022 11:49
mitchell,,Mitchell,,7,,5/9/2022 11:49
watson,,Watson,,5,,5/9/2022 11:49
paterson,,Paterson,,8,,5/9/2022 11:49
morrison,,Morrison,,5,,5/9/2022 11:49
sanders,,Sanders,,8,,5/9/2022 11:49
lewis,,Lewis,,6,,5/9/2022 11:49
hughes,,Hughes,,7,,5/9/2022 11:49
morgan,,Morgan,,8,,5/9/2022 11:49
griffiths,,Griffiths,,8,,5/9/2022 11:49
edwards,,Edwards,,5,,5/9/2022 11:49
james,,James,,5,,5/9/2022 11:49
rees,,Rees,,6,,5/9/2022 11:49
jenkins,,Jenkins,,6,,5/9/2022 11:49
owen,,Owen,,5,,5/9/2022 11:49
price,,Price,,6,,5/9/2022 11:49
phillips,,Phillips,,4,,5/9/2022 11:49
moss,,Moss,,3,,5/9/2022 11:49
driscoll,,Driscoll,,8,,5/9/2022 11:49
andre,,Andre,,1,,5/9/2022 11:49
lefevre,,Lefevre,,1,,5/9/2022 11:49
francois,,Francois,,1,,5/9/2022 11:49
legrand,,Legrand,,8,,5/9/2022 11:49
garnier,,Garnier,,7,,5/9/2022 11:49
faure,,Faure,,6,,5/9/2022 11:49
rousseau,,Rousseau,,7,,5/9/2022 11:49
blanc,,Blanc,,8,,5/9/2022 11:49
guerin,,Guerin,,2,,5/9/2022 11:49
henry,,Henry,,3,,5/9/2022 11:49
roussel,,Roussel,,2,,5/9/2022 11:49
nicolas,,Nicolas,,3,,5/9/2022 11:49
schafer,,Schafer,,7,,5/9/2022 11:49
koch,,Koch,,4,,5/9/2022 11:49
richter,,Richter,,6,,5/9/2022 11:49
klein,,Klein,,5,,5/9/2022 11:49
schroder,,Schroder,,2,,5/9/2022 11:49
neumann,,Neumann,,2,,5/9/2022 11:49
zimmermann,,Zimmermann,,2,,5/9/2022 11:49
braun,,Braun,,4,,5/9/2022 11:49
kruger,,Kruger,,3,,5/9/2022 11:49
hofmann,,Hofmann,,4,,5/9/2022 11:49
hartmann,,Hartmann,,3,,5/9/2022 11:49
lange,,Lange,,2,,5/9/2022 11:49
werner,,Werner,,3,,5/9/2022 11:49
krause,,Krause,,3,,5/9/2022 11:49
lehmann,,Lehmann,,4,,5/9/2022 11:49
schulze,,Schulze,,4,,5/9/2022 11:49
maie,,Maie,,1,,5/9/2022 11:49
köhle,,Köhle,,1,,5/9/2022 11:49
herrmann,,Herrmann,,3,,5/9/2022 11:49
walter,,Walter,,3,,5/9/2022 11:49
kaiser,,Kaiser,,4,,5/9/2022 11:49
scholz,,Scholz,,1,,5/9/2022 11:49
moller,,Moller,,1,,5/9/2022 11:49
jung,,Jung,,1,,5/9/2022 11:49
hahn,,Hahn,,3,,5/9/2022 11:49
schubert,,Schubert,,8,,5/9/2022 11:49
vogel,,Vogel,,1,,5/9/2022 11:49
friedrich,,Friedrich,,1,,5/9/2022 11:49
gunther,,Gunther,,1,,5/9/2022 11:49
frank,,Frank,,1,,5/9/2022 11:49
albrecht,,Albrecht,,8,,5/9/2022 11:49
schumacher,,Schumacher,,7,,5/9/2022 11:49
engel,,Engel,,7,,5/9/2022 11:49
sauer,,Sauer,,5,,5/9/2022 11:49
pfeiffer,,Pfeiffer,,1,,5/9/2022 11:49
altier,,Altier,,1,,5/9/2022 11:49
ambroise,,Ambroise,,6,,5/9/2022 11:49
arquette,,Arquette,,7,,5/9/2022 11:49
auclair,,Auclair,,6,,5/9/2022 11:49
bastion,,Bastion,,6,,5/9/2022 11:49
barnette,,Barnette,,5,,5/9/2022 11:49
basque,,Basque,,6,,5/9/2022 11:49
beau,,Beau,,6,,5/9/2022 11:49
blaise,,Blaise,,6,,5/9/2022 11:49
bois,,Bois,,5,,5/9/2022 11:49
bouchard,,Bouchard,,6,,5/9/2022 11:49
bourbon,,Bourbon,,10,,5/9/2022 11:49
callais,,Callais,,4,,5/9/2022 11:49
cornette,,Cornette,,6,,5/9/2022 11:49
denis,,Denis,,1,,5/9/2022 11:49
dufresne,,Dufresne,,9,,5/9/2022 11:49
etienne,,Etienne,,8,,5/9/2022 11:49
