Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
— ,— ,— ,— ,— ,— ,— 
clean,,Clean,,1,,5/9/2022 11:49
soapy,,Soapy,,2,,5/9/2022 11:49
sparkle,,Sparkle,,1,,5/9/2022 11:49
sparkling,,Sparkling,,1,,5/9/2022 11:49
spotless,,Spotless,,2,,5/9/2022 11:49
24 hour,,24 Hour,,1,,5/9/2022 11:49
fresh,,Fresh,,1,,5/14/2024 2:16
bubbly,,Bubbly,,1,,5/14/2024 2:16
miracle,,Miracle,,1,,5/14/2024 2:16
squeaky,,Squeaky,,1,,5/14/2024 2:16
tidy,,Tidy,,1,,5/14/2024 2:16
