Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
—,—,—,—,—,—,—
red,,Red,red,2,,5/9/2022 11:49
scarlet,,Scarlet,red,10,,5/9/2022 11:49
ruby,,Ruby,red,9,,5/9/2022 11:49
crimson,,Crimson,red,10,,5/9/2022 11:49
cherry,,Cherry,red,7,,5/9/2022 11:49
jam,,Jam,red,4,,5/9/2022 11:49
merlot,,Merlot,red,4,,5/9/2022 11:49
sepia,,Sepia,red,5,,5/14/2024 2:16
sanguine,,Sanguine,red,5,,5/14/2024 2:16
sangria,,Sangria,red,3,,5/14/2024 2:16
burgundy,,Burgundy,red,4,,5/14/2024 2:16
maroon,,Maroon,red,5,,5/14/2024 2:16
white,,White,white,1,,5/9/2022 11:49
pearl,,Pearl,white,4,,5/9/2022 11:49
ivory,,Ivory,white,5,,5/9/2022 11:49
cotton,,Cotton,white,7,,5/9/2022 11:49
porcelain,,Porcelain,white,4,,5/9/2022 11:49
snow,,Snow,white,3,,5/9/2022 11:49
yellow,,Yellow,yellow,2,,5/9/2022 11:49
buttermilk,,Buttermilk,yellow,3,,5/9/2022 11:49
canary,,Canary,yellow,6,,5/9/2022 11:49
gold,,Gold,yellow,5,,5/9/2022 11:49
golden,,Golden,yellow,5,,5/9/2022 11:49
butterscotch,,Butterscotch,yellow,5,,5/9/2022 11:49
pineapple,,Pineapple,yellow,5,,5/9/2022 11:49
honey,,Honey,yellow,6,,5/9/2022 11:49
lemon,,Lemon,yellow,8,,5/9/2022 11:49
daffodil,,Daffodil,yellow,8,,5/9/2022 11:49
medallion,,Medallion,yellow,7,,5/9/2022 11:49
hornet,,Hornet,yellow,10,,5/9/2022 11:49
bumblebee,,Bumblebee,yellow,7,,5/9/2022 11:49
chartreuse,,Chartreuse,yellow,3,,5/14/2024 2:16
mustard,,Mustard,yellow,2,,5/14/2024 2:16
orange,,Orange,orange,3,,5/9/2022 11:49
tangerine,,Tangerine,orange,9,,5/9/2022 11:49
marigold,,Marigold,orange,7,,5/9/2022 11:49
smoldering,,Smouldering,orange,5,,5/9/2022 11:49
ginger,,Ginger,orange,9,,5/9/2022 11:49
amber,,Amber,orange,10,,5/9/2022 11:49
rust,,Rust,orange,6,,5/9/2022 11:49
bronze,,Bronze,orange,4,,5/9/2022 11:49
pink,,Pink,pink,3,,5/9/2022 11:49
blush,,Blush,pink,4,,5/9/2022 11:49
punch,,Punch,pink,5,,5/9/2022 11:49
rouge,,Rouge,pink,8,,5/9/2022 11:49
strawberry,,Strawberry,pink,6,,5/9/2022 11:49
salmon,,Salmon,pink,5,,5/9/2022 11:49
coral,,Coral,pink,7,,5/9/2022 11:49
flamingo,,Flamingo,pink,10,,5/9/2022 11:49
peach,,Peach,pink,5,,5/14/2024 2:16
magenta,,Magenta,pink,5,,5/14/2024 2:16
purple,,Purple,purple,5,,5/9/2022 11:49
violet,,Violet,purple,8,,5/9/2022 11:49
lilac,,Lilac,purple,6,,5/9/2022 11:49
plum,,Plum,purple,5,,5/9/2022 11:49
iris,,Iris,purple,4,,5/9/2022 11:49
mulberry,,Mulberry,purple,7,,5/9/2022 11:49
orchid,,Orchid,purple,8,,5/9/2022 11:49
mauve,,Mauve,purple,5,,5/14/2024 2:16
lavender,,Lavender,purple,5,,5/14/2024 2:16
wisteria,,Wisteria,purple,5,,5/14/2024 2:16
blue,,Blue,blue,3,,5/9/2022 11:49
indigo,,Indigo,blue,7,,5/9/2022 11:49
navy,,Navy,blue,4,,5/9/2022 11:49
cerulean,,Cerulean,blue,9,,5/9/2022 11:49
sapphire,,Sapphire,blue,9,,5/9/2022 11:49
cobalt,,Cobalt,blue,7,,5/9/2022 11:49
denim,,Denim,blue,2,,5/9/2022 11:49
azure,,Azure,blue,8,,5/9/2022 11:49
periwinkle,,Periwinkle,blue,3,,5/14/2024 2:16
cyan,,Cyan,blue,5,,5/14/2024 2:16
teal,,Teal,blue,5,,5/14/2024 2:16
green,,Green,green,1,,5/9/2022 11:49
juniper,,Juniper,green,6,,5/9/2022 11:49
sage,,Sage,green,5,,5/9/2022 11:49
lime,,Lime,green,5,,5/9/2022 11:49
olive,,Olive,green,5,,5/9/2022 11:49
jade,,Jade,green,10,,5/9/2022 11:49
mint,,Mint,green,7,,5/9/2022 11:49
moss,,Moss,green,6,,5/9/2022 11:49
pickle,,Pickle,green,4,,5/9/2022 11:49
pistachio,,Pistachio,green,4,,5/9/2022 11:49
viridian,,Viridian,green,7,,5/14/2024 2:16
verdant,,Verdant,green,5,,5/14/2024 2:16
brown,,Brown,brown,1,,5/14/2024 2:16
umber,,Umber,brown,3,,5/9/2022 11:49
hickory,,Hickory,brown,8,,5/9/2022 11:49
tawny,,Tawny,brown,5,,5/9/2022 11:49
almond,,Almond,brown,4,,5/14/2024 2:16
beige,,Beige,brown,2,,5/14/2024 2:16
grey,,Grey,grey,1,,5/14/2024 2:16
shadow,,Shadow,grey,5,,5/9/2022 11:49
graphite,,Graphite,grey,4,,5/9/2022 11:49
iron,,Iron,grey,9,,5/9/2022 11:49
ash,,Ash,grey,9,,5/9/2022 11:49
slate,,Slate,grey,5,,5/9/2022 11:49
pewter,,Pewter,grey,8,,5/9/2022 11:49
lead,,Lead,grey,5,,5/9/2022 11:49
black,,Black,black,1,,5/14/2024 2:16
midnight,,Midnight,black,6,,5/9/2022 11:49
ink,,Ink,black,7,,5/9/2022 11:49
obsidian,,Obsidian,black,9,,5/9/2022 11:49
onyx,,Onyx,black,8,,5/9/2022 11:49
