Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
— ,— ,— ,— ,— ,— ,— 
group,,Group,,1,,5/9/2022 11:49
finance,,Finance,,1,,5/9/2022 11:49
holdings co.,,Holdings Co.,,1,,5/9/2022 11:49
holdings,,Holdings,,1,,5/9/2022 11:49
credit union,,Credit Union,,1,,5/9/2022 11:49
bank group,,Bank Group,,1,,5/9/2022 11:49
financial,,Financial,,1,,5/9/2022 11:49
financial group,,Financial Group,,1,,5/9/2022 11:49
bank,,Bank,,1,,5/9/2022 11:49
savings company,,Savings Company,,1,,5/9/2022 11:49
investments,,Investments,,1,,5/9/2022 11:49
sterling,,Sterling,,1,,5/9/2022 11:49
state,,State,,1,,5/9/2022 11:49
east,,East,,1,,5/9/2022 11:49
west,,West,,1,,5/9/2022 11:49
savings bank,,Savings Bank,,1,,5/9/2022 11:49
trust,,Trust,,1,,5/9/2022 11:49
state bank,,State Bank,,1,,5/9/2022 11:49
choice,,Choice,,1,,5/9/2022 11:49
mutual,,Mutual,,1,,5/9/2022 11:49
co-operative,,Co-operative,,1,,5/9/2022 11:49
aspen,,Aspen,,1,,5/9/2022 11:49
banking group,,Banking Group,,1,,5/9/2022 11:49
banking,,Banking,,1,,5/9/2022 11:49
& partners,,& Partners,,1,,5/9/2022 11:49
accounts,,Accounts,,1,,5/9/2022 11:49
standard,,Standard,,1,,5/9/2022 11:49
reserve,,Reserve,,1,,5/9/2022 11:49
monopoly,,Monopoly,,1,,5/9/2022 11:49
corporation,,Corporation,,1,,5/14/2024 2:16
capital,,Capital,,1,,5/14/2024 2:16
partners,,Partners,,1,,5/14/2024 2:16
united,,United,,1,,5/14/2024 2:16
company,,Company,,1,,5/14/2024 2:16
