Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
— ,— ,— ,— ,— ,— ,— 
bar & grill,,Bar & Grill,,7,,5/9/2022 11:49
bar,,Bar,,10,,5/9/2022 11:49
brew house,,Brew House,,5,,5/9/2022 11:49
tavern,,Tavern,,9,,5/9/2022 11:49
tavern & grill,,Tavern & Grill,,5,,5/9/2022 11:49
saloon,,Saloon,,9,,5/9/2022 11:49
spirits,,Spirits,,1,,5/9/2022 11:49
lounge,,Lounge,,8,,5/9/2022 11:49
cantina,,Cantina,,6,,5/9/2022 11:49
social club,,Social Club,,7,,5/9/2022 11:49
social,,Social,,8,,5/9/2022 11:49
pub,,Pub,,5,,5/14/2024 2:16
alehouse,,Alehouse,,5,,5/14/2024 2:16
dive,,Dive,,3,,5/14/2024 2:16
barroom,,Barroom,,4,,5/14/2024 2:16
speakeasy,,Speakeasy,,3,,5/14/2024 2:16
taphouse,,Taphouse,,6,,5/14/2024 2:16
taproom,,Taproom,,3,,5/14/2024 2:16
joint,,Joint,,5,,5/14/2024 2:16
cabaret,,Cabaret,,1,,5/14/2024 2:16
