Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
— ,— ,— ,— ,— ,— ,— 
iris,,Iris,purple,1,Y,5/9/2022 11:49
orchid,,Orchid,purple,1,Y,5/9/2022 11:49
juniper,,Juniper,green,1,Y,5/9/2022 11:49
sage,,Sage,green,1,Y,5/9/2022 11:49
olive,,Olive,green,1,Y,5/9/2022 11:49
hickory,,Hickory,brown,1,Y,5/9/2022 11:49
rose,,Rose,red,1,Y,5/9/2022 11:49
lily,,Lily,white,1,Y,5/9/2022 11:49
hyacinth,,Hyacinth,white,1,Y,5/9/2022 11:49
carnation,,Carnation,red,1,Y,5/9/2022 11:49
daffodil,,Daffodil,yellow,1,Y,5/9/2022 11:49
marigold,,Marigold,yellow,1,Y,5/9/2022 11:49
ivy,,Ivy,green,1,Y,5/9/2022 11:49
jasmine,,Jasmine,white,1,Y,5/9/2022 11:49
briar,,Briar,green,1,Y,5/9/2022 11:49
lavender,,Lavender,purple,1,Y,5/9/2022 11:49
indigo,,Indigo,blue,1,Y,5/9/2022 11:49
rosemary,,Rosemary,green,1,Y,5/9/2022 11:49
dandelion,,Dandelion,yellow,1,Y,5/14/2024 2:16
larkspur,,Larkspur,blue,1,Y,5/14/2024 2:16
sunflower,,Sunflower,yellow,1,Y,5/14/2024 2:16
daisy,,Daisy,white,1,Y,5/14/2024 2:16
poppy,,Poppy,red,1,Y,5/14/2024 2:16
hydrangea,,Hydrangea,purple,1,Y,5/14/2024 2:16
peony,,Peony,pink,1,Y,5/14/2024 2:16
azalea,,Azalea,pink,1,Y,5/14/2024 2:16
violet,,Violet,purple,1,Y,5/14/2024 2:16
begonia,,Begonia,pink,1,Y,5/14/2024 2:16
gardenia,,Gardenia,white,1,Y,5/14/2024 2:16
petunia,,Petunia,red,1,Y,5/14/2024 2:16
pansy,,Pansy,blue,1,Y,5/14/2024 2:16
snapdragon,,Snapdragon,orange,1,Y,5/14/2024 2:16
allium,,Allium,purple,1,Y,5/14/2024 2:16
crocus,,Crocus,orange,1,Y,5/14/2024 2:16
phlox,,Phlox,purple,1,Y,5/14/2024 2:16
