Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
— ,— ,— ,— ,— ,— ,— 
handy,,Handy,,1,,5/9/2022 11:49
convenient,,Convenient,,1,,5/9/2022 11:49
go,,Go,,1,,5/9/2022 11:49
useful,,Useful,,1,,5/9/2022 11:49
busy,,Busy,,1,,5/9/2022 11:49
service,,Service,,1,,5/9/2022 11:49
reliable,,Reliable,,1,,5/9/2022 11:49
dependable,,Dependable,,1,,5/14/2024 2:16
trusty,,Trusty,,1,,5/14/2024 2:16
opportune,,Opportune,,1,,5/14/2024 2:16
