Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
— ,— ,— ,— ,— ,— ,— 
building,,Building,,2,,5/9/2022 11:49
house,,House,,2,,5/9/2022 11:49
suites,,Suites,,3,,5/9/2022 11:49
heights,,Heights,,2,,5/9/2022 11:49
grange,,Grove,,1,,5/9/2022 11:49
center,,Center,,1,,5/9/2022 11:49
parks,,Parks,,1,,5/9/2022 11:49
view,,View,,2,,5/9/2022 11:49
apartments,,Apartments,,2,,5/14/2024 2:16
