Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
— ,— ,— ,— ,— ,— ,— 
aichi,,Aichi,,1,,5/9/2022 11:49
aikara,,Aikara,,1,,5/9/2022 11:49
aki,,Aki,,1,,5/9/2022 11:49
akita,,Akita,,1,,5/9/2022 11:49
aksu,,Aksu,,1,,5/9/2022 11:49
altay,,Altay,,1,,5/9/2022 11:49
alxa,,Alxa,,1,,5/9/2022 11:49
andong,,Andong,,1,,5/9/2022 11:49
anhui,,Anhui,,1,,5/9/2022 11:49
ankang,,Ankang,,1,,5/9/2022 11:49
anqing,,Anqing,,1,,5/9/2022 11:49
anshan,,Anshan,,1,,5/9/2022 11:49
anshu,,Anshu,,1,,5/9/2022 11:49
anshun,,Anshun,,1,,5/9/2022 11:49
anyang,,Anyang,,1,,5/9/2022 11:49
aomori,,Aomori,,1,,5/9/2022 11:49
ashigawa,,Ashigawa,,1,,5/9/2022 11:49
ashu,,Ashu,,1,,5/9/2022 11:49
asuwa,,Asuwa,,1,,5/9/2022 11:49
awa,,Awa,,1,,5/9/2022 11:49
awaji,,Awaji,,1,,5/9/2022 11:49
baicheng,,Baicheng,,1,,5/9/2022 11:49
baise,,Baise,,1,,5/9/2022 11:49
baishan,,Baishan,,1,,5/9/2022 11:49
baiyin,,Baiyin,,1,,5/9/2022 11:49
baiyun,,Baiyun,,1,,5/9/2022 11:49
banshu,,Banshu,,1,,5/9/2022 11:49
bao'an,,Bao'an,,1,,5/9/2022 11:49
baoding,,Baoding,,1,,5/9/2022 11:49
baoji,,Baoji,,1,,5/9/2022 11:49
baoshan,,Baoshan,,1,,5/9/2022 11:49
baotou,,Baotou,,1,,5/9/2022 11:49
bayannur,,Bayannur,,1,,5/9/2022 11:49
bayingolin,,Bayingolin,,1,,5/9/2022 11:49
bazhong,,Bazhong,,1,,5/9/2022 11:49
beihai,,Beihai,,1,,5/9/2022 11:49
beijing,,Beijing,,1,,5/9/2022 11:49
bengbu,,Bengbu,,1,,5/9/2022 11:49
benxi,,Benxi,,1,,5/9/2022 11:49
bijie,,Bijie,,1,,5/9/2022 11:49
bingo,,Bingo,,1,,5/9/2022 11:49
binhai,,Binhai,,1,,5/9/2022 11:49
binzhou,,Binzhou,,1,,5/9/2022 11:49
bishu,,Bishu,,1,,5/9/2022 11:49
bitchu,,Bitchu,,1,,5/9/2022 11:49
bizen,,Bizen,,1,,5/9/2022 11:49
boeun,,Boeun,,1,,5/9/2022 11:49
bonghwa,,Bonghwa,,1,,5/9/2022 11:49
bortala,,Bortala,,1,,5/14/2024 2:16
boseong,,Boseong,,1,,5/14/2024 2:16
boshu,,Boshu,,1,,5/14/2024 2:16
bozen,,Bozen,,1,,5/14/2024 2:16
bozhou,,Bozhou,,1,,5/14/2024 2:16
buan,,Buan,,1,,5/14/2024 2:16
bungo,,Bungo,,1,,5/14/2024 2:16
bushu,,Bushu,,1,,5/14/2024 2:16
buyeo,,Buyeo,,1,,5/14/2024 2:16
cangzhou,,Cangzhou,,1,,5/14/2024 2:16
chamdo,,Chamdo,,1,,5/14/2024 2:16
changchun,,Changchun,,1,,5/14/2024 2:16
changde,,Changde,,1,,5/14/2024 2:16
changji,,Changji,,1,,5/14/2024 2:16
changnyeong,,Changnyeong,,1,,5/14/2024 2:16
changsha,,Changsha,,1,,5/14/2024 2:16
changwon,,Changwon,,1,,5/14/2024 2:16
changzhi,,Changzhi,,1,,5/14/2024 2:16
changzhou,,Changzhou,,1,,5/14/2024 2:16
chaoyang,,Chaoyang,,1,,5/14/2024 2:16
chaozhou,,Chaozhou,,1,,5/14/2024 2:16
chengde,,Chengde,,1,,5/14/2024 2:16
chengdu,,Chengdu,,1,,5/14/2024 2:16
chenzhou,,Chenzhou,,1,,5/14/2024 2:16
cheongdo,,Cheongdo,,1,,5/14/2024 2:16
cheongjin,,Cheongjin,,1,,5/14/2024 2:16
cheongju,,Cheongju,,1,,5/14/2024 2:16
cheongsong,,Cheongsong,,1,,5/14/2024 2:16
cheongyang,,Cheongyang,,1,,5/14/2024 2:16
cheorwon,,Cheorwon,,1,,5/14/2024 2:16
chiba,,Chiba,,1,,5/14/2024 2:16
chifeng,,Chifeng,,1,,5/14/2024 2:16
chikugo,,Chikugo,,1,,5/14/2024 2:16
chikuma,,Chikuma,,1,,5/14/2024 2:16
chikushu,,Chikushu,,1,,5/14/2024 2:16
chikuzen,,Chikuzen,,1,,5/14/2024 2:16
chilgok,,Chilgok,,1,,5/14/2024 2:16
chinatown,,Chinatown,,1,,5/14/2024 2:16
chishima,,Chishima,,1,,5/14/2024 2:16
chizhou,,Chizhou,,1,,5/14/2024 2:16
chongqing,,Chongqing,,1,,5/14/2024 2:16
chongzuo,,Chongzuo,,1,,5/14/2024 2:16
chubu,,Chubu,,1,,5/14/2024 2:16
chugoku,,Chugoku,,1,,5/14/2024 2:16
chuncheon,,Chuncheon,,1,,5/14/2024 2:16
chungbuk,,Chungbuk,,1,,5/14/2024 2:16
chungcheong,,Chungcheong,,1,,5/14/2024 2:16
chungnam,,Chungnam,,1,,5/14/2024 2:16
chuxiong,,Chuxiong,,1,,5/14/2024 2:16
chuzhou,,Chuzhou,,1,,5/14/2024 2:16
cuwon,,Cuwon,,1,,5/14/2024 2:16
dali,,Dali,,1,,5/14/2024 2:16
dalian,,Dalian,,1,,5/14/2024 2:16
dalseong,,Dalseong,,1,,5/14/2024 2:16
damyang,,Damyang,,1,,5/14/2024 2:16
dandong,,Dandong,,1,,5/14/2024 2:16
danyang,,Danyang,,1,,5/14/2024 2:16
daqing,,Daqing,,1,,5/14/2024 2:16
datong,,Datong,,1,,5/14/2024 2:16
daxing'anling,,Daxing'anling,,1,,5/14/2024 2:16
dazhou,,Dazhou,,1,,5/14/2024 2:16
dehong,,Dehong,,1,,5/14/2024 2:16
dewa,,Dewa,,1,,5/14/2024 2:16
deyang,,Deyang,,1,,5/14/2024 2:16
dezhou,,Dezhou,,1,,5/14/2024 2:16
dingxi,,Dingxi,,1,,5/14/2024 2:16
dongying,,Dongying,,1,,5/14/2024 2:16
doshu,,Doshu,,1,,5/14/2024 2:16
echigo,,Echigo,,1,,5/14/2024 2:16
echizen,,Echizen,,1,,5/14/2024 2:16
ehime,,Ehime,,1,,5/14/2024 2:16
enshi,,Enshi,,1,,5/14/2024 2:16
enshu,,Enshu,,1,,5/14/2024 2:16
esshu,,Esshu,,1,,5/14/2024 2:16
etchu,,Etchu,,1,,5/14/2024 2:16
eumseong,,Eumseong,,1,,5/14/2024 2:16
ezhou,,Ezhou,,1,,5/14/2024 2:16
fangchenggang,,Fangchenggang,,1,,5/14/2024 2:16
fengtai,,Fengtai,,1,,5/14/2024 2:16
foshan,,Foshan,,1,,5/14/2024 2:16
fujian,,Fujian,,1,,5/14/2024 2:16
fukui,,Fukui,,1,,5/14/2024 2:16
fukuoka,,Fukuoka,,1,,5/14/2024 2:16
fukushima,,Fukushima,,1,,5/14/2024 2:16
fushun,,Fushun,,1,,5/14/2024 2:16
fuxin,,Fuxin,,1,,5/14/2024 2:16
fuyang,,Fuyang,,1,,5/14/2024 2:16
fuzhou,,Fuzhou,,1,,5/14/2024 2:16
ganghwa,,Ganghwa,,1,,5/14/2024 2:16
gangjin,,Gangjin,,1,,5/14/2024 2:16
gangwon,,Gangwon,,1,,5/14/2024 2:16
gannan,,Gannan,,1,,5/14/2024 2:16
ganshu,,Ganshu,,1,,5/14/2024 2:16
gansu,,Gansu,,1,,5/14/2024 2:16
ganzhou,,Ganzhou,,1,,5/14/2024 2:16
gapyeong,,Gapyeong,,1,,5/14/2024 2:16
geochang,,Geochang,,1,,5/14/2024 2:16
geumsang,,Geumsang,,1,,5/14/2024 2:16
gifu,,Gifu,,1,,5/14/2024 2:16
gijang,,Gijang,,1,,5/14/2024 2:16
goesan,,Goesan,,1,,5/14/2024 2:16
goheung,,Goheung,,1,,5/14/2024 2:16
gokseong,,Gokseong,,1,,5/14/2024 2:16
goryeong,,Goryeong,,1,,5/14/2024 2:16
goseong,,Goseong,,1,,5/14/2024 2:16
goshu,,Goshu,,1,,5/14/2024 2:16
guang'an,,Guang'an,,1,,5/14/2024 2:16
guangdong,,Guangdong,,1,,5/14/2024 2:16
guangxi,,Guangxi,,1,,5/14/2024 2:16
guangyuan,,Guangyuan,,1,,5/14/2024 2:16
guangzhou,,Guangzhou,,1,,5/14/2024 2:16
guigang,,Guigang,,1,,5/14/2024 2:16
guilin,,Guilin,,1,,5/14/2024 2:16
guiping,,Guiping,,1,,5/14/2024 2:16
guiyang,,Guiyang,,1,,5/14/2024 2:16
guizhou,,Guizhou,,1,,5/14/2024 2:16
gunma,,Gunma,,1,,5/14/2024 2:16
gunwi,,Gunwi,,1,,5/14/2024 2:16
gurye,,Gurye,,1,,5/14/2024 2:16
gushu,,Gushu,,1,,5/14/2024 2:16
guyuan,,Guyuan,,1,,5/14/2024 2:16
gwanbuk,,Gwanbuk,,1,,5/14/2024 2:16
gwandong,,Gwandong,,1,,5/14/2024 2:16
gwannam,,Gwannam,,1,,5/14/2024 2:16
gwanseo,,Gwanseo,,1,,5/14/2024 2:16
gyeonggi,,Gyeonggi,,1,,5/14/2024 2:16
gyeongsang,,Gyeongsang,,1,,5/14/2024 2:16
hachido,,Hachido,,1,,5/14/2024 2:16
hadong,,Hadong,,1,,5/14/2024 2:16
haeju,,Haeju,,1,,5/14/2024 2:16
haenam,,Haenam,,1,,5/14/2024 2:16
haeseo,,Haeseo,,1,,5/14/2024 2:16
haibei,,Haibei,,1,,5/14/2024 2:16
haidian,,Haidian,,1,,5/14/2024 2:16
haidong,,Haidong,,1,,5/14/2024 2:16
haikou,,Haikou,,1,,5/14/2024 2:16
hainan,,Hainan,,1,,5/14/2024 2:16
haixi,,Haixi,,1,,5/14/2024 2:16
hakodate,,Hakodate,,1,,5/14/2024 2:16
hakushu,,Hakushu,,1,,5/14/2024 2:16
hamamatsu,,Hamamatsu,,1,,5/14/2024 2:16
haman,,Haman,,1,,5/14/2024 2:16
hamgyeong,,Hamgyeong,,1,,5/14/2024 2:16
hamheung,,Hamheung,,1,,5/14/2024 2:16
hamhung,,Hamhung,,1,,5/14/2024 2:16
hami,,Hami,,1,,5/14/2024 2:16
hampyeong,,Hampyeong,,1,,5/14/2024 2:16
hamyang,,Hamyang,,1,,5/14/2024 2:16
handan,,Handan,,1,,5/14/2024 2:16
hangzhou,,Hangzhou,,1,,5/14/2024 2:16
hanzhong,,Hanzhong,,1,,5/14/2024 2:16
hapcheon,,Hapcheon,,1,,5/14/2024 2:16
harima,,Harima,,1,,5/14/2024 2:16
hebei,,Hebei,,1,,5/14/2024 2:16
hebi,,Hebi,,1,,5/14/2024 2:16
hechi,,Hechi,,1,,5/14/2024 2:16
hefei,,Hefei,,1,,5/14/2024 2:16
hegang,,Hegang,,1,,5/14/2024 2:16
heihe,,Heihe,,1,,5/14/2024 2:16
heilongjiang,,Heilongjiang,,1,,5/14/2024 2:16
henan,,Henan,,1,,5/14/2024 2:16
hengsha,,Hengsha,,1,,5/14/2024 2:16
hengshui,,Hengshui,,1,,5/14/2024 2:16
hengyang,,Hengyang,,1,,5/14/2024 2:16
heyuan,,Heyuan,,1,,5/14/2024 2:16
heze,,Heze,,1,,5/14/2024 2:16
hezhou,,Hezhou,,1,,5/14/2024 2:16
hida,,Hida,,1,,5/14/2024 2:16
hidaka,,Hidaka,,1,,5/14/2024 2:16
hinggan,,Hinggan,,1,,5/14/2024 2:16
hiroshima,,Hiroshima,,1,,5/14/2024 2:16
hishu,,Hishu,,1,,5/14/2024 2:16
hishy,,Hishy,,1,,5/14/2024 2:16
hitachi,,Hitachi,,1,,5/14/2024 2:16
hizen,,Hizen,,1,,5/14/2024 2:16
hoengseong,,Hoengseong,,1,,5/14/2024 2:16
hoki,,Hoki,,1,,5/14/2024 2:16
hokkaido,,Hokkaido,,1,,5/14/2024 2:16
hokurikudo,,Hokurikudo,,1,,5/14/2024 2:16
honam,,Honam,,1,,5/14/2024 2:16
hong kong,,Hong Kong,,1,,5/14/2024 2:16
hongcheon,,Hongcheon,,1,,5/14/2024 2:16
honghe,,Honghe,,1,,5/14/2024 2:16
hongseong,,Hongseong,,1,,5/14/2024 2:16
hoseo,,Hoseo,,1,,5/14/2024 2:16
hoshu,,Hoshu,,1,,5/14/2024 2:16
hotan,,Hotan,,1,,5/14/2024 2:16
huai'an,,Huai'an,,1,,5/14/2024 2:16
huaibei,,Huaibei,,1,,5/14/2024 2:16
huaihua,,Huaihua,,1,,5/14/2024 2:16
huainan,,Huainan,,1,,5/14/2024 2:16
huanggang,,Huanggang,,1,,5/14/2024 2:16
huangnan,,Huangnan,,1,,5/14/2024 2:16
huangshi,,Huangshi,,1,,5/14/2024 2:16
hubei,,Hubei,,1,,5/14/2024 2:16
huizhou,,Huizhou,,1,,5/14/2024 2:16
huludao,,Huludao,,1,,5/14/2024 2:16
hunan,,Hunan,,1,,5/14/2024 2:16
huzhou,,Huzhou,,1,,5/14/2024 2:16
hwacheon,,Hwacheon,,1,,5/14/2024 2:16
