Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
— ,— ,— ,— ,— ,— ,— 
district,,District,,3,,5/9/2022 11:49
town,,Town,,2,,5/9/2022 11:49
bay,,Bay,,1,,5/9/2022 11:49
view,,View,,1,,5/9/2022 11:49
springs,,Springs,,1,,5/9/2022 11:49
heights,,Heights,,1,,5/9/2022 11:49
quarter,,Quarter,,2,,5/9/2022 11:49
prefecture,,Prefecture,,1,,5/14/2024 2:16
sector,,Sector,,1,,5/14/2024 2:16
zone,,Zone,,1,,5/14/2024 2:16
harbor,,Harbor,,1,,5/14/2024 2:16
port,,Port,,1,,5/14/2024 2:16
ward,,Ward,,1,,5/14/2024 2:16
precinct,,Precinct,,1,,5/14/2024 2:16
borough,,Borough,,1,,5/14/2024 2:16
division,,Division,,1,,5/14/2024 2:16
springs,,Springs,,1,,5/14/2024 2:16
