Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
— ,— ,— ,— ,— ,— ,— 
aberdeen,,Aberdeen,,1,,5/9/2022 11:49
acadia,,Acadia,,1,,5/9/2022 11:49
accomack,,Accomack,,1,,5/9/2022 11:49
adams,,Adams,,1,,5/9/2022 11:49
adelaide,,Adelaide,,1,,5/9/2022 11:49
aguada,,Aguada,,1,,5/9/2022 11:49
aguadilla,,Aguadilla,,1,,5/9/2022 11:49
aiken,,Aiken,,1,,5/9/2022 11:49
alachua,,Alachua,,1,,5/9/2022 11:49
alamance,,Alamance,,1,,5/9/2022 11:49
alameda,,Alameda,,1,,5/9/2022 11:49
albany,,Albany,,1,,5/9/2022 11:49
alexandria,,Alexandria,,1,,5/9/2022 11:49
alice spring,,Alice Spring,,1,,5/9/2022 11:49
allegan,,Allegan,,1,,5/9/2022 11:49
allegany,,Allegany,,1,,5/9/2022 11:49
allegheny,,Allegheny,,1,,5/9/2022 11:49
alsace,,Alsace,,1,,5/9/2022 11:49
amsterdam,,Amsterdam,,1,,5/9/2022 11:49
anderson,,Anderson,,1,,5/9/2022 11:49
andorra,,Andorra,,1,,5/9/2022 11:49
andros,,Andros,,1,,5/9/2022 11:49
androscoggin,,Androscoggin,,1,,5/9/2022 11:49
angeles,,Angeles,,1,,5/9/2022 11:49
anglesey,,Anglesey,,1,,5/9/2022 11:49
angoumois,,Angoumois,,1,,5/9/2022 11:49
angus,,Angus,,1,,5/9/2022 11:49
anjou,,Anjou,,1,,5/9/2022 11:49
anoka,,Anoka,,1,,5/9/2022 11:49
antalya,,Antalya,,1,,5/9/2022 11:49
antrim,,Antrim,,1,,5/9/2022 11:49
appleton,,Appleton,,1,,5/9/2022 11:49
appling,,Appling,,1,,5/9/2022 11:49
arapahoe,,Arapahoe,,1,,5/9/2022 11:49
arecibo,,Arecibo,,1,,5/9/2022 11:49
argyle,,Argyle,,1,,5/9/2022 11:49
argyll,,Argyll,,1,,5/9/2022 11:49
arlington,,Arlington,,1,,5/9/2022 11:49
armagh,,Armagh,,1,,5/9/2022 11:49
aroostook,,Aroostook,,1,,5/9/2022 11:49
arras,,Arras,,1,,5/9/2022 11:49
artois,,Artois,,1,,5/9/2022 11:49
ascencion,,Ascencion,,1,,5/9/2022 11:49
ashland,,Ashland,,1,,5/9/2022 11:49
assumption,,Assumption,,1,,5/9/2022 11:49
atascosa,,Atascosa,,1,,5/9/2022 11:49
athens,,Athens,,1,,5/9/2022 11:49
atlantic,,Atlantic,,1,,5/9/2022 11:49
aunis,,Aunis,,1,,5/9/2022 11:49
autauga,,Autauga,,1,,5/9/2022 11:49
auvergne,,Auvergne,,1,,5/9/2022 11:49
avignon,,Avignon,,1,,5/9/2022 11:49
avon,,Avon,,1,,5/9/2022 11:49
avoyelles,,Avoyelles,,1,,5/9/2022 11:49
ayr,,Ayr,,1,,5/9/2022 11:49
bakersville,,Bakersville,,1,,5/9/2022 11:49
ballymena,,Ballymena,,1,,5/9/2022 11:49
baltic,,Baltic,,1,,5/9/2022 11:49
baltimore,,Baltimore,,1,,5/9/2022 11:49
bandera,,Bandera,,1,,5/9/2022 11:49
banff,,Banff,,1,,5/9/2022 11:49
bannock,,Bannock,,1,,5/9/2022 11:49
barceloneta,,Barceloneta,,1,,5/9/2022 11:49
barclay,,Barclay,,1,,5/9/2022 11:49
barnstable,,Barnstable,,1,,5/9/2022 11:49
barrois,,Barrois,,1,,5/9/2022 11:49
barry,,Barry,,1,,5/9/2022 11:49
bayamón,,Bayamón,,1,,5/9/2022 11:49
beaufort,,Beaufort,,1,,5/9/2022 11:49
beauregard,,Beauregard,,1,,5/9/2022 11:49
bedford,,Bedford,,1,,5/9/2022 11:49
bedfordshire,,Bedfordshire,,1,,5/9/2022 11:49
beirut,,Beirut,,1,,5/9/2022 11:49
belknap,,Belknap,,1,,5/9/2022 11:49
bengal,,Bengal,,1,,5/9/2022 11:49
bennington,,Bennington,,1,,5/9/2022 11:49
bergen,,Bergen,,1,,5/9/2022 11:49
berk,,Berk,,1,,5/9/2022 11:49
berkeley,,Berkeley,,1,,5/9/2022 11:49
berks,,Berks,,1,,5/9/2022 11:49
berkshire,,Berkshire,,1,,5/9/2022 11:49
bernalillo,,Bernalillo,,1,,5/9/2022 11:49
berry,,Berry,,1,,5/9/2022 11:49
berwick,,Berwick,,1,,5/9/2022 11:49
bexar,,Bexar,,1,,5/9/2022 11:49
bilboa,,Bilboa,,1,,5/9/2022 11:49
blackburn,,Blackburn,,1,,5/9/2022 11:49
blackpool,,Blackpool,,1,,5/9/2022 11:49
bonner,,Bonner,,1,,5/9/2022 11:49
bonneville,,Bonneville,,1,,5/9/2022 11:49
boston,,Boston,,1,,5/9/2022 11:49
bourbon,,Bourbon,,1,,5/9/2022 11:49
bourbonnais,,Bourbonnais,,1,,5/9/2022 11:49
bourges,,Bourges,,1,,5/9/2022 11:49
bournemouth,,Bournemouth,,1,,5/9/2022 11:49
bowery,,Bowery,,1,,5/9/2022 11:49
bowling,,Bowling,,1,,5/9/2022 11:49
bradford,,Bradford,,1,,5/9/2022 11:49
bray,,Bray,,1,,5/9/2022 11:49
brazoria,,Brazoria,,1,,5/9/2022 11:49
brecknock,,Brecknock,,1,,5/9/2022 11:49
brevard,,Brevard,,1,,5/9/2022 11:49
bridgend,,Bridgend,,1,,5/9/2022 11:49
brighton,,Brighton,,1,,5/9/2022 11:49
brisbane,,Brisbane,,1,,5/9/2022 11:49
bristol,,Bristol,,1,,5/9/2022 11:49
brittany,,Brittany,,1,,5/9/2022 11:49
bronx,,Bronx,,1,,5/9/2022 11:49
brookings,,Brookings,,1,,5/9/2022 11:49
broome,,Broome,,1,,5/9/2022 11:49
broward,,Broward,,1,,5/9/2022 11:49
brunswick,,Brunswick,,1,,5/9/2022 11:49
bucharest,,Bucharest,,1,,5/9/2022 11:49
buckingham,,Buckingham,,1,,5/9/2022 11:49
buckinghamshire,,Buckinghamshire,,1,,5/9/2022 11:49
bucks,,Bucks,,1,,5/9/2022 11:49
buena vista,,Buena Vista,,1,,5/9/2022 11:49
buffalo,,Buffalo,,1,,5/9/2022 11:49
bullitt,,Bullitt,,1,,5/9/2022 11:49
burgundy,,Burgundy,,1,,5/9/2022 11:49
burke,,Burke,,1,,5/9/2022 11:49
burleigh,,Burleigh,,1,,5/9/2022 11:49
burlington,,Burlington,,1,,5/9/2022 11:49
bute,,Bute,,1,,5/9/2022 11:49
butler,,Butler,,1,,5/9/2022 11:49
cabarrus,,Cabarrus,,1,,5/9/2022 11:49
cabell,,Cabell,,1,,5/9/2022 11:49
cabo rojo,,Cabo Rojo,,1,,5/9/2022 11:49
caen,,Caen,,1,,5/9/2022 11:49
caernarfon,,Caernarfon,,1,,5/9/2022 11:49
caerphilly,,Caerphilly,,1,,5/9/2022 11:49
cairns,,Cairns,,1,,5/9/2022 11:49
cairo,,Cairo,,1,,5/9/2022 11:49
caithness,,Caithness,,1,,5/9/2022 11:49
calaveras,,Calaveras,,1,,5/9/2022 11:49
caledonia,,Caledonia,,1,,5/9/2022 11:49
calhoun,,Calhoun,,1,,5/9/2022 11:49
cambridge,,Cambridge,,1,,5/9/2022 11:49
cambridgeshire,,Cambridgeshire,,1,,5/9/2022 11:49
camden,,Camden,,1,,5/9/2022 11:49
campbell,,Campbell,,1,,5/9/2022 11:49
camuy,,Camuy,,1,,5/9/2022 11:49
canterbury,,Canterbury,,1,,5/9/2022 11:49
carbon,,Carbon,,1,,5/9/2022 11:49
cardigan,,Cardigan,,1,,5/9/2022 11:49
caribou,,Caribou,,1,,5/9/2022 11:49
carlow,,Carlow,,1,,5/9/2022 11:49
carmarthen,,Carmarthen,,1,,5/9/2022 11:49
carrick,,Carrick,,1,,5/9/2022 11:49
carrick-on-shannon,,Carrick-on-Shannon,,1,,5/9/2022 11:49
carter,,Carter,,1,,5/9/2022 11:49
carteret,,Carteret,,1,,5/9/2022 11:49
carver,,Carver,,1,,5/9/2022 11:49
casablanca,,Casablanca,,1,,5/9/2022 11:49
cascade,,Cascade,,1,,5/9/2022 11:49
cass,,Cass,,1,,5/9/2022 11:49
castlebar,,Castlebar,,1,,5/9/2022 11:49
catan,,Catan,,1,,5/9/2022 11:49
cataño,,Cataño,,1,,5/9/2022 11:49
catawba,,Catawba,,1,,5/9/2022 11:49
catoosa,,Catoosa,,1,,5/9/2022 11:49
cavan,,Cavan,,1,,5/9/2022 11:49
cayey,,Cayey,,1,,5/9/2022 11:49
cayuga,,Cayuga,,1,,5/9/2022 11:49
cedar,,Cedar,,1,,5/9/2022 11:49
ceredigion,,Ceredigion,,1,,5/9/2022 11:49
cerro gordo,,Cerro Gordo,,1,,5/9/2022 11:49
chambéry,,Chambéry,,1,,5/9/2022 11:49
champagne,,Champagne,,1,,5/9/2022 11:49
charleston,,Charleston,,1,,5/9/2022 11:49
charlotte,,Charlotte,,1,,5/9/2022 11:49
chatham,,Chatham,,1,,5/9/2022 11:49
chautauqua,,Chautauqua,,1,,5/9/2022 11:49
chaves,,Chaves,,1,,5/9/2022 11:49
chelan,,Chelan,,1,,5/9/2022 11:49
chennai,,Chennai,,1,,5/9/2022 11:49
cherokee,,Cherokee,,1,,5/9/2022 11:49
cherryville,,Cherryville,,1,,5/9/2022 11:49
cheshire,,Cheshire,,1,,5/9/2022 11:49
chester,,Chester,,1,,5/9/2022 11:49
chesterfield,,Chesterfield,,1,,5/9/2022 11:49
chicago,,Chicago,,1,,5/9/2022 11:49
chisago,,Chisago,,1,,5/9/2022 11:49
chittenden,,Chittenden,,1,,5/9/2022 11:49
cidra,,Cidra,,1,,5/9/2022 11:49
clackmannan,,Clackmannan,,1,,5/9/2022 11:49
clallam,,Clallam,,1,,5/9/2022 11:49
clare,,Clare,,1,,5/9/2022 11:49
clark,,Clark,,1,,5/9/2022 11:49
clay,,Clay,,1,,5/9/2022 11:49
clearfield,,Clearfield,,1,,5/9/2022 11:49
clermont,,Clermont,,1,,5/9/2022 11:49
cleveland,,Cleveland,,1,,5/9/2022 11:49
clinton,,Clinton,,1,,5/9/2022 11:49
clonmel,,Clonmel,,1,,5/9/2022 11:49
clwyd,,Clwyd,,1,,5/9/2022 11:49
cobb,,Cobb,,1,,5/9/2022 11:49
cochise,,Cochise,,1,,5/9/2022 11:49
coconino,,Coconino,,1,,5/9/2022 11:49
colbert,,Colbert,,1,,5/9/2022 11:49
coleraine,,Coleraine,,1,,5/9/2022 11:49
coles,,Coles,,1,,5/9/2022 11:49
collin,,Collin,,1,,5/9/2022 11:49
colombo,,Colombo,,1,,5/9/2022 11:49
colorado,,Colorado,,1,,5/9/2022 11:49
columbia,,Columbia,,1,,5/9/2022 11:49
columbiana,,Columbiana,,1,,5/9/2022 11:49
columbus,,Columbus,,1,,5/9/2022 11:49
comanche,,Comanche,,1,,5/9/2022 11:49
concordia,,Concordia,,1,,5/9/2022 11:49
connacht,,Connacht,,1,,5/9/2022 11:49
contra costa,,Contra Costa,,1,,5/9/2022 11:49
conwy,,Conwy,,1,,5/9/2022 11:49
cook,,Cook,,1,,5/9/2022 11:49
coos,,Coos,,1,,5/9/2022 11:49
copenhagen,,Copenhagen,,1,,5/9/2022 11:49
coral,,Coral,,1,,5/9/2022 11:49
cork,,Cork,,1,,5/9/2022 11:49
cornwall,,Cornwall,,1,,5/9/2022 11:49
corozal,,Corozal,,1,,5/9/2022 11:49
corsica,,Corsica,,1,,5/9/2022 11:49
cortland,,Cortland,,1,,5/9/2022 11:49
coryell,,Coryell,,1,,5/14/2024 2:16
coshocton,,Coshocton,,1,,5/14/2024 2:16
coweta,,Coweta,,1,,5/14/2024 2:16
cownwall,,Cownwall,,1,,5/14/2024 2:16
craighead,,Craighead,,1,,5/14/2024 2:16
craven,,Craven,,1,,5/14/2024 2:16
crawford,,Crawford,,1,,5/14/2024 2:16
crittenden,,Crittenden,,1,,5/14/2024 2:16
cromarty,,Cromarty,,1,,5/14/2024 2:16
cuba,,Cuba,,1,,5/14/2024 2:16
cullman,,Cullman,,1,,5/14/2024 2:16
culpeper,,Culpeper,,1,,5/14/2024 2:16
cumberland,,Cumberland,,1,,5/14/2024 2:16
cumbria,,Cumbria,,1,,5/14/2024 2:16
cuyahoga,,Cuyahoga,,1,,5/14/2024 2:16
dade,,Dade,,1,,5/14/2024 2:16
dallas,,Dallas,,1,,5/14/2024 2:16
dane,,Dane,,1,,5/14/2024 2:16
danville,,Danville,,1,,5/14/2024 2:16
darke,,Darke,,1,,5/14/2024 2:16
darlington,,Darlington,,1,,5/14/2024 2:16
darwin,,Darwin,,1,,5/14/2024 2:16
davenport,,Davenport,,1,,5/14/2024 2:16
davidson,,Davidson,,1,,5/14/2024 2:16
dearborn,,Dearborn,,1,,5/14/2024 2:16
defiance,,Defiance,,1,,5/14/2024 2:16
dekalb,,DeKalb,,1,,5/14/2024 2:16
delaware,,Delaware,,1,,5/14/2024 2:16
delhi,,Delhi,,1,,5/14/2024 2:16
denbigh,,Denbigh,,1,,5/14/2024 2:16
denton,,Denton,,1,,5/14/2024 2:16
denver,,Denver,,1,,5/14/2024 2:16
