Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
— ,— ,— ,— ,— ,— ,— 
street,,Street,,3,,5/9/2022 11:49
avenue,,Avenue,,1,,5/9/2022 11:49
boulevard,,Boulevard,,1,,5/9/2022 11:49
parade,,Parade,,1,,5/9/2022 11:49
lane,,Lane,,1,,5/14/2024 2:16
drive,,Drive,,1,,5/14/2024 2:16
way,,Way,,1,,5/14/2024 2:16
place,,Place,,1,,5/14/2024 2:16
crossing,,Crossing,,1,,5/14/2024 2:16
